,date,rawContent,cleaned_content
0,2022-09-26 08:29:12+00:00,Top boy Ruddy! 🙌🏾🙌🏾🙌🏾,top boy ruddy
1,2022-09-26 08:29:12+00:00,"@DicksonKwakuAm1 My team? Let me say it again. To be a fair arbiter, I decided not to support Kotoko or Hearts of Oak. Now, if you're proud of this level of officiating, then you don't want to see the standard of the GPL improve. I'm more concerned about the integrity of the #betPawaGPL.",my team let me say it again be fair arbiter i decided not support kotoko or hearts oak now if youre proud this level officiating then you dont want see standard gpl improve im more concerned about integrity
2,2022-09-26 08:29:11+00:00,@KofiDebwoy @PulseGhana Of course if that’s my belief then benteke is the greatest of all. I’m seeing things from my perspective and not urs,course if that s my belief then benteke is greatest all i m seeing things my perspective not urs
3,2022-09-26 08:29:11+00:00,@Auntyadaa Pray every minute,pray every minute
4,2022-09-26 08:29:11+00:00,Na Agya Koo dey do comedy that be why he talk that thing 😂,na agya koo dey do comedy that be why he talk that thing
5,2022-09-26 08:29:09+00:00,@jadechangwe @IAmSteveHarvey 😂😂where’s the lie 💔,where s lie
6,2022-09-26 08:29:09+00:00,@RevErskineGH This should be the prayer topic Duncan Williams and Co be hard on. That spirit of Envy and jealousy is buried underground somewhere in this country and should be uprooted.,this should be prayer topic duncan williams co be hard that spirit envy jealousy is buried underground somewhere this country should be uprooted
7,2022-09-26 08:29:04+00:00,"#كتلة_الخمسةةة
نَجلُ شَيخي وَسيّدي الكزبريّ ال",
8,2022-09-26 08:29:04+00:00,@Eniolababss @Myka_veli Lol how many of them know Beyonce? They only know Chioma Jesus,lol how many them know beyonce they only know chioma jesus
9,2022-09-26 08:29:04+00:00,@LIVYaw___ @Founda__ If you are talking to me talk to me direct and stop going through the corners,if you are talking me talk me direct stop going through corners
