,date,rawContent
0,2022-01-01 23:59:51+00:00,Nagyi performs live at #mimlifeconcert22 https://t.co/iU9vehSx28
1,2022-01-01 23:59:40+00:00,Ei wenne slight moan that
2,2022-01-01 23:59:12+00:00,@kay_bee28 😂😂
3,2022-01-01 23:59:07+00:00,@shattawalegh Sell Out
4,2022-01-01 23:58:45+00:00,4 years no hit. Everyday somebody’s mother. Ooh Nii 🤦🏽‍♂️🤦🏽‍♂️🤦🏽‍♂️ https://t.co/BSV5C4vViu
5,2022-01-01 23:58:44+00:00,@griff__00 Bro! We be too relaxed for this side! We make am small then we relax
6,2022-01-01 23:58:29+00:00,Happy new year baby ❤️😍 https://t.co/xAG3pa8O86
7,2022-01-01 23:58:16+00:00,@Airkuya Jon😆
8,2022-01-01 23:57:52+00:00,@Delibans Bro!
9,2022-01-01 23:57:45+00:00,The space way time them go close?
10,2022-01-01 23:57:41+00:00,Chale 😂😂😂 https://t.co/vdNq7Msop5
11,2022-01-01 23:57:40+00:00,Okay so make king promise start dey use Egusi and amala for tracks inside???
12,2022-01-01 23:56:32+00:00,"I’ll post a lot this year. 
iMean pictures of myself 😁"
13,2022-01-01 23:56:29+00:00,@__effah @Kwaku____ She say like Captan and Addi Sef for step in 😭😭😭😭
14,2022-01-01 23:56:25+00:00,Is shatta still chatting shit ?
15,2022-01-01 23:56:20+00:00,@shattawalegh 😂😂😂😂😂😂😂
16,2022-01-01 23:56:09+00:00,"@shattawalegh Wale never go relax then them beat am 
Oh Ghana"
17,2022-01-01 23:55:58+00:00,"I'm loving today 1st January 2022
A lovely start big ups to @shattawalegh and @burnaboy 
Vawulence...! Vawulence...!
#danzaconme 
#HarryPotter20thAnniversary 
#"
18,2022-01-01 23:55:56+00:00,Them dey call you out ooo @ksheldongh 😂😂😂😂😂😂
19,2022-01-01 23:55:49+00:00,@_deLaaaLi See as your eye get🤣🤣
20,2022-01-01 23:55:37+00:00,Aaaaahhhhhh @ksheldongh dey hear am again
21,2022-01-01 23:55:27+00:00,Yie! Sheldon stray bullet😭😭😭😭
22,2022-01-01 23:54:54+00:00,@mistameister please end the space!!!!
23,2022-01-01 23:54:53+00:00,"@yaoelliott @JoojoSuave_ Playing hard does not out you above critiques tho, he dey over use ""hardness"""
24,2022-01-01 23:54:37+00:00,dude is about to get cooked 😂😂
25,2022-01-01 23:54:33+00:00,"Broooooo 
Someone said Burna boy knew his album was going to blow so he didn’t include any Ghanaian 😂😂😂 https://t.co/W9eXn05xz9"
26,2022-01-01 23:54:13+00:00,Rondo mom paa  dier herh🤣🤣🤣 https://t.co/7kmqru4aYM
27,2022-01-01 23:53:47+00:00,"@shattawalegh Wale
Relax o bro"
28,2022-01-01 23:53:44+00:00,@AbenaLipzil Hello 👋
29,2022-01-01 23:53:43+00:00,😂 😂 😂 😂 https://t.co/7kmqru4aYM
30,2022-01-01 23:53:36+00:00,"Exactly!! Shatta made him in his image and likeness and breathe life into him, go on..... https://t.co/v2VNEqSCIu"
31,2022-01-01 23:52:59+00:00,@OkwasiaBiNti I won't let you down
32,2022-01-01 23:52:51+00:00,Fire k) weh kyi kakra
33,2022-01-01 23:52:01+00:00,Human Rights Twitter come inside
34,2022-01-01 23:51:57+00:00,@dat4renaboy Chale talk your mind eh ? 😩
