,date,content,cleaned_content
0,2022-05-20 12:30:26+00:00,We fell far as society as soon as y’all started saying that Lebron is better than MJ🤦🏾‍♂️ https://t.co/pTjpVUyiCl,we fell far as society as soon as y all started saying that lebron is better than mj
1,2022-05-20 12:30:26+00:00,"@king_mthethwa @lithameyile Listen, this channel cam perfect on time #afrocinema",listen this channel cam perfect time
2,2022-05-20 12:30:24+00:00,Speaking your mind could get easier for you now. As the beamin... More for Aries https://t.co/HElO2v7TU1,speaking your mind could get easier you now as beamin more aries
3,2022-05-20 12:30:24+00:00,@Sikelela_23 @reece_youngking .. For lona ma Skrr skrrr. If we talking cadence and substance then Paradise &gt;,lona ma skrr skrrr if we talking cadence substance then paradise gt
4,2022-05-20 12:30:24+00:00,Clarifying what you believe could shine a light on whatever's ... More for Libra https://t.co/JQMVdsnib4,clarifying what you believe could shine light whatevers more libra
5,2022-05-20 12:30:24+00:00,"It's crunch time for our @THESTORMERS pair @RuhanNel7 and @Seabelo_Senatla as they face Scarlets in the @URCOfficial #rugby on Saturday. Do your thing, guys! 💪 https://t.co/bmKNtFWTtu",its crunch time our pair as they face scarlets saturday do your thing guys
6,2022-05-20 12:30:23+00:00,Ngcono kuyekwe 🤣 https://t.co/TthfC4cYse,ngcono kuyekwe
7,2022-05-20 12:30:23+00:00,man why did netflix have to remove new girl and modern family 😭😭,man why did netflix have remove new girl modern family
8,2022-05-20 12:30:18+00:00,@footbalIfights This is actually crazy. Think they might need a season in the Championship to humble themselves,this is actually crazy think they might need season championship humble themselves
9,2022-05-20 12:30:17+00:00,So now that the flag pole project is cancelled these politicians are gonna find other ingenious ways to steal tax payers money,so now that flag pole project is cancelled these politicians are gonna find other ingenious ways steal tax payers money
10,2022-05-20 12:30:15+00:00,@Mvalencia36 Ok nahnah https://t.co/oHfPCQm4dZ,ok nahnah
11,2022-05-20 12:30:15+00:00,@vistamavela @NyanisoMfeketho 🤣🤣Hai chin njan IJob YiJob nje,hai chin njan ijob yijob nje
