,date,content,cleaned_content
0,2022-05-20 08:41:55+00:00,Javelin and https://t.co/KkhNiwiGZy Collaborate with Final Year Advertising Students https://t.co/jigjsZ3fFg via @imj_ireland @javelindublin @jobsdotie @WeAreTUDublin #Marketing #Advertising https://t.co/idc2Zxs9BF,javelin collaborate with final year advertising students via
1,2022-05-20 08:41:54+00:00,Watching the highlights of @NBA ECF  Game 2 poolside in Bareclona this morning (2.30am tip-off time makes it difficult to stay up for). Yeah the shooting is fantastic but the passing by the @celtics was out of this world. Incredible display of unselfishness with the ball. https://t.co/P8OJe5f5Fy,watching highlights ecf game 2 poolside bareclona this morning 2 30am tip off time makes it difficult stay up yeah shooting is fantastic but passing by was out this world incredible display unselfishness with ball
2,2022-05-20 08:41:51+00:00,"At the @BICSecretariat Joint Symposium on Housing and Drugs &amp; Alcohol. Now - the welcome message from Siobhán McArdle, Assistant Secretary, Department of Health from Irish Government. https://t.co/qVgtBDggzA",at joint symposium housing drugs amp alcohol now welcome message siobh n mcardle assistant secretary department health irish government
3,2022-05-20 08:41:51+00:00,Geographers at @CIGLimerick2022 #cig2022 arriving at the first session the morning after the conference dinner https://t.co/cuAsixP0jt,geographers at arriving at first session morning after conference dinner
4,2022-05-20 08:41:50+00:00,@TG4TV @LisaMMcGee Absolutely fabulous ending,absolutely fabulous ending
5,2022-05-20 08:41:47+00:00,"What a background: New French Prime Minister Élisabeth Borne, daughter of a stateless Auschwitz survivor https://t.co/MFhAFbrBa2 via @FRANCE24",what background new french prime minister lisabeth borne daughter stateless auschwitz survivor via
6,2022-05-20 08:41:42+00:00,Impeccable comic timing https://t.co/OMM1FrW1mq,impeccable comic timing
7,2022-05-20 08:41:41+00:00,@RollingStone Hope he has his babysitting license.,hope he has his babysitting license
8,2022-05-20 08:41:41+00:00,"Wordle 335 5/6

🟨🟨⬛⬛🟨
⬛🟩🟨🟩⬛
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩
🟩🟩🟩🟩🟩",wordle 335 5 6
9,2022-05-20 08:41:40+00:00,@Markafc87 I wouldn’t blame em tbh 😂😂😂😂,i wouldn t blame em tbh
10,2022-05-20 08:41:40+00:00,Short-term thinking in the extreme. Even thinking in these cycles does HSBC plan to stop lending in 6 years? Climate change will eventually affect lending prospects. What if your clients plan to repay via refinancing? What about macro-economic/systemic risks from climate change?,short term thinking extreme even thinking these cycles does hsbc plan stop lending 6 years climate change will eventually affect lending prospects what if your clients plan repay via refinancing what about macro economic systemic risks climate change
11,2022-05-20 08:41:36+00:00,@FORBUCKLEY Shes in his movie called “good mourning” i think,shes his movie called good mourning i think
12,2022-05-20 08:41:35+00:00,"@LMACR2 @orchidsbudget @Michael_O_Regan @marybuckley549 Can you read. The victims of abuse were badly let down by our Country. People who could have stopped it, bishops, priests, Politicans &amp; Gardai. You're so entrenched in your views you can't or/won't see the point I am making. The primary concern must always be for victims",can you read victims abuse were badly let down by our country people who could have stopped it bishops priests politicans amp gardai youre so entrenched your views you cant or wont see point i am making primary concern must always be victims
