,date,rawContent,cleaned_content
0,2022-09-26 08:29:34+00:00,🌨🌧,
1,2022-09-26 08:29:33+00:00,@CarreterasGC Cuales son las condiciones de la GC-1 hoy? Algún riesgo de desmoronamiento?,cuales son las condiciones de la gc 1 hoy alg n riesgo de desmoronamiento
2,2022-09-26 08:29:33+00:00,@bigbroaccess you could see it in his eyes as she answered questions from the jury and gave her speech.,you could see it his eyes as she answered questions jury gave her speech
3,2022-09-26 08:29:33+00:00,@rosianaivy @Tiana__toks @StarkGifson,
4,2022-09-26 08:29:33+00:00,"@cristicazzi io, fammi prima ritirare lo stipendio",io fammi prima ritirare lo stipendio
5,2022-09-26 08:29:33+00:00,@_pallavighosh Hmmm...Home loan emi still exists,hmmm home loan emi still exists
6,2022-09-26 08:29:33+00:00,@taran_adarsh BOYCOTT https://t.co/iTPcdq1kaB,boycott
7,2022-09-26 08:29:32+00:00,@SomaiaA51673955 #سبتمبر_ميلاد_وطن,
8,2022-09-26 08:29:31+00:00,https://t.co/OXdQQ2RnKJ,
9,2022-09-26 08:29:30+00:00,@ApologyMan its a joke bro dont kill me,its joke bro dont kill me
10,2022-09-26 08:29:29+00:00,Ehrhe,ehrhe
11,2022-09-26 08:29:29+00:00,@TheClintonOrezi Happy birthday!,happy birthday
12,2022-09-26 08:29:28+00:00,Deadly gun attack at Russian school https://t.co/0LCJElTvTp,deadly gun attack at russian school
13,2022-09-26 08:29:28+00:00,Wtmd,wtmd
14,2022-09-26 08:29:28+00:00,"@_schiaffino__ abito a NY da 12 anni, Trump è stato l unico a non iniziare guerre. il problema qui sono sempre stati i democratici.",abito ny da 12 anni trump stato l unico non iniziare guerre il problema qui sono sempre stati i democratici
15,2022-09-26 08:29:28+00:00,"@isabelmerana No, not at all.",no not at all
16,2022-09-26 08:29:28+00:00,@Latto MF is gonna talk about you regardless or not they just up set you maid something out of yourself and they didn’t.,mf is gonna talk about you regardless or not they just up set you maid something out yourself they didn t
17,2022-09-26 08:29:27+00:00,Lots of palindromes today,lots palindromes today
18,2022-09-26 08:29:26+00:00,"#NowPlayingKodak Black, Rod Wave - Before I Go (feat. Rod Wave)
listen live https://t.co/DArLIbUZh6
listen live 
https://t.co/wWLpPfaLYm
#music #RealLifeSpillEntRadio #RealLIfeSpillEnt #culture 
#hottestonlineradio",black rod wave before i go feat rod wave listen live listen live
19,2022-09-26 08:29:26+00:00,@SunWukongAtHome @VegaReal_True @RawsomeRal i don't have a problem with bridget because she's trans i just hate her because she's annoying,i dont have problem with bridget because shes trans i just hate her because shes annoying
20,2022-09-26 08:29:25+00:00,@milenna68582565 @jessica07809522 Maybe,maybe
21,2022-09-26 08:29:24+00:00,"I found someone who you should follow on Pinterest!
https://t.co/zR9vJOBdSd",i found someone who you should follow pinterest
22,2022-09-26 08:29:24+00:00,Sedihnya dong man sacrificed 🥲,sedihnya dong man sacrificed
23,2022-09-26 08:29:21+00:00,@CIA William j. Burns is Putin.,william j burns is putin
24,2022-09-26 08:29:20+00:00,@gurgavin 😂😂😂😂,
25,2022-09-26 08:29:20+00:00,7. track ismini de öğrenmişiz hayatta güzel şeyler de oluyo,7 track ismini de renmi iz hayatta g zel eyler de oluyo
26,2022-09-26 08:29:18+00:00,@hiro046K It was too cute. I had to,it was too cute i had
27,2022-09-26 08:29:18+00:00,Gabriela’s part in El Apagon,gabriela s part el apagon
28,2022-09-26 08:29:18+00:00,"“Don’t Worry Darling” opened No. 1 at the box office, debuting with $19.2 million in ticket sales. https://t.co/fthvZsoV3j",don t worry darling opened no 1 at box office debuting with 19 2 million ticket sales
29,2022-09-26 08:29:18+00:00,Turn it up🎇🥰🌠🌠👑☄☄☄☄⭐⭐⭐⭐,turn it up
30,2022-09-26 08:29:17+00:00,@back_oc @PalmerReport Not too objective. Which a psychiatrist has to be!  @maggieNYT is biased AF!,not too objective which psychiatrist has be is biased af
31,2022-09-26 08:29:17+00:00,“Eggs are on pizza”,eggs are pizza
32,2022-09-26 08:29:17+00:00,"If you would like to understand these 3 data paradigms in depth

Give it a read here 👇
https://t.co/BJ1uIkJfot

🧵 6/6",if you would like understand these 3 data paradigms depth give it read here 6 6
33,2022-09-26 08:29:16+00:00,"@QasrSaif نبي حديقة الصباحية وسينما السيارات  وسينما الأحمدي القديمه ونبي وادي العيون

ضاع عمرنا ما استانسنا 😭😭😭",
34,2022-09-26 08:29:16+00:00,"RT tagging Spacetime if you would like to build a key use-case on Spacetime

We would give you the access to our docs

Looking forward to seeing you on the inside

🧵 5/6",rt tagging spacetime if you would like build key use case spacetime we would give you access our docs looking forward seeing you inside 5 6
35,2022-09-26 08:29:16+00:00,"There is quite a lot we need to build on top of Spacetime to unlock these new paradigms 

We’re excited to partner with some of the best projects and communities in web3 to make it happen

🧵 4/6",there is quite lot we need build top spacetime unlock these new paradigms we re excited partner with some best projects communities web3 make it happen 4 6
36,2022-09-26 08:29:16+00:00,@playgirlbunzy Bring that sexy ass to Jamaica bby,bring that sexy ass jamaica bby
37,2022-09-26 08:29:15+00:00,kai - kanse being played on https://t.co/suc0etqBrx...CAN YOU FEEL IT,kai kanse being played you feel it
38,2022-09-26 08:29:15+00:00,@kiarawilliss @jessica07809522 Yea,yea
