,id,date,rawContent,cleaned_content
0,1,2022-01-01 23:59:36+00:00,"@AndrewHolnessJM blessed New Year Mr. PM, have Dr. Horace Chang told you that since June when a ZOSO was placed in Norwood St. James no murder was committed there? That goes to show that ZOSOs have a greater impact on curbing crime than SOEs. Central Kingston need a ZOSO NOW",blessed new year mr pm have dr horace chang told you that since june when a zoso was placed in norwood st james no murder was committed there that goes to show that zosos have a greater impact on curbing crime than soes central kingston need a zoso now
1,2,2022-01-01 23:58:44+00:00,@ashamelessgurl Cya pull up fi some?,cya pull up fi some
2,3,2022-01-01 23:56:48+00:00,@Dark_Emperorr A who fi cook it?,a who fi cook it
3,4,2022-01-01 23:53:04+00:00,Very reassuring and genuine. A rallying cry for a better Jamaica for all Jamaicans. https://t.co/Q7Wyd3WOYO,very reassuring and genuine a rallying cry for a better jamaica for all jamaicans
4,5,2022-01-01 23:52:58+00:00,@roli4eva Indeed .... Luca didn't have a villian either but Encanto was a better watch,indeed luca didnt have a villian either but encanto was a better watch
5,6,2022-01-01 23:51:04+00:00,Excellent #PNPSTRONG with @MarkJGolding . https://t.co/wtGBCXfdWY,excellent with
6,7,2022-01-01 23:50:41+00:00,Just remembered today is not Sunday. Was looking forward to my Sunday lineup on @CBS .,just remembered today is not sunday was looking forward to my sunday lineup on
7,8,2022-01-01 23:49:43+00:00,@roli4eva Yes ... but Encanto will mek yuh bawl if yuh careful,yes but encanto will mek yuh bawl if yuh careful
8,9,2022-01-01 23:48:41+00:00,Think I have a new pair of skinniest jeans https://t.co/zBiPCf2o16,think i have a new pair of skinniest jeans
9,10,2022-01-01 23:48:11+00:00,@issatsunamii I know it end sad. Based off history mi knooooow. Me start sad areddi,i know it end sad based off history mi knooooow me start sad areddi
10,11,2022-01-01 23:47:58+00:00,Book now ⛱️🏝️ https://t.co/BmNHqd3dPg,book now
11,12,2022-01-01 23:47:08+00:00,"@roli4eva I think for me, I looked past whatever flaws the story might have had and focused on the action and animation",i think for me i looked past whatever flaws the story might have had and focused on the action and animation
12,13,2022-01-01 23:45:43+00:00,@KentShem 😏,
13,14,2022-01-01 23:45:24+00:00,@LakeShow1900 Yes I had chaser.,yes i had chaser
14,15,2022-01-01 23:45:19+00:00,Getting your NHT refunds...must be nice https://t.co/INfFvef7PY,getting your nht refunds must be nice
15,16,2022-01-01 23:45:13+00:00,@AstuteFellow Yea man I had chaser.,yea man i had chaser
16,17,2022-01-01 23:45:13+00:00,no mannnn this festive badddd https://t.co/Z4RPlN6fKf,no mannnn this festive badddd
17,18,2022-01-01 23:44:44+00:00,New Years sex &gt;&gt;&gt;&gt;&gt;&gt;&gt; ❤️🥰,new years sex gtgtgtgtgtgtgt
18,19,2022-01-01 23:43:59+00:00,@Dreamz31 Lol I don’t cook I just eat lol,lol i dont cook i just eat lol
19,20,2022-01-01 23:43:59+00:00,It's the first day of the year I don't have time for stupid!! 🙄 https://t.co/1OGzQq2Btz,its the first day of the year i dont have time for stupid
20,21,2022-01-01 23:43:27+00:00,@WanlissA721 Cheers 🍻,cheers
21,22,2022-01-01 23:43:14+00:00,@jayjaybrown97 Hahaha 🤣,hahaha
22,23,2022-01-01 23:43:03+00:00,@swankycamille 🥺,
23,24,2022-01-01 23:42:14+00:00,@tissanscocoskin Very.,very
24,25,2022-01-01 23:41:56+00:00,@northstardoll Screams 🤣 😂,screams
25,26,2022-01-01 23:41:44+00:00,@roli4eva I totally understand why you would say that ...,i totally understand why you would say that
26,27,2022-01-01 23:41:36+00:00,@RohanFr33386555 You’re right.,youre right
27,28,2022-01-01 23:41:31+00:00,Listening to the two political leaders New Year's messages show the gulf between @MarkJGolding and @AndrewHolnessJM . Mr. Golding was reassuring and genuine while Mr. Holness was combative and fake his words sounds empty. Jamaica need Mark Golding as Prime Minister.,listening to the two political leaders new years messages show the gulf between and mr golding was reassuring and genuine while mr holness was combative and fake his words sounds empty jamaica need mark golding as prime minister
28,29,2022-01-01 23:41:17+00:00,@DaltonSMyers Ooh both look interesting. Will check them out.,ooh both look interesting will check them out
29,30,2022-01-01 23:41:02+00:00,@AliSwaby My liver doesn’t lol,my liver doesnt lol
30,31,2022-01-01 23:40:54+00:00,@MarcusSniper2 @DamienWKing The road is difficult and it’s not for the faint of heart but it had its place when over 5000 people had no other way out. 🤷🏾‍♀️,the road is difficult and its not for the faint of heart but it had its place when over 5000 people had no other way out
31,32,2022-01-01 23:40:49+00:00,"@shawnwenzel Thank you Shawn, Same to you and yours ✨💫🙏",thank you shawn same to you and yours
32,33,2022-01-01 23:39:42+00:00,These polls are killing me 😂 well done 👏🏽#TwitterSpaceAwards2021,these polls are killing me well done
33,34,2022-01-01 23:38:57+00:00,Stepping into 2022 as a baddie 🥂 Thank God for life I made it into another blessed year 🎊💅🏼 #positiveenergy #happynewyear2022 #cheerstomorelife @ Cellar 8 https://t.co/zu2U3qdHRp,stepping into 2022 as a baddie thank god for life i made it into another blessed year cellar 8
34,35,2022-01-01 23:38:35+00:00,Make it a good one ! #StayPositive #HappyNewYear #shanipani https://t.co/kElhO9qSxn,make it a good one
35,36,2022-01-01 23:37:28+00:00,"Finish what you started !!!
#HAPPYNEWYEAR2022",finish what you started
36,37,2022-01-01 23:35:56+00:00,Yes Jah. Happy New Year #gungopeassoup https://t.co/wiqFRxFRAC,yes jah happy new year
37,38,2022-01-01 23:35:07+00:00,"be proud of yourself for all that you’ve accomplished, large or small",be proud of yourself for all that youve accomplished large or small
38,39,2022-01-01 23:35:05+00:00,"Best year and more !!! 🥳
#shanipani #HappyNewYear",best year and more
39,40,2022-01-01 23:34:10+00:00,"Newness !!!
#Happy2022 #HappyNewYear",newness
40,41,2022-01-01 23:33:31+00:00,"This will be my best year !!
#NewYear2022 #HappyNewYear",this will be my best year
41,42,2022-01-01 23:33:00+00:00,@kevinkewan @j_talibah It sure asf does esp that color magic 🪄,it sure asf does esp that color magic
42,43,2022-01-01 23:32:27+00:00,@jadorexo_ Lol Tasso we reach this year ?,lol tasso we reach this year
43,44,2022-01-01 23:32:26+00:00,"HAPPY NEW YEAR 🥂🎊
#HappyNewYear #2022NewYear",happy new year
44,45,2022-01-01 23:32:18+00:00,"It’s a regular thing right there enuh..
I’ve gotten used to hearing the braking up and then collision. https://t.co/8ObCWyFm8G",its a regular thing right there enuh ive gotten used to hearing the braking up and then collision
45,46,2022-01-01 23:31:35+00:00,"An entity that is responsible for education continues to make these mistakes. Shame but then again we shouldn't be surprised because a former leader of the JLP once said ""we want no scholarship, give us the sugar ships."" https://t.co/9IxPNls5Nk",an entity that is responsible for education continues to make these mistakes shame but then again we shouldnt be surprised because a former leader of the jlp once said we want no scholarship give us the sugar ships
46,47,2022-01-01 23:31:34+00:00,@_deedragun Waiting 😁😁,waiting
47,48,2022-01-01 23:31:04+00:00,Letting go this belly 2022 😩😩😩,letting go this belly 2022
48,49,2022-01-01 23:30:53+00:00,Lol https://t.co/To3eYaitvj,lol
49,50,2022-01-01 23:28:39+00:00,"@_deedragun Been ages, I’m old now 🥲",been ages im old now
