,date,content,cleaned_content
0,2022-05-20 09:27:32+00:00,fresh lumpiaaaaa 🥺,fresh lumpiaaaaa
1,2022-05-20 09:27:30+00:00,@MacLopez769 They are just fooling themselves...,they are just fooling themselves
2,2022-05-20 09:27:29+00:00,✈️ https://t.co/Wo0STzebeK,
3,2022-05-20 09:27:29+00:00,@ismolbill 🤤🤤🤤🤤,
4,2022-05-20 09:27:29+00:00,https://t.co/6J6ChvdX84,
5,2022-05-20 09:27:27+00:00,"'빌보드 2주 연속 1위' 방탄소년단 지민 'With You', 빌보드 핫트렌딩 송즈 차트 1위 (출처 : 텐아시아 | 네이버 TV연예) https://t.co/xhoXjAHXrG",2 1 with you 1 tv
6,2022-05-20 09:27:27+00:00,"@knmyconstant Jackie and kiko

2G2BTEp6 onNETFLIX
#2Good2Miss

Kathryn Bernardo | Daniel Padilla",jackie kiko 2g2btep6 onnetflix kathryn bernardo daniel padilla
7,2022-05-20 09:27:27+00:00,"@Pilotte_daniel @OdileMartin4 @sky1948 @PatrickPino @OkO_OkO_com @jeancayeux @DanielVanGeel @LaurentTS56 @Guillaume_Calao @lfranck92 @Zeppajacky @mirato9 @DanyCaulleau @charlesnoelle2 Bonjour Daniel, c'est sous la pluie que je te souhaite une bonne journée",bonjour daniel cest sous la pluie que je te souhaite une bonne journ e
8,2022-05-20 09:27:26+00:00,😔😟 #HakuHappyTherapyAfter https://t.co/cqZDchwROB,
9,2022-05-20 09:27:26+00:00,@omg_its_mikey Gusto ko lang maging spectator! Hahaha!,gusto ko lang maging spectator hahaha
10,2022-05-20 09:27:26+00:00,"lakas mo mang-gago tapos kapag binalik sa'yo 'yung ginagawa mo, sasabihin mo na squammy ako. dati ka bang tanga? tangina ka",lakas mo mang gago tapos kapag binalik sayo yung ginagawa mo sasabihin mo na squammy ako dati ka bang tanga tangina ka
11,2022-05-20 09:27:25+00:00,"Love endures delay 

3DAYSto TagumPIE WITH EIAN",love endures delay 3daysto tagumpie with eian
12,2022-05-20 09:27:25+00:00,christmassy set sold ❌️,christmassy set sold
13,2022-05-20 09:27:25+00:00,@jmmhncl U go gurll!,u go gurll
14,2022-05-20 09:27:24+00:00,Same po https://t.co/EC5WIhMxTc,same po
15,2022-05-20 09:27:22+00:00,@SOURCEMUSIC Garam is a bully. Stop defending bullies.,garam is bully stop defending bullies
16,2022-05-20 09:27:21+00:00,"Thank you God , thank you #teamHD and thank you everyone. 🇵🇭 https://t.co/byT9mXoKSP",thank you god thank you thank you everyone
17,2022-05-20 09:27:21+00:00,@soonyoungHee @hanieecarteu Yours 4 pcs po😊,yours 4 pcs po
18,2022-05-20 09:27:19+00:00,"pls help rt po, thank you so much!

@CaratMarketPh @SVTMerchRTPH @SVTMarketPH @svtmp_ph @17rtph @svt_wtsph @marketeenph @svtmarket_ph @CARATBNSRT",pls help rt po thank you so much
