,date,rawContent,cleaned_content
0,2022-09-26 08:32:54+00:00,@officialzilf https://t.co/b4Dl6QVscE,
1,2022-09-26 08:32:54+00:00,"I'm watching Family Guy 21x01 ""Oscars Guy"" https://t.co/Cdpbe5j8XY #FamilyGuy #trakt",im watching family guy 21x01 oscars guy
2,2022-09-26 08:32:54+00:00,@gtrigar @TommyDoyle47 🙌,
3,2022-09-26 08:32:54+00:00,"@BieglerTom @DavidOsmond8 @sideen_dan @markcojuangco @Nuclearjunkie @nukememesdreams @EnergyJvd @Ember421 @TomasSingliar @james_jobrien @HPsiEqualsEPsi @MeredithAngwin @cat240359 @FissionGoing @nicknet100 @unclepete_100 @montaguethecat @aaron_oakley @roobar99 @ayndy_randy @AustNuclear @diggerdeegs @Numbat73 @yestiseye @greg_barton @GretaThunberg ""non-events""...?
why do you call them non-events?
they were real FCAS Raise events were't they?
due it looks like to Generator trips in the NEM.",non events why do you call them non events they were real fcas raise events weret they due it looks like generator trips nem
4,2022-09-26 08:32:54+00:00,@nergizy32132110 @cz_binance Thats a great idea! #lunccommunity #LUNCBURNING,thats great idea
5,2022-09-26 08:32:53+00:00,@1goonrich @VoltInuOfficial https://t.co/tihjA4WLal,
6,2022-09-26 08:32:52+00:00,@Twitch_ANZ I have my partner in crime as my avi hehehe,i have my partner crime as my avi hehehe
7,2022-09-26 08:32:51+00:00,"@HaraldoXRP “The longer the base, the higher the space”",longer base higher space
8,2022-09-26 08:32:51+00:00,@KanwalSinghJK Paradise on earth 🙏😇,paradise earth
9,2022-09-26 08:32:51+00:00,"@Sophie4Kew Wow, Kew to Balwyn in 15 mins on a Saturday morning! Take great care 💙 Thank you your hard work!",wow kew balwyn 15 mins saturday morning take great care thank you your hard work
10,2022-09-26 08:32:50+00:00,@TheMuellerName @FOXFOOTY You do understand the overall business model?,you do understand overall business model
11,2022-09-26 08:32:50+00:00,@strangerous10 No 🤔 I must have missed it 🤔 do you have it to share?,no i must have missed it do you have it share
12,2022-09-26 08:32:49+00:00,Being           is kinda like…   🫥,being is kinda like
13,2022-09-26 08:32:48+00:00,@19304s Wait if his blue is still showing whats the point of spraying it to hide roots at all then…,wait if his blue is still showing whats point spraying it hide roots at all then
14,2022-09-26 08:32:48+00:00,"🇦🇺🇨🇴⚽️🕹️ 
#FIFA23 https://t.co/kZQL5ZORa9",
