,date,content,cleaned_content
0,2022-05-20 09:08:35+00:00,@Elon_mishra Nice,nice
1,2022-05-20 09:08:35+00:00,"Radhe Radhe kahiye,
Lagde nahi rupaiye! https://t.co/I0DqUPgBq9",radhe radhe kahiye lagde nahi rupaiye
2,2022-05-20 09:08:34+00:00,@myselfAnaaaa Hostel,hostel
3,2022-05-20 09:08:34+00:00,⁦@Uber⁩ ⁦@Uber_Support⁩ ⁦@Olacabs⁩ perfect reply for you guys. https://t.co/gd8vZN8Al8,perfect reply you guys
4,2022-05-20 09:08:32+00:00,"@lazytrader69 @paresh9000 This is the main problem of retailers, and that's why they always lose.",this is main problem retailers thats why they always lose
5,2022-05-20 09:08:32+00:00,"""LIVER CLOT"": A REACTIONARY HEMORRHAGE
https://t.co/UcVChHEbck
#Dentist #Dental #Dentistry #Hygienist #Periodontics",liver clot reactionary hemorrhage
6,2022-05-20 09:08:32+00:00,"@Sanjay_IRTS You know the solution but you’re showing us the problem. Next time show us the results and tell the world how you implemented it. Thank you 🙏 
#justasking #UseYourPower #DoNotCry",you know solution but you re showing us problem next time show us results tell world how you implemented it thank you
7,2022-05-20 09:08:32+00:00,@omdutt_sharma_ @Sunil13610392 @msisodia @meet_hayer Me phle sochta tha leaders normal cloths kyu nhi wear krte. Kurta pajama hi kyu. But #Aap k leaders ko dekh kr acha lgta hai k wo hum me se hi hai.,me phle sochta tha leaders normal cloths kyu nhi wear krte kurta pajama hi kyu but k leaders ko dekh kr acha lgta hai k wo hum me se hi hai
8,2022-05-20 09:08:31+00:00,@psycho_rB @take_ur_pills 50rs cut,50rs cut
9,2022-05-20 09:08:30+00:00,@FURLENCO @FurlencoSupport Yes please,yes please
10,2022-05-20 09:08:30+00:00,"➡लोगों तक योजनाओं का लाभ पहुंचा है- CM

➡अंतिम पायदान पर बैठे व्यक्ति को लाभ मिला- CM",cm cm
11,2022-05-20 09:08:29+00:00,"#Lucknow
➡CM Yogi ने ट्वीट किया

➡PM Modi ने डिजिटल इंडिया पर जोर दिया- CM

➡PM ने तकनीक का प्रयोग करने पर जोर दिया- CM

➡सरकार ने तकनीक का बेहतर प्रयोग किया है- CM

@PMOIndia @myogiadityanath @myogioffice @UPGovt @CMOfficeUP #HindiKhabar https://t.co/KmehWzvLBx",cm yogi pm modi cm pm cm cm
12,2022-05-20 09:08:29+00:00,@PNPathakBJP @JPSRathoreBJP @narendramodi @AmitShah @JPNadda @dpradhanbjp @myogiadityanath @swatantrabjp @kpmaurya1 @sunilbansalbjp जय हो 🚩,
13,2022-05-20 09:08:29+00:00,"Mirza Joyce, James Ghalib, Delhi Dublin https://t.co/Xwr27vYopf",mirza joyce james ghalib delhi dublin
14,2022-05-20 09:08:29+00:00,@Onedepresedsoul 🥰,
15,2022-05-20 09:08:28+00:00,@poojadubey888 सिर्फ काशी ही क्यों विश्व के हर कण-कण में शिवजी है विराजमान,
16,2022-05-20 09:08:27+00:00,@Sanju_0405Go @bhawnak24370326 @yogi_jaihind @Yogeshkherli @ramjilal0102198 @vishwarachit @Shashi76703706 @sudhird530 @Chandan31930743 @mubrak87094,
17,2022-05-20 09:08:26+00:00,@ReallySwara शक्ल और सीरत महाझंड https://t.co/MDMkJcC7Tp,
18,2022-05-20 09:08:26+00:00,@EleenaBiswas @nature_captures But apse jyada nahi,but apse jyada nahi
19,2022-05-20 09:08:25+00:00,@KetikaSharma_ Beautiful 🥰❤️,beautiful
20,2022-05-20 09:08:25+00:00,@mayank_sehgal Govind real id seh aaho,govind real id seh aaho
21,2022-05-20 09:08:25+00:00,लालू यादव के 17 से ज्यादा ठिकानों पर सीबीआई ने की छापेमारी लालू यादव की बेटी मीसा भारती के दिल्ली में स्थित सरकारी आवास पर भी सीबीआई की छापेमारी #CBIRaid #LaluPrasadYadav https://t.co/sB4MCe8XwZ,17
22,2022-05-20 09:08:23+00:00,I thought they were a pariah state https://t.co/Y0dyi0LG5M,i thought they were pariah state
23,2022-05-20 09:08:23+00:00,"कुछ देर रामपुर पहुंचेंगे सपा विधायक आजम खान I India News UPUK 

#AzamKhan #AzamKhanRelease #ITV  #IndiaNewsUPUK https://t.co/XF88U6O1e6",i india news upuk
24,2022-05-20 09:08:22+00:00,@RajeshV39584952 Khud hee banana hai khud hee khana hai toh Lunch dinner ka toh bus aisa hee hai ki koi naa puche toh accha 😛,khud hee banana hai khud hee khana hai toh lunch dinner ka toh bus aisa hee hai ki koi naa puche toh accha
25,2022-05-20 09:08:22+00:00,@eazyqualtwo @breathMessi21,
26,2022-05-20 09:08:20+00:00,"@_interestingguy -Writing your thoughts down
- Following @warikoo ‘s advice on probability of things to happen 
- Take a walk",writing your thoughts down following s advice probability things happen take walk
27,2022-05-20 09:08:20+00:00,"Gm

I got my new T-shirt and yes I am NFT ARTIST &amp; WEB 3 believer..

Wishing you all happy Friday.. https://t.co/vvMPXJEBB3",gm i got my new t shirt yes i am nft artist amp web 3 believer wishing you all happy friday
28,2022-05-20 09:08:19+00:00,"@YoungMovesMedia @ShriguruPawanji १९४७ में यह यहाँ रुके क्यों अपनी पेशाचीवृत्तिक़ायम रखने अबरूखसतहों यहाँसे हमने कोई ज़िम्मा उठारखा हे ?इन्हें सुधारनेका ,अब यहाँसेतोयह पिशाचजड़ मूलसेउखड़ जावें,बड़े धूर्त हें यह देशबाँट भी लिया फिर भी जमे हें,भारतवर्ष पर अबकेवल हमहिंदुओंका अधिकारहे पूजा आस्था क़ानूनसब सनातनी",
29,2022-05-20 09:08:18+00:00,@DipanjanJay Sorry for inconvenience caused. We have forwarded your issue to our concerned Office and will get back to you with an update.,sorry inconvenience caused we have forwarded your issue our concerned office will get back you with update
30,2022-05-20 09:08:17+00:00,"An se yeh game band 😂😂😂😂😂 aapne aap ko hee khilaunga 😂✌️
@Adarsh__Jha_02
@ADARSH_JHA_1 https://t.co/75uGB3U5w1",se yeh game band aapne aap ko hee khilaunga
31,2022-05-20 09:08:17+00:00,https://t.co/KQvYJDSaLY,
32,2022-05-20 09:08:16+00:00,@naija0329 Left more look like hobi 😭 and right one in a second Taehyung! But like together it does give vmin vibes as well,left more look like hobi right one second taehyung but like together it does give vmin vibes as well
33,2022-05-20 09:08:16+00:00,@l0vesickgirlsss @kchartsmaster @limyoungwoong Lol all bcoz of Payola 😭😭 of course she would rank for long after giving Spotify free at US people for 4 fricking months 😭😭,lol all bcoz payola course she would rank long after giving spotify free at us people 4 fricking months
34,2022-05-20 09:08:16+00:00,@ARanganathan72 @SubramanianKri Lol 😅,lol
35,2022-05-20 09:08:16+00:00,"Let's Take a Poll!

How much money was paid for this endorsement?

Using $ (For universal applicability)

https://t.co/6mSrYGpuSL",lets take poll how much money was paid this endorsement using universal applicability
36,2022-05-20 09:08:15+00:00,@ogu_yuna Very Cute 🌹,very cute
37,2022-05-20 09:08:15+00:00,Oracle Apex: Using Server-Side Conditions https://t.co/7gJOYkXt9K #apex,oracle apex using server side conditions
38,2022-05-20 09:08:15+00:00,@_Morningstar27 Yes😓,yes
39,2022-05-20 09:08:14+00:00,"Nifty future high 16234.50
123456 🙈",nifty future high 16234 50 123456
40,2022-05-20 09:08:13+00:00,@NRRPF @a_upendra28 श्रीमान जी आप अपने गंतव्य स्टेशन पर या ONLINE रिपोर्ट दर्ज करवा सकते है ।,online
41,2022-05-20 09:08:13+00:00,"LIC gives benefits only after death 🤣
#Lic #ipo",lic gives benefits only after death
42,2022-05-20 09:08:13+00:00,"@MohmmadIsrar786 Haye mare gareeb dost ek kaam
Mar jao tum.. jhoot ki b Hadd h hoti h",haye mare gareeb dost ek kaam mar jao tum jhoot ki b hadd h hoti h
43,2022-05-20 09:08:12+00:00,दो चार हमें दिलवाना प्रोफेसर भाई.....उम्र तो अधिक हो गई है मगर राष्ट्रहित में कुछ योगदान तो अब भी कर सकते हैं.  @nareshsharma107 @NareshJani9 @sudarshantiwa13 https://t.co/DcdpCbkKIk,
44,2022-05-20 09:08:12+00:00,@dineshkvohra1 @AjayKus45043045 गुजरात का पूरा बाजार चीन से चलता है ।,
45,2022-05-20 09:08:12+00:00,"@whereischandan Balcony se neeche mootna, gila towel bed pr he chhodna or padhai toh abhi bhi nhi krna🙁",balcony se neeche mootna gila towel bed pr he chhodna or padhai toh abhi bhi nhi krna
46,2022-05-20 09:08:11+00:00,"यह करीब से कैसा दिखता है।

 ज्ञानवापी मंदिर के खंडहर, विशेष रूप से हमें डरावनी और अपमान की याद दिलाने के लिए रखे गए हैं।
#Gyanvapi #GyanvapiMandir
हर हर महादेव शिव शंभु 💞🙏🚩 https://t.co/AP78LafJzm",
47,2022-05-20 09:08:11+00:00,@sarcholic Itni jyada illogical lgi ki continue ho hi nhi ska😭,itni jyada illogical lgi ki continue ho hi nhi ska
48,2022-05-20 09:08:11+00:00,"Saying so as everyone knows about the truth of the #Gyanvapi &amp; as for any more excavations for proofs if required can be done under the court monitored survey team

Already a petition filed for more collection of evidences from the site had been put

Hope for early resolution",saying so as everyone knows about truth amp as any more excavations proofs if required can be done under court monitored survey team already petition filed more collection evidences site had been put hope early resolution
49,2022-05-20 09:08:10+00:00,"😃 अब बीजेपी को उखाड़ फेंकना हुआ आसान।
फार्मुला मिल गया। https://t.co/CxA32Hvy9D",
50,2022-05-20 09:08:10+00:00,@alpha_defense I think they don't like new experiments..no new design... sarkari akir sarkari hi h...may be a pvt company can do it,i think they dont like new experiments no new design sarkari akir sarkari hi h may be pvt company can do it
51,2022-05-20 09:08:10+00:00,"Link to Report:
https://t.co/7cMLjvFcZp",link report
52,2022-05-20 09:08:09+00:00,"@SatishKapur4 If u had already voted for them then the question becomes irrevant. 
If not then u r like me.",if u had already voted them then question becomes irrevant if not then u r like me
53,2022-05-20 09:08:09+00:00,Instance from report by @a16z on Future of Crypto. https://t.co/4qjdtIPisE,instance report by future crypto
54,2022-05-20 09:08:09+00:00,@aswathiguna Plus keep booking profit without getting greedy,plus keep booking profit without getting greedy
55,2022-05-20 09:08:09+00:00,"With love from #HUAWEI 
HUAWEI WATCH GT 3 Pro, HUAWEI Mate Xs 2, HUAWEI P50, HUAWEI WATCH D, HUAWEI Band 7 and HUAWEI WATCH FIT 2 which aims to further simplify the daily lives of consumers @HuaweiIndia @Huawei https://t.co/evH4hCc2Mr",with love huawei watch gt 3 pro huawei mate xs 2 huawei p50 huawei watch d huawei band 7 huawei watch fit 2 which aims further simplify daily lives consumers
56,2022-05-20 09:08:08+00:00,"@yesrachna Similar thoughts

Can i sit on the left seat while u drive
N hold your hand on the gear??
💞💞",similar thoughts can i sit left seat while u drive n hold your hand gear
57,2022-05-20 09:08:08+00:00,"Johnny Depp's lawyer called Amber Heard ""Amber turd"" lol",johnny depps lawyer called amber heard amber turd lol
58,2022-05-20 09:08:08+00:00,"@nikhat_zareen @IBA_Boxing @BFI_official @Media_SAI Superb ... 
💪💪🇮🇳",superb
59,2022-05-20 09:08:07+00:00,@Kabir_s2003 @Hip_hop_india12 Gaush bura fas gaya hai chumtiyon ki fauj main,gaush bura fas gaya hai chumtiyon ki fauj main
