,date,rawContent,cleaned_content
0,2022-10-04 12:46:15+00:00,"@ManotoNews خواهراش میگه که میخوان مث مادرش باشن
#مهسا_امینی 
#اعتصابات_سراسری 
#OpIran",
1,2022-10-04 12:46:14+00:00,🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡 https://t.co/U8HadmmAO8,
2,2022-10-04 12:46:14+00:00,Simply Be Well -Six Plant Based Body Soaps - Boxed Set NEW https://t.co/AmoTUCY5vY #eBay via @eBay,simply be well six plant based body soaps boxed set new via
3,2022-10-04 12:46:14+00:00,"$IDEX - Ideanomics, Solectrac secured new business contracts to supply electric tractors to major fleet operators https://t.co/3sOiHMyi9S",idex ideanomics solectrac secured new business contracts to supply electric tractors to major fleet operators
4,2022-10-04 12:46:14+00:00,@DrewOnline @reggaeology What petcentage of motorbikes on the road are legally licensed?,what petcentage of motorbikes on the road are legally licensed
5,2022-10-04 12:46:14+00:00,"@kanyewest 
@theyeezymafia 
&amp;crew_ with “the stunt”

Acomplex_statement i must say
u wanna try2️⃣“ expose hypocrisy”

tha garment is not inherently wrong.
white lives DO matter_
but society has est. that already_

      the blatant slight 2 
 black culture.&amp;experience_
wasn’t cool",ampcrew with the stunt acomplexstatement i must say u wanna try2 expose hypocrisy tha garment is not inherently wrong white lives do matter but society has est that already the blatant slight 2 black cultureampexperience wasnt cool
6,2022-10-04 12:46:14+00:00,@thedustywheel @NY_Comic_Con @TheWheelOfTime See you there! 😁,see you there
7,2022-10-04 12:46:14+00:00,@jimmydoan007 Good morning all.  Re-Tweet Space for JD,good morning all retweet space for jd
8,2022-10-04 12:46:14+00:00,@stonkmetal @Matt_Cochrane7 I don’t think Amazon intentionally “reduced 1P”,i dont think amazon intentionally reduced 1p
9,2022-10-04 12:46:13+00:00,https://t.co/JkP1WjHsbh https://t.co/QhWo5FhBT9,
10,2022-10-04 12:46:13+00:00,@Gofys3 Good morning. We'll share this report with bus supervision to handle. Thank you. ^JP,good morning well share this report with bus supervision to handle thank you jp
11,2022-10-04 12:46:13+00:00,"@tcddoyle @LahavHarkov He's also a longtime Putinist stooge, of course, and is suddenly finding out that is no longer OK.",hes also a longtime putinist stooge of course and is suddenly finding out that is no longer ok
12,2022-10-04 12:46:13+00:00,@Ken_TV5 @BigJayW98 @H3atlez @SethPartnow I agree better situation by far. Smart coach good ecosystem at all levels,i agree better situation by far smart coach good ecosystem at all levels
13,2022-10-04 12:46:13+00:00,@snkr_twitr @Ovrnundr @MrUnloved1s This the only day ppl won’t complain about endless sneaker links,this the only day ppl wont complain about endless sneaker links
14,2022-10-04 12:46:13+00:00,@deppppppppppe dapet penghargaan tim paling fairplay ni akwowkwok,dapet penghargaan tim paling fairplay ni akwowkwok
15,2022-10-04 12:46:13+00:00,You are saving me still.,you are saving me still
