,date,rawContent,cleaned_content
0,2022-09-26 09:53:59+00:00,"You're the best ninety one

CARDAGULAN SA PIE WithEIAN

#EianRances | #SelaGuia 
#SuperSEian",youre best ninety one cardagulan sa pie witheian
1,2022-09-26 09:53:58+00:00,@raissawriter Ayaw din naman nin kay marcos dati kasi lason na lason kami ng kulto ng dilaw,ayaw din naman nin kay marcos dati kasi lason na lason kami ng kulto ng dilaw
2,2022-09-26 09:53:56+00:00,Pumpkin spice latte &amp; carrot cake bcs I got period pain 🥲 https://t.co/wSmgyBFrs5,pumpkin spice latte amp carrot cake bcs i got period pain
3,2022-09-26 09:53:55+00:00,@moaco_kagekidan やった,
4,2022-09-26 09:53:54+00:00,"Commercial shooting? No we’re happily flirting🫠🫠🫠

#ZeeNuNew
#ฃนฃน 

https://t.co/nE468Tx9TZ",commercial shooting no we re happily flirting
5,2022-09-26 09:53:51+00:00,Fear that she was also loosing the only brother she had ever known.,fear that she was also loosing only brother she had ever known
6,2022-09-26 09:53:51+00:00,"@8liensOptimism Biggest giveaway ever. We are off to the moon
@c0smicimmigrant @ARauenschwender 
@_TrueVoodoo",biggest giveaway ever we are off moon
7,2022-09-26 09:53:51+00:00,"Hi folks check out my latest video lesson on 2021 A Level H2 Chem Paper 1 Question 26 - how to increase cell potential! #chemistry #alevelchemistry #electrochemistry 
https://t.co/qvZ4ZpDgJS",hi folks check out my latest video lesson 2021 level h2 chem paper 1 question 26 how increase cell potential
8,2022-09-26 09:53:50+00:00,"You're the best ninety

CARDAGULAN SA PIE WithEIAN

#EianRances | #SelaGuia 
#SuperSEian",youre best ninety cardagulan sa pie witheian
9,2022-09-26 09:53:50+00:00,"@haramkahDaily @owlestt @lalisha181 @nrhnsharol @hafizfiz18 Begitulah budak2 hasil dari mee megi segera. Cepat sgt merentan. Dapat satu tweet apa salahnya tarik nafas, fikir logik dan baca dari kedua2 belah pihak. Ni tak, nak juga terpaling emo, terplg cepat tweet,  terpaling newsss...",begitulah budak2 hasil dari mee megi segera cepat sgt merentan dapat satu tweet apa salahnya tarik nafas fikir logik dan baca dari kedua2 belah pihak ni tak nak juga terpaling emo terplg cepat tweet terpaling newsss
10,2022-09-26 09:53:49+00:00,i think the most hilarious thing about the bubble tea shop near my school closing down are all the economics students talking about shut down conditions,i think most hilarious thing about bubble tea shop near my school closing down are all economics students talking about shut down conditions
11,2022-09-26 09:53:49+00:00,@Damazonia_ So fucking hot 🥵🤤,so fucking hot
12,2022-09-26 09:53:48+00:00,I’ve been waiting for this for 3 long years!!!,i ve been waiting this 3 long years
13,2022-09-26 09:53:47+00:00,@vnnmn_ 8 dah msuk museumm,8 dah msuk museumm
14,2022-09-26 09:53:44+00:00,"You're the best eighty nine

CARDAGULAN SA PIE WithEIAN

#EianRances | #SelaGuia 
#SuperSEian",youre best eighty nine cardagulan sa pie witheian
15,2022-09-26 09:53:43+00:00,"@WayneSiwela There's nothing I love more than people who understand the assignment. 

It's the forward thinking for me.... Please 🫶 https://t.co/3OYP3eZzG0",theres nothing i love more than people who understand assignment its forward thinking me please
16,2022-09-26 09:53:43+00:00,yeaay,yeaay
17,2022-09-26 09:53:39+00:00,@PatrikiahDStar meh saya urutkan.. saya reti gak sikit2~,meh saya urutkan saya reti gak sikit2
18,2022-09-26 09:53:38+00:00,@thivviyan Not listed so far,not listed so far
19,2022-09-26 09:53:38+00:00,@rosa_singlobal 味付けは普通でしたね。とは言え食材は結構良いものを使ってるのは分かりました。,
20,2022-09-26 09:53:37+00:00,"You're the best eighty eight

CARDAGULAN SA PIE WithEIAN

#EianRances | #SelaGuia 
#SuperSEian",youre best eighty eight cardagulan sa pie witheian
21,2022-09-26 09:53:36+00:00,@Latentem Sounds like a college party,sounds like college party
22,2022-09-26 09:53:36+00:00,Mati! Mati!,mati mati
23,2022-09-26 09:53:35+00:00,@x_Lyka Howwwww...,howwwww
24,2022-09-26 09:53:34+00:00,@srihariravi12 😍,
25,2022-09-26 09:53:32+00:00,Ayo the new HOTD episode fkin slaps,ayo new hotd episode fkin slaps
26,2022-09-26 09:53:32+00:00,Inspiring betull!!😍❤️,inspiring betull
27,2022-09-26 09:53:31+00:00,@ImranRiazKhan https://t.co/0w17VtJ6IS,
28,2022-09-26 09:53:31+00:00,😭😭😭,
29,2022-09-26 09:53:29+00:00,"You're the best eighty seven

CARDAGULAN SA PIE WithEIAN

#EianRances | #SelaGuia 
#SuperSEian",youre best eighty seven cardagulan sa pie witheian
30,2022-09-26 09:53:29+00:00,@EditedByHaz Ayoooo thanks bro,ayoooo thanks bro
31,2022-09-26 09:53:28+00:00,Shinzo Abe funeral: world figures fly in to political storm over state service for Japan former PM https://t.co/CF0proeB5r,shinzo abe funeral world figures fly political storm over state service japan former pm
