word,frequency
,153
i,139
is,107
you,97
it,81
this,67
that,60
are,49
best,43
at,41
with,40
youre,39
my,39
but,39
sa,38
pie,37
cardagulan,35
witheian,35
no,34
can,34
so,33
its,33
just,33
all,32
not,32
like,32
be,31
me,30
s,30
if,29
ni,27
will,27
we,26
t,26
tak,25
your,25
im,25
dia,25
how,24
what,24
out,23
nak,23
do,23
yang,23
have,22
one,20
up,20
as,20
by,20
our,20
done,20
when,19
good,18
yg,18
aku,18
why,17
day,17
was,16
about,16
love,16
more,16
thanks,16
would,16
he,16
amp,15
1,15
dan,15
time,15
has,15
kita,15
ever,14
apa,14
there,14
them,14
see,14
5,14
now,14
got,13
she,13
also,13
dah,13
today,13
ada,13
go,13
lol,13
tu,13
di,13
la,13
only,12
please,12
back,12
am,12
dengan,12
their,12
need,12
too,12
or,12
u,12
better,12
yes,12
dari,11
3,11
people,11
who,11
pm,11
even,11
man,11
they,11
dont,11
allah,11
long,10
new,10
going,10
us,10
work,10
fifty,10
where,10
singapore,10
week,10
always,10
china,10
2,10
orang,10
off,9
tweet,9
most,9
eighty,9
over,9
same,9
while,9
such,9
here,9
because,9
buat,9
first,9
into,9
sama,9
ya,9
her,9
forty,9
think,8
been,8
than,8
right,8
still,8
his,8
aamiin,8
lah,8
looking,8
look,8
n,8
je,8
happy,8
ini,8
ke,8
take,8
were,8
though,8
na,7
had,7
video,7
down,7
ve,7
gov,7
wow,7
free,7
w,7
life,7
nice,7
jadi,7
tapi,7
aira,7
baru,7
year,7
lain,7
mau,7
ok,7
haha,7
0,7
gm,7
get,7
read,7
wife,7
keep,7
m,7
really,7
buy,7
photo,7
kalau,7
giveaway,6
latest,6
26,6
dapat,6
juga,6
far,6
against,6
beautiful,6
make,6
aja,6
music,6
bukan,6
hati,6
much,6
10,6
next,6
days,6
bop,6
very,6
oh,6
listen,6
live,6
part,6
ga,6
twitter,6
2022,6
birthday,6
know,6
hey,6
4,6
full,6
top,6
macam,6
play,6
many,6
lagi,6
point,6
7,6
biggest,5
moon,5
hi,5
check,5
forward,5
gak,5
sounds,5
world,5
excited,5
used,5
actually,5
crypto,5
use,5
other,5
date,5
don,5
power,5
thank,5
stop,5
end,5
few,5
give,5
rate,5
itu,5
atau,5
something,5
manis,5
sbb,5
kan,5
pun,5
hope,5
jam,5
mean,5
want,5
si,5
getting,5
leave,5
guys,5
untuk,5
news,5
send,5
taken,5
09,5
cant,5
follow,5
banyak,5
sendiri,5
ka,5
boleh,5
last,5
might,5
come,5
salah,5
place,5
ho,5
stress,5
kau,5
mak,5
anak,5
