word,frequency
,153
i,139
is,107
you,97
it,81
this,67
that,60
are,49
best,43
at,41
with,40
youre,39
my,39
but,39
sa,38
pie,37
cardagulan,35
witheian,35
no,34
can,34
so,33
its,33
just,33
all,32
not,32
like,32
be,31
me,30
s,30
if,29
ni,27
will,27
we,26
t,26
tak,25
your,25
im,25
dia,25
how,24
what,24
out,23
nak,23
do,23
yang,23
have,22
one,20
up,20
as,20
by,20
our,20
done,20
when,19
good,18
yg,18
aku,18
why,17
day,17
was,16
about,16
love,16
more,16
thanks,16
would,16
he,16
amp,15
1,15
dan,15
time,15
has,15
kita,15
ever,14
apa,14
there,14
them,14
see,14
5,14
now,14
got,13
she,13
also,13
dah,13
today,13
ada,13
go,13
lol,13
tu,13
di,13
la,13
only,12
please,12
back,12
am,12
dengan,12
their,12
need,12
too,12
or,12
u,12
better,12
yes,12
