word,frequency
,153
youre,39
cardagulan,35
witheian,35
tak,25
im,25
dia,25
yg,18
amp,15
kita,15
ada,13
lol,13
dengan,12
pm,11
allah,11
singapore,10
buat,9
sama,9
aamiin,8
lah,8
je,8
ini,8
ke,8
ve,7
gov,7
jadi,7
tapi,7
aira,7
ok,7
haha,7
gm,7
kalau,7
dapat,6
juga,6
aja,6
bukan,6
hati,6
macam,6
lagi,6
gak,5
crypto,5
itu,5
atau,5
manis,5
sbb,5
untuk,5
banyak,5
sendiri,5
boleh,5
salah,5
kau,5
mak,5
anak,5
kenapa,5
cepat,4
issued,4
shit,4
baik,4
johor,4
oct,4
selama,4
semoga,4
punya,4
lebih,4
hanya,4
hahahaha,4
malam,4
nya,4
ppl,4
hidup,4
doesn,4
ikut,4
sumok3n,4
ibu,4
okay,4
pernah,4
gangguan,4
ramai,4
disco,4
app,4
tonton,4
bisa,4
masalah,4
hahaha,4
naman,3
kasi,3
kami,3
ng,3
sgt,3
baca,3
fucking,3
bro,3
playing,3
makin,3
besar,3
eth,3
congrats,3
bagus,3
mesti,3
masuk,3
ive,3
ku,3
begini,3
bila,3
pero,3
hahahah,3
sekali,3
pls,3
kt,3
hayyat,3
kahwin,3
tunggu,3
belum,3
buka,3
langsung,3
kadang,3
kuasa,3
pakai,3
fave,3
dulu,3
cuba,3
sini,3
jual,3
memang,3
ayuhhhh,3
tahu,3
puteri,3
hai,3
karena,3
cerita,3
semua,3
ll,3
idk,3
hantar,3
jenis,3
btw,3
siapa,3
ayuhhh,3
kid,3
jangan,3
tengah,3
jalan,3
less,3
meroyan,3
rumah,3
nahi,3
mungkin,3
disney,3
malaysia,3
keluarga,3
achieved,3
penat,3
lunc,3
tuhan,3
abang,3
jpegs,3
utk,3
sebab,3
bersama,3
gonna,3
nanti,3
sumpah,3
engkaulah,3
bgt,3
kawan,3
hari,3
zafran,3
cari,3
khairil,3
ishari,3
mysewan,3
diri,3
yass,3
kepada,3
lason,2
fikir,2
terpaling,2
closing,2
mati,2
hotd,2
reached,2
tweeted,2
meow,2
nunez,2
didney,2
sus,2
sg,2
sharing,2
african,2
suami,2
kasih,2
jugak,2
awak,2
pusat,2
centre,2
mini,2
kena,2
gof,2
hmm,2
semangat,2
largest,2
kek,2
dec,2
syaf,2
selalu,2
deh,2
neh,2
beke,2
le,2
sih,2
38th,2
september,2
freaking,2
terbaik,2
bagian,2
begitu,2
rasanya,2
nih,2
hp,2
minseok,2
banget,2
kritikan,2
fr,2
tik,2
sana,2
tv,2
burj,2
btc,2
kinda,2
35deg,2
jgn,2
slck,2
biasa,2
tiktok,2
toh,2
kes,2
harus,2
dipaksa,2
shes,2
kak,2
max,2
hais,2
seemed,2
asking,2
jumpa,2
mcm,2
kot,2
jom,2
percuma,2
haan,2
trending,2
needed,2
dadah,2
sampai,2
created,2
yu,2
lg,2
sibuk,2
kmrn,2
mulu,2
saludo,2
dalam,2
datang,2
wanna,2
pahit,2
cakap,2
sustainability,2
