,date,rawContent,cleaned_content
0,2022-09-26 11:45:01+00:00,@CelineeeeTeo 🥹🥹🥹 ty,ty
1,2022-09-26 11:44:59+00:00,@clu_bmp Lmao,lmao
2,2022-09-26 11:44:58+00:00,@i_am_anny1 gm,gm
3,2022-09-26 11:44:58+00:00,@reanzulk ahhhhh welcome,ahhhhh welcome
4,2022-09-26 11:44:56+00:00,@RemiPromotes Done,done
5,2022-09-26 11:44:56+00:00,https://t.co/f2z4LmxTLD,
6,2022-09-26 11:44:55+00:00,@Ibrahimsmummy @OscarJ43943261 Wait till 2 days before,wait till 2 days before
7,2022-09-26 11:44:54+00:00,"seventeen pledis harus tau, biar tahun depan ga pake mecima lagi, apa kita perlu bikin petisi Raffi Nagita jdi promotor konser kpop🥲",seventeen pledis harus tau biar tahun depan ga pake mecima lagi apa kita perlu bikin petisi raffi nagita jdi promotor konser kpop
8,2022-09-26 11:44:53+00:00,". . . the main case argument as stated by the prosecutors in Najib's criminal case.

And Najib also did try to solve the problem to get back all of 1MDB's money via the 2017 settlement agreement between 1MDB and IPIC which gave a 30 December 2020 deadline . . . .",main case argument as stated by prosecutors najibs criminal case najib also did try solve problem get back all 1mdbs money via 2017 settlement agreement between 1mdb ipic which gave 30 december 2020 deadline
9,2022-09-26 11:44:53+00:00,you can really see he lost weight here ☹️ https://t.co/2nYJ0hlND8,you can really see he lost weight here
10,2022-09-26 11:44:52+00:00,AAAAA 🤧💖,aaaaa
11,2022-09-26 11:44:51+00:00,2 buildings zoned commercial in Tanjong Pagar to be launched for collective sale https://t.co/V6VPCgkfSe,2 buildings zoned commercial tanjong pagar be launched collective sale
12,2022-09-26 11:44:50+00:00,@sussyteh BOOM BOOM BOOM https://t.co/fZfjA3UEap,boom boom boom
13,2022-09-26 11:44:49+00:00,Come find the Toys in Singapore for @token2049 and @AmberLoungeLtd https://t.co/NxVTH0z0Sl,come find toys singapore
14,2022-09-26 11:44:49+00:00,@TheStupendium Blender is also not natural.,blender is also not natural
15,2022-09-26 11:44:49+00:00,"@Bokureii Bui! This is really pretty Boku!
The perspective and environment is amazing!",bui this is really pretty boku perspective environment is amazing
16,2022-09-26 11:44:47+00:00,"I only detected Tera who often bought a lot of Bitcoin at that time, if it would go down very far, what was the cause, this is still a question mark (?)
https://t.co/f8bQXVckXN",i only detected tera who often bought lot bitcoin at that time if it would go down very far what was cause this is still question mark
17,2022-09-26 11:44:47+00:00,Woah! Look at those details!,woah look at those details
18,2022-09-26 11:44:44+00:00,"The expected trend for today: Bearish

And See our accuracy join us now to earn this daily

Link In Bio
https://t.co/EslmyOrZwA

#MarketSentiment #NASDAQ100  #NZDUSD #Russell2000 #SP500 #USDollarIndexFutures  #xtiusd #oiltrade
#Daytrading #News #investing #xauusd #XAGUSD https://t.co/QSHzXBG0KU",expected trend today bearish see our accuracy join us now earn this daily link bio
19,2022-09-26 11:44:43+00:00,streaming on twitchhh almost the end of SUBtember,streaming twitchhh almost end subtember
20,2022-09-26 11:44:43+00:00,@sbyfess https://t.co/bNUqeLSaJm,
21,2022-09-26 11:44:40+00:00,@DocPhuti @Miss_Calita what did roodepoort do now ??? 😭,what did roodepoort do now
22,2022-09-26 11:44:40+00:00,@thv_taehyung_ gm,gm
23,2022-09-26 11:44:37+00:00,Seems fair on my app #sgweather #singaporegp https://t.co/l9dDK2SFqf,seems fair my app
24,2022-09-26 11:44:37+00:00,@SiggyStardust80 TP waiting to be Markled,tp waiting be markled
25,2022-09-26 11:44:37+00:00,@ngwillynn @fragnova @Jackyyapp @ChainDebrief Exciting times 🙊,exciting times
26,2022-09-26 11:44:35+00:00,Baik tau bakal menantu mak… #SekaliLagiCintaKembali,baik tau bakal menantu mak
27,2022-09-26 11:44:34+00:00,https://t.co/9naN5ZDE1m,
28,2022-09-26 11:44:33+00:00,Singapore MAS examines crypto firms ahead of new regulations: Report / https://t.co/9pTpP2yrJl / FOLLOW @jett_nagar FOR MORE NFT NEWS https://t.co/ezvPAuZawO,singapore mas examines crypto firms ahead new regulations report follow more nft news
29,2022-09-26 11:44:33+00:00,@puanmaharani_ri https://t.co/IfyxUs13EN,
30,2022-09-26 11:44:31+00:00,@limengjun911 赌对叫胆量，赌错叫贪欲。,
31,2022-09-26 11:44:27+00:00,@binance Thanks,thanks
32,2022-09-26 11:44:26+00:00,One month in SG 🇸🇬 @ Singapore https://t.co/teYqFH2utB,one month sg singapore
33,2022-09-26 11:44:26+00:00,The first step is as good as half over.Genius is an infinite capacity for taking pains.,first step is as good as half over genius is infinite capacity taking pains
34,2022-09-26 11:44:23+00:00,Journey of a thousand miles begins with single step,journey thousand miles begins with single step
35,2022-09-26 11:44:22+00:00,"兵役の間待つって大変なのねー。
韓国だとそんなにブックアウトできないのかな？

#チェンジデイズ",
36,2022-09-26 11:44:22+00:00,Being back = Singapore’s Tiktok FYP. Boooo. I like Malaysia’s FYP - so much more hilarious.,being back singapore s tiktok fyp boooo i like malaysia s fyp so much more hilarious
37,2022-09-26 11:44:22+00:00,@Mista_Mdee_ gm,gm
38,2022-09-26 11:44:20+00:00,The reason why a great man is great is that he resolves to be a great man,reason why great man is great is that he resolves be great man
39,2022-09-26 11:44:19+00:00,I JUST HAD  THR MOST RIDICULOUS THING HAPPEN TO ME,i just had thr most ridiculous thing happen me
40,2022-09-26 11:44:18+00:00,@RCsg4y めちゃくちゃヘルシーで美味しそうですね！これは筋肉が育ちますよー💪😆,
41,2022-09-26 11:44:17+00:00,"The world is like a mirror: Frown at it and it frowns at you; smile, and it smiles too",world is like mirror frown at it it frowns at you smile it smiles too
42,2022-09-26 11:44:17+00:00,Living the dream 😂,living dream
43,2022-09-26 11:44:15+00:00,@ishmiman malas ah,malas ah
44,2022-09-26 11:44:15+00:00,"Ada student i, dia terdengar junior dia cakap pasal i.. Dia share yang junior dia sembang among mereka yang i ni lecturer yang strict... Semua takut dengan i... 😂😂😂",ada student i dia terdengar junior dia cakap pasal i dia share yang junior dia sembang among mereka yang i ni lecturer yang strict semua takut dengan i
45,2022-09-26 11:44:15+00:00,"@himemoriluna 御意！
良く眠れて良かった✨",
46,2022-09-26 11:44:14+00:00,"尋找所有人的匿名問題！

YTMZ沒有任何問題！
YTMZ山第一個令人難忘的答案可能是您的問題！ ？
#問題框 #尋找匿名問題

https://t.co/h0XjPlAfHr",ytmz ytmz
47,2022-09-26 11:44:14+00:00,Difficult circumstances serve as a textbook of life for people,difficult circumstances serve as textbook life people
48,2022-09-26 11:44:13+00:00,@Ikhwan21759524 Thanks!,thanks
49,2022-09-26 11:44:12+00:00,"@filipeswiftie13 @always_selenaaa I think you didn't get the point here. The girl said A man will cheat no matter if the girlfriend perfect or not. It's not about ALL men, it's about a particular man that love to cheat without any solid reason at all",i think you didnt get point here girl said man will cheat no matter if girlfriend perfect or not its not about all men its about particular man that love cheat without any solid reason at all
50,2022-09-26 11:44:10+00:00,@memetan_0705 可愛い,
51,2022-09-26 11:44:09+00:00,"@siki_02242 泣いた。

別にいいけど、いまバイトやから、9時過ぎぐらいに言ってくれや、買って帰る",9
52,2022-09-26 11:44:08+00:00,Up #fnfjb,up
53,2022-09-26 11:44:08+00:00,@alfred_lua @liaujianjie @jovliew @estee_tey @ahrefs @supabase @ReferralCandy @locofy_ai @MobbinDesign @Hypotenuse_Ai @NewsletterGlue @Taskade Thanks for mentioning us in the list! Much appreciated! 🙏,thanks mentioning us list much appreciated
54,2022-09-26 11:44:08+00:00,"@JLyn092885 @CircleQuestSG @AtinSingapore @SB19Official Wow sana all yun nmn Di ko natikman ahahahja
Listen to the latest disco-pop song #WYATSB19 by #SB19  @SB19Official    in all music platforms! It's a bop!",wow sana all yun nmn di ko natikman ahahahja listen latest disco pop song by all music platforms its bop
55,2022-09-26 11:44:07+00:00,porn addict ;|•,porn addict
56,2022-09-26 11:44:06+00:00,"@BoltricArtz Bui! This is really cute Bolt!
Bui like the shiny eyes! Patpat",bui this is really cute bolt bui like shiny eyes patpat
57,2022-09-26 11:44:04+00:00,Alone in the upper deck. #Reflection https://t.co/FtB1McqJpn,alone upper deck
58,2022-09-26 11:44:03+00:00,@mochiemobts gm,gm
59,2022-09-26 11:44:01+00:00,@Bastienjpg Gm and yes Ser 🙏 😄,gm yes ser
60,2022-09-26 11:44:00+00:00,Knapa nk tunggu 7pm tu lama Tapi cpt je da nk 8pm knapa knapa bagaimanaaa why!! Weishamaaaaa #SekaliLagiCintaKembali,knapa nk tunggu 7pm tu lama tapi cpt je da nk 8pm knapa knapa bagaimanaaa why weishamaaaaa
61,2022-09-26 11:44:00+00:00,"🇬🇧 🇬🇧 For the first time in history, our Algorithm sees the sterling pound dropping below parity against the US Dollar. Watch Video: https://t.co/VvZuTrOx5h https://t.co/gZSlwqZx7s",first time history our algorithm sees sterling pound dropping below parity against us dollar watch video
62,2022-09-26 11:44:00+00:00,@ShanghaiDragons No solution for Zarya comps,no solution zarya comps
63,2022-09-26 11:43:57+00:00,@maryammbogo7 @SadickTusia @Gaspinho15 @kalage_jr @INFLUENCERjr @amina_hafidh @WizestFool @anuskills3 @mshambuliaji @mkandamizaji @masoudkipanya @McinikaWaLamar @mudhakiru_dauda habari ya kigoma kwanza!? 😂,habari ya kigoma kwanza
64,2022-09-26 11:43:56+00:00,Global financial firms are reassessing the risks of doing business in China after an escalation of tensions over Taiwan https://t.co/EZiqk2ha2O via @markets,global financial firms are reassessing risks doing business china after escalation tensions over taiwan via
65,2022-09-26 11:43:55+00:00,Episode harini paling kelakar rasanya. Penat lah tergelak dari tadi. Perangai betul dua beradik ni tau 😂 #SekaliLagiCintaKembali,episode harini paling kelakar rasanya penat lah tergelak dari tadi perangai betul dua beradik ni tau
66,2022-09-26 11:43:55+00:00,.,
67,2022-09-26 11:43:55+00:00,HOBI SO CUTE!!!!,hobi so cute
68,2022-09-26 11:43:54+00:00,@Awawat_Trades love to see it https://t.co/UkF9hVChDh,love see it
69,2022-09-26 11:43:53+00:00,@ButterBibi gm,gm
70,2022-09-26 11:43:53+00:00,"अम्मी और दादी जैसे शब्दों का ज्ञान गटर साहब के परिवार में ज्यादा है...पूरा परिवार जुड़ा हुआ था कांग्रेस से...
गटर साहब ने कब कहाँ क्या प्रोटेस्ट किया..?
ट्वीट क्रांतिवीर।।। 😂 https://t.co/mhyuVy5U27",
71,2022-09-26 11:43:52+00:00,@CelineeeeTeo shagsss but i have reservist aft also 😂,shagsss but i have reservist aft also
72,2022-09-26 11:43:51+00:00,@namsomde ไมอามี่่่,
73,2022-09-26 11:43:50+00:00,@puanmaharani_ri https://t.co/lr9MCciZ9t,
74,2022-09-26 11:43:49+00:00,"Hampir je nak bercakap dengan dinding, mana tahu dia response ajak borak",hampir je nak bercakap dengan dinding mana tahu dia response ajak borak
75,2022-09-26 11:43:46+00:00,@GCRClassic Short at the top long at the button,short at top long at button
76,2022-09-26 11:43:46+00:00,https://t.co/HoZBbQXbFc,
77,2022-09-26 11:43:45+00:00,@MattyWTF1 Err Matt this is what we call normal Singapore weather. Just hope the rain doesn’t hit race time.,err matt this is what we call normal singapore weather just hope rain doesn t hit race time
78,2022-09-26 11:43:45+00:00,"Excuse me sir!i think im redi for another series (*_^)

@dunknatachai #dunknatachai 
#dunkmeow https://t.co/adB54pEaO9",excuse me sir i think im redi another series
79,2022-09-26 11:43:43+00:00,@jvnggkuk Oh he’s the coolest,oh he s coolest
80,2022-09-26 11:43:41+00:00,Eee imran tu apahal ek? Jangan harap #hayyat tak dpt kawen ngn #aira ke kau yg tgh mimpi. Mohon la sedar diri ea @aniqshr @Zakiazeman_ @sitikhadjahalim #SekaliLagiCintaKembali #slck #SekaliLagiCintaKembali,eee imran tu apahal ek jangan harap tak dpt kawen ngn ke kau yg tgh mimpi mohon la sedar diri ea
81,2022-09-26 11:43:40+00:00,who is the guy showering in the promo video for black monster shower gel?????,who is guy showering promo video black monster shower gel
82,2022-09-26 11:43:39+00:00,@DJNinjaRoblox https://t.co/bjcejRug7Q,
83,2022-09-26 11:43:38+00:00,@Sheyistrong16 gm,gm
84,2022-09-26 11:43:37+00:00,"@kokokdirgantoro Kalau aku sich nggak,klu mabuk bisa kecing sembarangan di rumah,tentu nggak sadar,makanya sy berhenti minum miras,tau lah di Batam miras sangat mudah di dapat..🤣🤣",kalau aku sich nggak klu mabuk bisa kecing sembarangan di rumah tentu nggak sadar makanya sy berhenti minum miras tau lah di batam miras sangat mudah di dapat
85,2022-09-26 11:43:36+00:00,the outfit made it looked like there were twenty other lady gagas head-bopping to plastic doll w her,outfit made it looked like there were twenty other lady gagas head bopping plastic doll w her
86,2022-09-26 11:43:35+00:00,@puanmaharani_ri https://t.co/CZyVRx5IvM,
87,2022-09-26 11:43:35+00:00,@sharidaaida Comfirm amir ezuan tu. Bet 10 atas meja,comfirm amir ezuan tu bet 10 atas meja
88,2022-09-26 11:43:34+00:00,GANTENG BANGET 🫵🏻🫠 https://t.co/9TV8uw1lCP,ganteng banget
89,2022-09-26 11:43:34+00:00,@syaazanaaaaaa lama noawwww kluarrr,lama noawwww kluarrr
90,2022-09-26 11:43:34+00:00,@A100888 @Alphawolf_1_ Done bismillahirrahmanirrahim rezeki https://t.co/PUKZv7NJ2t,done bismillahirrahmanirrahim rezeki
91,2022-09-26 11:43:34+00:00,@idkforealyo tp hati ngan u,tp hati ngan u
92,2022-09-26 11:43:33+00:00,@alex https://t.co/Y0IDIRoCmb,
93,2022-09-26 11:43:31+00:00,@Queenxspade Check you account,check you account
94,2022-09-26 11:43:30+00:00,Aira pengsan weyhh😭 nasib baik Imran tak boleh jalan. Bagusss. Yess hayyat hero Kami #SekaliLagiCintaKembali,aira pengsan weyhh nasib baik imran tak boleh jalan bagusss yess hayyat hero kami
95,2022-09-26 11:43:30+00:00,"நவராத்திரி நாள்-1 சர்க்கரைப்.பொங்கல்

பத்து நாளைக்கு தினமும் நல்ல சாப்பாடு கிடைக்குமே.😍😍😍 https://t.co/ImDWHl17PS",1
96,2022-09-26 11:43:30+00:00,https://t.co/T8jisezDhE,
97,2022-09-26 11:43:29+00:00,"@WAGACA_JOOONES ん？

その歴史を天皇機関説で利用した事を言ってますが、何でしょうか？",
98,2022-09-26 11:43:29+00:00,Rare community on fintwit that doesn't do just gyaanchodi but actually trades 😂😂.,rare community fintwit that doesnt do just gyaanchodi but actually trades
99,2022-09-26 11:43:28+00:00,"Container spot rate indices have recorded another week of double-digit declines for Asia-Europe and transpacific headhaul container rates, reports The Loadstar.
Further

https://t.co/xQvD2CW0In",container spot rate indices have recorded another week double digit declines asia europe transpacific headhaul container rates reports loadstar further
100,2022-09-26 11:43:26+00:00,"And again the money was used for various CSR initiatives either directly or via his party - not for personal use like in the case of the Abu Dhabi personalities.

So this means that Najib could not have been the mastermind or the shadow of Jho Low - which is . . . .",again money was used various csr initiatives either directly or via his party not personal use like case abu dhabi personalities so this means that najib could not have been mastermind or shadow jho low which is
101,2022-09-26 11:43:26+00:00,Sabar,sabar
102,2022-09-26 11:43:24+00:00,@cremonster @cbltwe_13 @HaleyCarrots 💀a whole kid bruh,whole kid bruh
103,2022-09-26 11:43:24+00:00,@Swixims42 hmmmmmmmm,hmmmmmmmm
104,2022-09-26 11:43:22+00:00,@akram_marikkar gm,gm
105,2022-09-26 11:43:15+00:00,@puanmaharani_ri https://t.co/omhhpnMr20,
106,2022-09-26 11:43:15+00:00,@KhamaliRamohai O nontsoya kae 😂😂😂,o nontsoya kae
107,2022-09-26 11:43:14+00:00,The amount of money I spent on music this month.😭😭😭. Close to music alone 🤦🏾‍♂️,amount money i spent music this month close music alone
108,2022-09-26 11:43:13+00:00,@GiveAwayHost @Totona_io Totono https://t.co/m7V6U9bJKg,totono
