,Unnamed: 0,date,rawContent,cleaned_content,english_relative_frequency
8,8,2022-09-26 13:21:00+00:00,Yasss,yasss,0.0
15,15,2022-09-26 13:20:53+00:00,HBD https://t.co/Jw8o7AE4Mw,hbd,0.0
20,20,2022-09-26 13:20:44+00:00,pls stfu oml 😂😂😂😂😂😂😂,pls stfu oml,0.0
23,23,2022-09-26 13:20:43+00:00,夕飯を茹で卵とプロテインでいけるかと思ったけど、3時間でお腹空いてきちゃった🥲はてどうしよう〜,3,0.0
29,29,2022-09-26 13:20:36+00:00,@nas_zaidi Hahaha,hahaha,0.0
37,37,2022-09-26 13:20:30+00:00,@Rekha51627292 @anbarasu_Boss @Kavin_m_0431 @KavinFansClub Unmai Dhaaney.   Eeee😁🏃🏻 https://t.co/LRiejzWD3a,unmai dhaaney eeee,0.0
50,50,2022-09-26 13:20:21+00:00,先週久しぶりにヨーロッパに行って、周りの友人たちからの言動からESGについて真面目に考えてて、変化を感じた。正直経済成長している最中の国では優先順位は低いと思う,esg,0.0
58,58,2022-09-26 13:20:12+00:00,@ineorino @FWBESS Beban &amp; tuntutan,beban amp tuntutan,0.0
66,66,2022-09-26 13:20:01+00:00,新加坡武装部队今年同澳大利亚国防部队人员举行三叉戟演习，两国一共派出超过1600名部队人员参与，新加坡海军也首次出动两艘海军登陆舰。 https://t.co/bAaPuQrjJX,1600,0.0
68,68,2022-09-26 13:20:00+00:00,@sekaijii :DD,dd,0.0
81,81,2022-09-26 13:19:51+00:00,"Hahaha 😂😂😂 
#จานนี้ที่เลิฟxBOUN",hahaha xboun,0.0
93,93,2022-09-26 13:19:43+00:00,"可爱PPN 

#ZeePruk

https://t.co/Y4sOkyaQtA",ppn,0.0
101,101,2022-09-26 13:19:34+00:00,@MachineGun____ 想rua,rua,0.0
102,102,2022-09-26 13:19:34+00:00,@Tanaka__95 Thx,thx,0.0
104,104,2022-09-26 13:19:31+00:00,@ghost93_x Gm!,gm,0.0
106,106,2022-09-26 13:19:30+00:00,grabeha hangover uy,grabeha hangover uy,0.0
116,116,2022-09-26 13:19:22+00:00,@cerbvitor JKKKKK,jkkkkk,0.0
136,136,2022-09-26 13:18:58+00:00,"誰か詳しい方教えて

一般的に考えたら入出金1.2%かけたら各取引値段はバラバラのはずですが

今まで各取引の値段は良くバランスが保ってる、思ったよりも差がない

どうやってできてるでしょうか

#LUNC",1 2,0.0
139,139,2022-09-26 13:18:55+00:00,LBM Vlog,lbm vlog,0.0
148,148,2022-09-26 13:18:49+00:00,@NFTameer gm ☀️,gm,0.0
151,151,2022-09-26 13:18:43+00:00,Berharap suatu saat nanti …,berharap suatu saat nanti,0.0
162,162,2022-09-26 13:18:35+00:00,@mr_edward_x GM’🤍🖤,gm,0.0
174,174,2022-09-26 13:18:23+00:00,hapix2,hapix2,0.0
194,194,2022-09-26 13:18:03+00:00,Mecima banyak bacot,mecima banyak bacot,0.0
209,209,2022-09-26 13:17:51+00:00,@RoveWorld_x @dankbananas_ @y00tsNFT Congrats amigo 🔥💪,congrats amigo,0.0
219,219,2022-09-26 13:17:45+00:00,@LayahHeilpern Savageee,savageee,0.0
221,221,2022-09-26 13:17:44+00:00,@iffhkmlia Kaya pe sia gaji 4k,kaya pe sia gaji 4k,0.0
222,222,2022-09-26 13:17:44+00:00,@darkselviers @FWBESS Banget loh,banget loh,0.0
224,224,2022-09-26 13:17:42+00:00,@EY3K0N @AdamPollina @highgaz niiiiice,niiiiice,0.0
226,226,2022-09-26 13:17:41+00:00,@radenrauf Suka bener🤤,suka bener,0.0
229,229,2022-09-26 13:17:35+00:00,🤣🤣 Layanzzz,layanzzz,0.0
237,237,2022-09-26 13:17:29+00:00,@hanikhow @FWBESS Satu porsi wajib 2. Satu samsek gk cukup,satu porsi wajib 2 satu samsek gk cukup,0.0
244,244,2022-09-26 13:17:22+00:00,@psyji_election そんなに日々荒れてるんすかwwwww,wwwww,0.0
252,252,2022-09-26 13:17:16+00:00,@itsmrssham @mrcreepyposta Taknakkkk tacodddd,taknakkkk tacodddd,0.0
255,255,2022-09-26 13:17:14+00:00,@laisafin1 Quanto custa?,quanto custa,0.0
264,264,2022-09-26 13:17:03+00:00,@Evaverse_NFT Gm Evaverse 🔥,gm evaverse,0.0
270,270,2022-09-26 13:16:59+00:00,@Jenneira1 @AyamSegar3 Ealah.,ealah,0.0
281,281,2022-09-26 13:16:50+00:00,"@brgsjks kalau lelaki suka hadiah, perempuan suka hadi",kalau lelaki suka hadiah perempuan suka hadi,0.0
286,286,2022-09-26 13:16:45+00:00,@hadimohdnor @zaabazainal Bikin masalah,bikin masalah,0.0
288,288,2022-09-26 13:16:43+00:00,@ddiittanyaaja Valiiidddd,valiiidddd,0.0
