,id_column,cleaned_content,label,annotated_at
0,30,"Raw: @iz2709 Ni lawa
Clean: ni lawa",not_english,2022-10-04 16:01:47
1,32,"Raw: @SuperRoStar Mira, mira... Te lo dedico a ti y a la Agenda 2030 que no ha votado nadie, 🤡 https://t.co/3UNFbalqKC
Clean: mira mira te lo dedico ti y la agenda 2030 que no ha votado nadie",not_english,2022-10-04 16:01:53
2,121,"Raw: WTS SEVENTEEN MINGYU DOLL 
Price 150k
Dm aja ya https://t.co/JX40csyIxi
Clean: wts seventeen mingyu doll price 150k dm aja ya",not_standard_english,2022-10-04 16:02:04
3,134,"Raw: @editor_abdulbr0 @foundation Thanks bro 🤍🖤✨
Clean: thanks bro",not_standard_english,2022-10-04 16:02:07
4,183,"Raw: Joffrey Targaryen? Dang dat boy be ded next week
Clean: joffrey targaryen dang dat boy be ded next week",not_standard_english,2022-10-04 16:02:12
5,138,"Raw: @acidjunk No wayyyyy....🤯🤯🤯
Clean: no wayyyyy",not_standard_english,2022-10-04 16:02:15
6,49,"Raw: @ItsPriddyUgly Ngwaneso, o shape Dayi man ole
Clean: ngwaneso o shape dayi man ole",not_english,2022-10-04 16:02:21
7,181,"Raw: @eqbaliv_ @ulat_bulu_bulu me rn 😡
Clean: me rn",not_standard_english,2022-10-04 16:02:23
8,26,"Raw: @Jairam_Ramesh Why #INCIndia still talking about Ghulam Nabi Azad 🤔
Clean: why still talking about ghulam nabi azad",not_standard_english,2022-10-04 16:02:28
9,18,"Raw: Bodoamat dah .
Clean: bodoamat dah",not_english,2022-10-04 16:02:33
