word,frequency
,489
i,377
is,306
you,266
it,173
my,170
this,161
that,144
with,130
so,129
at,118
be,102
s,99
me,97
have,92
your,91
more,89
just,85
but,82
are,82
amp,77
not,77
can,77
by,73
all,72
we,69
what,67
no,66
do,66
like,64
tak,64
out,63
aku,63
he,62
will,61
now,59
2,59
was,58
or,58
ni,58
its,57
t,57
1,57
one,56
as,54
up,54
im,53
time,52
good,51
if,51
they,50
get,49
nak,48
when,46
here,45
our,45
3,44
new,43
yg,43
how,42
about,42
his,42
world,40
ada,40
know,38
has,37
je,37
who,37
people,36
love,36
yang,36
why,36
kalau,36
singapore,36
very,35
think,35
m,35
go,35
done,34
than,34
also,34
mana,34
cute,33
di,33
her,33
u,32
am,31
2022,30
us,30
day,30
back,30
tapi,30
right,30
only,29
dan,29
la,29
even,29
see,29
really,28
then,28
