word,frequency
,4971
singapore,1192
im,767
john,518
amp,384
yg,316
tak,311
ang,303
pallelai,303
bedokwalk,295
misslohahhuat,287
johor,271
ada,258
no49,243
misskitty,232
visio,230
lang,207
pagi,203
ini,198
compassvale,197
ke,194
dia,183
gm,176
kita,159
hahaha,157
nga,142
je,137
itu,137
ng,136
mga,135
singapura,133
que,129
tapi,129
lagi,129
nya,127
dengan,126
ok,116
wala,116
haha,114
selamat,113
kalau,111
bahru,110
congrats,109
hari,108
buat,107
bro,104
jadi,102
bisa,100
boleh,100
sg,98
lol,96
allah,95
pero,95
semua,94
yung,94
malaysia,91
okay,89
aja,89
sampai,89
untuk,86
others,85
kaya,85
lah,85
tidak,82
gonna,80
sama,79
gak,79
naman,79
5cm,78
671a,75
edgefield,75
dalam,74
juga,71
dgn,71
banyak,71
omg,69
kau,67
punggol,67
jangan,66
kena,66
asia,65
kerja,65
macam,64
masuk,63
foto,63
indonesia,63
diri,63
batam,61
akan,61
youre,60
masih,59
nk,59
bukan,58
dapat,58
semoga,57
baik,57
anak,57
atau,56
balik,56
pasir,55
sudah,55
nalang,55
pada,54
dulu,54
selalu,53
makan,53
pag,53
sendiri,53
kasi,52
changi,52
jalan,51
shit,51
sebab,51
saja,50
hahahaha,50
una,50
pernah,50
utk,49
centre,49
utc,48
salah,48
udah,48
alhamdulillah,48
less,47
12h,47
hati,47
hidup,47
lebih,47
hindi,47
rumah,47
stubborness,47
punya,46
nft,46
tahun,46
kami,46
mcm,45
terus,45
bila,45
gt,45
fuck,44
sekarang,44
hujan,43
tp,43
kids,43
dekat,43
katla,42
boki,42
app,41
subuh,41
suka,41
malam,41
bedok,41
kamu,40
using,40
mewning,40
sana,40
kasih,40
hai,40
nang,40
tidur,39
damai,39
por,39
wanna,39
sila,39
proud,39
ukraine,39
kape,38
sya,38
beli,38
assalamualaikum,38
bangun,38
mama,38
dh,38
kahit,38
ano,38
january,37
satu,37
mmg,37
mrt,37
lepas,37
fm,37
salam,37
ppl,37
edward,37
org,36
4m,36
mereka,36
kenapa,36
monday,36
betul,36
le,36
damo,36
eth,35
sini,35
pakai,35
nanti,35
happened,35
iya,35
lt,35
publicar,34
tengok,34
sekali,34
pls,34
dunia,34
fucking,33
lalu,33
adalah,33
bagi,33
pinas,33
hahah,33
russian,33
pergi,32
nila,32
dr,32
acaba,32
permata,32
selatan,32
ive,32
kag,32
sih,31
memang,31
mata,31
tahu,31
tiktok,31
sunday,31
mr,30
yun,30
kata,30
lupa,30
missed,30
est,30
lahat,30
youtube,30
perlu,30
besar,30
bisan,30
playing,29
cakap,29
talaga,29
chinese,29
blk,29
tayo,29
riau,29
pulak,29
pm,29
cafe,29
