word,frequency
,4971
singapore,1192
posted,1023
photo,1023
good,864
u,768
im,767
morning,756
ko,589
day,533
john,518
na,497
sa,481
like,464
di,455
2,443
6,432
1,409
time,396
one,388
amp,384
3,380
happy,358
love,345
ni,345
yg,316
people,314
aku,314
tak,311
get,310
go,309
ang,303
pallelai,303
de,297
bedokwalk,295
4,289
misslohahhuat,287
yang,277
dont,275
johor,271
thank,270
walk,264
5,263
la,261
see,261
dan,261
ada,258
know,250
want,250
no49,243
back,241
need,237
new,236
nak,235
misskitty,232
visio,230
optical,230
still,227
us,220
life,218
2022,215
make,215
n,212
ya,212
man,212
first,211
ka,211
lang,207
may,204
pagi,203
wordle,203
work,198
ini,198
compassvale,197
always,196
ke,194
today,193
would,192
think,188
best,183
dia,183
much,182
really,182
thanks,181
well,181
yes,181
pa,178
dah,177
even,177
gm,176
nice,176
great,173
never,168
take,166
mo,165
way,163
silver,162
chef,162
use,162
8,160
