,date,rawContent,cleaned_content
0,2022-09-26 13:21:07+00:00,@A_Magic_Forest @nft_finley @tinalautrup Beautiful,beautiful
1,2022-09-26 13:21:06+00:00,I like how the flute kinda syncs with the bumpy ride 😅😅 https://t.co/qvsAsatToO,i like how flute kinda syncs with bumpy ride
2,2022-09-26 13:21:05+00:00,"@olex_scherba @nytimes And he is Xi’s as well, shame on him!",he is xi s as well shame him
3,2022-09-26 13:21:04+00:00,"@CHIEtizensOFC Vitality

#ChieFilomeno",vitality
4,2022-09-26 13:21:04+00:00,@NithyaMenenOffI Hi,hi
5,2022-09-26 13:21:03+00:00,@MFA_China Liar,liar
6,2022-09-26 13:21:02+00:00,"My source, Chris, says that the new MG is going to be the MG Stargazer Gundam",my source chris says that new mg is going be mg stargazer gundam
7,2022-09-26 13:21:02+00:00,New laptop does it mean working non stop ?,new laptop does it mean working non stop
8,2022-09-26 13:21:00+00:00,Yasss,yasss
9,2022-09-26 13:20:59+00:00,@fluffyttp_ 另一种情趣😂,
10,2022-09-26 13:20:59+00:00,@_MasterCatalog1 @ogkeller 💯,
11,2022-09-26 13:20:59+00:00,Wow...the @insta360 X3...really impressive. Luckily I didn't get the Osmo Action. I'm definitely gonna get this to shoot for all my channels BUT...the price...is something that I gotta work on at this time... 😔 #Insta360X3 #actioncamera #vloggingcamera https://t.co/LoHppN0f11,wow x3 really impressive luckily i didnt get osmo action im definitely gonna get this shoot all my channels but price is something that i gotta work at this time
12,2022-09-26 13:20:56+00:00,@sake___ikura ぜひ！嬉🥺✌️,
13,2022-09-26 13:20:56+00:00,@demetrhea @FWBESS No. Maunya kenalan dulu,no maunya kenalan dulu
14,2022-09-26 13:20:55+00:00,"@CHIEtizensOFC Freedom

#ChieFilomeno",freedom
15,2022-09-26 13:20:53+00:00,HBD https://t.co/Jw8o7AE4Mw,hbd
16,2022-09-26 13:20:52+00:00,@ogkeller Clean 🔥,clean
17,2022-09-26 13:20:50+00:00,"The soothing melodies I save, prompt me to make reels 🤭🤭 https://t.co/Ftj3f3N2V1",soothing melodies i save prompt me make reels
18,2022-09-26 13:20:49+00:00,"healing, learning &amp; growing 🤍",healing learning amp growing
19,2022-09-26 13:20:46+00:00,@afcstuff He was a boomer trying to be relevant in a Gen Z world. 😂,he was boomer trying be relevant gen z world
20,2022-09-26 13:20:44+00:00,pls stfu oml 😂😂😂😂😂😂😂,pls stfu oml
21,2022-09-26 13:20:44+00:00,@Vani_Trishian @KapilSharmaK9 @trishtrashers ❤️❤️,
22,2022-09-26 13:20:43+00:00,LiSA 『NEW ME』 -MUSiC CLiP- https://t.co/PQUMhZPJ8B via @YouTube,lisa new me music clip via
23,2022-09-26 13:20:43+00:00,夕飯を茹で卵とプロテインでいけるかと思ったけど、3時間でお腹空いてきちゃった🥲はてどうしよう〜,3
24,2022-09-26 13:20:43+00:00,"#ES 
Rejected at RZ
3680 pivot point here need bulls
3654 next support
A break below this level and 3571 target https://t.co/oYk8sshyBv",rejected at rz 3680 pivot point here need bulls 3654 next support break below this level 3571 target
25,2022-09-26 13:20:41+00:00,"@CHIEtizensOFC Individual

#ChieFilomeno",individual
26,2022-09-26 13:20:40+00:00,"""The stuff that dreams are made of."" - The Maltese Falcon, 1941",stuff that dreams are made maltese falcon 1941
27,2022-09-26 13:20:39+00:00,@Missypromotes DONE https://t.co/kRhdlVEKMy,done
28,2022-09-26 13:20:38+00:00,"@mkhanpasha ب آ ب
What about this then?",what about this then
29,2022-09-26 13:20:36+00:00,@nas_zaidi Hahaha,hahaha
30,2022-09-26 13:20:36+00:00,@NancyDaffodils @Krithiga_Selva @intellectaround @Preethiitalks @roshini_ani @Devikum71499890 @BeingHu94216048 @Front_Man13 https://t.co/r8UD0lABhs,
31,2022-09-26 13:20:34+00:00,@Noma_Ngubane Oh snap thats very interesting 😅,oh snap thats very interesting
32,2022-09-26 13:20:32+00:00,@Arif97ahnaf Patut ketuk bilik takda orang,patut ketuk bilik takda orang
33,2022-09-26 13:20:32+00:00,"@CHIEtizensOFC Empower

#ChieFilomeno",empower
34,2022-09-26 13:20:31+00:00,Temperature is 39.86085 is higher than 35deg C. Taken on 2022-09-26  9:20 pm,temperature is 39 86085 is higher than 35deg c taken 2022 09 26 9 20 pm
35,2022-09-26 13:20:30+00:00,Laser power is 0.00844 is low. Taken on 2022-09-26  9:20 pm,laser power is 0 00844 is low taken 2022 09 26 9 20 pm
36,2022-09-26 13:20:30+00:00,@subham_banka @FintwitDecoded Gyaan me hath tang hai apna 😞,gyaan me hath tang hai apna
37,2022-09-26 13:20:30+00:00,@Rekha51627292 @anbarasu_Boss @Kavin_m_0431 @KavinFansClub Unmai Dhaaney.   Eeee😁🏃🏻 https://t.co/LRiejzWD3a,unmai dhaaney eeee
38,2022-09-26 13:20:28+00:00,I think I’ve reached the end of my ikhtiar. Im just so tired. Of everything.,i think i ve reached end my ikhtiar im just so tired everything
39,2022-09-26 13:20:28+00:00,@GiveAwayHost DONE https://t.co/FOuyv8LySK,done
40,2022-09-26 13:20:28+00:00,@howtobeurgurl @FWBESS Dari dulu,dari dulu
41,2022-09-26 13:20:27+00:00,@larva6666 @O_ken160 ごめんなさい！見ずにコメントしちゃいました😂でもダブルでザキヤマがくるぅ〜！もいいと思います🤣,
42,2022-09-26 13:20:26+00:00,I want to study his mind 🥹💔,i want study his mind
43,2022-09-26 13:20:26+00:00,Sonic.exe has stopped working,sonic exe has stopped working
