,Unnamed: 0,date,rawContent,cleaned_content,english_relative_frequency
47,47,2022-09-26 13:20:24+00:00,i like some people only know me from online so they naturally use my second name,i like some people only know me online so they naturally use my second name,0.9333333333333333
51,51,2022-09-26 13:20:20+00:00,Public accusations of #cyberespionage at a research university appear to be in response to Washington ramping up its own warnings to private industry about China's #hackers. #cybersecurity https://t.co/AkKwPmuPF0,public accusations at research university appear be response washington ramping up its own warnings private industry about chinas,0.9444444444444444
61,61,2022-09-26 13:20:06+00:00,@Dikkussu @abelityMY Proved my point. Just keep it within yourselves ok. Let me lose and learn in peace.,proved my point just keep it within yourselves ok let me lose learn peace,0.9285714285714286
74,74,2022-09-26 13:19:57+00:00,Wearable sensors styled into t-shirts and face masks | Imperial News https://t.co/5jftNSDDUm,wearable sensors styled into t shirts face masks imperial news,0.9
87,87,2022-09-26 13:19:46+00:00,AWE Issue n°90 - Last Chance on Deals ⌛ Grab our deals before our offers end this Friday! ⌛- https://t.co/wVxWuuXS0o,awe issue n 90 last chance deals grab our deals before our offers end this friday,0.9333333333333333
126,126,2022-09-26 13:19:12+00:00,"#VIX 
35.11 strong resistance incoming
Broke and retested 30.20 now support
Not looking good for markets here https://t.co/BvqOVT3sgK",35 11 strong resistance incoming broke retested 30 20 now support not looking good markets here,0.9166666666666666
163,163,2022-09-26 13:18:33+00:00,Commentary: Bivalent vaccines may give 5-10% better protection against Covid-19 — but getting boosted promptly is best bet https://t.co/neIQ7viEXY,commentary bivalent vaccines may give 5 10 better protection against covid 19 but getting boosted promptly is best bet,0.9375
171,171,2022-09-26 13:18:25+00:00,"Keep working hard baby boss, heads up, always! Just know that whoever is trying to bring you down, is already below you. #meerqeendiindonesia #meerqeenflytoindonesia https://t.co/uD340qVDJG",keep working hard baby boss heads up always just know that whoever is trying bring you down is already below you,0.9523809523809523
172,172,2022-09-26 13:18:24+00:00,@MHaineken Would you have the links to videos or interviews what she says exactly about these things? I'd prefer that over having a third party like you speaking for her. Many times things get lost in translation. Thank you,would you have links videos or interviews what she says exactly about these things id prefer that over having third party like you speaking her many times things get lost translation thank you,0.9696969696969697
173,173,2022-09-26 13:18:23+00:00,"@it_is_MB Oath🤞🏾
I’d advise you don’t smoke immediately after charging your vape as there might be residual current flowing.",oath i d advise you don t smoke immediately after charging your vape as there might be residual current flowing,0.95
207,207,2022-09-26 13:17:53+00:00,so wuca is on break what do i do with my life now ;-; who am i going to listen to every morning 😭😭,so wuca is break what do i do with my life now who am i going listen every morning,0.9473684210526315
210,210,2022-09-26 13:17:51+00:00,@StandardBankZA stays disappointing me 😭. They don’t even have to try too hard anymore.,stays disappointing me they don t even have try too hard anymore,0.9166666666666666
215,215,2022-09-26 13:17:47+00:00,Make sure to follow Group-IB on #Medium to learn the latest #cybersecurity insights brought to you by one of the global industry leaders ➡️ https://t.co/CmWHnpkQcT https://t.co/8UVUcuBN1X,make sure follow group ib learn latest insights brought you by one global industry leaders,0.9333333333333333
245,245,2022-09-26 13:17:21+00:00,"people who settle for mediocrity, disgusts me. i get it, you enjoy the 9-5 maybe with the occasional OT’s, spending time doing mediocre stuffs with mediocre friends. you do you. i’m just saying it absolutely disgusts me, that you have one life &amp; you settle it for average.",people who settle mediocrity disgusts me i get it you enjoy 9 5 maybe with occasional ot s spending time doing mediocre stuffs with mediocre friends you do you i m just saying it absolutely disgusts me that you have one life amp you settle it average,0.9555555555555556
258,258,2022-09-26 13:17:07+00:00,"@SingtelSupport Yes, no signal and restarted by hand phone like more than 100 times already in last 4 hours",yes no signal restarted by hand phone like more than 100 times already last 4 hours,0.9285714285714286
275,275,2022-09-26 13:16:55+00:00,EA FX ROBOT is different because it uses more than one strategy at the same time for the best results. No experience is required,ea fx robot is different because it uses more than one strategy at same time best results no experience is required,0.9047619047619048
282,282,2022-09-26 13:16:50+00:00,"Yea i am fine :)))

I just need to find the spiritual meaning in this horrific episode that I am experiencing https://t.co/GtcqU9giyS",yea i am fine i just need find spiritual meaning this horrific episode that i am experiencing,0.9411764705882353
320,320,2022-09-26 13:16:22+00:00,"@JusttheZooofUs I see wild Malayan Colugo often enough that they're not really that exciting to me compared to some of the rarer species in Singapore's forests, but I have to remind myself that there's no way for many listeners to see one unless they live or travel in this part of the world.",i see wild malayan colugo often enough that theyre not really that exciting me compared some rarer species singapores forests but i have remind myself that theres no way many listeners see one unless they live or travel this part world,0.9024390243902439
328,328,2022-09-26 13:16:13+00:00,@SimonClare7 @ArsenalBuzzCom @SkySports He is but when Arsenal attack he often shifts into the 3rd CB of a back 3. His long range passing is very good and he can offer something in attack.,he is but when arsenal attack he often shifts into 3rd cb back 3 his long range passing is very good he can offer something attack,0.9583333333333334
347,347,2022-09-26 13:15:52+00:00,"@MFA_China If you are so powerful PRC then you replace the USD, you take over and plug the gaps left by US sanctions. You are 1.4bn people. The US is only 300m. You go do it if you are so mighty.",if you are so powerful prc then you replace usd you take over plug gaps left by us sanctions you are 1 4bn people us is only 300m you go do it if you are so mighty,0.9411764705882353
368,368,2022-09-26 13:15:31+00:00,"@imperseverant 

1. Open the My Singtel App and select Roaming Tab
2. Select Manage Roaming Add-ons.
3. Click on Settings (Gear icon top right)
4. Turn OFF Data Roaming (Network)

2/2",1 open my singtel app select roaming tab 2 select manage roaming add ons 3 click settings gear icon top right 4 turn off data roaming network 2 2,0.9130434782608695
399,399,2022-09-26 13:15:08+00:00,"Don't double up a losing position by manual trading, now is the time for you to go with EA FX ROBOT auto trading system everyday",dont double up losing position by manual trading now is time you go with ea fx robot auto trading system everyday,0.9523809523809523
