word,frequency
tersakiti,1
socmed,1
pepagi,1
cermin,1
answered,1
f4,1
3x,1
2gether,1
thousand,1
pbai,1
errr,1
sorting,1
progress,1
gcb,1
diubah,1
gmb,1
grill,1
mosquito,1
slek,1
hangus,1
menyelerakan,1
childe,1
samez,1
bots,1
tb,1
neutralising,1
il1,1
antibodies,1
sars,1
cov2,1
mrna,1
vaccination,1
myocarditis,1
asymptotic,1
ay,1
fav,1
fineeee,1
hv,1
tmr,1
apparently,1
eve,1
bare,1
minimum,1
tokyu,1
renamed,1
niaga,1
halia,1
lahanat,1
rod,1
rods,1
enjoying,1
30min,1
drei,1
das,1
mehr,1
meinerseits,1
und,1
paar,1
tr,1
nen,1
mann,1
sich,1
darauf,1
besonnen,1
dass,1
beruhigende,1
von,1
uns,1
ist,1
mich,1
auf,1
keinen,1
rgert,1
fahren,1
sst,1
ndert,1
zwar,1
nichts,1
load,1
aber,1
nur,1
noch,1
bisschen,1
sauer,1
2018,1
dies,1
eats,1
noodle,1
drinks,1
soup,1
exmatter,1
extortion,1
measures,1
combat,1
scams,1
hk,1
prepares,1
surge,1
quarantine,1
