,id_column,annotate_text,label,annotated_at
0,522,<b>Raw:</b> @AmaAbigail2 I can be doing this fy yk!<br><b>Clean</b>: i can be doing this fy yk,non_standard_english,2022-12-12 09:34:07
1,20691,"<b>Raw:</b> Original Curious Britney Spears available
Call 0202423464/0591200750 to oder.
.
.
.
.
#BBNaija7#curiousperfumes#perfumegh# eventsgh#ghweddings#nanaAba#eventshubs# trendingweddings#curiousbritneyspearsfragrance#fragrancegh#Perfumemania#serwaaAmihere#sisafiagh#trendingperfumesgh### https://t.co/BAfaeNXLzA<br><b>Clean</b>: original curious britney spears available call 02024234640591200750 to oder eventsgh trendingweddings",,2022-12-12 09:34:18
2,4091,"<b>Raw:</b> Just posted a photo @ Osu Oxford Street,Ghana https://t.co/xrFqlpgiJj<br><b>Clean</b>: just posted a photo osu oxford streetghana",,2022-12-12 09:34:26
3,20369,<b>Raw:</b> “KWEKU FLICK #EXPERIENCE” on August 19th 2022 🔥🔥🔥@KwekuFlick #KWEKUFLICKEXPERIENCE #KOM https://t.co/v4o45meR8g<br><b>Clean</b>: kweku flick on august 19th 2022,,2022-12-12 09:34:32
4,9837,<b>Raw:</b> @theMadridZone @NizaarKinsella Aahh is he a player at all tsoooooo<br><b>Clean</b>: aahh is he a player at all tsoooooo,non_standard_english,2022-12-12 09:34:37
5,18606,<b>Raw:</b> JULY 10th be the ish🎊🎉🎂❤️<br><b>Clean</b>: july 10th be the ish,non_standard_english,2022-12-12 09:34:42
6,21909,<b>Raw:</b> Ei bro the guy root give ein boy<br><b>Clean</b>: ei bro the guy root give ein boy,non_standard_english,2022-12-12 09:34:46
7,13235,<b>Raw:</b> @babydoll_forbes That's another convo trigger that puts dem phones back into these hands...hehehe<br><b>Clean</b>: thats another convo trigger that puts dem phones back into these hands hehehe,non_standard_english,2022-12-12 09:34:52
8,12181,<b>Raw:</b> Bro somebody is playing with Mbappe and Neymar and has 4 goals all season.<br><b>Clean</b>: bro somebody is playing with mbappe and neymar and has 4 goals all season,full_standard_english,2022-12-12 09:35:51
9,8132,<b>Raw:</b> UPDATE ON 2021 UGSRC ELECTIONS https://t.co/EwDdvdVokR<br><b>Clean</b>: update on 2021 ugsrc elections,,2022-12-12 09:35:55
10,13307,<b>Raw:</b> @98jamezz @Nyamewaaaaa Na wonim aaa ni<br><b>Clean</b>: na wonim aaa ni,not_english,2022-12-12 09:36:05
11,15154,<b>Raw:</b> @69Positionss @Tomm_ridle @KLizue @MRNAGWEAR I miss u bebree<br><b>Clean</b>: i miss u bebree,code-switched,2022-12-12 09:36:11
