,id_column,annotate_text,label,annotated_at
0,8445,"<b>Raw:</b> Congratulations to  AYOKUNLE OLUSHOLA AYOKO – KAIZEN ACADEMY LIMITED, NIGERIA 🇳🇬 for winning an honorary award in the area of ""LAW"" 

#40u40africa https://t.co/bQMMhYQFRu<br><b>Clean</b>: congratulations to ayokunle olushola ayoko kaizen academy limited nigeria for winning an honorary award in the area of law",,2022-12-12 11:48:33
1,19511,<b>Raw:</b> them send hit. ei https://t.co/f4pzctuURC<br><b>Clean</b>: them send hit ei,,2022-12-12 11:48:37
2,16824,<b>Raw:</b> @AmeyawDebrah I'm not a guynian😜<br><b>Clean</b>: im not a guynian,non_standard_english,2022-12-12 11:48:42
3,22134,<b>Raw:</b> Eih guys we have work tomorrow anaaa?<br><b>Clean</b>: eih guys we have work tomorrow anaaa,code-switched,2022-12-12 11:48:46
4,11378,<b>Raw:</b> @Kuame_Oliver @dede_girlxx Herh work and happiness paa oo 🤣🤣🤣 this one them catch me kraaa hands down 🤣🤣🥺 @dede_girlxx make we run away erh?? your pose saf dey kill me 🤣🤣🤣🤝🏽 @Kuame_Oliver u no try kraa 🤣🤣🤣<br><b>Clean</b>: herh work and happiness paa oo this one them catch me kraaa hands down make we run away erh your pose saf dey kill me u no try kraa,code-switched,2022-12-12 11:48:52
5,1234,"<b>Raw:</b> @KwakuAppiah83 Ar weak sef but everyday too boys dey marry, buh chaley dem say fear dem aaa just fear wai 🤨🤦‍♂️<br><b>Clean</b>: ar weak sef but everyday too boys dey marry buh chaley dem say fear dem aaa just fear wai",code-switched,2022-12-12 11:49:03
6,1083,"<b>Raw:</b> Nkwan y3 barima, and the English is what?<br><b>Clean</b>: nkwan y3 barima and the english is what",code-switched,2022-12-12 11:49:10
7,9869,<b>Raw:</b> His future is Crearrrrrr😛 https://t.co/aA5v6ZoQbr<br><b>Clean</b>: his future is crearrrrrr,,2022-12-12 11:49:13
8,9309,<b>Raw:</b> yh its good lol https://t.co/gmqCjXIUAu<br><b>Clean</b>: yh its good lol,,2022-12-12 11:49:16
9,19453,<b>Raw:</b> @IamKingPromise And Bryan the Mensah<br><b>Clean</b>: and bryan the mensah,not-syntactic_standard_english,2022-12-12 11:49:26
10,22257,<b>Raw:</b> Allyson dancing behind Deji was so funny...<br><b>Clean</b>: allyson dancing behind deji was so funny,full_standard_english,2022-12-12 11:49:35
11,22955,<b>Raw:</b> Adekunle smiling face tho  #BBNaija<br><b>Clean</b>: adekunle smiling face tho,non_standard_english,2022-12-12 11:49:43
12,346,<b>Raw:</b> yo they really do what they want omgg lmaooooooo https://t.co/18HuTmjDhD<br><b>Clean</b>: yo they really do what they want omgg lmaooooooo,,2022-12-12 11:49:48
13,6190,<b>Raw:</b> Stonebwoy is my favourite #TalkYourTalk<br><b>Clean</b>: stonebwoy is my favourite,full_standard_english,2022-12-12 11:49:54
14,7460,<b>Raw:</b> @OkwasiaBiNti Stonebwoy be your father??<br><b>Clean</b>: stonebwoy be your father,non_standard_english,2022-12-12 11:50:00
15,4591,<b>Raw:</b> Ronaldo is the GOAT 🐐 #TalkYourTalk<br><b>Clean</b>: ronaldo is the goat,not-syntactic_standard_english,2022-12-12 11:50:09
16,14198,<b>Raw:</b> @Lester_O3 Link me some erh<br><b>Clean</b>: link me some erh,code-switched,2022-12-12 11:50:12
17,1736,<b>Raw:</b> Eeeeeeiiii nti we exist the group stage 😭😭😭😭😭😭😭😭<br><b>Clean</b>: eeeeeeiiii nti we exist the group stage,code-switched,2022-12-12 11:50:17
18,1685,<b>Raw:</b> @gidquarshie @Komave @JacobLaryea4 @QwameEriq @Prince_kobby94 But Esafeed then Richmond boys we fool ooh. Ei<br><b>Clean</b>: but esafeed then richmond boys we fool ooh ei,non_standard_english,2022-12-12 11:50:27
19,21801,"<b>Raw:</b> Chale them air me o Ei, make I delete 🤣🤣😭🤣🤣<br><b>Clean</b>: chale them air me o ei make i delete",code-switched,2022-12-12 11:50:32
20,19426,"<b>Raw:</b> Shatta wale never fail his fans ... No matta what kraaa 
God bless you moooooore 
#GOGALBUM https://t.co/54n1LfsqAu<br><b>Clean</b>: shatta wale never fail his fans no matta what kraaa god bless you moooooore",code-switched,2022-12-12 11:50:36
21,4493,<b>Raw:</b> Enjoy your Vals Ma'am https://t.co/1zd7Thmngj<br><b>Clean</b>: enjoy your vals maam,,2022-12-12 11:52:26
22,24035,<b>Raw:</b> @_officialkwaku She says ebi kindness<br><b>Clean</b>: she says ebi kindness,non_standard_english,2022-12-12 11:52:32
23,18865,"<b>Raw:</b> @kwakurafiki2, your sis dey anaaa? 😂🤭 https://t.co/G6hQqMr00U<br><b>Clean</b>: your sis dey anaaa",,2022-12-12 11:52:35
24,182,<b>Raw:</b> Happy new year paadebrah https://t.co/2XoD1om4Wo https://t.co/BUaeDkx6lo<br><b>Clean</b>: happy new year paadebrah,,2022-12-12 11:52:38
25,13156,<b>Raw:</b> @ConnCFC All time chelsea player??<br><b>Clean</b>: all time chelsea player,not-syntactic_standard_english,2022-12-12 11:52:44
26,5909,<b>Raw:</b> @suad_ar Siisss omg sammmeee! Even now I’ve been postponing going but I need to smh.<br><b>Clean</b>: siisss omg sammmeee even now ive been postponing going but i need to smh,non_standard_english,2022-12-12 11:52:50
27,1895,<b>Raw:</b> @Sugahunyicetea Don't ruin it sitso<br><b>Clean</b>: dont ruin it sitso,non_standard_english,2022-12-12 11:52:55
28,20560,<b>Raw:</b> Lmfaoo this Karmah guy dey finish me with ein relatables 🤣🤣🤣<br><b>Clean</b>: lmfaoo this karmah guy dey finish me with ein relatables,non_standard_english,2022-12-12 11:53:01
29,19125,<b>Raw:</b> @NanaKDuaAgyeman we dont care abt ur pain....go and show the stats to otumfor....<br><b>Clean</b>: we dont care abt ur pain go and show the stats to otumfor,non_standard_english,2022-12-12 11:53:15
30,10303,<b>Raw:</b> @69Positionss @Serwaa_Amihere Oh but Pedri is the golden boy and Xavi is better the Tuchel…<br><b>Clean</b>: oh but pedri is the golden boy and xavi is better the tuchel,non_standard_english,2022-12-12 11:53:24
31,11269,<b>Raw:</b> big chune from early https://t.co/s7igRERhzG<br><b>Clean</b>: big chune from early,,2022-12-12 11:53:27
32,19521,<b>Raw:</b> Ei. From which country? https://t.co/uSjV1H0A0n<br><b>Clean</b>: ei from which country,,2022-12-12 11:53:30
33,22801,<b>Raw:</b> @dkbghana Bossu bossu rest ! 23 to 27 years boys saff no dey get call up to national teams for the World Cup na 36 years old retired striker lmao. Ronaldo pree saff see how he dey bre den Gyan Abeg make he no worry ein body<br><b>Clean</b>: bossu bossu rest 23 to 27 years boys saff no dey get call up to national teams for the world cup na 36 years old retired striker lmao ronaldo pree saff see how he dey bre den gyan abeg make he no worry ein body,code-switched,2022-12-12 11:55:02
34,23183,<b>Raw:</b> @mawulidake Efo. Serious matter oo<br><b>Clean</b>: efo serious matter oo,non_standard_english,2022-12-12 11:55:07
35,18131,"<b>Raw:</b> Photos 📸 On Stage K.K Fosu and Kwabena Kwabena.

#GMAUK22 LAUNCH AND NOMINEES ANNOUNCEMENT AT LABADI BEACH HOTEL, OMANYE CONFERENCE CENTRE.

#AdomEntertainment #GMAUK22 
#OurMusic #OurCulture 
@ghmusicawardsuk https://t.co/IXtSlZ4sYo<br><b>Clean</b>: photos on stage k k fosu and kwabena kwabena launch and nominees announcement at labadi beach hotel omanye conference centre",,2022-12-12 11:55:11
36,13494,<b>Raw:</b> @Idol_Ayisha1 @WeGoTalkAm1 @jayreshh Hey I want randoms 😁<br><b>Clean</b>: hey i want randoms,non_standard_english,2022-12-12 11:55:15
37,2949,"<b>Raw:</b> Freedom of Africa 
@freedom Jacob Ceaser 
Young Kwaxmah https://t.co/qSrUwxugJg<br><b>Clean</b>: freedom of africa jacob ceaser young kwaxmah",,2022-12-12 11:55:18
38,15334,<b>Raw:</b> @nunguamugeez @CyaptanTMT Even Araba Lawson isn't for Ofori Amponsah<br><b>Clean</b>: even araba lawson isnt for ofori amponsah,full_standard_english,2022-12-12 11:55:35
39,21609,"<b>Raw:</b> Taken, London has fallen and the brothers,battle ship,Colombiana https://t.co/AEq0AA3qjA<br><b>Clean</b>: taken london has fallen and the brothersbattle shipcolombiana",,2022-12-12 11:55:38
40,16228,<b>Raw:</b> @Chaliescott10 @PAPPYKOJO aawwwww yu definitely suffering from mothers love.. what happend? dem drop u off da streets anaaah cus it seems u miss ur mother papapaaa<br><b>Clean</b>: aawwwww yu definitely suffering from mothers love what happend dem drop u off da streets anaaah cus it seems u miss ur mother papapaaa,code-switched,2022-12-12 11:55:49
41,6414,<b>Raw:</b> Martha and Larley hmmm<br><b>Clean</b>: martha and larley hmmm,non_standard_english,2022-12-12 11:55:53
42,215,"<b>Raw:</b> @__agyapong If it’s Kojo Antwi then am 1000% in 
#MrMusicMan<br><b>Clean</b>: if its kojo antwi then am 1000 in",not-syntactic_standard_english,2022-12-12 11:56:06
43,8312,<b>Raw:</b> Tomorrow if you pick Trotro just say “3mmom Jordan Ayew mmom paaa dier”  they’ll take it from there 🤣🤣🤣🤣💀<br><b>Clean</b>: tomorrow if you pick trotro just say 3mmom jordan ayew mmom paaa dier theyll take it from there,code-switched,2022-12-12 11:56:10
44,16367,<b>Raw:</b> @DanielKayod8 @millflicz @DadaDonBortey @obbampoegh @FelixRomark @Fentuo_ @TheOnlyBKB @purefmsports @phobia_fans @PhobiaTertiary @AsanteKotoko_SC @HeartsOfOakGH thats why theres no upgrade from borla to SHITHOLE 😂😂😂😂😂<br><b>Clean</b>: thats why theres no upgrade from borla to shithole,code-switched,2022-12-12 11:56:25
45,18952,<b>Raw:</b> @ghordon_ @pnorvinyo_17 Make dem tell you?<br><b>Clean</b>: make dem tell you,non_standard_english,2022-12-12 11:56:29
46,11405,<b>Raw:</b> Bruh!!! USD is involved!!! 😂 https://t.co/GW3Qz2uML9<br><b>Clean</b>: bruh usd is involved,,2022-12-12 11:56:32
47,1103,<b>Raw:</b> You're a big man!!!! https://t.co/l5GOZzgFXj<br><b>Clean</b>: youre a big man,,2022-12-12 11:56:35
48,14396,<b>Raw:</b> @Arabinrinmi 🤣🤣🤣 Attah or Addo or Kofi or Mensah<br><b>Clean</b>: attah or addo or kofi or mensah,not-syntactic_standard_english,2022-12-12 11:56:41
49,15803,<b>Raw:</b> @kobbykatalyst1 Achimota forest is all yours wae Huuuh 🤨<br><b>Clean</b>: achimota forest is all yours wae huuuh,code-switched,2022-12-12 11:56:46
50,15675,<b>Raw:</b> @ayyooyluap Wo ho twa ankasa<br><b>Clean</b>: wo ho twa ankasa,not_english,2022-12-12 11:57:21
51,1040,<b>Raw:</b> Adding to your Vocabs🤙🤙 https://t.co/6tRhuXy3Ed<br><b>Clean</b>: adding to your vocabs,,2022-12-12 11:57:24
52,852,<b>Raw:</b> @michaelbruce7 @roger_dakey @thePOE_T @michaelbruce7 Is this coming from GPRTU or the GRTCC ?<br><b>Clean</b>: is this coming from gprtu or the grtcc,full_standard_english,2022-12-12 11:57:37
53,10214,<b>Raw:</b> @lord_fuckshit @ohene_ok @Burniton_GAD @1RealYM_ You go bet make we bring dem stats. You can add Kasoa Kawabaga's stats at both Rennes and Real Madrid and I will bring Pedri's stats in just the 2021 euros.<br><b>Clean</b>: you go bet make we bring dem stats you can add kasoa kawabagas stats at both rennes and real madrid and i will bring pedris stats in just the 2021 euros,non_standard_english,2022-12-12 11:57:46
54,11108,<b>Raw:</b> weytin oliver khan wanted from the koobians if i may asked @PAPPYKOJO sekof negga just dey do backyard bragging with a certain Rose Royce for video inside eii berma.🙄 😂😂😂😂<br><b>Clean</b>: weytin oliver khan wanted from the koobians if i may asked sekof negga just dey do backyard bragging with a certain rose royce for video inside eii berma,non_standard_english,2022-12-12 11:57:54
55,4691,<b>Raw:</b> @MantseBiAgo Ye ti sika su... 😂🤣😂<br><b>Clean</b>: ye ti sika su,not_english,2022-12-12 11:57:58
56,8888,<b>Raw:</b> 🤣🤣 pass me that lauuddd 🙏🏼🙏🏼🙏🏼 https://t.co/zEQMqYU5yc<br><b>Clean</b>: pass me that lauuddd,,2022-12-12 11:58:01
57,8471,<b>Raw:</b> @SOB_Omo_Ologo vgma was getting too much bad publicity cz of 3Music 🤓<br><b>Clean</b>: vgma was getting too much bad publicity cz of 3music,non_standard_english,2022-12-12 11:58:14
58,13478,<b>Raw:</b> Westbrook deserves a ring https://t.co/Ew1jZ8Pzui<br><b>Clean</b>: westbrook deserves a ring,,2022-12-12 11:58:17
59,21496,<b>Raw:</b> charley tag me tsw https://t.co/F3SPGZluGy<br><b>Clean</b>: charley tag me tsw,,2022-12-12 11:58:19
60,3260,<b>Raw:</b> @OlaRae01 @lord_of_criuse @symplyDAPO U no Sabi work u worst pass Buhari<br><b>Clean</b>: u no sabi work u worst pass buhari,non_standard_english,2022-12-12 11:58:30
61,7030,"<b>Raw:</b> At some point I was fvcked up! O shey mi bi kin bo'sho kin ma lo bustop
                                ~Davolee

@eminidavolee<br><b>Clean</b>: at some point i was fvcked up o shey mi bi kin bosho kin ma lo bustop davolee",code-switched,2022-12-12 11:58:46
