,id_column,annotate_text,label,annotated_at
0,3251,<b>Raw:</b> @RoyJone24947239 @Ashraful517 @DefenseDtb Defenently RAW because our intelligence our prad<br><b>Clean</b>: defenently raw because our intelligence our prad,non_standard_english,2022-12-11 16:02:23
1,5077,<b>Raw:</b> Just posted a photo @ Noksha https://t.co/1bfp1AGoRf<br><b>Clean</b>: just posted a photo noksha,,2022-12-11 16:02:25
2,7040,<b>Raw:</b> Just posted a photo @ Foy's Lake Concord https://t.co/gcZLrbIgYv<br><b>Clean</b>: just posted a photo foys lake concord,,2022-12-11 16:02:27
3,6964,"<b>Raw:</b> Love takes action, I keep reminding myself.💔<br><b>Clean</b>: love takes action i keep reminding myself",non_standard_english,2022-12-11 16:03:02
4,421,<b>Raw:</b> The safest room for any kids when its Mamuh put them around his soulder! 💪❤️ @ Shah Amanat International Airport https://t.co/Eq7Woe4ho7<br><b>Clean</b>: the safest room for any kids when its mamuh put them around his soulder shah amanat international airport,code-switched,2022-12-11 16:03:06
5,696,<b>Raw:</b> Old memories @ Bandarban Hill Tracts বান্দরবান পার্বত্য জেলা https://t.co/bP8M4ugsmt<br><b>Clean</b>: old memories bandarban hill tracts,code-switched,2022-12-11 16:03:10
6,5363,<b>Raw:</b> Just posted a photo @ Nasirabad Convention Hall https://t.co/nKiNdF6HZk<br><b>Clean</b>: just posted a photo nasirabad convention hall,,2022-12-11 16:03:11
7,7386,"<b>Raw:</b> Enjoying last time with college friends....
#mdtarekhossain #tarekhossainpayelhktv #tarekcamera @ BAF Shaheen College, Chittagong https://t.co/Xgkg3yU0Z1<br><b>Clean</b>: enjoying last time with college friends baf shaheen college chittagong",code-switched,2022-12-11 16:03:15
8,2936,<b>Raw:</b> @Aleeya_Khan1 I am a from chottogram. ❤️💜❤️<br><b>Clean</b>: i am a from chottogram,non_standard_english,2022-12-11 16:03:32
9,258,"<b>Raw:</b> Happy Birthday Brother @dihan_07 @ Halishahar, Chittagong - হালিশহর, চট্টগ্রাম https://t.co/wcdu7n2tLA<br><b>Clean</b>: happy birthday brother halishahar chittagong",code-switched,2022-12-11 16:03:36
10,7597,<b>Raw:</b> Just posted a photo @ Sultan's Dine Chattogram https://t.co/yBATrBeFcg<br><b>Clean</b>: just posted a photo sultans dine chattogram,,2022-12-11 16:03:37
11,39,<b>Raw:</b> Happy New Year_2022 @ Chandgoan residential area https://t.co/RSJqCsEhzt<br><b>Clean</b>: happy new year2022 chandgoan residential area,non_standard_english,2022-12-11 16:03:41
12,3686,"<b>Raw:</b> Hey Monty * Sorry 🥲 

Tiday was Rainy day** @ Chittagong City - চট্টগ্রাম শহর https://t.co/kPe1PWJZY8<br><b>Clean</b>: hey monty sorry tiday was rainy day chittagong city",code-switched,2022-12-11 16:03:48
13,993,"<b>Raw:</b> শিরক থেকে বাঁচার দোয়া।
Video with reciting link
https://t.co/aCW5Mhfo4w @ Chittagong https://t.co/Xgxzcyg1PF<br><b>Clean</b>: video with reciting link chittagong",,2022-12-11 16:03:50
14,3075,<b>Raw:</b> At office.. ❤️ @ Apparel Promoters Ltd https://t.co/GTzA6z96jb<br><b>Clean</b>: at office apparel promoters ltd,not-syntactic_standard_english,2022-12-11 16:03:54
15,4342,<b>Raw:</b> One day I shall post smth like this https://t.co/wrBWeGF9uT<br><b>Clean</b>: one day i shall post smth like this,non_standard_english,2022-12-11 16:03:57
16,6161,"<b>Raw:</b> Last Exam Chill Time &amp; Moments With University Friends 😍🥰😇💙💚💛💜❤️
Love You All🤍
#ভার্সিটিয়ান🖤 @ Green Chilli, Police Plaza, Nandon Kanon, Chattogram. https://t.co/zMrrFtsh9Q<br><b>Clean</b>: last exam chill time and moments with university friends love you all green chilli police plaza nandon kanon chattogram",code-switched,2022-12-11 16:04:04
