,id_column,annotate_text,label,annotated_at
0,6165,"<b>Raw:</b> There is nothing more beautiful than a smile,but people define beauty by skin color. @ Gulshan Mehrin - গুলশান মেহেরিন https://t.co/FKEsgodBog<br><b>Clean</b>: there is nothing more beautiful than a smilebut people define beauty by skin color gulshan mehrin",non_standard_english,2022-12-11 15:51:26
1,1729,"<b>Raw:</b> Some gifts from SPS(@bewithsps) to the families of brothers killed in Cox's Bazaar. 

Jayatu SPS🙏🚩 https://t.co/WAa1HG3z1I<br><b>Clean</b>: some gifts from sps to the families of brothers killed in coxs bazaar jayatu sps",non_standard_english,2022-12-11 15:51:30
2,3080,"<b>Raw:</b> Just posted a photo @ Bali Arcade, Chawkbazar https://t.co/XvReUAfNkH<br><b>Clean</b>: just posted a photo bali arcade chawkbazar",,2022-12-11 15:51:34
3,2651,"<b>Raw:</b> Just posted a photo @ Pottenga,Chittagong https://t.co/GzbuNbEyvA<br><b>Clean</b>: just posted a photo pottengachittagong",,2022-12-11 15:51:36
4,3862,<b>Raw:</b> Just posted a photo @ আমাদের পটিয়া - Our Patiya https://t.co/n5vfXC2Qiz<br><b>Clean</b>: just posted a photo our patiya,,2022-12-11 15:51:38
5,7178,<b>Raw:</b> Just posted a photo @ Foy's Lake Concord https://t.co/1FBdv5k7Oi<br><b>Clean</b>: just posted a photo foys lake concord,,2022-12-11 15:51:39
6,1633,<b>Raw:</b> Silent tears hold the loudest pain🥀<br><b>Clean</b>: silent tears hold the loudest pain,not-syntactic_standard_english,2022-12-11 15:51:44
7,6414,<b>Raw:</b> @hameed_sky So in upcoming days bmd booking looks downward ?<br><b>Clean</b>: so in upcoming days bmd booking looks downward,non_standard_english,2022-12-11 15:51:49
8,7456,<b>Raw:</b> Always feared the day will come when ManU drops Maguire and Ronaldo and starts to play decent again. 😑<br><b>Clean</b>: always feared the day will come when manu drops maguire and ronaldo and starts to play decent again,non_standard_english,2022-12-11 15:51:57
9,3803,<b>Raw:</b> Just posted a photo @ Patiya chittagong https://t.co/d3P9rY64fe<br><b>Clean</b>: just posted a photo patiya chittagong,,2022-12-11 15:52:00
10,7571,<b>Raw:</b> Just posted a photo @ Chattagram International Medical College https://t.co/LFW6EVbgDd<br><b>Clean</b>: just posted a photo chattagram international medical college,,2022-12-11 15:52:02
11,2792,<b>Raw:</b> ❤️I love everyone but Kapu doesn't love me😥 https://t.co/XnA3RtuDE3<br><b>Clean</b>: i love everyone but kapu doesnt love me,code-switched,2022-12-11 15:52:09
12,7085,<b>Raw:</b> Just posted a photo @ BGC Trust Medical College Hospital https://t.co/JnpR83Ac1b<br><b>Clean</b>: just posted a photo bgc trust medical college hospital,,2022-12-11 15:52:11
13,6443,"<b>Raw:</b> In Bangladesh, Chittagong city  BNP organized this demonstration to protest the killing of volunteer party leader Abdur Rahim in Bhola police firing. https://t.co/NMW9nvRgqx<br><b>Clean</b>: in bangladesh chittagong city bnp organized this demonstration to protest the killing of volunteer party leader abdur rahim in bhola police firing",code-switched,2022-12-11 15:52:18
14,3222,<b>Raw:</b> Pop yo shxt Jones!#CBtFM #Loading…… 📸- @chillyolovesyou @ Freaky Man https://t.co/PH16AqJixf<br><b>Clean</b>: pop yo shxt jones freaky man,non_standard_english,2022-12-11 15:52:21
15,5342,<b>Raw:</b> Lets move 😈 @ Alfalah Goli Housing Society আলফালাহ গলি হাউজিং সোসাইটি https://t.co/L43smrlnb8<br><b>Clean</b>: lets move alfalah goli housing society,code-switched,2022-12-11 15:52:24
16,4768,<b>Raw:</b> It's a top zenith of the chandronath https://t.co/SEVU8EaqmE<br><b>Clean</b>: its a top zenith of the chandronath,code-switched,2022-12-11 15:52:28
17,4563,<b>Raw:</b> Just posted a photo @ Degchi Bari https://t.co/ulIPynfOf8<br><b>Clean</b>: just posted a photo degchi bari,,2022-12-11 15:52:31
18,5931,"<b>Raw:</b> @JohnCena I hope America🇺🇲, joe biden recent isreal country tour, and saudi tour could easily identifiable!..👉👇👇👇👇👇👇👇👇👇👇👇👇👇👇 https://t.co/OerB9Ux6Jr<br><b>Clean</b>: i hope america joe biden recent isreal country tour and saudi tour could easily identifiable",non_standard_english,2022-12-11 15:52:34
19,2639,"<b>Raw:</b> Just posted a photo @ Raozan, Chittagong, Bangladesh https://t.co/LrJjpeCOGx<br><b>Clean</b>: just posted a photo raozan chittagong bangladesh",,2022-12-11 15:52:38
20,1499,"<b>Raw:</b> Just posted a photo @ কর্নফুলি সেতু, চট্টগ্রাম Karnafhuli Bridge, Chittagong https://t.co/NzIfJgb1mZ<br><b>Clean</b>: just posted a photo karnafhuli bridge chittagong",,2022-12-11 15:52:40
21,3692,<b>Raw:</b> Al Jazeera wins two Amnesty Media awards | News | Al Jazeera https://t.co/M9vyIUTjAs via @AJEnglish<br><b>Clean</b>: al jazeera wins two amnesty media awards news al jazeera via,not-syntactic_standard_english,2022-12-11 15:52:50
22,6993,"<b>Raw:</b> Just posted a photo @ Switch Park,panshlish,chittagong. https://t.co/U5VrDofWBm<br><b>Clean</b>: just posted a photo switch parkpanshlishchittagong",,2022-12-11 15:52:52
23,6374,<b>Raw:</b> Just posted a photo @ Akilpur Sea Beach https://t.co/DEAbq3O50Z<br><b>Clean</b>: just posted a photo akilpur sea beach,,2022-12-11 15:52:55
24,7038,<b>Raw:</b> Just posted a photo @ Foy's Lake Concord https://t.co/icDf1ymv7E<br><b>Clean</b>: just posted a photo foys lake concord,,2022-12-11 15:52:57
25,2388,<b>Raw:</b> Just posted a photo @ Alfalah Goli Housing Society আলফালাহ গলি হাউজিং সোসাইটি https://t.co/155BB4vDN6<br><b>Clean</b>: just posted a photo alfalah goli housing society,,2022-12-11 15:52:59
26,6727,"<b>Raw:</b> @TWTCommunity__ 0xE6C95ebe0CB244c838EA7953FeddF73ef00D1Aed

BNB smart chain wallet. Please make it.<br><b>Clean</b>: 0xe6c95ebe0cb244c838ea7953feddf73ef00d1aed bnb smart chain wallet please make it",non_standard_english,2022-12-11 15:53:01
27,2264,<b>Raw:</b> Grand Life Expo 2022 @ Radisson Blue https://t.co/VECCmEwDyp<br><b>Clean</b>: grand life expo 2022 radisson blue,not-syntactic_standard_english,2022-12-11 15:53:08
28,6772,<b>Raw:</b> Just posted a photo @ Pacific Jeans Ltd. https://t.co/oEJVW6UlZV<br><b>Clean</b>: just posted a photo pacific jeans ltd,,2022-12-11 15:53:10
29,2894,<b>Raw:</b> Just posted a photo @ Abc Mahbub Hills https://t.co/kReAGtdyiX<br><b>Clean</b>: just posted a photo abc mahbub hills,,2022-12-11 15:53:11
30,186,<b>Raw:</b> Just posted a photo @ Aronnok Holiday Resort https://t.co/AU4akYiH1L<br><b>Clean</b>: just posted a photo aronnok holiday resort,,2022-12-11 15:53:13
31,3680,"<b>Raw:</b> The Journey Is Feeling So Good.
Journey-Mate Robi Express Sleeper Coach. @ Dampara Bus Stand, Chittagong https://t.co/mOh1XgNkVP<br><b>Clean</b>: the journey is feeling so good journey mate robi express sleeper coach dampara bus stand chittagong",non_standard_english,2022-12-11 15:53:20
32,7381,<b>Raw:</b> @desai_setu Did u seen Pratik defeated Tushar in first stunt &amp; this week Mohit ! So it’s about fear &amp; having bad days..He defeated two of the most strongest contestant !<br><b>Clean</b>: did u seen pratik defeated tushar in first stunt and this week mohit so its about fear and having bad days he defeated two of the most strongest contestant,non_standard_english,2022-12-11 15:53:25
33,3455,<b>Raw:</b> Family's  Time❤️❤️ @ Prabartak Iskcon Sri Krishna Temple https://t.co/ZguWAZWZGY<br><b>Clean</b>: familys time prabartak iskcon sri krishna temple,,2022-12-11 15:53:28
34,7156,<b>Raw:</b> office time @ Abc Mahbub Hills https://t.co/KwHngFMYgs<br><b>Clean</b>: office time abc mahbub hills,code-switched,2022-12-11 15:53:34
35,1221,<b>Raw:</b> Just posted a photo @ Bandarban Hill Tracts বান্দরবান পার্বত্য জেলা https://t.co/ZtX8nyWQlr<br><b>Clean</b>: just posted a photo bandarban hill tracts,,2022-12-11 15:53:36
36,6925,<b>Raw:</b> Just posted a photo @ Shah Amanat International Airport https://t.co/ICSqor61gm<br><b>Clean</b>: just posted a photo shah amanat international airport,,2022-12-11 15:53:37
37,4583,"<b>Raw:</b> Good project 🙂 🙂 🙂 🙂

I just subscribed to MemeBank’s Announcement https://t.co/ehas1zsaJ3<br><b>Clean</b>: good project i just subscribed to memebanks announcement",non_standard_english,2022-12-11 15:53:43
38,6476,<b>Raw:</b> Happy birthday to me 😌✌️ @ Barcode Food Junction https://t.co/AkwkeCGtmL<br><b>Clean</b>: happy birthday to me barcode food junction,not-syntactic_standard_english,2022-12-11 15:53:47
39,4263,"<b>Raw:</b> Just posted a photo @ Musapur, Chittagong, Bangladesh https://t.co/8iHMdHrYe0<br><b>Clean</b>: just posted a photo musapur chittagong bangladesh",,2022-12-11 15:53:49
40,1544,<b>Raw:</b> সত্যের চেয়ে সুন্দর আর কিছু নাই @ A K Khan Pahartoli Chittagong https://t.co/zpfnzR5pQy<br><b>Clean</b>: a k khan pahartoli chittagong,code-switched,2022-12-11 15:53:52
41,3347,"<b>Raw:</b> This is the fastest Ramadan that I have ever experienced :)
2dayz remaining for Holy Eid-ul-fitr🖤<br><b>Clean</b>: this is the fastest ramadan that i have ever experienced 2dayz remaining for holy eid ul fitr",code-switched,2022-12-11 15:53:54
42,4598,<b>Raw:</b> Just posted a photo @ Fatehabad https://t.co/vBRumwbXor<br><b>Clean</b>: just posted a photo fatehabad,,2022-12-11 15:53:56
43,2218,<b>Raw:</b> @Beingrealbeing Actually you are jachi Ki Rani god bless you...<br><b>Clean</b>: actually you are jachi ki rani god bless you,code-switched,2022-12-11 15:53:59
44,4676,<b>Raw:</b> Smart feeling of Shayaan @ Imperial Hospital Limited https://t.co/XM2XSRIoQJ<br><b>Clean</b>: smart feeling of shayaan imperial hospital limited,not-syntactic_standard_english,2022-12-11 15:54:04
45,3665,<b>Raw:</b> Just posted a photo @ Foy's Lake https://t.co/EjGXFIgagA<br><b>Clean</b>: just posted a photo foys lake,,2022-12-11 15:54:06
46,4673,<b>Raw:</b> My smart boy Shayaan @ Imperial Hospital Limited https://t.co/mjfXNF8WAJ<br><b>Clean</b>: my smart boy shayaan imperial hospital limited,not-syntactic_standard_english,2022-12-11 15:54:11
47,7027,<b>Raw:</b> Just posted a photo @ Patenga Sea Beach https://t.co/6fDQmMLXEp<br><b>Clean</b>: just posted a photo patenga sea beach,,2022-12-11 15:54:13
48,2588,<b>Raw:</b> Just posted a photo @ সন্দ্বীপ-Sandwip https://t.co/aQiZsPvgul<br><b>Clean</b>: just posted a photo sandwip,,2022-12-11 15:54:16
49,2128,<b>Raw:</b> Just posted a photo @ 1 Kilometer Bohoddar Hat https://t.co/nJndGdRYWo<br><b>Clean</b>: just posted a photo 1 kilometer bohoddar hat,,2022-12-11 15:54:18
50,6354,<b>Raw:</b> Just posted a photo @ Patiya_kachuai https://t.co/fAjyJqjPHP<br><b>Clean</b>: just posted a photo patiyakachuai,,2022-12-11 15:54:20
51,373,<b>Raw:</b> Goal. Luke De Jong scores and Equalises.<br><b>Clean</b>: goal luke de jong scores and equalises,non_standard_english,2022-12-11 15:57:19
52,3363,"<b>Raw:</b> Messy swapnil with his messed life. @ বেতবুনিয়া, রাঙামাটি, চট্টগ্রাম https://t.co/iAokMV9l9K<br><b>Clean</b>: messy swapnil with his messed life",code-switched,2022-12-11 15:57:21
53,931,"<b>Raw:</b> With Drama Queen!! @ Hotel Zaman Restaurant ,alonkar https://t.co/VIDJfNHerk<br><b>Clean</b>: with drama queen hotel zaman restaurant alonkar",code-switched,2022-12-11 15:57:28
54,6764,"<b>Raw:</b> Just posted a photo @ Sitakunda, Chittagong. https://t.co/gGEp14vaF7<br><b>Clean</b>: just posted a photo sitakunda chittagong",,2022-12-11 15:57:30
55,5067,<b>Raw:</b> closeup smile with Dipaboli 😜 @ Chittagong https://t.co/pgYgVn8SAB<br><b>Clean</b>: closeup smile with dipaboli chittagong,code-switched,2022-12-11 15:57:32
56,7028,<b>Raw:</b> Just posted a photo @ Foy's Lake Concord https://t.co/gtjvNGtxMf<br><b>Clean</b>: just posted a photo foys lake concord,,2022-12-11 15:57:35
57,7177,<b>Raw:</b> Just posted a photo @ Foy's Lake https://t.co/ttY48yOGM3<br><b>Clean</b>: just posted a photo foys lake,,2022-12-11 15:57:37
58,4584,"<b>Raw:</b> Good project 🙂 🙂 🙂 🙂

I just subscribed to MemeBank’s Announcement https://t.co/ehas1zJdL3<br><b>Clean</b>: good project i just subscribed to memebanks announcement",non_standard_english,2022-12-11 15:57:42
59,4748,<b>Raw:</b> পুরুষের সৌন্দর্য তার ভুড়িতে.!🥰 @ Nil Pahari Eco Resort Sajek https://t.co/YGfAY2RrIm<br><b>Clean</b>: nil pahari eco resort sajek,code-switched,2022-12-11 15:57:44
60,274,<b>Raw:</b> Just posted a photo @ Rangamati Lake https://t.co/l8xrkEduiJ<br><b>Clean</b>: just posted a photo rangamati lake,,2022-12-11 15:57:46
61,3243,<b>Raw:</b> Just posted a photo @ Sanmer Ocean City https://t.co/Vz0i3DD3KU<br><b>Clean</b>: just posted a photo sanmer ocean city,,2022-12-11 15:57:48
62,1420,<b>Raw:</b> Wedding night with bon &amp; vagina❤️ @ Sagorika Square https://t.co/MIlV0kRQfg<br><b>Clean</b>: wedding night with bon and vagina sagorika square,non_standard_english,2022-12-11 15:57:54
63,5736,"<b>Raw:</b> @Chips4FreeGuy @elonmusk Tnx, But why so much spicy🙂<br><b>Clean</b>: tnx but why so much spicy",non_standard_english,2022-12-11 15:57:56
64,5636,<b>Raw:</b> Just posted a photo @ Andorkilla Chittagong https://t.co/zMHrazbM6M<br><b>Clean</b>: just posted a photo andorkilla chittagong,,2022-12-11 15:57:58
65,885,<b>Raw:</b> Just posted a photo @ Khulshi Convention Hall https://t.co/mOP6PUCI44<br><b>Clean</b>: just posted a photo khulshi convention hall,,2022-12-11 15:58:00
66,4271,<b>Raw:</b> UCL night at Zero Point CU! https://t.co/Zur3tTXNri<br><b>Clean</b>: ucl night at zero point cu,non_standard_english,2022-12-11 15:58:03
67,2017,"<b>Raw:</b> Manha well Remember, 
মনকে বানাবে পানির মতো কারণ পানিতে কখনো দাগ পরেনা থাকেও না----🌪️
চোখ হতে-হবে বাজপাখির মতো যাতে পাহাড়ের অপরপ্রান্তে ও দেখতে পারো---- 🦅 @ Chittagong City - চট্টগ্রাম শহর https://t.co/AaeLFeHbfC<br><b>Clean</b>: manha well remember chittagong city",code-switched,2022-12-11 15:58:06
68,5139,"<b>Raw:</b> On board a Naval ship to the remote island of Bhasan Char where over 30,000 Rohingya Refugees are resettled. @ Neval Sea Beach নেভাল সি বিচ https://t.co/Mq3kcivXqI<br><b>Clean</b>: on board a naval ship to the remote island of bhasan char where over 30000 rohingya refugees are resettled neval sea beach",code-switched,2022-12-11 15:58:09
69,6757,"<b>Raw:</b> Musical Videos🥰🖤🥀
Qith Great Moment😇❤️ @ University of Chittagong https://t.co/sEWZG9RjI6<br><b>Clean</b>: musical videos qith great moment university of chittagong",,2022-12-11 15:58:11
70,4791,<b>Raw:</b> Am I looking really younger ? @ Pacific Jeans Ltd. https://t.co/AG6dCGmUi4<br><b>Clean</b>: am i looking really younger pacific jeans ltd,not-syntactic_standard_english,2022-12-11 15:58:18
71,6347,<b>Raw:</b> Meghdol is getting better and better.<br><b>Clean</b>: meghdol is getting better and better,full_standard_english,2022-12-11 15:58:24
72,5589,"<b>Raw:</b> 2022-22 Year Launching Ceremony of D3282 held on July 2, 2022 with presence of PRIP Holger Knaack and 600 plus Rotary leaders.
#ImagineRotary
#dg1920khairul @ Raddison Blu Chittagong Bay View https://t.co/GEVWjYrSAt<br><b>Clean</b>: 2022 22 year launching ceremony of d3282 held on july 2 2022 with presence of prip holger knaack and 600 plus rotary leaders raddison blu chittagong bay view",non_standard_english,2022-12-11 15:58:27
73,2889,"<b>Raw:</b> @el_passione Hello dirty closses....
Can I help you?<br><b>Clean</b>: hello dirty closses can i help you",non_standard_english,2022-12-11 15:58:33
74,6973,"<b>Raw:</b> [2/n] ...kochu bhorta (bhorta is  mashed with onions, mustard oil, coriander, and chilli), loitta shutki (dried Bombay duck which isn't duck!), unripe jackfruit (for the hipsters),  a selection of bhortas (potato,more taro, spiny gourd, pointed gourd, aubergine, &amp; snake beans)...<br><b>Clean</b>: 2n kochu bhorta bhorta is mashed with onions mustard oil coriander and chilli loitta shutki dried bombay duck which isnt duck unripe jackfruit for the hipsters a selection of bhortas potatomore taro spiny gourd pointed gourd aubergine and snake beans",code-switched,2022-12-11 15:58:36
75,6379,"<b>Raw:</b> CBD Flyer Design For Client... 

#clientwork 
#cbd
#flyer 
#flyerdesign 
#hemp 
#hempoil @ Chittagong https://t.co/xd6S7qHegH<br><b>Clean</b>: cbd flyer design for client chittagong",non_standard_english,2022-12-11 15:58:43
