,id_column,annotate_text,label,annotated_at
0,1284,<b>Raw:</b> 🤭 @ Foy's Lake Concord https://t.co/0ETDvO9I1o<br><b>Clean</b>: foys lake concord,,2022-12-11 16:25:53
1,1915,"<b>Raw:</b> সময় খারাপ হওয়ার কারোনে 
প্রিয় হয়ে উঠা মানুষ গুলোর কাছে আজ অপ্রিয় 🙂 @ Portlink Logistics Center https://t.co/tAVSsaI11w<br><b>Clean</b>: portlink logistics center",some_english,2022-12-11 16:26:00
2,4753,<b>Raw:</b> Wedding Of Imran @ Rupnagar Community Centre https://t.co/JZy2Dgc604<br><b>Clean</b>: wedding of imran rupnagar community centre,non_standard_english,2022-12-11 16:26:07
3,5653,<b>Raw:</b> Alhamdulillah for everything❤️ https://t.co/tyBlHe36bP<br><b>Clean</b>: alhamdulillah for everything,code-switched,2022-12-11 16:26:17
4,4141,"<b>Raw:</b> ‘ নৌকা আর পানি ,
এ ছাড়া কি,দেশে আর কিছু আছে 🧐
       রাষ্ট্রতো হাওয়ায় চলে🤐 @ Bandarban, Chittagong, Bangladesh https://t.co/AWTO3zlBG5<br><b>Clean</b>: bandarban chittagong bangladesh",some_english,2022-12-11 16:26:29
5,6806,"<b>Raw:</b> [1/2] Another feast! Challer roti (rice bread) and nolla (cow's trotters), mishti bakorkhani (like a sweet paratha) and mezbani gosht (a traditional beef curry from Chattogram / Chittagong), naan and seekh kebab, reshmi kebab (like chicken tikka), ... https://t.co/GQzrc7PwwB<br><b>Clean</b>: 12 another feast challer roti rice bread and nolla cows trotters mishti bakorkhani like a sweet paratha and mezbani gosht a traditional beef curry from chattogram chittagong naan and seekh kebab reshmi kebab like chicken tikka",code-switched,2022-12-11 16:26:48
6,1132,"<b>Raw:</b> Wedding of Sumon Vai♥
With friend's of Bizid ♥

Location: Azad_Community Center.

#Personal_Blog #rubelahmad08 @ Azad Community Center,hamjarbagh,chittagong https://t.co/9aWisqXSob<br><b>Clean</b>: wedding of sumon vai with friends of bizid location azadcommunity center azad community centerhamjarbaghchittagong",not-syntactic_standard_english,2022-12-11 16:27:00
7,3812,<b>Raw:</b> Election preparation at Akhter Hossain https://t.co/krVH6R55RN<br><b>Clean</b>: election preparation at akhter hossain,full_standard_english,2022-12-11 16:27:09
8,154,<b>Raw:</b> Just posted a photo @ Rangunia Upazila https://t.co/012agQvsbP<br><b>Clean</b>: just posted a photo rangunia upazila,,2022-12-11 16:27:12
9,3732,"<b>Raw:</b> 1 https://t.co/hLBfZKrZte kock🔥
2 H. Amla🔥
3 Faf du plessis🔥
4 R.Rossow🔥
5 https://t.co/56hvqbvmb9 Villiers🔥🔥
6 D. Miller🔥
7 JP Duminy🔥
8 Veron Philander🔥
9 Dale Steyn🔥
10 Morne Morkel🔥
11 Imran Tahir🔥

Can you imagine them?<br><b>Clean</b>: 1 kock 2 h amla 3 faf du plessis 4 r rossow 5 villiers 6 d miller 7 jp duminy 8 veron philander 9 dale steyn 10 morne morkel 11 imran tahir can you imagine them",,2022-12-11 16:27:18
10,2996,<b>Raw:</b> Dulhan mustard oil https://t.co/HAYAhIrj2o<br><b>Clean</b>: dulhan mustard oil,,2022-12-11 16:27:22
11,547,<b>Raw:</b> #oldmemories 😍😍🙏🙏 @ Bandarban Hill Tracts বান্দরবান পার্বত্য জেলা https://t.co/sDozVbJ4J8<br><b>Clean</b>: bandarban hill tracts,code-switched,2022-12-11 16:27:34
12,2543,"<b>Raw:</b> Just posted a photo @ Radisson Blu Bay View, Chottogram https://t.co/bSiGMpX9Tp<br><b>Clean</b>: just posted a photo radisson blu bay view chottogram",,2022-12-11 16:27:38
13,221,"<b>Raw:</b> 14th amongst 300 Participants.
#CCHM2022 @ Potenga Sea Beach, Chattogram https://t.co/b6kFkibzsK<br><b>Clean</b>: 14th amongst 300 participants potenga sea beach chattogram",non_standard_english,2022-12-11 16:27:53
14,1252,<b>Raw:</b> Finance department of PBBL family @ Agrabad https://t.co/mdCERng4Cq<br><b>Clean</b>: finance department of pbbl family agrabad,non_standard_english,2022-12-11 16:28:02
15,3896,<b>Raw:</b> Good Afternoon Brozz https://t.co/IrYJ5DKYGu<br><b>Clean</b>: good afternoon brozz,non_standard_english,2022-12-11 16:28:06
