,id_column,annotate_text,label,annotated_at
0,23818,"<b>Raw:</b> see, si thomer lang kampi ni Emma , match na agad...Match up lang  #MobileLegend Come join my Squad, Let us face off against the world's best MOBA players together!
https://t.co/xkskPmq9lf https://t.co/DxYbm2a39w<br><b>Clean</b>: see si thomer lang kampi ni emma match na agad match up lang come join my squad let us face off against the worlds best moba players together",some_english,2022-12-12 15:14:05
1,117,"<b>Raw:</b> Just posted a photo @ Shangri-La The Fort, Manila https://t.co/EiHh6Z8IpZ<br><b>Clean</b>: just posted a photo shangri la the fort manila",,2022-12-12 15:14:08
2,3164,"<b>Raw:</b> I'm at LRT2 - Legarda Station - @officiallrta in Manila, Metro Manila https://t.co/3mmqh2wqDN<br><b>Clean</b>: im at lrt2 legarda station in manila metro manila",,2022-12-12 15:14:10
3,20712,"<b>Raw:</b> “Stud service” open for stud fee and puppy share 
Murang stud ba hanap mo? PM mo ako! 👉🏻👌🏻❤️‍🔥

Location: Valenzuela https://t.co/HvjWmPgEEh<br><b>Clean</b>: stud service open for stud fee and puppy share murang stud ba hanap mo pm mo ako location valenzuela",code-switched,2022-12-12 15:14:15
4,2213,<b>Raw:</b> @Skat3lol @Jihoz_Axie just adding aka buff no nerf needed<br><b>Clean</b>: just adding aka buff no nerf needed,non_standard_english,2022-12-12 15:15:35
5,11540,"<b>Raw:</b> Juskupo, it’s my 3rd serving in Alfred’s Makati Diamond. I hate you delicious Filipino food https://t.co/Xig6LkpoCI<br><b>Clean</b>: juskupo its my 3rd serving in alfreds makati diamond i hate you delicious filipino food",code-switched,2022-12-12 15:20:20
6,18641,<b>Raw:</b> Its a tanabata kind of day. Make a wish!<br><b>Clean</b>: its a tanabata kind of day make a wish,code-switched,2022-12-12 15:20:36
7,7898,"<b>Raw:</b> @SimpleniRobredo Bwiset! Tawang-tawa ako sa yo kagabi. Hindi ko kinaya ang grand entrance mo madam! I live for it! I have three words for you: Bongga mo, ate! 😊🌸<br><b>Clean</b>: bwiset tawang tawa ako sa yo kagabi hindi ko kinaya ang grand entrance mo madam i live for it i have three words for you bongga mo ate",code-switched,2022-12-12 15:20:42
8,18927,"<b>Raw:</b> I wish one day, my eribong will also be one of those lightsticks which provide one big silver ocean to Exo!!! 😍 https://t.co/WGfkzeozu3<br><b>Clean</b>: i wish one day my eribong will also be one of those lightsticks which provide one big silver ocean to exo",code-switched,2022-12-12 15:20:47
9,19128,<b>Raw:</b> Still congrats to you my Hobi. You deserve more<br><b>Clean</b>: still congrats to you my hobi you deserve more,non_standard_english,2022-12-12 15:20:50
10,4604,<b>Raw:</b> Day 4 na ng kalokohan ko 😂<br><b>Clean</b>: day 4 na ng kalokohan ko,some_english,2022-12-12 15:20:57
11,22288,"<b>Raw:</b> Kinikilig ako! All the sweat, blood, tears, coffee, anxiety, stress, pressure, swallowing of pride, gastos, and everything else in between were all worth it. Pwede na magpack up while at the peak of it all! Emeeeeeeee! 🤣

Seriously, all thanks to the GREAT #GLgbTQTeam behind me. https://t.co/9bY6l0jC4Q<br><b>Clean</b>: kinikilig ako all the sweat blood tears coffee anxiety stress pressure swallowing of pride gastos and everything else in between were all worth it pwede na magpack up while at the peak of it all emeeeeeeee seriously all thanks to the great behind me",code-switched,2022-12-12 15:21:01
12,8798,"<b>Raw:</b> @jmdanganemd If a Marcos supporter believes that they didn’t steal anything &amp; no atrocities happened during Martial Law (di daw nakulong so di convicted, walang kaso) 8/10 you cannot convince them. I tried too. Look somewhere else… madami pa jan.<br><b>Clean</b>: if a marcos supporter believes that they didnt steal anything and no atrocities happened during martial law di daw nakulong so di convicted walang kaso 810 you cannot convince them i tried too look somewhere else madami pa jan",code-switched,2022-12-12 15:21:11
13,17205,"<b>Raw:</b> Ano sa tingin nyo? 
""Priest wanting to move to INC concerns Catholic Church"" https://t.co/V11V2Q8V4t<br><b>Clean</b>: ano sa tingin nyo priest wanting to move to inc concerns catholic church",,2022-12-12 15:21:15
14,7359,"<b>Raw:</b> As much as I like working more on site/at the office, it’s being outweighed by the money, effort and time wasted in commuting to go to/from work. Ayoko. WFH pa rin.<br><b>Clean</b>: as much as i like working more on siteat the office its being outweighed by the money effort and time wasted in commuting to go tofrom work ayoko wfh pa rin",code-switched,2022-12-12 15:21:30
15,5122,"<b>Raw:</b> @redzaaae True, I will vote for him as senator sana. Isko is a Duterte Lite🤫<br><b>Clean</b>: true i will vote for him as senator sana isko is a duterte lite",code-switched,2022-12-12 15:21:34
16,11609,<b>Raw:</b> Ma mahal na mahal ko din kayo sobra<br><b>Clean</b>: ma mahal na mahal ko din kayo sobra,not_english,2022-12-12 15:21:37
17,7986,"<b>Raw:</b> Love the ep topic bec #IWD / #IWM 😁

#NowListening to @thepinoymcufan
#PinoyPodcasts

https://t.co/jPcJHH32y4<br><b>Clean</b>: love the ep topic bec to",,2022-12-12 15:21:41
18,11854,<b>Raw:</b> @ZoeyCatBell Happy Birthday Sam Heughan from Manila Philippines today April 30🌺🌺🌸🌸🌸<br><b>Clean</b>: happy birthday sam heughan from manila philippines today april 30,,2022-12-12 15:21:44
19,6153,"<b>Raw:</b> Mas ok pala malate ng alis ng bahay eh, wala masyadong tao sa LRT2 Antipolo uwu<br><b>Clean</b>: mas ok pala malate ng alis ng bahay eh wala masyadong tao sa lrt2 antipolo uwu",not_english,2022-12-12 15:21:54
20,9776,<b>Raw:</b> Ouch dun sa “di pako ready” 🥹<br><b>Clean</b>: ouch dun sa di pako ready,some_english,2022-12-12 15:21:58
21,23903,<b>Raw:</b> @AlfredoGenom Mg imagine ka pa  libreng cheap troll!<br><b>Clean</b>: mg imagine ka pa libreng cheap troll,code-switched,2022-12-12 15:22:03
22,15594,"<b>Raw:</b> More photos with our Madam Michelle Ancheta na super sayang kausap. Thanks, ma'am MVA! 🦋❤️🦋 @ Diamond Express and General Services, Inc. https://t.co/ym680aVKll<br><b>Clean</b>: more photos with our madam michelle ancheta na super sayang kausap thanks maam mva diamond express and general services inc",code-switched,2022-12-12 15:22:13
23,1423,<b>Raw:</b> Thanos was right. Thanos saved the Earth from a total extinction level threat. https://t.co/F9D5dnylAE<br><b>Clean</b>: thanos was right thanos saved the earth from a total extinction level threat,full_standard_english,2022-12-12 15:22:21
24,18926,"<b>Raw:</b> @jcpunongbayan @leahnavarro At sana they learn from our other mistakes, dapat i purge ang enablers, dynasties and loyalists para maibalik talaga ang democracy!<br><b>Clean</b>: at sana they learn from our other mistakes dapat i purge ang enablers dynasties and loyalists para maibalik talaga ang democracy",code-switched,2022-12-12 15:22:25
25,17699,"<b>Raw:</b> Aerial highlights from yesterday’s Pride March!! 
Happy Pride, everyone! 🏳️‍🌈🏳️‍🌈🏳️‍🌈

@mmprideorg 
#AtinAngKulayaan
#Pride2022 

🎵 Raise Your Flag
Song by KZ Tandingan and Kritiko

🎥 yours truly~ https://t.co/kutpQBuVAq<br><b>Clean</b>: aerial highlights from yesterdays pride march happy pride everyone raise your flag song by kz tandingan and kritiko yours truly",,2022-12-12 15:22:29
26,12771,<b>Raw:</b> Lord ito na yun. Boboto na kami para sa future ng Pilipinas. 💖🇵🇭<br><b>Clean</b>: lord ito na yun boboto na kami para sa future ng pilipinas,code-switched,2022-12-12 15:22:35
27,14548,"<b>Raw:</b> Goodmorning see you tonight at @the_rm16  💋

#djkhimcustodio 
#Sikatentertainment @ RM-16 https://t.co/VtDQAS0JwF<br><b>Clean</b>: goodmorning see you tonight at rm 16",,2022-12-12 15:22:40
28,18977,<b>Raw:</b> Kung opportunity man ang mga pinalagpas ko nuon. Sorry Lord.. kung pg bibigyan pa ko ngayun. Im more than ready.. 🙏 in Your sweet perfect time…<br><b>Clean</b>: kung opportunity man ang mga pinalagpas ko nuon sorry lord kung pg bibigyan pa ko ngayun im more than ready in your sweet perfect time,code-switched,2022-12-12 15:22:44
29,14118,"<b>Raw:</b> @KapitanMD Dm mo area mo doc gwapo, padala ako ng coffee<br><b>Clean</b>: dm mo area mo doc gwapo padala ako ng coffee",some_english,2022-12-12 15:22:52
30,6303,<b>Raw:</b> I'm no longer good with new people talaga 😅<br><b>Clean</b>: im no longer good with new people talaga,code-switched,2022-12-12 15:22:55
31,8523,<b>Raw:</b> @mariagrasya_ Sorry nak ganto lang ako 🥺👉👈 HAHAHA<br><b>Clean</b>: sorry nak ganto lang ako hahaha,code-switched,2022-12-12 15:22:59
32,12786,"<b>Raw:</b> Happy bday love ❤️🌷🎂🥂 @ Quezon City, Philippines https://t.co/7V4ESjdvhR<br><b>Clean</b>: happy bday love quezon city philippines",,2022-12-12 15:23:02
33,11225,<b>Raw:</b> @KTHV_twt_BTS_ Hi V my name is Lalaine💜<br><b>Clean</b>: hi v my name is lalaine,,2022-12-12 15:23:05
34,18487,"<b>Raw:</b> @EPC4878 Yung s Gen Zs sa amin too comfortable in general. Always late or pumapasok on their own time, natutulog in the open, nagwawatch ng movie during office hours etc. 
ayun terminated ang contracts lol<br><b>Clean</b>: yung s gen zs sa amin too comfortable in general always late or pumapasok on their own time natutulog in the open nagwawatch ng movie during office hours etc ayun terminated ang contracts lol",code-switched,2022-12-12 15:23:10
35,8211,"<b>Raw:</b> ""Sabi nga nila, 'yung mga most wise people have gone through the most things in life.""
©️ @walwalseshpod<br><b>Clean</b>: sabi nga nila yung mga most wise people have gone through the most things in life",code-switched,2022-12-12 15:23:16
36,3515,<b>Raw:</b> Naka install lang ata itong twitter ko sa phone ko 😅 Pero will try be active again! ❤<br><b>Clean</b>: naka install lang ata itong twitter ko sa phone ko pero will try be active again,code-switched,2022-12-12 15:23:26
37,6593,"<b>Raw:</b> I just imagining Viarkin singing ""Ikaw ang Musika"" while listening to the song and it feels so real 🥰❤️<br><b>Clean</b>: i just imagining viarkin singing ikaw ang musika while listening to the song and it feels so real",code-switched,2022-12-12 15:23:35
38,22606,<b>Raw:</b> Absolute proof that Duterte is nothing but a Mantoloking failure  his own crony Demnis Uy is defaulting ang going bankrupt. Duterte deserves to spend d rest of his life humiliated in a European ail<br><b>Clean</b>: absolute proof that duterte is nothing but a mantoloking failure his own crony demnis uy is defaulting ang going bankrupt duterte deserves to spend d rest of his life humiliated in a european ail,non_standard_english,2022-12-12 15:23:47
39,11134,"<b>Raw:</b> ganda ng gising ko full charged cp ko, hehe.<br><b>Clean</b>: ganda ng gising ko full charged cp ko hehe",some_english,2022-12-12 15:23:55
40,18859,"<b>Raw:</b> Inflation is real mas maging ""budget &amp; spend wisely!"" ngayon<br><b>Clean</b>: inflation is real mas maging budget and spend wisely ngayon",code-switched,2022-12-12 15:23:58
41,15707,<b>Raw:</b> @kimalvaro_ Libre na nga? aarte pa daw ba haha<br><b>Clean</b>: libre na nga aarte pa daw ba haha,not_english,2022-12-12 15:24:05
42,17647,<b>Raw:</b> Uhm please marvel!! My daddy needs some introduction https://t.co/DaZ7jTIWnF<br><b>Clean</b>: uhm please marvel my daddy needs some introduction,,2022-12-12 15:24:12
43,6793,<b>Raw:</b> P70 per liter and traffic isn’t helping at all. Langyang yan. Hassle. @ Pasig https://t.co/LSBXx8DleQ<br><b>Clean</b>: p70 per liter and traffic isnt helping at all langyang yan hassle pasig,code-switched,2022-12-12 15:24:17
44,20136,<b>Raw:</b> Just posted a photo @ Camp Crame https://t.co/HKiFwWrO75<br><b>Clean</b>: just posted a photo camp crame,,2022-12-12 15:24:19
45,8400,<b>Raw:</b> @Ropositive Yaah sana..cant understand the chat.<br><b>Clean</b>: yaah sana cant understand the chat,code-switched,2022-12-12 15:24:22
46,10795,<b>Raw:</b> Grabe mag Twist mg Information ang @ABSCBNNews against Isko and in Favor of Leni. I am quite surprised! Ngayon ko nakita kung gaano kayo ka-bias! Para din pala kayong SMNI mainstream nga lang tsk tsk tsk. Now I've seen how dirty politics truly is.<br><b>Clean</b>: grabe mag twist mg information ang against isko and in favor of leni i am quite surprised ngayon ko nakita kung gaano kayo ka bias para din pala kayong smni mainstream nga lang tsk tsk tsk now ive seen how dirty politics truly is,code-switched,2022-12-12 15:24:26
47,5593,<b>Raw:</b> watching this video about Retailing in the Metaverse<br><b>Clean</b>: watching this video about retailing in the metaverse,non_standard_english,2022-12-12 15:24:36
48,13353,"<b>Raw:</b> The Plague skin looks so gooooooood that I want to projectile vomit on survivors!
Adiris looks so fieeeeeeeerce ❤️
#ThePlague https://t.co/is3J1ox1bO<br><b>Clean</b>: the plague skin looks so gooooooood that i want to projectile vomit on survivors adiris looks so fieeeeeeeerce",,2022-12-12 15:24:42
49,156,"<b>Raw:</b> Happy birthday my Queen😘💕
Iloveyou so much

#JISOOBIRTHDAY 
#BLACKPINK 
#YGFAMILY 
#BLINKs https://t.co/Ko8FCgN1Hl<br><b>Clean</b>: happy birthday my queen iloveyou so much",,2022-12-12 15:24:46
