,id_column,annotate_text,label,annotated_at
0,17931,"<b>Raw:</b> Just to Flex my beautiful Country Philippines
Yasemin is in Palawan El Nido Philippines https://t.co/qeKue0X2eD<br><b>Clean</b>: just to flex my beautiful country philippines yasemin is in palawan el nido philippines",,2022-12-10 11:52:54
1,15167,<b>Raw:</b> kaloka di pa naman ako regular may promotion na agad 🫣❤️<br><b>Clean</b>: kaloka di pa naman ako regular may promotion na agad,some_english,2022-12-10 11:52:58
2,18098,"<b>Raw:</b> hanep tong nanay ko, since friday is wash day nga.. 

mama: nak ang pangit ng suot mo, dalaga ka pa ba? 

anong pangit dito? at saka what's wrong when I dressed like before? tao pa rin naman ako, nag level up lang, should I say 😒 tsss<br><b>Clean</b>: hanep tong nanay ko since friday is wash day nga mama nak ang pangit ng suot mo dalaga ka pa ba anong pangit dito at saka whats wrong when i dressed like before tao pa rin naman ako nag level up lang should i say tsss",code-switched,2022-12-10 11:53:10
3,22786,<b>Raw:</b> @iskolyosis @iloveruffag Love talaga ko ni Lord 🫶🏻Ano muna ulet meaning NGA🤔 https://t.co/m7wWeczkL3<br><b>Clean</b>: love talaga ko ni lord ano muna ulet meaning nga,some_english,2022-12-10 11:53:23
4,8774,"<b>Raw:</b> Ang aga at ang dami. 😅

Good morning tweeps! #VitaminCee<br><b>Clean</b>: ang aga at ang dami good morning tweeps",code-switched,2022-12-10 11:53:27
5,15689,<b>Raw:</b> ang kati na ng tattoo ko hindi na nakakatuwa 🥹<br><b>Clean</b>: ang kati na ng tattoo ko hindi na nakakatuwa,some_english,2022-12-10 11:53:32
6,6242,"<b>Raw:</b> Used to be my “Backwell” address… (likod ng rockwell 🤣🤣🤣🤣🤣) 🛵🛵🛵#kymcolikeitalia @ Poblacion, Makati https://t.co/cXHQZFYOQX<br><b>Clean</b>: used to be my backwell address likod ng rockwell poblacion makati",,2022-12-10 11:53:37
7,13053,"<b>Raw:</b> Me: Before.... 

Now:

Mamatay din naman kayo https://t.co/kha2UrETy4<br><b>Clean</b>: me before now mamatay din naman kayo",some_english,2022-12-10 11:53:43
8,23488,"<b>Raw:</b> If wala naman, yung money mo nag ggrow lang dahil sa Investment. Pwede mong magamit for Education Funding, Capital for Business, Retirement, and pang bili ng assets.

Walang talo diba, may peace of mind ka pa dahil secure na ang future mo at ng family mo. 🤗💖

ctto of the photo<br><b>Clean</b>: if wala naman yung money mo nag ggrow lang dahil sa investment pwede mong magamit for education funding capital for business retirement and pang bili ng assets walang talo diba may peace of mind ka pa dahil secure na ang future mo at ng family mo ctto of the photo",some_english,2022-12-10 11:53:54
9,24032,<b>Raw:</b> Saan kaya ulit kami sa December hahaha<br><b>Clean</b>: saan kaya ulit kami sa december hahaha,not_english,2022-12-10 11:54:07
10,3175,<b>Raw:</b> @KianRoyPili @maynilad HAHAHA KAKA DELIVER LANG AH UHAW AGAD<br><b>Clean</b>: hahaha kaka deliver lang ah uhaw agad,not_english,2022-12-10 11:54:11
