,id_column,annotate_text,label,annotated_at
0,12184,<b>Raw:</b> @RajaBrar_INC Eid ul Fitr Mubarak to you and All Congressmen https://t.co/8YExG20ppg<br><b>Clean</b>: eid ul fitr mubarak to you and all congressmen,code-switched,2022-12-10 20:23:12
1,19205,<b>Raw:</b> @WasiuddinSiddi1 Ainu bhi karo andar 😡<br><b>Clean</b>: ainu bhi karo andar,not_english,2022-12-10 20:23:18
2,5494,<b>Raw:</b> @dhairya_PJS Yaar ye hai kya cheez.. Been seeing it around quite a lot.<br><b>Clean</b>: yaar ye hai kya cheez been seeing it around quite a lot,code-switched,2022-12-10 20:23:22
3,281,"<b>Raw:</b> Do gaj ki duri ,
Mask hai jaruri ❣️
#MaskUpIndia https://t.co/BpxCXxrVI5<br><b>Clean</b>: do gaj ki duri mask hai jaruri",some_english,2022-12-10 20:23:26
4,9450,"<b>Raw:</b> Hey @ReallySwara , at your service!
- Brahamastra🤭😉🤣😂🐱✌️
Ola Hai Ki Uber🤣😂 https://t.co/lkTsn5DCY0<br><b>Clean</b>: hey at your service brahamastra ola hai ki uber",code-switched,2022-12-10 20:23:30
5,19790,<b>Raw:</b> In rangpuri mahipalpur area near aerosity we facing this. 4 hours<br><b>Clean</b>: in rangpuri mahipalpur area near aerosity we facing this 4 hours,not-syntactic_standard_english,2022-12-10 20:23:44
6,4319,<b>Raw:</b> धर्म कर्म में विश्वास रखने वाले हसमुख मिलनसार @BJP4Delhi के कोषाध्यक्ष मेरे बड़े भाई @visshnumittal जी को शादी की वर्षगांठ की हार्दिक शुभकामनाएं बधाई. God bless you bhaiya. https://t.co/uWC8KJ8JRh<br><b>Clean</b>: god bless you bhaiya,code-switched,2022-12-10 20:23:47
7,17851,"<b>Raw:</b> Painted cubone, embarking on a new journey. Thank you! 

#pokemon #cubone #digitalpainting  #PokemonArt  @Pokemon https://t.co/sULpbBgAc3<br><b>Clean</b>: painted cubone embarking on a new journey thank you",full_standard_english,2022-12-10 20:23:58
8,797,<b>Raw:</b> Public winner Umar riaz<br><b>Clean</b>: public winner umar riaz,not-syntactic_standard_english,2022-12-10 20:24:02
9,293,"<b>Raw:</b> I,Tanvi Sharma,Law Student of Shri Gobind Singh Inderparstha , University,Delhi Dr.Vijay whose clinic""Sonadi Animal Care Centre""
I request ur @narendramodi
to inspect his clinic and ban him from practising in future @PMOIndia @PRupala @CPDelhi @LtGovDelhi https://t.co/S2HhEgJK8O<br><b>Clean</b>: itanvi sharmalaw student of shri gobind singh inderparstha universitydelhi dr vijay whose clinicsonadi animal care centre i request ur to inspect his clinic and ban him from practising in future",code-switched,2022-12-10 20:24:06
10,9834,"<b>Raw:</b> 🚩🚩🚩🚩🚩🚩🚩🚩🚩
  *जय श्री राम, जय माता दी*

*नवरात्रि पर्व एवं भगवान श्री राम जी के अवतरण महोत्सव की आप सबको हार्दिक शुभकामनाएं*
*भगवान श्री हरि के रूप में माता लक्ष्मी जी के साथ आपके ह्रदय में वास करें एवं परिवार में कृपा करें*
🙏Jai Hind 🇮🇳  Jai sanaatan🙏 🕉🚩🚩🚩🚩🚩🚩🚩<br><b>Clean</b>: jai hind jai sanaatan",not_english,2022-12-10 20:24:10
11,7770,<b>Raw:</b> @Cappuccin003 Isse v bara common issue 'Aur chalao phone' 🥲✨<br><b>Clean</b>: isse v bara common issue aur chalao phone,code-switched,2022-12-10 20:24:14
12,2762,"<b>Raw:</b> @dishaistired Idk you'll always be sweeter
And i am 20🥲
Stop treating me like a kid<br><b>Clean</b>: idk youll always be sweeter and i am 20 stop treating me like a kid",non_standard_english,2022-12-10 20:24:20
13,7239,<b>Raw:</b> Satpal Maharaj is first like for next president. जय श्री राम जय श्री कृष्ण हर हर महादेव जय भवानी<br><b>Clean</b>: satpal maharaj is first like for next president,not-syntactic_standard_english,2022-12-10 20:24:26
14,18281,"<b>Raw:</b> #NariShaktiDeshKiShakti
PM Modi will be attending a programme in Prayagraj and will be transferring ₹20 lakh crores to 1 lakh beneficiaries of Mukhya Mantri Kanya Sumangala Scheme.<br><b>Clean</b>: pm modi will be attending a programme in prayagraj and will be transferring 20 lakh crores to 1 lakh beneficiaries of mukhya mantri kanya sumangala scheme",code-switched,2022-12-10 20:24:35
15,21471,<b>Raw:</b> @TheNavneet_ Jai hind🇮🇳 Jai sanatan 🙏🕉🚩🚩<br><b>Clean</b>: jai hind jai sanatan,not_english,2022-12-10 20:24:38
16,7475,<b>Raw:</b> @imsandhya2021 Khudh ko badlo ladle bahut sare h<br><b>Clean</b>: khudh ko badlo ladle bahut sare h,not_english,2022-12-10 20:24:41
17,2034,<b>Raw:</b> @SwatiKu08089551 Kya baat hai v.v hot 🔥 pic<br><b>Clean</b>: kya baat hai v v hot pic,some_english,2022-12-10 20:24:45
18,19622,<b>Raw:</b> @aajtak 🙏🏻💐🙏🏻 NAMASTE Please sport me https://t.co/6oBclD7UKC<br><b>Clean</b>: namaste please sport me,code-switched,2022-12-10 20:24:51
19,24011,<b>Raw:</b> @ranvijaylive @Saankritvishal Shameless BJP leader n Shameless BJP administration in UP.<br><b>Clean</b>: shameless bjp leader n shameless bjp administration in up,non_standard_english,2022-12-10 20:24:58
20,2095,<b>Raw:</b> @Danish29804850 @_sayema Tere kaun papa hai...do you know?<br><b>Clean</b>: tere kaun papa hai do you know,code-switched,2022-12-10 20:25:01
