,id_column,annotate_text,label,annotated_at
0,16583,"<b>Raw:</b> @UPPCLLKO @1912PVVNL @pvvnlghaziabad @PVVNLHQ no light from yesterday evening

What kind of service is this? 

DLF Ankur Vihar, Loni, Ghaziabad
Power station Chaman Vihar

1912 not working<br><b>Clean</b>: no light from yesterday evening what kind of service is this dlf ankur vihar loni ghaziabad power station chaman vihar 1912 not working",non_standard_english,2022-12-10 14:33:05
1,11360,<b>Raw:</b> @WeThePeople3009 Good Morning Shenaz brother<br><b>Clean</b>: good morning shenaz brother,not-syntactic_standard_english,2022-12-10 14:33:14
2,9,"<b>Raw:</b> 1. Budhadhdham Sharnam Gachchami.

A man must swallow more belief than he can digest. https://t.co/XlDf7jVTGF<br><b>Clean</b>: 1 budhadhdham sharnam gachchami a man must swallow more belief than he can digest",code-switched,2022-12-10 14:33:18
3,4180,<b>Raw:</b> Just posted a photo @ Sycorian Matrimonial Services Ltd https://t.co/5T2mFsZ4Ln<br><b>Clean</b>: just posted a photo sycorian matrimonial services ltd,,2022-12-10 14:33:21
4,23509,<b>Raw:</b> @GODSTODAY Jai shree hari subh<br><b>Clean</b>: jai shree hari subh,not_english,2022-12-10 14:33:24
5,22395,"<b>Raw:</b> Theft Rs 50000 by breaking Bag of my wife  by SpiceJet  11/08/2022  PNR-RDIVPW, Flight-SG8390 Patna-Delhi timing 09.20 to 11.20PM. Bag Tag no.- SG07751339113
SpiceJet Case 10109262.
FIR- 208/22
B K Gupta, JUDGE @SpicejetS @SpicejetS @PatnaPolice @Pib_MoCA @AAI_Official @CISFHQrs<br><b>Clean</b>: theft rs 50000 by breaking bag of my wife by spicejet 11082022 pnr rdivpw flight sg8390 patna delhi timing 09 20to 11 20pm bag tag no sg07751339113 spicejet case 10109262 fir 20822 b k gupta judge",code-switched,2022-12-10 14:33:37
6,23708,<b>Raw:</b> Ek city ka mayor hai ...aur us City ka bahut bura haal kar diya hai .... https://t.co/W5b4Cx8mi3<br><b>Clean</b>: ek city ka mayor hai aur us city ka bahut bura haal kar diya hai,code-switched,2022-12-10 14:33:41
7,1755,<b>Raw:</b> Just posted a photo @ ASTRO Shaliini Malhottra https://t.co/vXaBTIHR4v<br><b>Clean</b>: just posted a photo astro shaliini malhottra,,2022-12-10 14:33:43
8,10291,<b>Raw:</b> BT Sport after the Atletico Madrid players jumped City #savic #grealish #foden https://t.co/TGleIGsYqy<br><b>Clean</b>: bt sport after the atletico madrid players jumped city,non_standard_english,2022-12-10 14:33:46
9,19662,<b>Raw:</b> Je Tu Message Like hi Karna c Ta Pehla Text kita hi kyu?✨<br><b>Clean</b>: je tu message like hi karna c ta pehla text kita hi kyu,some_english,2022-12-10 14:33:51
10,12141,<b>Raw:</b> @TajinderBagga Aur family vacation ke liye aircraft carrier le jata h<br><b>Clean</b>: aur family vacation ke liye aircraft carrier le jata h,code-switched,2022-12-10 14:33:55
11,13881,"<b>Raw:</b> @arunbothra Dussehri sucks, safeda is shitty, it's langda that's the real deal. The alphanso continues to rock 🤘<br><b>Clean</b>: dussehri sucks safeda is shitty its langda thats the real deal the alphanso continues to rock",non_standard_english,2022-12-10 14:34:03
12,292,"<b>Raw:</b> In all ernest, i would rather concentrate on my Chole Bature or MotiChoor ladoo if and when I visit Haldirams ! https://t.co/8tPSXPKWA5<br><b>Clean</b>: in all ernest i would rather concentrate on my chole bature or motichoor ladoo if and when i visit haldirams",code-switched,2022-12-10 14:38:23
