,id_column,annotate_text,label,annotated_at
0,17854,"<b>Raw:</b> CA No -60003794223
Krishan Vihar Delhi 110086 MCD School Street... https://t.co/MUI5wADyOE<br><b>Clean</b>: ca no 60003794223 krishan vihar delhi 110086 mcd school street",non_standard_english,2022-12-10 13:46:53
1,4600,"<b>Raw:</b> @Virendrauptv 

Shri Hari 
Hari Aum
🙏 https://t.co/dnG558vuXg<br><b>Clean</b>: shri hari hari aum",not_english,2022-12-10 13:46:57
2,13193,<b>Raw:</b> @DhyeyMishra @Drs_Dilemma She was a GMCite😂<br><b>Clean</b>: she was a gmcite,non_standard_english,2022-12-10 13:47:00
3,16860,"<b>Raw:</b> https://t.co/BxKnh5zENO

Sunday Video Story | “One catches more flies with honey than with vinegar."" | *Dr.Parveen Bhatia* 

Video credits:
*Dr.Dinesh*, Associate Professor
ABVIMS and Dr RML Hospital,
 New Delhi 

Venue:
Maharishi Dayanand University (M.D.U Campus), Rohtak<br><b>Clean</b>: sunday video story one catches more flies with honey than with vinegar dr parveen bhatia video credits dr dinesh associate professor abvims and dr rml hospital new delhi venue maharishi dayanand university m d u campus rohtak",,2022-12-10 13:47:05
4,13847,"<b>Raw:</b> D.R.E.A.M.S....
||OM NAMAH SHIVAYA|| https://t.co/BU3qkLpVLS<br><b>Clean</b>: d r e a m s om namah shivaya",non_standard_english,2022-12-10 13:47:09
5,14841,"<b>Raw:</b> Literally, Steve's a keeper

#StrangerThings https://t.co/C9zw2ziv4D<br><b>Clean</b>: literally steves a keeper",not-syntactic_standard_english,2022-12-10 13:47:17
6,22793,<b>Raw:</b> @vinodkapri @narendramodi Targeted Hindus by Congis<br><b>Clean</b>: targeted hindus by congis,non_standard_english,2022-12-10 13:47:22
7,20486,<b>Raw:</b> Axar patel you beauty🔥🔥🔥🔥<br><b>Clean</b>: axar patel you beauty,not-syntactic_standard_english,2022-12-10 13:47:31
8,6348,<b>Raw:</b> @LostEdenNFT marked for wl consideration.<br><b>Clean</b>: marked for wl consideration,non_standard_english,2022-12-10 13:47:54
9,21446,<b>Raw:</b> Powe cut naipura electricity board (Loni) ... morning 3:30 ...why many times power cut this department.   @pvvnlghaziabad @MdPvvnl @AE_CCC_PVVNL @UPPCLLKO @EMofficeUP @Pawanjha1996<br><b>Clean</b>: powe cut naipura electricity board loni morning 330 why many times power cut this department,code-switched,2022-12-10 13:48:00
10,9261,"<b>Raw:</b> @nyetsott Alhamdulillah, remember us too in ur Dua.<br><b>Clean</b>: alhamdulillah remember us too in ur dua",code-switched,2022-12-10 13:48:06
11,7576,"<b>Raw:</b> Waheguru ji ka khalsa
Waheguru ji ki fatah !!

#darshan #darbarsahib #amritsar https://t.co/0n49jGy2b1<br><b>Clean</b>: waheguru ji ka khalsa waheguru ji ki fatah",not_english,2022-12-10 13:48:11
12,17920,"<b>Raw:</b> ®Daniel Electric @ Noida Extension, Greater Noida West https://t.co/YZvN5CPecO<br><b>Clean</b>: daniel electric noida extension greater noida west",non_standard_english,2022-12-10 13:48:34
13,23947,<b>Raw:</b> @Avenika7575 Good morning 🌅 avenika ji kaise hai app<br><b>Clean</b>: good morning avenika ji kaise hai app,code-switched,2022-12-10 13:48:40
14,24181,"<b>Raw:</b> La gouvernance mondiale est de la plus haute importance. Nous devons penser comme Un et non comme différents pays, nationalités ou sociétés…

https://t.co/oSWKkmAnhg https://t.co/OHR4Lvb8Ul<br><b>Clean</b>: la gouvernance mondiale est de la plus haute importance nous devons penser comme un et non comme différents pays nationalités ou sociétés",some_english,2022-12-10 13:48:44
15,2480,<b>Raw:</b> @Swatisahu08 Ab to nahi ho rahi hai na 🙄😂<br><b>Clean</b>: ab to nahi ho rahi hai na,not_english,2022-12-10 13:48:47
16,14685,"<b>Raw:</b> About to turn 22 and now I understand the actual meaning of @asliyoyo songs 
Wrna 12 saal ki umar mein toh bas gaa rahe the loop pe gaane! 

#hangover #chaarbottlevodka #yoyo #yoyohoneysingh https://t.co/XUOrX0EORy<br><b>Clean</b>: about to turn 22 and now i understand the actual meaning of songs wrna 12 saal ki umar mein toh bas gaa rahe the loop pe gaane",code-switched,2022-12-10 13:48:54
17,1936,<b>Raw:</b> @ianuragbisht Sushant day under Plug 19<br><b>Clean</b>: sushant day under plug 19,non_standard_english,2022-12-10 13:49:03
18,14052,<b>Raw:</b> @iambellahazel1 Aaj mein shant tha 🤭🤭🤭🤣🤣🤣🤣🤣🤣<br><b>Clean</b>: aaj mein shant tha,not_english,2022-12-10 13:49:06
19,799,<b>Raw:</b> Public winner Umar Riaz<br><b>Clean</b>: public winner umar riaz,not-syntactic_standard_english,2022-12-10 13:49:11
