,id_column,annotate_text,label,annotated_at
0,1024,"<b>Raw:</b> Urs E Sultan Ul Hind ❤️ Mubarak. @ Dohazari, Chittagong, Bangladesh https://t.co/GmbmsO4qFA<br><b>Clean</b>: urs e sultan ul hind mubarak dohazari chittagong bangladesh",some_english,2022-12-10 12:17:18
1,3584,"<b>Raw:</b> This Random Girl Is Pretty Cute😍🥰 @ Neval Beach,chattogram https://t.co/CniOcakudC<br><b>Clean</b>: this random girl is pretty cute neval beachchattogram",not-syntactic_standard_english,2022-12-10 12:17:26
2,6325,"<b>Raw:</b> If I could be a pilot, I could fly this plane in the sky  🥰🥰🥰
#baf #shaheen #bafsc #ctg @ BAF Base ZHR, Patenga, CTG https://t.co/EY9cCWUhwL<br><b>Clean</b>: if i could be a pilot i could fly this plane in the sky baf base zhr patenga ctg",,2022-12-10 12:17:33
3,898,"<b>Raw:</b> Just posted a photo @ Potenga Sea Beach, Chattogram https://t.co/AuEdSskXcc<br><b>Clean</b>: just posted a photo potenga sea beach chattogram",,2022-12-10 12:17:36
4,1699,<b>Raw:</b> Oh yes y'all pls https://t.co/TC35bg4qOY<br><b>Clean</b>: oh yes yall pls,non_standard_english,2022-12-10 12:17:39
5,596,"<b>Raw:</b> Just posted a photo @ Halishahar, Shabujbag, Chittagong https://t.co/sztlgc5sJY<br><b>Clean</b>: just posted a photo halishahar shabujbag chittagong",,2022-12-10 12:17:41
6,2295,"<b>Raw:</b> @MAHM619 hi,r u support me?<br><b>Clean</b>: hir u support me",non_standard_english,2022-12-10 12:17:44
7,6911,"<b>Raw:</b> 16 Dec in CRB, Chittagong https://t.co/jHhcvv96uP<br><b>Clean</b>: 16 dec in crb chittagong",non_standard_english,2022-12-10 12:17:48
8,7207,<b>Raw:</b> Parvej tech youtube chanel https://t.co/s9f3Y7LZr3<br><b>Clean</b>: parvej tech youtube chanel,non_standard_english,2022-12-10 12:17:53
9,3669,"<b>Raw:</b> What is mine is only mine🥀✨ @ Neval Beach,chattogram https://t.co/FSM21B7Iv3<br><b>Clean</b>: what is mine is only mine neval beachchattogram",not-syntactic_standard_english,2022-12-10 12:17:59
10,169,"<b>Raw:</b> Saito is Coin of the Day on LunarCrush!

Galaxy Score™ 64/100
AltRank™ 178/3443
Price $0.09  -1.93%  

View real-time Saito metrics at https://t.co/hfZ4cavfp6 https://t.co/hfZ4cavfp6<br><b>Clean</b>: saito is coin of the day on lunarcrush galaxy score 64100 altrank 1783443 price 0 09 1 93 view real time saito metrics at",non_standard_english,2022-12-10 12:18:03
11,823,<b>Raw:</b> Once upon a time at ZOUK 🍽🍹 @ Dampara https://t.co/n0oqhHalLG<br><b>Clean</b>: once upon a time at zouk dampara,,2022-12-10 12:18:08
12,3536,"<b>Raw:</b> ঈদ মোবারক @ নাসিরাবাদ হাউজিং সোসাইটি Nasirabad Housing Society, Chittagong https://t.co/UUVz8WOxIv<br><b>Clean</b>: nasirabad housing society chittagong",code-switched,2022-12-10 12:18:11
13,1698,"<b>Raw:</b> Somi : idk man, whatchu saying huh? Why am I trending https://t.co/IuyoX7WPF4<br><b>Clean</b>: somi idk man whatchu saying huh why am i trending",non_standard_english,2022-12-10 12:18:15
14,6736,"<b>Raw:</b> Nothing AirPods 1.
Buy now: https://t.co/Ua7sNi6Z6f https://t.co/W87zSmHGr3<br><b>Clean</b>: nothing airpods 1 buy now",not-syntactic_standard_english,2022-12-10 12:18:20
15,419,<b>Raw:</b> -•-♥️Holly Jummah Mubarak♥️-•- @ Shadhinata Complex-Mini Bangladesh https://t.co/lUBGfrriZG<br><b>Clean</b>: holly jummah mubarak shadhinata complex mini bangladesh,some_english,2022-12-10 12:18:28
16,225,<b>Raw:</b> My son's &amp;  Ferdous https://t.co/drNMC7pvnu<br><b>Clean</b>: my sons and ferdous,not-syntactic_standard_english,2022-12-10 12:18:33
17,1029,<b>Raw:</b> @MilitaryBMA_BD Proud of you-BMABD<br><b>Clean</b>: proud of you bmabd,not-syntactic_standard_english,2022-12-10 12:18:44
18,3975,"<b>Raw:</b> Dua for the children's protection!
#duaoftheday 
#allah 
#prophetmuhammadﷺ @ Chittagong City - চট্টগ্রাম শহর https://t.co/J0AWB8Bd62<br><b>Clean</b>: dua for the childrens protection chittagong city",non_standard_english,2022-12-10 12:19:00
