,id_column,annotate_text,label,annotated_at
0,5630,<b>Raw:</b> @DAZNBoxing BLSHT fuck this shit<br><b>Clean</b>: blsht fuck this shit,non_standard_english,2022-12-11 01:14:17
1,1881,<b>Raw:</b> @ChelseaFC Buy lewendowski or Cavani or Suarez we need goals sack Lukaku he worthless please<br><b>Clean</b>: buy lewendowski or cavani or suarez we need goals sack lukaku he worthless please,code-switched,2022-12-11 01:14:21
2,9716,"<b>Raw:</b> Allen oldfather whipple, you’re a fricking genius. A specimen picture worthy of a shoutout into the void after 6 years on this bird app. #HPBTwitter https://t.co/BzOnAgwM7F<br><b>Clean</b>: allen oldfather whipple youre a fricking genius a specimen picture worthy of a shoutout into the void after 6 years on this bird app",non_standard_english,2022-12-11 01:14:26
3,18010,"<b>Raw:</b> @zomato kya aap plastic free food delivery karoge?

See how people in red dresses are taking plastic from Noida.

 https://t.co/EF3EBPOotV https://t.co/TUpSOawTl4<br><b>Clean</b>: kya aap plastic free food delivery karoge see how people in red dresses are taking plastic from noida",code-switched,2022-12-11 01:14:29
4,9037,<b>Raw:</b> Tweeter pe upasthit sabhi rashtrawadi aur hindutivuvadi dosto ko subh prabhat Jai mata di jai shree ram dosto please RT and like My tweets Jai mata di https://t.co/ZnstOWEwY0<br><b>Clean</b>: tweeter pe upasthit sabhi rashtrawadi aur hindutivuvadi dosto ko subh prabhat jai mata di jai shree ram dosto please rt and like my tweets jai mata di,some_english,2022-12-11 01:14:34
5,4017,<b>Raw:</b> @BaljeetBehror Good work baljeet Bhai....I am big fan u<br><b>Clean</b>: good work baljeet bhai i am big fan u,non_standard_english,2022-12-11 01:14:37
6,12065,"<b>Raw:</b> #T048
This is the real struggle, Ananya Pandey 🥵 https://t.co/sRKBxDEv5b<br><b>Clean</b>: this is the real struggle ananya pandey",not-syntactic_standard_english,2022-12-11 01:14:43
7,3185,<b>Raw:</b> @Thapa4INC @TusharG Excellent Tribute to Bapu.<br><b>Clean</b>: excellent tribute to bapu,code-switched,2022-12-11 01:14:48
8,18000,<b>Raw:</b> @ArvindKejriwal Beta Gujarat wala hi desh chala Raha he.... Tum apni dekho....tum free wale CM ho ek din India ko Sri Lanka Bna doge<br><b>Clean</b>: beta gujarat wala hi desh chala raha he tum apni dekho tum free wale cm ho ek din india ko sri lanka bna doge,some_english,2022-12-11 01:14:54
9,11623,<b>Raw:</b> Madhya Pradesh ka bhi bata do yeh hypocrisy nahin hai https://t.co/PqbG8zxkb9<br><b>Clean</b>: madhya pradesh ka bhi bata do yeh hypocrisy nahin hai,some_english,2022-12-11 01:14:59
10,2839,<b>Raw:</b> @nobita_isay Wah deewane hue pagal wale scientist ka toota mere pas hai 🤣<br><b>Clean</b>: wah deewane hue pagal wale scientist ka toota mere pas hai,some_english,2022-12-11 01:23:48
11,3580,<b>Raw:</b> @Ptr6Vb Can't beleiv my eyes.<br><b>Clean</b>: cant beleiv my eyes,non_standard_english,2022-12-11 01:23:51
12,857,<b>Raw:</b> @starrytalks Apki love marriage thi?<br><b>Clean</b>: apki love marriage thi,code-switched,2022-12-11 01:23:57
13,1214,"<b>Raw:</b> @ssrajput288 @V_Choudhary_27 Jai mata di 🙏 shubh prabhat 🙏 mere bhai bandhu, 🙏Jai shree ram 🙏<br><b>Clean</b>: jai mata di shubh prabhat mere bhai bandhu jai shree ram",not_english,2022-12-11 01:24:02
14,20750,"<b>Raw:</b> Consensual DNA egg of Maryam Rajavi in Meerut electricity board - Latika Rana Singapore- DOB 18-2-1977.

https://t.co/izMn53FIRJ

https://t.co/bfYdanotDg

https://t.co/RpMcqlIX0c

https://t.co/Zm6ZHtQlDQ https://t.co/FoxuByj63b https://t.co/wGonD5HuJ3 https://t.co/HzQMe3vV55<br><b>Clean</b>: consensual dna egg of maryam rajavi in meerut electricity board latika rana singapore dob 18 2 1977",some_english,2022-12-11 01:24:10
15,9234,<b>Raw:</b> Jai rajputana jai maharanahttps://fb.watch/c9WuS5Mi3k/<br><b>Clean</b>: jai rajputana jai maharana,not_english,2022-12-11 01:24:12
16,17005,<b>Raw:</b> @AamAadmiParty @bmahabharat2 @SanjayAzadSln Shame on Vijay Vergiya.<br><b>Clean</b>: shame on vijay vergiya,not-syntactic_standard_english,2022-12-11 01:24:16
17,8880,<b>Raw:</b> @ZafarAafaq Haath hàath lacch lacch mubarak.. celebrate the occasion with sweet words and classy wine<br><b>Clean</b>: haath hàath lacch lacch mubarak celebrate the occasion with sweet words and classy wine,code-switched,2022-12-11 01:24:19
18,23262,"<b>Raw:</b> @aditiyadav000 Gali gali me shor hai , Tera baap Tonti Chor h<br><b>Clean</b>: gali gali me shor hai tera baap tonti chor h",not_english,2022-12-11 01:24:23
19,17793,<b>Raw:</b> . MacOS is Safe + Secure.<br><b>Clean</b>: macos is safe secure,not-syntactic_standard_english,2022-12-11 01:24:27
20,12127,"<b>Raw:</b> @PPBhaishri Vanakam Jai ShriKrishna Bhaishri 👣🙌🙇🙏❤️💐

Seeking blessings to get blessed with the topmost bhakti and prem towards the almighty and to our beloved Gurudev always, on the auspicious akshaya tritiya today.

Leaving to Sri VaikunthaNath temple to participate in palki seva https://t.co/7Rg851mUQh<br><b>Clean</b>: vanakam jai shrikrishna bhaishri seeking blessings to get blessed with the topmost bhakti and prem towards the almighty and to our beloved gurudev always on the auspicious akshaya tritiya today leaving to sri vaikunthanath temple to participate in palki seva",code-switched,2022-12-11 01:24:31
21,1261,<b>Raw:</b> @GautamK29230534 Jai Hind Jai Modi Jai Shri Ram 🚩<br><b>Clean</b>: jai hind jai modi jai shri ram,not_english,2022-12-11 01:24:34
22,10019,<b>Raw:</b> @sayeed_uddin Locker me rakh dijiye<br><b>Clean</b>: locker me rakh dijiye,code-switched,2022-12-11 01:24:37
23,613,"<b>Raw:</b> तेज़ तूफ़ानी बारिश के बीच IGI Airport पौहुँचा हूँ, 4:55 Flight है Gujarat (Ahmedabad) की Coverage पर जा रहा हूँ।
यहाँ मुसाफ़िर बहुत परेशान नज़र आए। हवाई अड्डा कम बस अड्डा ज़्यादा मालूम दे रहा है। 
दोनों Vaccines लेने और सभी Tests के बाद भी मुसाफ़िरों को बहुत परेशान किया जा रहा है https://t.co/dX3YN7gKCe<br><b>Clean</b>: igi airport 455 flight gujarat ahmedabad coverage vaccines tests",code-switched,2022-12-11 01:24:40
24,15420,<b>Raw:</b> @omkumar110220 @msisodia @AAPDelhi nand nagri ke kon se school mai or kon se block mai wo bhi bata do bandhu 🫢<br><b>Clean</b>: nand nagri ke kon se school mai or kon se block mai wo bhi bata do bandhu,code-switched,2022-12-11 01:24:43
25,10779,<b>Raw:</b> We all need in our like a bhaiyya like jeetu bhaiyya @Farjigulzar (kota factory)😥<br><b>Clean</b>: we all need in our like a bhaiyya like jeetu bhaiyya kota factory,code-switched,2022-12-11 01:24:45
26,6418,<b>Raw:</b> Chetna Pande was so much better than this.<br><b>Clean</b>: chetna pande was so much better than this,code-switched,2022-12-11 01:24:48
27,15045,<b>Raw:</b> Just posted a photo @ Rishikesh River Rafting https://t.co/V7MA7jT6m0<br><b>Clean</b>: just posted a photo rishikesh river rafting,,2022-12-11 01:24:50
28,23715,"<b>Raw:</b> किराए का ऑफिस ढूंढ रहे हो।
हम से सीधे बात करें आज ही।।
लोकेशन अच्छी आपके बजट में।।।
Commercial office space for Rent Ready to move Available In Krishna Apra Dmall Shakti khand-2 Indirapuram Ghaziabad 105.12sq.ft - 249.23sq.ft Demand Rs.6500 - 8500 Negotiable https://t.co/FvMLix8MAn<br><b>Clean</b>: commercial office space for rent ready to move available in krishna apra dmall shakti khand 2 indirapuram ghaziabad 105 12sq ft 249 23sq ft demand rs 6500 8500 negotiable",code-switched,2022-12-11 01:24:53
29,22088,<b>Raw:</b> @thisisk1000 U mean Yoda hai<br><b>Clean</b>: u mean yoda hai,code-switched,2022-12-11 01:24:56
30,8170,"<b>Raw:</b> @ReallySwara Thank God, you didn't comment on the murders and recent lynching of 8 people in WB.
Didi-didi moseri behne.<br><b>Clean</b>: thank god you didnt comment on the murders and recent lynching of 8 people in wb didi didi moseri behne",code-switched,2022-12-11 01:24:59
31,11647,"<b>Raw:</b> ""ताकत आवाज में नहीं अपने विचारों में रखो,
""क्योंकि फसल बारिश से होती हैं बाढ़ से नहीं,
""रिश्ते बरकरार रखने की सिर्फ एक ही शर्त हैं भावना देखें संभावना नहीं.!!!
Happy Good Morning Dear,😊🙏🇮🇳
Sincerely Your.
 Mohd Mujmmil Ansari Advocate. https://t.co/BD5KuSa8sJ<br><b>Clean</b>: happy good morning dear sincerely your mohd mujmmil ansari advocate",code-switched,2022-12-11 01:25:02
32,11814,<b>Raw:</b> @BabbarNitish @aartic02 @ArvindKejriwal @DelhiJalBoard @delhijalboard1 @delhijalboard0 We need help please ask MLA and listen to public issue in Nagali vihar extension najafgarh.gater ka pani aa raha road nahi hai..DJB ka koi bhee ze and employees na dekhni atta hai complaint kai baad .they get salary it's enough for<br><b>Clean</b>: we need help please ask mla and listen to public issue in nagali vihar extension najafgarh gater ka pani aa raha road nahi hai djb ka koi bhee ze and employees na dekhni atta hai complaint kai baad they get salary its enough for,code-switched,2022-12-11 01:25:05
33,4426,"<b>Raw:</b> Pattachitra painting of Lord Jagannath with adornments narrating Kanchiavijan conquest story by artist Kishore kumar Rana. 
https://t.co/G26wqlOL7O
#art #nft #pattern #Odisha #design #NFTCommunity #conceptart #IncredibleIndia #DekhoApnaDesh https://t.co/OtVGDp4b2V<br><b>Clean</b>: pattachitra painting of lord jagannath with adornments narrating kanchiavijan conquest story by artist kishore kumar rana",not-syntactic_standard_english,2022-12-11 01:25:20
34,14997,<b>Raw:</b> @cosmicsolace Yaa many times but ..<br><b>Clean</b>: yaa many times but,non_standard_english,2022-12-11 01:25:23
35,3535,<b>Raw:</b> Good morning happy Sunday jai shri suryadev https://t.co/kVkOxKYsPT<br><b>Clean</b>: good morning happy sunday jai shri suryadev,,2022-12-11 01:25:27
36,9550,<b>Raw:</b> Tweeter pe upasthit sabhi rashtrawadi aur hindutivuvadi dosto ko subh prabhat Jai mata di jai shree ram dosto please RT and like My tweets Jai mata di https://t.co/sfYmJF8L1m<br><b>Clean</b>: tweeter pe upasthit sabhi rashtrawadi aur hindutivuvadi dosto ko subh prabhat jai mata di jai shree ram dosto please rt and like my tweets jai mata di,code-switched,2022-12-11 01:25:31
37,11123,<b>Raw:</b> @elonmusk Elon musk sir aap ka beta jawan hogaya hai baby dogecoin please listings<br><b>Clean</b>: elon musk sir aap ka beta jawan hogaya hai baby dogecoin please listings,code-switched,2022-12-11 01:25:33
38,267,"<b>Raw:</b> 1. Om Taarai Savaha (Maata Tara Daivi Kaa Mantra Hai)

Anger is one of the sinews of the soul. https://t.co/J0nuVWuoxf<br><b>Clean</b>: 1 om taarai savaha maata tara daivi kaa mantra hai anger is one of the sinews of the soul",code-switched,2022-12-11 01:25:36
39,5679,"<b>Raw:</b> Ye Banda khus ho jata hai jab koi bolta hai aam aadami party ko vote kia ....soch badlo samaj badlega 🤣🤣🤣
❣️❣️❣️
Banda badhiya hai do subscribe his channel

https://t.co/hr5pMwwm3F https://t.co/MpGskWrlFg https://t.co/f4TsNMzY88<br><b>Clean</b>: ye banda khus ho jata hai jab koi bolta hai aam aadami party ko vote kia soch badlo samaj badlega banda badhiya hai do subscribe his channel",code-switched,2022-12-11 01:25:39
40,1348,<b>Raw:</b> All Sanghis are suspecting a Red under their bed https://t.co/htnTycl4iX<br><b>Clean</b>: all sanghis are suspecting a red under their bed,code-switched,2022-12-11 01:25:45
41,20782,<b>Raw:</b> @TripKeya @TravelIndiaTips @Lalindiatours @SolitaryTravel2 @Indian_Motorist @iflynfeast @She_lly_Patel @yoursundayguide @mesut_gumussoy @RyanBiddulph Dal lakenfacing villa In #Srinagar #kashmir https://t.co/fEic5sAlNx<br><b>Clean</b>: dal lakenfacing villa in,,2022-12-11 01:25:50
42,1394,"<b>Raw:</b> जिंदगी

science की तरह

होती है...

जितने xperiments करोगे

Result उतने ही

Better मिलेंगे.

#TRUE<br><b>Clean</b>: science xperiments result better",code-switched,2022-12-11 01:25:53
43,14895,<b>Raw:</b> @pranay_eth Ohh great! Agli baar milte hai ser.<br><b>Clean</b>: ohh great agli baar milte hai ser,some_english,2022-12-11 01:25:58
44,14689,"<b>Raw:</b> Jo mangey Thakur apney te
Soi soi deve💕

*मेरी तकदीर के मालिक, मेरी* *तकदीर तो तुम हो,* 
 *जो उभरी हैं सितारो पे, मेरी* *तस्वीर तुम हो।* 
 *यह दौलत, यह शोहरत, सफर* *श्मशान तक का हैं,* 
 *जो आखिर साथ जाना हैं, असल* *जागीर तो मेरे गुरू को तुम हो।* 

Jai Guru Ji https://t.co/pqo47O75p3<br><b>Clean</b>: jo mangey thakur apney te soi soi deve jai guru ji",not_english,2022-12-11 01:26:01
45,15909,<b>Raw:</b> @poonamrinki @Panditruhi75 Happy birthday AP sabhi ko janamdin ki dher sari subhkamnayay AP sabhi please follow me iam back to back follow you<br><b>Clean</b>: happy birthday ap sabhi ko janamdin ki dher sari subhkamnayay ap sabhi please follow me iam back to back follow you,code-switched,2022-12-11 01:26:05
46,13335,<b>Raw:</b> @Raahi_supergirl @BeingSalmanKhan Beta jii...! Epic bolo....🤘🏻🤘🏻<br><b>Clean</b>: beta jii epic bolo,not_english,2022-12-11 01:26:10
47,23278,<b>Raw:</b> @Bellossom__ @TweetByVaibhav Hahah soja soja goodnight 🫂<br><b>Clean</b>: hahah soja soja goodnight,code-switched,2022-12-11 01:26:12
48,6775,<b>Raw:</b> @Salman_beelerl @Gwaska_01 @iam_suleeiman @KhaleephYakasai @el_uthmaan @Jamo_ismaila_ I'm stll a child 😭😭😭<br><b>Clean</b>: im stll a child,non_standard_english,2022-12-11 01:26:15
49,23229,"<b>Raw:</b> Rangi saari by kavita seth is all that you need in life. 
Baki sab moh maya hai<br><b>Clean</b>: rangi saari by kavita seth is all that you need in life baki sab moh maya hai",code-switched,2022-12-11 01:26:18
50,18798,<b>Raw:</b> @ranvijaylive Kya kare..bhai..soon Hindus will be endangered rare species<br><b>Clean</b>: kya kare bhai soon hindus will be endangered rare species,code-switched,2022-12-11 01:26:21
51,8234,<b>Raw:</b> Up ek bar phir buldozar baba ke sarkar bahut bahut mubarak bad Jai shree ram https://t.co/qxi3drizZ7<br><b>Clean</b>: up ek bar phir buldozar baba ke sarkar bahut bahut mubarak bad jai shree ram,not_english,2022-12-11 01:26:25
52,16156,<b>Raw:</b> @vijay5808 @SunilBathamBjp Subh prabhat Jai suryadev Vijay ji iam follow you please follow me<br><b>Clean</b>: subh prabhat jai suryadev vijay ji iam follow you please follow me,code-switched,2022-12-11 01:26:27
53,15519,"<b>Raw:</b> People and their obsession with tum toh Doctor ho, tumhare pass bhot paisa hoga. 🙄 https://t.co/lFhokGIrjS<br><b>Clean</b>: people and their obsession with tum toh doctor ho tumhare pass bhot paisa hoga",code-switched,2022-12-11 01:26:30
54,8746,<b>Raw:</b> @Abhinav_Pan @scribe_prashant Film banegi to super hit ho jayegi.<br><b>Clean</b>: film banegi to super hit ho jayegi,code-switched,2022-12-11 01:26:33
55,7571,"<b>Raw:</b> Shab e baraat Mubaraq 💗

(The night of forgiveness)<br><b>Clean</b>: shab e baraat mubaraq the night of forgiveness",code-switched,2022-12-11 01:26:36
56,11363,<b>Raw:</b> @ShakuntalaSahu0 @SaloniTilwani Happy Panchayati Raj Day<br><b>Clean</b>: happy panchayati raj day,,2022-12-11 01:26:43
57,8171,"<b>Raw:</b> @beingarun28 Had hoti hay yar ayse mahan logo ka name jod rahe ho corrupted politicians se, had hoti hay thuuuuuu<br><b>Clean</b>: had hoti hay yar ayse mahan logo ka name jod rahe ho corrupted politicians se had hoti hay thuuuuuu",code-switched,2022-12-11 01:26:46
58,1111,"<b>Raw:</b> Here in RZ-97 TF KHUSHI RAM
PARK .
UTTAM NAGAR MATIYALA NEW DELHI NEW
DELHI 110059, Jal board water supply not functioning from last 3 days. Please have a look into this and do needful.@ArvindKejriwal @Ceo_djb @DelhiJalBoard please do needful.<br><b>Clean</b>: here in rz 97 tf khushi ram park uttam nagar matiyala new delhi newdelhi 110059 jal board water supply not functioning from last 3 days please have a look into this and do needful please do needful",non_standard_english,2022-12-11 01:26:51
59,4178,<b>Raw:</b> Just posted a photo @ Sycorian Matrimonial Services Ltd https://t.co/H3Me9HDC5n<br><b>Clean</b>: just posted a photo sycorian matrimonial services ltd,,2022-12-11 01:26:53
60,16107,"<b>Raw:</b> Sabzi se better toh ande hain, saste, poshak, tasty, eat to cook. https://t.co/jkdHJeO1YU<br><b>Clean</b>: sabzi se better toh ande hain saste poshak tasty eat to cook",code-switched,2022-12-11 01:26:57
61,23574,"<b>Raw:</b> Back in Tezu.                                                  My dad:Beitho Anu, main duty ja rahi hoon    Me: That’s incorrect baba. You’re a male it should be “JA RAHA HOON”.    My dad: No, i’m talking to u &amp; u’re a girl so it’ll be “JA RAHI HOON” 🤷🏻‍♀️🤐<br><b>Clean</b>: back in tezu my dadbeitho anu main duty ja rahi hoon me thats incorrect baba youre a male it should be ja raha hoon my dad no im talking to u and ure a girl so itll be ja rahi hoon",code-switched,2022-12-11 01:28:23
62,18315,"<b>Raw:</b> @nagromyrneh It's Rakesh, not Rajesh 😋<br><b>Clean</b>: its rakesh not rajesh",,2022-12-11 01:28:29
63,20070,<b>Raw:</b> @It_Prabhakar @AamAadmiParty @ZeeNews @Republic_Bharat @PMOIndia Hoga to denge na!<br><b>Clean</b>: hoga to denge na,not_english,2022-12-11 01:28:31
64,21437,"<b>Raw:</b> @DealShareIndia 
Vineet roa and associates Big mafia's group's
Take care 💖<br><b>Clean</b>: vineet roa and associates big mafias groups take care",code-switched,2022-12-11 01:28:35
65,18556,<b>Raw:</b> @DN_Thakur_Ji आप सब जो मर्जी बोलो we support nupur sharma<br><b>Clean</b>: we support nupur sharma,code-switched,2022-12-11 01:28:38
66,11037,<b>Raw:</b> @Ayesha0786786 Ameen summa Ameen Ya Rab ul Alameen<br><b>Clean</b>: ameen summa ameen ya rab ul alameen,not_english,2022-12-11 01:28:40
67,21543,"<b>Raw:</b> 📍AICC Headquarter, Delhi

भाजपाई हुकूमत को सदन में GST, महंगाई और बेरोजगारी जैसे मुद्दों पर चर्चा करने से डर लगता है।

हम देश की जनता के मुद्दों पर आवाज बुलंद करते रहेंगे। @Neerajkundan https://t.co/d5mEjjYXrN<br><b>Clean</b>: aicc headquarter delhi gst",code-switched,2022-12-11 01:28:43
68,7796,<b>Raw:</b> @nstomar Very good👍 RSS ka aashirwad bana rahe<br><b>Clean</b>: very good rss ka aashirwad bana rahe,code-switched,2022-12-11 01:28:47
69,2315,<b>Raw:</b> 🙏🚩🚩 Jai shree ram 🚩🚩🙏 jai hanuman 🚩🙏🌞☀️ shubh prabhat 🙏 https://t.co/ejp8F8GAPj<br><b>Clean</b>: jai shree ram jai hanuman shubh prabhat,not_english,2022-12-11 01:28:49
70,12606,"<b>Raw:</b> Noida walon, 
Next time you visit sandwich
King, ask for kadhai paneer
And butter naan. 
It's yum. ⚡⚡<br><b>Clean</b>: noida walon next time you visit sandwich king ask for kadhai paneer and butter naan its yum",code-switched,2022-12-11 01:28:51
71,5342,"<b>Raw:</b> Untitled.

Shot in 2022, Manali.

#photography #monochromatic #drama #aesthetic #nikonphotography #SnowfallFX https://t.co/6dtkOA8kFv<br><b>Clean</b>: untitled shot in 2022 manali",not-syntactic_standard_english,2022-12-11 01:28:57
72,16462,<b>Raw:</b> @nayee_subah Your sister name  jodha wife of akbar<br><b>Clean</b>: your sister name jodha wife of akbar,code-switched,2022-12-11 01:29:04
73,23966,<b>Raw:</b> @KhalidJindan Happy emirati women day<br><b>Clean</b>: happy emirati women day,not-syntactic_standard_english,2022-12-11 01:29:08
74,2373,<b>Raw:</b> @SCERT2021 @Rajanish2007 @VKPathak1 Congratulations Entire Team SCERT .<br><b>Clean</b>: congratulations entire team scert,full_standard_english,2022-12-11 01:29:15
75,1379,<b>Raw:</b> @airtelindia I am constantly requesting for airtel Fiber in burari!<br><b>Clean</b>: i am constantly requesting for airtel fiber in burari,full_standard_english,2022-12-11 01:29:22
76,10500,"<b>Raw:</b> Painted Blaidd. Thank you!
https://t.co/gZnC5eJMLQ

#ELDENRING
#ELDEN_RING #EldenRingFanart #FANART #Blaidd https://t.co/UFdx9ZWUdc<br><b>Clean</b>: painted blaidd thank you",not-syntactic_standard_english,2022-12-11 01:29:31
77,6553,"<b>Raw:</b> All Exit polls :Eror 404
@yadavakhilesh<br><b>Clean</b>: all exit polls eror 404",not-syntactic_standard_english,2022-12-11 01:29:36
78,5579,"<b>Raw:</b> Gabon at UNSC Ukriane meet: We condemn this war. All wars are dehumanising.

PS: this is significant. Gabon abstained in previous Ukriane meet vote. https://t.co/bdhL5OvlF2<br><b>Clean</b>: gabon at unsc ukriane meet we condemn this war all wars are dehumanising ps this is significant gabon abstained in previous ukriane meet vote",non_standard_english,2022-12-11 01:29:45
