,id_column,annotate_text,label,annotated_at
0,3573,<b>Raw:</b> Check out Saikat Sarker's video! #TikTok https://t.co/87N3y5D05x<br><b>Clean</b>: check out saikat sarkers video,,2022-12-11 15:56:25
1,6050,<b>Raw:</b> Indian khatan silk https://t.co/sSnw5U9IB7<br><b>Clean</b>: indian khatan silk,,2022-12-11 15:56:30
2,6659,<b>Raw:</b> 07/08/2020 @ Sanmar ocean city https://t.co/Y55eoTxfSF<br><b>Clean</b>: 07082020 sanmar ocean city,,2022-12-11 15:56:33
3,333,<b>Raw:</b> @ICC Sakib Al Hasan<br><b>Clean</b>: sakib al hasan,,2022-12-11 15:56:37
4,287,"<b>Raw:</b> Just posted a photo @ Radisson Blu Bay View, Chottogram https://t.co/GSypy4Yy6P<br><b>Clean</b>: just posted a photo radisson blu bay view chottogram",,2022-12-11 15:56:41
5,6872,"<b>Raw:</b> Rahat Arif ভাই এর বিবাহ পরবর্তী ওয়ালিমা তে

শুভকামনা ও দোয়া রইলো @ Captains Dine Restaurant https://t.co/JoIXXv5f7f<br><b>Clean</b>: rahat arif captains dine restaurant",some_english,2022-12-11 15:56:53
6,4940,<b>Raw:</b> Alhamdulillah for everything 🖤💌 https://t.co/SdSb7s5KD0<br><b>Clean</b>: alhamdulillah for everything,code-switched,2022-12-11 15:56:59
7,1948,"<b>Raw:</b> Pre Ramadan Exhibition 2022
Shopping Time @ Radisson Blu Bay View, Chottogram https://t.co/hMirrBWzZR<br><b>Clean</b>: pre ramadan exhibition 2022 shopping time radisson blu bay view chottogram",,2022-12-11 15:57:09
8,4159,<b>Raw:</b> Chittagong kornofully Bridge https://t.co/aVeXWmh05c<br><b>Clean</b>: chittagong kornofully bridge,,2022-12-11 15:57:19
9,749,<b>Raw:</b> Good Morning Kaptai ⛱️⛵ https://t.co/5AsInUbz6g<br><b>Clean</b>: good morning kaptai,not-syntactic_standard_english,2022-12-11 15:57:25
10,1475,<b>Raw:</b> Just posted a photo @ Crb Chattogram https://t.co/ZtIlkQc7lB<br><b>Clean</b>: just posted a photo crb chattogram,,2022-12-11 15:57:29
11,1806,"<b>Raw:</b> ""বাস্তবতা""
 কখনো গল্পের মতো সুন্দর হয় না,

""আর""
 সুন্দর গল্পে কখনো বাস্তবতার মিল থাকে না। @ কর্নফুলি সেতু, চট্টগ্রাম Karnafhuli Bridge, Chittagong https://t.co/h3s5CCr7Mb<br><b>Clean</b>: karnafhuli bridge chittagong",some_english,2022-12-11 15:57:40
12,689,<b>Raw:</b> @SumaiyaMaimuna hello...inbox me<br><b>Clean</b>: hello inbox me,not-syntactic_standard_english,2022-12-11 15:57:50
13,239,"<b>Raw:</b> হতেও পারে,, 😆😆 @ Brahmanbaria, Chittagong, Bangladesh https://t.co/pgeSmiQQ70<br><b>Clean</b>: brahmanbaria chittagong bangladesh",code-switched,2022-12-11 15:58:04
14,4072,<b>Raw:</b> #inspiration #mujib #banglabandhusheikhmujiburrahman #bangladesh #Mujib:themakingofanation #bengali #bangladeshi #amarsonarbangla #india #friendship @ Chittagong City - চট্টগ্রাম শহর https://t.co/VdpCu6S0Y1<br><b>Clean</b>: themakingofanation chittagong city,,2022-12-11 15:58:15
15,5361,"<b>Raw:</b> Just posted a photo @ Radisson Blu Bay View, Chottogram https://t.co/aG96yZ9tml<br><b>Clean</b>: just posted a photo radisson blu bay view chottogram",,2022-12-11 15:58:19
16,1514,<b>Raw:</b> @Independent24tv LOVE u bro<br><b>Clean</b>: love u bro,non_standard_english,2022-12-11 15:58:29
17,7457,<b>Raw:</b> Alhamdulillah Ya Rab 🤍 @ Baitul Bari https://t.co/JrGFXHyb1B<br><b>Clean</b>: alhamdulillah ya rab baitul bari,not_english,2022-12-11 16:08:02
18,1623,<b>Raw:</b> Happy Moha Shivarattri https://t.co/MBlJZniiad<br><b>Clean</b>: happy moha shivarattri,,2022-12-11 16:08:20
19,3387,<b>Raw:</b> Just posted a photo @ Mohora Chandgoan Chitagong Bangladesh https://t.co/7bWuKDsiZY<br><b>Clean</b>: just posted a photo mohora chandgoan chitagong bangladesh,,2022-12-11 16:08:29
20,4656,<b>Raw:</b> সকালে সূর্য পাহাড়কে যে উষ্ণ অভ্যর্থনা দেয় তা সত্যি অসাধারণ। @ Bandarban Hill Tracts বান্দরবান পার্বত্য জেলা https://t.co/MbjnL6e34I<br><b>Clean</b>: bandarban hill tracts,some_english,2022-12-11 16:08:35
21,4487,<b>Raw:</b> Just posted a photo @ Kazir Dewri https://t.co/pe5pIteSsb<br><b>Clean</b>: just posted a photo kazir dewri,,2022-12-11 16:08:38
22,346,"<b>Raw:</b> Clourful Mutation 🐦❤️💚

#MyBudgie 
#loveforbudgie 
#natureshots @ Chittagong https://t.co/IxYtdllZtF<br><b>Clean</b>: clourful mutation chittagong",,2022-12-11 16:09:28
23,4752,<b>Raw:</b> Wedding Of Imran @ Rupnagar Community Centre https://t.co/MgynEk7Wdv<br><b>Clean</b>: wedding of imran rupnagar community centre,non_standard_english,2022-12-11 16:09:35
24,3563,"<b>Raw:</b> Just posted a photo @ Shirish Tola, CRB, Chittagong https://t.co/gzlPv5WS6T<br><b>Clean</b>: just posted a photo shirish tola crb chittagong",,2022-12-11 16:09:39
25,4723,<b>Raw:</b> Barcode Food Junction @ Barcode Food Junction https://t.co/cUMoaqQHwM<br><b>Clean</b>: barcode food junction barcode food junction,,2022-12-11 16:09:44
26,4003,"<b>Raw:</b> Navy camp Kaptai😜
#kaptai #kaptailake #navycampkaptai🛶 
#navycamp #photography #naturalbeauty @ Navy Camp Kaptai https://t.co/fB5P0xiwkh<br><b>Clean</b>: navy camp kaptai navy camp kaptai",,2022-12-11 16:09:49
27,94,<b>Raw:</b> Most beautiful feeling ❤️ @ Baitush Sharaf بيت الشرف https://t.co/vVGOPD5bzh<br><b>Clean</b>: most beautiful feeling baitush sharaf,code-switched,2022-12-11 16:09:55
28,7747,"<b>Raw:</b> Assalamu wlaikum good morning everyone @ ঝাউতলা বাজার, চট্টগ্রাম https://t.co/kBCwA2TGGV<br><b>Clean</b>: assalamu wlaikum good morning everyone",some_english,2022-12-11 16:10:02
29,2956,<b>Raw:</b> 😋😊☺️ @ Sultan’s Dine - Agrabad https://t.co/9UeAkfeHlM<br><b>Clean</b>: sultans dine agrabad,,2022-12-11 16:10:06
30,1137,<b>Raw:</b> @Siddhika_AM Kaha waaqt hein😪😔🥶<br><b>Clean</b>: kaha waaqt hein,not_english,2022-12-11 16:10:14
31,1711,"<b>Raw:</b> সময়ের চৌহদ্দি পেরুনো অসাধ্য এক কর্ম,
নিয়মের মাঝে অনিয়ম যেন খুব স্বাভাবিক ধর্ম। @ Kodala Tea Estate https://t.co/C0QP1TCJh3<br><b>Clean</b>: kodala tea estate",some_english,2022-12-11 16:10:21
32,4728,<b>Raw:</b> Shayaan Ahmed Shatit @ Imperial Hospital Limited https://t.co/IbnZtRHzuD<br><b>Clean</b>: shayaan ahmed shatit imperial hospital limited,,2022-12-11 16:10:30
33,4810,<b>Raw:</b> Pahare enjoy time💗💗💗💗💗💗 https://t.co/uXAfY9DDGk<br><b>Clean</b>: pahare enjoy time,,2022-12-11 16:10:36
34,3122,"<b>Raw:</b> বৃষ্টির পর

#mobile_photography__bd #bd_photography_21_ @ Kaptaimukh, Chittagong, Bangladesh https://t.co/yzYFH9Mtad<br><b>Clean</b>: kaptaimukh chittagong bangladesh",,2022-12-11 16:10:40
35,6873,"<b>Raw:</b> Rahat Arif ভাই এর বিবাহ পরবর্তী ওয়ালিমা তে

শুভকামনা ও দোয়া রইলো @ Captains Dine Restaurant https://t.co/DzBmNuhNIV<br><b>Clean</b>: rahat arif captains dine restaurant",,2022-12-11 16:10:46
36,2562,<b>Raw:</b> BBQ at office https://t.co/FKc2NcH8KF<br><b>Clean</b>: bbq at office,non_standard_english,2022-12-11 16:10:53
37,3909,"<b>Raw:</b> 2 HOURS 47 MINUTES LEFT BETCHES. I CANT WAIT ANYMOREEE AHAAAAA
#아스트로특_달달청량으로_컴백함
#아스트로 #ASTRO
#Drive_to_the_Starry_Road
#CandySugarPop<br><b>Clean</b>: 2 hours 47 minutes left betches i cant wait anymoreee ahaaaaa",code-switched,2022-12-11 16:13:06
38,1365,"<b>Raw:</b> Chakma Cultural Pictures,
Rupam Chakma in drawing @ Chittagong https://t.co/I8GirdlG7Y<br><b>Clean</b>: chakma cultural pictures rupam chakma in drawing chittagong",,2022-12-11 16:13:13
39,4350,<b>Raw:</b> Just posted a photo @ Radisson Blu Chattogram Bay View https://t.co/wFhQuuHjkG<br><b>Clean</b>: just posted a photo radisson blu chattogram bay view,,2022-12-11 16:13:20
40,1576,"<b>Raw:</b> Remembering Kaptai Lake time. ❤️
#massivethroughback #traveldiary 
#theplaceibelong @ Kaptai Lake https://t.co/Ee6bXwvp2h<br><b>Clean</b>: remembering kaptai lake time kaptai lake",not-syntactic_standard_english,2022-12-11 16:13:27
41,7384,"<b>Raw:</b> পাটকল শ্রমিকদেরও আস্থা ছিল। 

 ২৫টা পাটকল একসাথে বন্ধ করে শ্রমিকদের খালি হাতে বাড়ি
পাঠিয়ে দিয়েছে। আন্দোলনের নেতাদের RAB/DGFI GESTAPO 
বাহিনী পাঠিয়ে ঘরছাড়া করেছে। একেবারে অসহায় চা শ্রমিকদের আন্দোলন সরকারের GESTAPO
বাহিনী লাগিয়ে ভেঙে দেবে বোঝাই
গিয়েছিল। https://t.co/7ssbs4UZxf<br><b>Clean</b>: rabdgfi gestapo gestapo",not_english,2022-12-11 16:13:36
42,6503,<b>Raw:</b> 🖤 @ East Madarbari Chittagong https://t.co/tqqVNOR850<br><b>Clean</b>: east madarbari chittagong,non_standard_english,2022-12-11 16:13:47
43,7423,"<b>Raw:</b> Just posted a photo @ Agrabad, Chattogram. https://t.co/dhAMpMUMDp<br><b>Clean</b>: just posted a photo agrabad chattogram",,2022-12-11 16:13:51
44,1968,"<b>Raw:</b> একেকজন একেক সময়ে এসে একেকজনের সাথে একেক সময়ে দেখা
সবাই কট

Pre Ramadan Exhibition 2022 @ Raddison Blu Chittagong Bay View https://t.co/kSYmrtxWtg<br><b>Clean</b>: pre ramadan exhibition 2022 raddison blu chittagong bay view",non_standard_english,2022-12-11 16:13:57
45,2262,<b>Raw:</b> Adda @ Raddison Blu Chittagong Bay View https://t.co/gHy0KA3Y3y<br><b>Clean</b>: adda raddison blu chittagong bay view,,2022-12-11 16:14:10
46,1947,"<b>Raw:</b> Pre Ramadan Exhibition 2022
Shopping Time @ Radisson Blu Bay View, Chottogram https://t.co/k3rJdcPOeq<br><b>Clean</b>: pre ramadan exhibition 2022 shopping time radisson blu bay view chottogram",non_standard_english,2022-12-11 16:14:15
47,262,<b>Raw:</b> Just posted a photo @ Radisson Blu Chattogram Bay View https://t.co/KAiekAGTSw<br><b>Clean</b>: just posted a photo radisson blu chattogram bay view,,2022-12-11 16:14:18
48,4688,<b>Raw:</b> Good Morning Chattogram 🌞 https://t.co/iws5xAlcWa<br><b>Clean</b>: good morning chattogram,not-syntactic_standard_english,2022-12-11 16:14:26
49,2758,<b>Raw:</b> #OnThisDay2020 | Alhamdulillah For Everything… 🙂 https://t.co/tJdDsQ1GbH<br><b>Clean</b>: alhamdulillah for everything,code-switched,2022-12-11 16:14:38
50,6778,<b>Raw:</b> 👍👍🤩🤩😍😍 @ KAFCO Housing Colony https://t.co/cAWZxlet0K<br><b>Clean</b>: kafco housing colony,,2022-12-11 16:14:42
51,123,<b>Raw:</b> ##happiness 🤘🔥 @ Barcode Food Junction https://t.co/FmBzNrV7a6<br><b>Clean</b>: barcode food junction,,2022-12-11 16:14:47
