,id_column,annotate_text,label,annotated_at
0,722,"<b>Raw:</b> Happy Birthday Pritom Hasan Bhai
Best Wishes to YOU &amp; Give us more Jadu

Music Cafe 9.2 
Page Link 
https://t.co/vGB4SLn5Ce @ Chittagong City - চট্টগ্রাম শহর https://t.co/TUlBW6WWwJ<br><b>Clean</b>: happy birthday pritom hasan bhai best wishes to you and give us more jadu music cafe 9 2 page link chittagong city",code-switched,2022-12-11 16:10:28
1,5645,"<b>Raw:</b> Just posted a photo @ Sitakunda, Chittagong. https://t.co/uccvtC27dm<br><b>Clean</b>: just posted a photo sitakunda chittagong",,2022-12-11 16:12:24
2,3908,"<b>Raw:</b> GET READY TO STREAM ROHASSSS 
#아스트로특_달달청량으로_컴백함
#아스트로 #ASTRO
#Drive_to_the_Starry_Road
#CandySugarPop https://t.co/XftkkKB8jZ<br><b>Clean</b>: get ready to stream rohassss",code-switched,2022-12-11 16:12:36
3,6853,"<b>Raw:</b> Wining moment 🏏
#45_batch_CULS @ Central Field University of Chittagong https://t.co/mohVsZVE7v<br><b>Clean</b>: wining moment central field university of chittagong",non_standard_english,2022-12-11 16:12:46
4,5469,"<b>Raw:</b> Just posted a photo @ Road 2 , B Block , Halishahar. https://t.co/lvHrFBMcfQ<br><b>Clean</b>: just posted a photo road 2 b block halishahar",,2022-12-11 16:12:48
5,6521,<b>Raw:</b> Just posted a photo @ কাপ্তাই-kaptai https://t.co/jUVxalyakR<br><b>Clean</b>: just posted a photo kaptai,,2022-12-11 16:12:49
6,3048,"<b>Raw:</b> It is always better to give importance to yourself than everyone else, @ Evercare Hospital Chattogram https://t.co/Abqa7fqbY4<br><b>Clean</b>: it is always better to give importance to yourself than everyone else evercare hospital chattogram",not-syntactic_standard_english,2022-12-11 16:12:56
7,3212,"<b>Raw:</b> Happy birthday,God of Cricket @sachin_rt Sir ♥️ https://t.co/2Mo394R5Vf<br><b>Clean</b>: happy birthdaygod of cricket sir",non_standard_english,2022-12-11 16:12:58
8,2892,<b>Raw:</b> Just posted a photo @ Patenga Sea Beach https://t.co/B8cphui6Xj<br><b>Clean</b>: just posted a photo patenga sea beach,,2022-12-11 16:13:00
9,4195,"<b>Raw:</b> @goal @TrentAA After all of this,they are gonna lose 👍<br><b>Clean</b>: after all of thisthey are gonna lose",non_standard_english,2022-12-11 16:13:03
10,519,<b>Raw:</b> Go to the moon with Midoland https://t.co/6HyyEV4603 #NFT #GAMEFI #Midoland #Airdrop #P2E<br><b>Clean</b>: go to the moon with midoland,non_standard_english,2022-12-11 16:13:05
11,5247,"<b>Raw:</b> Now,it is my second home 🥰🥰🥰❤️❤️❤️ https://t.co/xdchZmy8gs<br><b>Clean</b>: nowit is my second home",not-syntactic_standard_english,2022-12-11 16:13:10
12,1758,<b>Raw:</b> Just posted a photo @ Bandarban https://t.co/v4Qq1SKn6V<br><b>Clean</b>: just posted a photo bandarban,,2022-12-11 16:13:11
13,5359,<b>Raw:</b> Just posted a photo @ Radisson Blue https://t.co/ZjefNGGd2C<br><b>Clean</b>: just posted a photo radisson blue,,2022-12-11 16:13:14
