,id_column,annotate_text,label,annotated_at
0,11418,<b>Raw:</b> Sitting here in jeep for one hour already waiting to fill up with passengers bound to Muzon. Hassle talaga magpunta ng SJDM. Hype na yan.<br><b>Clean</b>: sitting here in jeep for one hour already waiting to fill up with passengers bound to muzon hassle talaga magpunta ng sjdm hype na yan,code-switched,2022-12-11 10:49:57
1,1340,<b>Raw:</b> Happy 6th birthday Haulo! Love you! https://t.co/pQVlFPBdTS<br><b>Clean</b>: happy 6th birthday haulo love you,,2022-12-11 10:50:01
2,10486,<b>Raw:</b> Dinako nagawa ng module amp HAHAHAHAHAHA<br><b>Clean</b>: dinako nagawa ng module amp hahahahahaha,some_english,2022-12-11 10:50:06
3,11452,<b>Raw:</b> @tepokdion Is there another one other than worldle? O.o<br><b>Clean</b>: is there another one other than worldle o o,non_standard_english,2022-12-11 10:50:23
4,22794,"<b>Raw:</b> @LovaYoo Was it really you? Hahaha 

#HappyYooSeungHoDay
#함께해줘서ThankYOO
#AlwaysWithYOO
#YooSeungHo<br><b>Clean</b>: was it really you hahaha thankyoo",,2022-12-11 10:50:34
5,7497,<b>Raw:</b> @nabunturanguy Aga aga... ano breakfast mo? Hehehe<br><b>Clean</b>: aga aga ano breakfast mo hehehe,some_english,2022-12-11 10:50:39
6,10786,"<b>Raw:</b> @nabunturanguy @cjbauti27773557 🌷💗🌷💗🌷
#CebuIsPink

Maria LEONor 🦁 ROBREDO
Power to the People ✊

#10LeniRobredoPresident
#7KikoPangilinanVicePresident

Vote! Team #LeniKiko2022
@lenirobredo @kikopangilinan lang #sakalam 💪

#LeniKikoAllTheWay 🤩😍
#KulayRosasAngBukas 💗🌷
#AngatBuhayLahat #FTW 🍻🇵🇭 https://t.co/zJPSYBUsJ7<br><b>Clean</b>: maria leonor robredo power to the people vote team lang",code-switched,2022-12-11 10:50:50
7,22645,<b>Raw:</b> I'm at David's Salon in Pasig w/ @apple_hurtado https://t.co/W9tvV9cfZ9<br><b>Clean</b>: im at davids salon in pasig w,,2022-12-11 10:50:53
8,4445,<b>Raw:</b> My first fantasy este 1st crush when I was a Totoy. 😗 https://t.co/egXuGjhqxi<br><b>Clean</b>: my first fantasy este 1st crush when i was a totoy,code-switched,2022-12-11 10:50:59
9,24225,"<b>Raw:</b> I love you ate Turs, big hug! 🥺🥰 https://t.co/Lx46yXfmF1<br><b>Clean</b>: i love you ate turs big hug",,2022-12-11 10:51:01
10,13708,<b>Raw:</b> Favorite tawagin ng TA ee no<br><b>Clean</b>: favorite tawagin ng ta ee no,some_english,2022-12-11 10:51:10
11,22861,<b>Raw:</b> Just posted a photo @ Kim Tae-Gon's Korean Temple https://t.co/h8FDootyYS<br><b>Clean</b>: just posted a photo kim tae gons korean temple,,2022-12-11 10:51:13
12,12795,"<b>Raw:</b> A voters' holding room here at the Ramon Magsaysay Elementary School at Barangay Lourdes, Quezon City. @TheManilaTimes #Eleksyon2022 #Halalan2022 @TheManilaTimes https://t.co/3wJ676cZJ5<br><b>Clean</b>: a voters holding room here at the ramon magsaysay elementary school at barangay lourdes quezon city",not-syntactic_standard_english,2022-12-11 10:51:31
