,id_column,annotate_text,label,annotated_at
0,19485,<b>Raw:</b> @KARAN_SAHU_ @sapnasingh_121 @uttammisra4 Jay Shree Radhay Krishna<br><b>Clean</b>: jay shree radhay krishna,not_english,2022-12-10 21:08:59
1,13580,<b>Raw:</b> @Bankole_Adeoye @JeanKamau @AUC_PAPS greetings from India Amb @Bankole_Adeoye<br><b>Clean</b>: greetings from india amb,non_standard_english,2022-12-10 21:09:05
2,16763,"<b>Raw:</b> Noida, phase -2 sec 81 B-23 
Civer line is block<br><b>Clean</b>: noida phase 2 sec 81 b 23 civer line is block",non_standard_english,2022-12-10 21:09:09
3,6917,<b>Raw:</b> @AbhishBanerj Didi busy reading difference between Evacuation and transportation. She is incharge of making Mamata Didi PM in 2024.<br><b>Clean</b>: didi busy reading difference between evacuation and transportation she is incharge of making mamata didi pm in 2024,code-switched,2022-12-10 21:09:16
4,9908,"<b>Raw:</b> @mera_puttar apke kaptaan mai dum hai .
he'll be the next Pm in incoming election.<br><b>Clean</b>: apke kaptaan mai dum hai hell be the next pm in incoming election",code-switched,2022-12-10 21:09:22
5,17911,"<b>Raw:</b> ®Daniel Electric @ Noida Extension, Greater Noida West https://t.co/cn6Xa81vXk<br><b>Clean</b>: daniel electric noida extension greater noida west",,2022-12-10 21:09:25
6,21484,<b>Raw:</b> @Ajitdoval_1 Jai hind🇮🇳 Jai Sanatan🙏🕉 🚩🚩🚩<br><b>Clean</b>: jai hind jai sanatan,not_english,2022-12-10 21:09:27
7,10325,"<b>Raw:</b> @anujkum74749512 @harshmadhusudan Lingayat Nahi khate hain na.. 

So Basically, You will be called as Brahman ho isliy nahi kha rhe.<br><b>Clean</b>: lingayat nahi khate hain na so basically you will be called as brahman ho isliy nahi kha rhe",code-switched,2022-12-10 21:09:31
8,24083,<b>Raw:</b> Noida secter 93A this Building is E legal https://t.co/LSHt37QylC<br><b>Clean</b>: noida secter 93a this building is e legal,,2022-12-10 21:09:34
9,22140,<b>Raw:</b> @PranaliiRathod @ErikSolheim @ourtemples_ @tourismgoi @MinOfCultureGoI Jai shree Krishna subh prabhat comment please<br><b>Clean</b>: jai shree krishna subh prabhat comment please,code-switched,2022-12-10 21:18:12
10,10341,"<b>Raw:</b> Fun time to enjoy with friends ☺️😜
#frainds #party #celebration @ Surya Nagar, Ghaziabad https://t.co/m3zunZQKoh<br><b>Clean</b>: fun time to enjoy with friends surya nagar ghaziabad",not-syntactic_standard_english,2022-12-10 21:18:22
11,9921,"<b>Raw:</b> #TraineeA #RCB #royalchallengersbangalore #ViratKohli 
  we have real KGF 😎🥳 https://t.co/j67MzGWQUK<br><b>Clean</b>: we have real kgf",non_standard_english,2022-12-10 21:18:25
12,19592,"<b>Raw:</b> @NotTheDarkBlade I hope so bhai
.<br><b>Clean</b>: i hope so bhai",code-switched,2022-12-10 21:18:28
13,10292,<b>Raw:</b> @AdityaK33746395 @AshwiniUpadhyay Wow such a nice explanation. Hum bhi jab ghanta bjate h to winning feel karte h. To btao bja de phir.😂<br><b>Clean</b>: wow such a nice explanation hum bhi jab ghanta bjate h to winning feel karte h to btao bja de phir,code-switched,2022-12-10 21:18:31
14,843,"<b>Raw:</b> Shocked and saddened by the sudden demise of Shri #RameshBabu Garu. 
Condolences and strength to Krishna Garu, @urstrulyMahesh garu and entire Ghattamaneni family.
#RIPRameshBabu 🙏     #RIPRameshBabu https://t.co/RJruxJLwlO<br><b>Clean</b>: shocked and saddened by the sudden demise of shri garu condolences and strength to krishna garu garu and entire ghattamaneni family",code-switched,2022-12-10 21:18:35
15,8701,<b>Raw:</b> @BeingRam202 Subh prabhat dosto please RT and like back to back all friends tweets<br><b>Clean</b>: subh prabhat dosto please rt and like back to back all friends tweets,code-switched,2022-12-10 21:18:39
16,20488,<b>Raw:</b> @Jaisingh360Jai @LaxmiGv Yss brother i agree ur wordings yogi openly saying media i m follwing to santan dharm So i m not other religouse festival celebrate.😇1947 k baad yeh.first &amp; last cm essa bana deya jiske pass n koi plan hai n koi idea k mehgai ko kaise khtm kre job factriya universty kaise bane<br><b>Clean</b>: yss brother i agree ur wordings yogi openly saying media i m follwing to santan dharm so i m not other religouse festival celebrate 1947 k baad yeh first and last cm essa bana deya jiske pass n koi plan hai n koi idea k mehgai ko kaise khtm kre job factriya universty kaise bane,code-switched,2022-12-10 21:18:44
17,11592,"<b>Raw:</b> Heard BJP MP Sudhsnsu Trivedi say NDTV,Nehru &amp; Indira became leaders after becoming PMs:When comes to such issues all of them r as absurd:Nehru's Discovery Of India written in 44 should prove,if any rewuired:When Nehru toured  whole of India in 36-37 to get votes for congress<br><b>Clean</b>: heard bjp mp sudhsnsu trivedi say ndtvnehru and indira became leaders after becoming pmswhen comes to such issues all of them r as absurdnehrus discovery of india written in 44 should proveif any rewuiredwhen nehru toured whole of india in 36 37 to get votes for congress",non_standard_english,2022-12-10 21:18:49
18,14816,"<b>Raw:</b> Those who have
SATNAAM 
updesh......
#MondayThoughts 
#GodMorningMonday
♦️Please visit https://t.co/mDPq3WjoCk https://t.co/fiHEFdjfx4<br><b>Clean</b>: those who have satnaam updesh please visit",code-switched,2022-12-10 21:18:59
19,17392,"<b>Raw:</b> @AaditPalicha @v0hra @ZeptoNow #zepto #zypp 

MY SALARY HOLD WITHOUT ANY REASON

Name - Charanjeet Zypp 
User ID-  293165
zepto id- DEL09-R0499
TL name- Rohit<br><b>Clean</b>: my salary hold without any reason name charanjeet zypp user id 293165 zepto id del09 r0499 tl name rohit",non_standard_english,2022-12-10 21:19:10
20,11545,"<b>Raw:</b> 🔥🔥🔥

Jo album kal release hoya, oh TOP te. Naal hi do purane album v 2 &amp; 3 spot te

Shayed eh pahli bar ho reha ki 14 saal release to baad fir to top trending ch gaane aa gaye

Fan khant wale Maan de

https://t.co/n4QB4EcppD<br><b>Clean</b>: jo album kal release hoya oh top te naal hi do purane album v 2 and 3 spot te shayed eh pahli bar ho reha ki 14 saal release to baad fir to top trending ch gaane aa gaye fan khant wale maan de",code-switched,2022-12-10 21:19:13
21,18163,"<b>Raw:</b> Antiwordle #146
  7 guesses

⬛⬛⬛⬛⬛
⬛⬛🟨⬛⬛
⬛🟨⬛🟨🟨
🟥🟨⬛🟨🟨
🟥🟨⬛🟨🟨
🟥🟨🟥🟨⬛
🟥🟥🟥🟥🟥
Good Morning<br><b>Clean</b>: antiwordle 7 guesses good morning",non_standard_english,2022-12-10 21:19:18
22,8591,"<b>Raw:</b> MEET #TwitterakiAunties !! 👯

KEEP SHINING SHEHNAAZ https://t.co/b8IDqUFlyp<br><b>Clean</b>: meet keep shining shehnaaz",non_standard_english,2022-12-10 21:19:21
23,7340,<b>Raw:</b> Good morning happy Wednesday jai shri radley Krishna https://t.co/z0UU4wJQbk<br><b>Clean</b>: good morning happy wednesday jai shri radley krishna,code-switched,2022-12-10 21:19:27
24,4689,"<b>Raw:</b> Jai mahakal 🙏🙏🙏  
Lovely decision https://t.co/lRbv9T0SI1<br><b>Clean</b>: jai mahakal lovely decision",code-switched,2022-12-10 21:19:29
25,19959,<b>Raw:</b> @arslan15151 @ImTanujSingh We already played and give birth to Pakistan so baap baap hota hai beta beta hota hai 🤣🤣🤣🤣🤣🤣.74Cr<br><b>Clean</b>: we already played and give birth to pakistan so baap baap hota hai beta beta hota hai 74cr,code-switched,2022-12-10 21:19:33
26,11340,<b>Raw:</b> @433 I love Neymar Jr 😊<br><b>Clean</b>: i love neymar jr,not-syntactic_standard_english,2022-12-10 21:19:38
