,id_column,annotate_text,label,annotated_at
0,23328,"<b>Raw:</b> 🚩श्री गणेशाय नम:🚩 
TODAY'S DIGITAL PANCHANG, 23 - Aug - 2022, तिथि  एकादशी  06:08 AM, नक्षत्र  आर्द्रा  10:44 AM, करण - बालव  06:08 AM, कौलव  06:08 AM, पक्ष  कृष्ण, योग  सिद्धि  +00:37 AM, वार  मंगलवार, सूर्योदय । Hon Lt Religious Teacher (RETIRED) ACHARYA Pt SOM SHARMA Shastri https://t.co/D9UudM6aps<br><b>Clean</b>: todays digital panchang 23 aug 2022 0608 am 1044 am 0608 am 0608 am 0037 am hon lt religious teacher retired acharya pt som sharma shastri",code-switched,2022-12-13 02:32:18
1,12748,"<b>Raw:</b> @RahulGandhi Congress and Kejriwal kyu logo ko free ki adaat dalne mai lage ho. y you can't make such a strong education system. So that everyone earn it instead of begging. Nobody would need free ki roti. 

We are far better than before but need to grow more. Jai Hind🇮🇳<br><b>Clean</b>: congress and kejriwal kyu logo ko free ki adaat dalne mai lage ho y you cant make such a strong education system so that everyone earn it instead of begging nobody would need free ki roti we are far better than before but need to grow more jai hind",code-switched,2022-12-13 02:32:25
2,4676,"<b>Raw:</b> Join me on NaMo App in the journey to transform India. Click 
https://t.co/PU7ypVtYg2
via NaMo App<br><b>Clean</b>: join me on namo app in the journey to transform india click via namo app",full_standard_english,2022-12-13 02:32:34
3,3512,"<b>Raw:</b> 📌 #Pent House for Sale in Belmonte on #Golf Course Road, #Gurgaon https://t.co/nEYyNpKIIj<br><b>Clean</b>: house for sale in belmonte on course road",not-syntactic_standard_english,2022-12-13 02:33:38
4,9273,<b>Raw:</b> @JennifeJennyy Hi Jennifer jennyy very nice Pic i love you Janu so cute kis mi<br><b>Clean</b>: hi jennifer jennyy very nice pic i love you janu so cute kis mi,code-switched,2022-12-13 02:33:43
5,74,"<b>Raw:</b> Nishulk E-shram registration camp in Hauzkhas village organised by Delhi's Mahila Morcha's Vice President @renumontisingh and @CSCegov_ 

More than 100 E-shram registered.

#CSC #DigitalIndia #Eshram #BJP4IND #Delhi #India https://t.co/FIXCz3fKMB<br><b>Clean</b>: nishulk e shram registration camp in hauzkhas village organised by delhis mahila morchas vice president and more than 100 e shram registered",non_standard_english,2022-12-13 02:35:18
6,17082,"<b>Raw:</b> #KarnatakaWelcomesModiji
Bhagwan Basaveshwar provided the society with new energy, democracy, education and equality which are still the foundations of India, said PM Modi.  
via NaMo App<br><b>Clean</b>: bhagwan basaveshwar provided the society with new energy democracy education and equality which are still the foundations of india said pm modi via namo app",full_standard_english,2022-12-13 02:35:25
7,23942,<b>Raw:</b> @Bebo100_ Very beautiful ❤️ and cute profile pic Bebo je<br><b>Clean</b>: very beautiful and cute profile pic bebo je,code-switched,2022-12-13 02:35:29
8,46,<b>Raw:</b> Samose should always be eaten with red chutney.<br><b>Clean</b>: samose should always be eaten with red chutney,non_standard_english,2022-12-13 02:35:41
9,7832,<b>Raw:</b> Navroz Mubarak to all my Parsi friends.<br><b>Clean</b>: navroz mubarak to all my parsi friends,full_standard_english,2022-12-13 02:35:45
10,13349,<b>Raw:</b> @AlgoBoffin Aayega jarur 15500 ..Just to take a reverse gear ..Spring jump ahead.<br><b>Clean</b>: aayega jarur 15500 just to take a reverse gear spring jump ahead,not-syntactic_standard_english,2022-12-13 02:35:49
11,24245,"<b>Raw:</b> Hopeless news only,never expect any news as journalist https://t.co/eo65rbe6BE<br><b>Clean</b>: hopeless news onlynever expect any news as journalist",not-syntactic_standard_english,2022-12-13 02:35:56
12,10042,"<b>Raw:</b> A Bittersweet Life (2005)
A Kim Jee Won classic https://t.co/rSJyTOj92e<br><b>Clean</b>: a bittersweet life 2005 a kim jee won classic",not-syntactic_standard_english,2022-12-13 02:37:26
13,1246,"<b>Raw:</b> @theChrisDo @LcswNidhi I also want to talk with you , I m Ankita, ankitadigi from ig.  I follow you on all platforms .<br><b>Clean</b>: i also want to talk with you i m ankita ankitadigi from ig i follow you on all platforms",non_standard_english,2022-12-13 02:37:32
14,8384,<b>Raw:</b> @Cryptowithkhan Whole country is fool except India about Crypto currency..😴😴😴<br><b>Clean</b>: whole country is fool except india about crypto currency,not-syntactic_standard_english,2022-12-13 02:37:41
15,22001,<b>Raw:</b> @DelhiJalBoard @CMODelhi @msisodia Such type of water is supplied by DJB despite complaints since 2022 in Dev Kunj Palam Colony. No authority make any effort to sort out the problem https://t.co/SA40Kvt9b4<br><b>Clean</b>: such type of water is supplied by djb despite complaints since 2022 in dev kunj palam colony no authority make any effort to sort out the problem,not-syntactic_standard_english,2022-12-13 02:37:48
16,18166,"<b>Raw:</b> Daily Quordle 159
🟥5️⃣
🟥8️⃣
https://t.co/UAoN4AF1k2
Ninny...Never Heard.<br><b>Clean</b>: daily quordle 159 5 8 ninny never heard",,2022-12-13 02:37:52
17,1818,"<b>Raw:</b> Never marry a tennis player, love ❤️ means nothin to them 😏🤦

If u don't geetttit foggeettit<br><b>Clean</b>: never marry a tennis player love means nothin to them if u dont geetttit foggeettit",non_standard_english,2022-12-13 02:37:56
18,20427,<b>Raw:</b> ◦ Must have license to drive the TARDIS https://t.co/fDbMuox70f<br><b>Clean</b>: must have license to drive the tardis,not-syntactic_standard_english,2022-12-13 02:38:01
19,7498,<b>Raw:</b> @SaraSnarky Hahaa...and he is looking over you from up there while nibbling on some candies....<br><b>Clean</b>: hahaa and he is looking over you from up there while nibbling on some candies,non_standard_english,2022-12-13 02:38:07
20,2613,<b>Raw:</b> Thana biktah hai. Same way Indian Government was sold to gangster Midi by International Gangster Sonia Maino in 2014.<br><b>Clean</b>: thana biktah hai same way indian government was sold to gangster midi by international gangster sonia maino in 2014,code-switched,2022-12-13 02:38:11
21,24172,<b>Raw:</b> @ku_yart @foundation Absolutely beautiful work bhai❤️❤️❤️❤️❤️lots of love from my side<br><b>Clean</b>: absolutely beautiful work bhailots of love from my side,code-switched,2022-12-13 02:38:40
22,9403,<b>Raw:</b> Kyrie's 3  ball looks wet today.<br><b>Clean</b>: kyries 3 ball looks wet today,full_standard_english,2022-12-13 02:38:47
23,2502,"<b>Raw:</b> @Shraddh55759845 @eyearshiya I know it's not journey video but finale Tak false narrative set karna
BB15 TROPHY AWAITS KARAN<br><b>Clean</b>: i know its not journey video but finale tak false narrative set karna bb15 trophy awaits karan",code-switched,2022-12-13 02:38:52
24,17766,<b>Raw:</b> @boxervijender I strongly oppose you and ypur metal ability<br><b>Clean</b>: i strongly oppose you and ypur metal ability,non_standard_english,2022-12-13 02:38:55
25,6581,"<b>Raw:</b> AR Customised coffee mug
[Customised Avengers printed Coffee Mug]
""Available on Amazon, Link in Bio''
#avengers #kidavengers #coffee #coffeecup #coffeemugs #coffeetime #coffeelovers #teacup @ Noida https://t.co/zlhjaHIB8b<br><b>Clean</b>: ar customised coffee mug customised avengers printed coffee mug available on amazon link in bio noida",,2022-12-13 02:38:58
26,15481,"<b>Raw:</b> @rockyandmayur @HISTORYTV18 Oyeeee!!!! You went to tularam ke rasgulle!!! Rumoured to be in Amitabh Bacchan wedding as a stall. 

The bigger one, the more rustic is original shop. #childhoodmemories papa would treat me here when coming over to the sugar factory at dhampur<br><b>Clean</b>: oyeeee you went to tularam ke rasgulle rumoured to be in amitabh bacchan wedding as a stall the bigger one the more rustic is original shop papa would treat me here when coming over to the sugar factory at dhampur",code-switched,2022-12-13 02:39:01
27,17380,"<b>Raw:</b> If you wait until you're ready, you'll be waiting the rest of your life.<br><b>Clean</b>: if you wait until youre ready youll be waiting the rest of your life",full_standard_english,2022-12-13 02:39:06
28,10392,<b>Raw:</b> @SkyNews Ukraine has digged it's grave by 9 feet<br><b>Clean</b>: ukraine has digged its grave by 9 feet,not-syntactic_standard_english,2022-12-13 02:39:10
