,id_column,annotate_text,label,annotated_at
0,18784,"<b>Raw:</b> https://t.co/baeyHibeLp
 @NewsClick.in with Prabir Purkayastha: Boris Johnson, Russia &amp; Ukraine, Africa https://t.co/Q7zYDm6GRj<br><b>Clean</b>: in with prabir purkayastha boris johnson russia and ukraine africa",not-syntactic_standard_english,2022-12-13 00:48:07
1,8295,<b>Raw:</b> Pasta experiments: Learning to be mindful and indulgent from Italian nonnas and Stanley Tucci https://t.co/45Me4QvHZa<br><b>Clean</b>: pasta experiments learning to be mindful and indulgent from italian nonnas and stanley tucci,not-syntactic_standard_english,2022-12-13 00:49:01
2,13641,"<b>Raw:</b> @teamveganfta But at the same time ,if one does not love them,they respect that too,but genrally they get badly hurt because of  breach of trust.<br><b>Clean</b>: but at the same time if one does not love themthey respect that toobut genrally they get badly hurt because of breach of trust",not-syntactic_standard_english,2022-12-13 00:49:22
3,3478,<b>Raw:</b> Just posted a photo @ Cyber Hub Gurgaon https://t.co/oRLrwY1NKQ<br><b>Clean</b>: just posted a photo cyber hub gurgaon,,2022-12-13 00:49:25
4,11662,<b>Raw:</b> @franalations23 @PlayBlankos I mounted one blanko. Bt m blank wat to do further. I did it for only 10 wen u said<br><b>Clean</b>: i mounted one blanko bt m blank wat to do further i did it for only 10 wen u said,non_standard_english,2022-12-13 00:49:38
5,6786,<b>Raw:</b> @realmadrid Benzema taught farmers how to cultivate goals.<br><b>Clean</b>: benzema taught farmers how to cultivate goals,full_standard_english,2022-12-13 00:49:46
6,18058,<b>Raw:</b> @Rishi_saxena21 @AdityaRajKaul Open Hanging on in a busy sqaure<br><b>Clean</b>: open hanging on in a busy sqaure,not-syntactic_standard_english,2022-12-13 00:50:56
7,24255,"<b>Raw:</b> @Hanoitouronline Hi How can I travel Hanoi-Catba Islands-Ninhbinh- Hanoi .
I have 2 Nights. Cheap solo travellor<br><b>Clean</b>: hi how can i travel hanoi catba islands ninhbinh hanoi i have 2 nights cheap solo travellor",non_standard_english,2022-12-13 00:51:03
8,17084,"<b>Raw:</b> #KarnatakaWelcomesModiji
Ease of living to scale new heights in Bengaluru. PM Modi will inaugurate and lay the foundation stone of rail and road infra projects worth over Rs 27,000 crore in Bengaluru.
via NaMo App<br><b>Clean</b>: ease of living to scale new heights in bengaluru pm modi will inaugurate and lay the foundation stone of rail and road infra projects worth over rs 27000 crore in bengaluru via namo app",full_standard_english,2022-12-13 00:51:30
9,8466,<b>Raw:</b> Just posted a photo @ Umeed Ki Kiran https://t.co/TekzZ3EG53<br><b>Clean</b>: just posted a photo umeed ki kiran,code-switched,2022-12-13 00:51:42
10,2535,"<b>Raw:</b> Age bhi hogi , he is very nice &amp; helpful person 👍 https://t.co/hFWUYUG7Fk<br><b>Clean</b>: age bhi hogi he is very nice and helpful person",code-switched,2022-12-13 00:51:46
11,7028,<b>Raw:</b> @news24tvchannel @MamataOfficial Isi baat par West Bengal ki sarkaar ko barkhast kar do... @MamataOfficial knows that elections can be manipulated as she did in west bengal.<br><b>Clean</b>: isi baat par west bengal ki sarkaar ko barkhast kar do knows that elections can be manipulated as she did in west bengal,code-switched,2022-12-13 00:51:51
12,16072,<b>Raw:</b> Happy birthday legend @iSidhuMooseWala 🦁 always in the heart jatta❤️ #HappyBirthday #RipLegend #RIPSidhuMoosewala #rip_siddhu_moosewala #birthday #Legend https://t.co/yqainOgjHg<br><b>Clean</b>: happy birthday legend always in the heart jatta,code-switched,2022-12-13 00:52:00
13,23636,"<b>Raw:</b> DDA sports complex rohini. Yoga sessions 
Join us. 
Time :7:10 am To 8:10 am. 
 5:00pm To 6:00 pm. 
Days : Tuesday To Saturday
#AshVinder
#yogaday
#yoga
#yogaanywhere 
#yogaworld 
#yogaleggings 
#yogamotivation
#yoga #yogamoves #yogagoals #yogabody #yogastretch #yogaeverywhere https://t.co/WjKjCo2Arr<br><b>Clean</b>: dda sports complex rohini yoga sessions join us time 710 am to 810 am 500pm to 600 pm days tuesday to saturday",,2022-12-13 00:52:17
14,9120,"<b>Raw:</b> #GodMorningSunday
Devote your life to bhakti.
https://t.co/0NtFqNisRy
⏩Must Visit
Sant Rampal Ji Maharaj 
YouTube Channel https://t.co/t1ZrVLqj5n<br><b>Clean</b>: devote your life to bhakti must visit sant rampal ji maharaj youtube channel",code-switched,2022-12-13 00:52:22
15,16808,<b>Raw:</b> Mobile signal booster 2G3G4G5G jio all network services iso product made in India Mobile 966 755 1308 wetsap no 9250 222202 5Star signature copper https://t.co/IQSmchxbPr<br><b>Clean</b>: mobile signal booster 2g3g4g5g jio all network services iso product made in india mobile 966 755 1308 wetsap no 9250 222202 5star signature copper,non_standard_english,2022-12-13 00:52:33
16,17362,<b>Raw:</b> @DiceGameMaster @TajinderBagga Pr Chu...... Neela ek hi hai aur kale to Kai sare hain isliye doubt hai<br><b>Clean</b>: pr chu neela ek hi hai aur kale to kai sare hain isliye doubt hai,code-switched,2022-12-13 00:52:42
17,21162,<b>Raw:</b> @_AdamFitzgerald AlQ base of Operations was in Peshawar till Abu Azam death. Shakai region was the place for the failed Shakai agreement between TTP &amp; Pak military. The influence of Alq on matters in Afpak region is questionable. Even attack on Massoud was planned in France/Egypt.<br><b>Clean</b>: alq base of operations was in peshawar till abu azam death shakai region was the place for the failed shakai agreement between ttp and pak military the influence of alq on matters in afpak region is questionable even attack on massoud was planned in franceegypt,not-syntactic_standard_english,2022-12-13 00:53:04
