,id_column,annotate_text,label,annotated_at
0,2300,"<b>Raw:</b> Happy Birthday @emraanhashmi Sir...Love &amp; best wishes from Bangladesh 🇧🇩🇧🇩

I'm a big fan of u...Again best wishes,,Enjoy the day .<br><b>Clean</b>: happy birthday sir love and best wishes from bangladesh im a big fan of u again best wishesenjoy the day",non_standard_english,2022-12-11 16:45:07
1,2271,<b>Raw:</b> Put hands where I can see baby.. That Naugthy officer.. ❤️❤️❤️❤️❤️👮‍♀️👮‍♀️ https://t.co/W5u8ZbfYx0<br><b>Clean</b>: put hands where i can see baby that naugthy officer,not-syntactic_standard_english,2022-12-11 16:45:22
2,5633,"<b>Raw:</b> @Ahmad_khan5555 @mariojohan @LingamSupraman2 Indonesia hv so much stock :( 
Demands are less
Heard India &amp; China not taking Palm oil<br><b>Clean</b>: indonesia hv so much stock demands are less heard india and china not taking palm oil",non_standard_english,2022-12-11 16:45:33
3,6404,"<b>Raw:</b> I live in your dilemma 
Burned by your hesitation 😉 @ Agriculture Training Institute,hatazari,chittagong https://t.co/xIMcJWJ7lQ<br><b>Clean</b>: i live in your dilemma burned by your hesitation agriculture training institutehatazarichittagong",non_standard_english,2022-12-11 16:45:45
4,6698,"<b>Raw:</b> There's a fine line between being a part of someone's life and just existing, once you figure out the difference, you'll know where to draw the line! @ Ｒｅａｌｉｔｙ https://t.co/HC3PlnS4M4<br><b>Clean</b>: theres a fine line between being a part of someones life and just existing once you figure out the difference youll know where to draw the line",full_standard_english,2022-12-11 16:46:02
5,4712,"<b>Raw:</b> Wartsila 
Cylinder Head stock available for sale.
+8801688788540; +8801711874669 @ S Traders Marine https://t.co/61Rk1AKX8l<br><b>Clean</b>: wartsila cylinder head stock available for sale 8801688788540 8801711874669 s traders marine",,2022-12-11 16:46:14
6,6128,<b>Raw:</b> @Anushreejain427 The happiness lies on the journey not on the result. How long we will see the sunrise/sunset sitting with a cup of coffee having no tense in mind.<br><b>Clean</b>: the happiness lies on the journey not on the result how long we will see the sunrisesunset sitting with a cup of coffee having no tense in mind,full_standard_english,2022-12-11 16:46:35
7,530,<b>Raw:</b> Just posted a photo @ Chittagong Grammar School - National Curriculum - CGSNC https://t.co/Tuh6jgBbXd<br><b>Clean</b>: just posted a photo chittagong grammar school national curriculum cgsnc,,2022-12-11 16:46:39
8,1160,"<b>Raw:</b> Happy Valentine's Day to #ASTRO and fellow #AROHA 's❤️ hope y'all have a great day and enjoy with your loved ones 💜💜💜💜💜 
@offclASTRO https://t.co/FsHHCiA9Xy<br><b>Clean</b>: happy valentines day to and fellow s hope yall have a great day and enjoy with your loved ones",non_standard_english,2022-12-11 16:46:46
9,4759,"<b>Raw:</b> FUCKING HELL, I TOLD IT IVAN VOLKOV WAS BEHIND HIS PARENTS DEAD BRUH WHY TF I GUESSED IT 1 PAGE BACK, I MEAN THERE WAS NO NEED FOR IT<br><b>Clean</b>: fucking hell i told it ivan volkov was behind his parents dead bruh why tf i guessed it 1 page back i mean there was no need for it",non_standard_english,2022-12-11 16:46:56
10,5499,<b>Raw:</b> Many thanks @NishitaBarua_BD and band for joining #WOWBD’s Chattogram Chapter to celebrate the achievements of women and girls across Bangladesh. A fantastic performance despite the unexpected interruption. @bdBritish @ccdbangladesh #WOWSOUTHASIA https://t.co/rEKFR7RKtc<br><b>Clean</b>: many thanks and band for joining s chattogram chapter to celebrate the achievements of women and girls across bangladesh a fantastic performance despite the unexpected interruption,full_standard_english,2022-12-11 16:47:14
11,1647,"<b>Raw:</b> @Kristennetten @Ukraine @EvaFoxU @alexcatrey @DimaZeniuk These are the Ukrainians who left Afghanistan in 2001 Le B 

The people of Ukraine today may be able to feel the pain of those oppressed people in Afghanistan and Iraq. In fact - God forgives; But don't give up.<br><b>Clean</b>: these are the ukrainians who left afghanistan in 2001 le b the people of ukraine today may be able to feel the pain of those oppressed people in afghanistan and iraq in fact god forgives but dont give up",full_standard_english,2022-12-11 16:48:10
12,4297,"<b>Raw:</b> Finally I got my parcel 😘
My customise chain from #Choosett Thanks 💖 @ Choosett https://t.co/eiQc3nz03L<br><b>Clean</b>: finally i got my parcel my customise chain from thanks choosett",non_standard_english,2022-12-11 16:48:21
13,3544,"<b>Raw:</b> Today's Delivery... ... 
    📌 Newborn items

It was an urgent delivery. @ Chittagong, Bangladash https://t.co/N102ZiKe5X<br><b>Clean</b>: todays delivery newborn items it was an urgent delivery chittagong bangladash",not-syntactic_standard_english,2022-12-11 16:48:37
14,5435,"<b>Raw:</b> Etekcity Smart Scale for Body Weight, Accurate to 0.05lb (0.02kg) Digital Bathroom Weighing Machine for Fat Water Muscle BMI for People, Bluetooth Electronic Body Composition Monitors, 400lb 
for Buy pls Click at This amazon link-https://t.co/IPAP2WcFpe
#digital  #weightloss https://t.co/bC5Ucb7jdy<br><b>Clean</b>: etekcity smart scale for body weight accurate to 0 05lb 0 02kg digital bathroom weighing machine for fat water muscle bmi for people bluetooth electronic body composition monitors 400lb for buy pls click at this amazon link",,2022-12-11 16:48:44
15,4732,"<b>Raw:</b> Had the chance, on the flight from Chittagong to Dhaka, to discuss with Ministry of Chittagong Hill Tracts Affairs, Mr. Bir bahadur Ushwe Sing the development of port infrastructures at Chittagong. @ Chittagong https://t.co/JlFTgnAZEX<br><b>Clean</b>: had the chance on the flight from chittagong to dhaka to discuss with ministry of chittagong hill tracts affairs mr bir bahadur ushwe sing the development of port infrastructures at chittagong chittagong",full_standard_english,2022-12-11 16:48:55
