,id_column,annotate_text,label,annotated_at
0,6879,"<b>Raw:</b> Just posted a photo @ Foy's Lake, Kulshi, Chittagong https://t.co/rKIbvJ7ets<br><b>Clean</b>: just posted a photo foys lake kulshi chittagong",,2022-12-10 11:47:59
1,6846,<b>Raw:</b> @UmmeHabiba7890 Taka dia ki krba<br><b>Clean</b>: taka dia ki krba,not_english,2022-12-10 11:48:05
2,6768,<b>Raw:</b> @Surbhik86 Inbox e nock dao<br><b>Clean</b>: inbox e nock dao,code-switched,2022-12-10 11:48:12
3,1725,"<b>Raw:</b> Alhamdulillah I have been admitted into DCSA Program under SST,BOU. My study center is in CUET. @ Chittagong University of Engineering and Technology - CUET https://t.co/qRNw1pbs2I<br><b>Clean</b>: alhamdulillah i have been admitted into dcsa program under sstbou my study center is in cuet chittagong university of engineering and technology cuet",code-switched,2022-12-10 11:48:50
4,4341,<b>Raw:</b> ভুলে আশা সেই দিনগুলো। @ AFTAB AHMED Cricket Academy https://t.co/QqRYH5Xo1O<br><b>Clean</b>: aftab ahmed cricket academy,not-syntactic_standard_english,2022-12-10 11:49:23
5,4761,"<b>Raw:</b> 🤗O Tui Lal Paharir 🤔
😉Dash A Ja 👌 

Just View Of Nature 🙂
 It's Amazing ☺️
#views #Nature #Waither @ Chittagang- চিটাগাং https://t.co/nL0RT1Lf3o<br><b>Clean</b>: o tui lal paharir dash a ja just view of nature its amazing chittagang",,2022-12-10 11:49:34
6,4043,<b>Raw:</b> KFC for dedicated my nephew md hridoy https://t.co/WNoz1PC7Zk<br><b>Clean</b>: kfc for dedicated my nephew md hridoy,non_standard_english,2022-12-10 11:49:45
7,3875,"<b>Raw:</b> Assalamuwalaikum 
How Are YOU ❤ https://t.co/BIqsosanY8<br><b>Clean</b>: assalamuwalaikum how are you",code-switched,2022-12-10 11:49:50
8,4276,"<b>Raw:</b> Just posted a photo @ Potenga Sea Beach, Chattogram https://t.co/FyKK7WjkqI<br><b>Clean</b>: just posted a photo potenga sea beach chattogram",,2022-12-10 11:49:54
9,621,"<b>Raw:</b> Just posted a photo @ Sangu Bridge, Bandorbon https://t.co/r2rmv2SW9u<br><b>Clean</b>: just posted a photo sangu bridge bandorbon",,2022-12-10 11:50:07
