,id_column,annotate_text,label,annotated_at
0,13128,<b>Raw:</b> @collinejoie Eh ano pa nga ba? 🙈 HAHAHAHA<br><b>Clean</b>: eh ano pa nga ba hahahaha,not_english,2022-12-12 15:04:14
1,11497,<b>Raw:</b> Tinatamad ako mag-upload sa ig. 🤣😅<br><b>Clean</b>: tinatamad ako mag upload sa ig,some_english,2022-12-12 15:04:17
2,24090,<b>Raw:</b> Ang stressful naman ng monday na to!<br><b>Clean</b>: ang stressful naman ng monday na to,code-switched,2022-12-12 15:04:21
3,14007,"<b>Raw:</b> @iamstaybebe For sure!! Sleep well bestie, sweet dreams! ❤️<br><b>Clean</b>: for sure sleep well bestie sweet dreams",non_standard_english,2022-12-12 15:04:27
4,5537,<b>Raw:</b> yes i know what's your pov as future yoongi being a patient dad to his children 😢 https://t.co/Mij13wAcSE<br><b>Clean</b>: yes i know whats your pov as future yoongi being a patient dad to his children,,2022-12-12 15:04:32
5,7198,<b>Raw:</b> Just posted a photo @ NAIA Terminal 2 International Departures https://t.co/fJDKzRSpUS<br><b>Clean</b>: just posted a photo naia terminal 2 international departures,,2022-12-12 15:04:35
6,17343,"<b>Raw:</b> Just posted a video @ JORIA Church-Caloocan City, Philippines https://t.co/1FIxl9PUai<br><b>Clean</b>: just posted a video joria church caloocan city philippines",,2022-12-12 15:04:37
7,5542,<b>Raw:</b> ISTG TELEPERFORMANCE ANTIPOLO NEEDS TO REPLACE THEIR HR AND SECURITY EMPLOYEES<br><b>Clean</b>: istg teleperformance antipolo needs to replace their hr and security employees,non_standard_english,2022-12-12 15:04:41
8,14121,<b>Raw:</b> Just posted a photo @ Pintô Art Museum https://t.co/eLBVme81D9<br><b>Clean</b>: just posted a photo pintô art museum,,2022-12-12 15:04:45
9,7953,"<b>Raw:</b> Love doesn’t need to be perfect. It just needs to be true.

SHAIBIE SA MAGANDANG BUHAY
#MagandangBuhay<br><b>Clean</b>: love doesnt need to be perfect it just needs to be true shaibie sa magandang buhay",code-switched,2022-12-12 15:04:48
10,18175,<b>Raw:</b> I'm having a breakdown for breakfast brb<br><b>Clean</b>: im having a breakdown for breakfast brb,non_standard_english,2022-12-12 15:04:51
11,10202,<b>Raw:</b> @jaydelicious4 Hindi pa din nga ata makakauwi at punuan daw hahaha<br><b>Clean</b>: hindi pa din nga ata makakauwi at punuan daw hahaha,not_english,2022-12-12 15:04:55
12,4446,"<b>Raw:</b> Home 🏡 (@ Tivoli Garden Residences - @dmcihomes in Mandaluyong City, Metro Manila) https://t.co/BTA3CG4Qad<br><b>Clean</b>: home tivoli garden residences in mandaluyong city metro manila",,2022-12-12 15:04:57
13,747,"<b>Raw:</b> @sansu9114 @AShinumura @SB19Official Happy birthday

Dk3nfinity andBeyond
@SB19Official #SB19  
Listen to #Bazinga_SB19 in all music platforms<br><b>Clean</b>: happy birthday dk3nfinity andbeyond listen to in all music platforms",,2022-12-12 15:05:13
14,20227,"<b>Raw:</b> Setlist sa Be You kahapon

1. Feel My Rhythm
2. Psycho
3. Hello Sunset
4. Queendom
5. Red Flavor<br><b>Clean</b>: setlist sa be you kahapon 1 feel my rhythm 2 psycho 3 hello sunset 4 queendom 5 red flavor",code-switched,2022-12-12 15:05:17
15,21946,"<b>Raw:</b> Big day today.. tons of giveaways as we celebrate our 15th year Anniversary. 🙏🏻🙏🏻👆🏻👆🏻

Make time and droo by our HQ. 🔥🔥🔥

#15YearsStronger #AutobotSTRONG #FueledbyGod @ Autobot Offroad PH https://t.co/kbLeBYlBbV<br><b>Clean</b>: big day today tons of giveaways as we celebrate our 15th year anniversary make time and droo by our hq autobot offroad ph",,2022-12-12 15:05:27
16,21094,<b>Raw:</b> Bless sunday hayyy 1st duty ko ng sunday🤣🤣🤣🤣 https://t.co/4fPhBIyaFy<br><b>Clean</b>: bless sunday hayyy 1st duty ko ng sunday,code-switched,2022-12-12 15:05:30
17,12045,"<b>Raw:</b> Ninang to Newlyweds Atty. Mijo and Mrs. Abbi Solis, with their parents Atty. Pope and Mrs. Vicky Solis, Ninong Senator Sonny and Mrs. Tootsie Angara and Ninong Atty. Mario and Mrs. Santos #abbimijo2022 https://t.co/gOeEYbHBqn<br><b>Clean</b>: ninang to newlyweds atty mijo and mrs abbi solis with their parents atty pope and mrs vicky solis ninong senator sonny and mrs tootsie angara and ninong atty mario and mrs santos",code-switched,2022-12-12 15:05:33
18,10672,<b>Raw:</b> @jonnamoradobl Ng baby mo o braso mo🤣🤣🤣<br><b>Clean</b>: ng baby mo o braso mo,some_english,2022-12-12 15:05:36
19,10532,<b>Raw:</b> @pauloMDtweets Time to check ur policies. Hehehe<br><b>Clean</b>: time to check ur policies hehehe,non_standard_english,2022-12-12 15:05:39
20,15874,<b>Raw:</b> May balak pa ba kayo ideliver ang item ko @ZALORA @EntregoPH https://t.co/8lHmD3xBwx<br><b>Clean</b>: may balak pa ba kayo ideliver ang item ko,,2022-12-12 15:05:43
21,6435,"<b>Raw:</b> @randomwalker23 @archtSiCiLy @aupijuan Para sa isang pugante, I don't think he's above playing dirty.<br><b>Clean</b>: para sa isang pugante i dont think hes above playing dirty",code-switched,2022-12-12 15:05:51
22,5741,"<b>Raw:</b> I'm at LRT2 - Araneta Center-Cubao Station - @officiallrta in Quezon City, Metro Manila https://t.co/JWY37xXvPt<br><b>Clean</b>: im at lrt2 araneta center cubao station in quezon city metro manila",,2022-12-12 15:05:53
23,19227,<b>Raw:</b> Nagsisimula na ang pressure for wedding preps 🫣<br><b>Clean</b>: nagsisimula na ang pressure for wedding preps,code-switched,2022-12-12 15:05:58
24,21083,"<b>Raw:</b> ""𝐴 𝑔𝑒𝑛𝑒𝑟𝑜𝑢𝑠 ℎ𝑒𝑎𝑟𝑡, 𝑘𝑖𝑛𝑑 𝑠𝑝𝑒𝑒𝑐ℎ, 𝑎𝑛𝑑 𝑐𝑜𝑚𝑝𝑎𝑠𝑠𝑖𝑜𝑛 𝑎𝑟𝑒 𝑡ℎ𝑒 𝑡ℎ𝑖𝑛𝑔𝑠 𝑤ℎ𝑖𝑐ℎ 𝑟𝑒𝑛𝑒𝑤 ℎ𝑢𝑚𝑎𝑛𝑖𝑡𝑦."" -𝑩𝒖𝒅𝒅𝒉𝒂

Good morning! Have a blessed Sunday to yo'all! 🫰💗😇 https://t.co/N6ixumQEhc<br><b>Clean</b>: good morning have a blessed sunday to yoall",non_standard_english,2022-12-12 15:06:09
25,7009,"<b>Raw:</b> With Lodi @raytcarreon 
Congrats sa achievements mo :)
More projects to come. 

#crocsph @ Bonifacio High Street, the Fort, Bonifacio Global City https://t.co/iodE7VQn9o<br><b>Clean</b>: with lodi congrats sa achievements mo more projects to come bonifacio high street the fort bonifacio global city",,2022-12-12 15:06:16
26,6757,<b>Raw:</b> Angas ng Crime lab ng pnp<br><b>Clean</b>: angas ng crime lab ng pnp,code-switched,2022-12-12 15:06:20
27,4394,"<b>Raw:</b> As kakampinks, we should not be like this! Wordle 240 4/6

⬛⬛⬛⬛⬛
🟩⬛⬛🟨⬛
🟩⬛🟨⬛⬛
🟩🟩🟩🟩🟩<br><b>Clean</b>: as kakampinks we should not be like this wordle 240 46",full_standard_english,2022-12-12 15:06:24
28,3073,<b>Raw:</b> Looong grueling road back to strength<br><b>Clean</b>: looong grueling road back to strength,non_standard_english,2022-12-12 15:06:30
29,22802,<b>Raw:</b> Required ba manlibre kapag birthday? Gusto ko lang ng Tito vibes kind of celebration 😛🎂<br><b>Clean</b>: required ba manlibre kapag birthday gusto ko lang ng tito vibes kind of celebration,some_english,2022-12-12 15:06:36
30,233,<b>Raw:</b> MAKE TEEN-KISS HAPOEN IN THE FUTURE PLS 😭😭😭😭😭😭. THEY DESERVED COLLAB !!! https://t.co/PInDtkYvEv<br><b>Clean</b>: make teen kiss hapoen in the future pls they deserved collab,non_standard_english,2022-12-12 15:06:40
31,8810,<b>Raw:</b> @deartaru nakita mo ba tong stone na to? Nakuha mo na?<br><b>Clean</b>: nakita mo ba tong stone na to nakuha mo na,some_english,2022-12-12 15:06:46
32,17669,<b>Raw:</b> @cheesusrawb andrea expanding her color palette yessss. charr HAHAAHAH<br><b>Clean</b>: andrea expanding her color palette yessss charr hahaahah,code-switched,2022-12-12 15:06:54
33,6462,"<b>Raw:</b> Had VP Leni not run for president, I would have likely chosen Lacson. But with this...

Without Leni, I would have concluded already that our future is bleak. https://t.co/7UE9qPoyd4<br><b>Clean</b>: had vp leni not run for president i would have likely chosen lacson but with this without leni i would have concluded already that our future is bleak",not-syntactic_standard_english,2022-12-12 15:07:00
34,15393,<b>Raw:</b> Ang saya ng umaga ko Lord thank you po<br><b>Clean</b>: ang saya ng umaga ko lord thank you po,code-switched,2022-12-12 15:07:07
35,1456,"<b>Raw:</b> Lord bakit yung boyfriend ko fresh, ako hindi? 😁 https://t.co/moZN7cbltk<br><b>Clean</b>: lord bakit yung boyfriend ko fresh ako hindi",,2022-12-12 15:07:12
