,id,date,rawContent,cleaned_content,english_relative_frequency
68,5469,2022-02-24 23:23:21+00:00,@wooda_10 Niqqas always skipping scenes,niqqas always skipping scenes,0.75
84,8185,2022-03-23 23:14:48+00:00,@NtimEmanovic That Obaa Boni she even fine seff ?,that obaa boni she even fine seff,0.7142857142857143
98,1199,2022-01-12 23:24:14+00:00,"@_lawslaw @iLatif_ UPSA sef? You people dey this app top dey figa, sia I hope say if you die them go burry you for air conditioned coffin inside. Tswww S3 UPSA sef 🤦🏽‍♂️🤧🤧🤧",upsa sef you people dey this app top dey figa sia i hope say if you die them go burry you for air conditioned coffin inside tswww s3 upsa sef,0.7931034482758621
81,2582,2022-01-26 23:19:04+00:00,@DOScodified @Jamieilish @DANEisQueen @Tidohthando Herh fa wo gyimie fri ha k),herh fa wo gyimie fri ha k,0.7142857142857143
18,9419,2022-04-05 23:47:02+00:00,Let's laugh at hiiiiiim😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹 https://t.co/RR7ZAFutMe,lets laugh at hiiiiiim,0.75
48,20649,2022-07-26 23:24:01+00:00,Ebaa hi po nɛ ???,ebaa hi po n,0.75
92,393,2022-01-04 23:34:24+00:00,Listen to Crossover Praise by Boomplay Ghana on Boomplay. https://t.co/gtNUKHRTqh,listen to crossover praise by boomplay ghana on boomplay,0.7777777777777778
16,10117,2022-04-12 23:52:56+00:00,"Reece James and Karim Benzema swapping shirts at full time.

Respect!
#RMACHE #UCL https://t.co/LWMD6o1cCq",reece james and karim benzema swapping shirts at full time respect,0.7272727272727273
30,12931,2022-05-10 23:36:07+00:00,@homebargains Wat do u guys take us 4? U make us waste our tym and crte acnt on ur plt4m in other 2 access ur emplymnt aplcation😥waste our tym 2 fill in 2 details evry part of ur aplcation questn😢n later tell de persn they don't meet eligibility😭wat is dat? R u only tryn to make fun of us😭,wat do u guys take us 4 u make us waste our tym and crte acnt on ur plt4m in other 2 access ur emplymnt aplcationwaste our tym 2 fill in 2 details evry part of ur aplcation questnn later tell de persn they dont meet eligibilitywat is dat r u only tryn to make fun of us,0.7924528301886793
95,5796,2022-02-27 22:58:33+00:00,@incredibleDanix @marshal_sensi follow let's be mutuals,follow lets be mutuals,0.75
