,id,date,rawContent,cleaned_content,english_relative_frequency
17,13518,2022-05-16 23:53:30+00:00,@ekua_egyi And u hvnt done anything for me yet. Smh,and u hvnt done anything for me yet smh,0.7777777777777778
83,23184,2022-08-20 23:32:37+00:00,"the guy change ein fifa account logins, eye clear, fifa 19 mood activated 😭😭😭😭😭😭😭😭😭",the guy change ein fifa account logins eye clear fifa 19 mood activated,0.75
35,14336,2022-05-24 23:35:46+00:00,@_Stevemensa Adey block factory now😂😂,adey block factory now,0.75
41,342,2022-01-04 23:49:28+00:00,@koboateng ei then not a small thing you're having,ei then not a small thing youre having,0.75
35,13236,2022-05-13 23:45:24+00:00,Jrue and Giannis better end it tonight,jrue and giannis better end it tonight,0.7142857142857143
75,8876,2022-03-30 23:26:22+00:00,@MaeyourSoonkie @efyabrooks @oloksy You're only known for 419,youre only known for 419,0.75
33,12734,2022-05-08 23:36:53+00:00,@iamJimohIsiaq We go open paa,we go open paa,0.75
17,9818,2022-04-09 23:47:46+00:00,#Abena go reach Facebook nextyear,go reach facebook nextyear,0.75
0,6501,2022-03-07 23:59:25+00:00,Kim moving like Mmanwu Ulaga in Duct tape 😂,kim moving like mmanwu ulaga in duct tape,0.75
92,12693,2022-05-07 23:51:12+00:00,Can Berla change already?🤣🤣🤣,can berla change already,0.75
19,4620,2022-02-16 23:38:48+00:00,Who remembers Angelica zambrano?,who remembers angelica zambrano,0.75
34,4935,2022-02-19 23:33:31+00:00,Omo. Kids are hilarious 😩😫,omo kids are hilarious,0.75
49,21750,2022-08-06 23:45:19+00:00,@DrClaude6 Je te jure .. c’est tjrs le peuple qui souffre .. hmmm,je te jure cest tjrs le peuple qui souffre hmmm,0.7
41,12242,2022-05-03 23:35:42+00:00,@nyamebaafc Ato go catch you 😂,ato go catch you,0.75
79,8180,2022-03-23 23:15:22+00:00,@QPhiges Mesee. I no dey barb anything kraa😓,mesee i no dey barb anything kraa,0.7142857142857143
47,17748,2022-06-27 23:44:51+00:00,Olele is killing me 💀💀💀😂😂😂😂😂😂😂,olele is killing me,0.75
88,23689,2022-08-25 23:17:16+00:00,Y’all need some artworks? https://t.co/UvEan3Md0U,yall need some artworks,0.75
91,1992,2022-01-20 23:06:07+00:00,@PhlakesNatives it’s a pleasure IFB,its a pleasure ifb,0.75
38,18239,2022-07-02 23:31:47+00:00,Fabulooooousss @ Accra Sport Stadium https://t.co/tJ178upCm0,fabulooooousss accra sport stadium,0.75
4,5205,2022-02-22 23:58:40+00:00,@SneakerNyame_ i see ya. BiggUps @blacksherif_ https://t.co/tq3U22A8nu,i see ya biggups,0.75
21,10222,2022-04-13 23:39:16+00:00,"@gyaigyimii Chelsea and Nottingham forest both have same number of UCL trophies, udey call Chelsea too big team…?😂😂",chelsea and nottingham forest both have same number of ucl trophies udey call chelsea too big team,0.7058823529411765
33,22034,2022-08-09 23:28:01+00:00,Herh I tear o🤣🤣🤣 https://t.co/wIOvMtpxMD,herh i tear o,0.75
24,15925,2022-06-09 23:48:43+00:00,Paul Adom Okyere is the real definition of goro boys and Bernard Avle is definition of professional journalism.,paul adom okyere is the real definition of goro boys and bernard avle is definition of professional journalism,0.7777777777777778
70,14871,2022-05-29 23:13:35+00:00,@QuameKwakye e shock u abi,e shock u abi,0.75
84,385,2022-01-04 23:36:54+00:00,@benbenaqua Ask them again ooooooooo,ask them again ooooooooo,0.75
80,15581,2022-06-05 23:01:45+00:00,"Full dbee from Ashesi university needed immediately, please retweet🙏🏽",full dbee from ashesi university needed immediately please retweet,0.7777777777777778
42,17443,2022-06-24 23:43:52+00:00,"You are all invited 
#RnAForever2022 

Congratulations @nana.yawmensah @ YONKO TV https://t.co/greQwTc6xr",you are all invited congratulations yawmensah yonko tv,0.75
63,6664,2022-03-08 23:21:18+00:00,"mmoa, fix your network https://t.co/EeTdQwIUHU",mmoa fix your network,0.75
32,6533,2022-03-07 23:34:45+00:00,"@imyunkobe WTF u same as me bruda,we role alone,we got no one to tell our problems to,WDGAF bout anyone,we enough!!!😏🙏🏼",wtf u same as me brudawe role alonewe got no one to tell our problems towdgaf bout anyonewe enough,0.7894736842105263
92,13893,2022-05-19 23:25:13+00:00,"Patrick vieira,s reactions towards the Everton fan was awful 😢",patrick vieiras reactions towards the everton fan was awful,0.7777777777777778
8,709,2022-01-08 23:53:07+00:00,@OpareNicholas2 Everything fine oo bro,everything fine oo bro,0.75
65,2166,2022-01-22 23:15:28+00:00,@WahabJr07 I shock self bro,i shock self bro,0.75
16,4417,2022-02-14 23:52:28+00:00,Sir Charles Beach 🏖…. Shot by @WillisPolse UTAG| UEW | #ValentinesDay2022 | Girlfriend https://t.co/tkO8WeFTvj,sir charles beach shot by utag uew girlfriend,0.75
81,19982,2022-07-19 23:27:13+00:00,@DrDNA_ You spoil there idolo 🤣🤣🤣,you spoil there idolo,0.75
57,14258,2022-05-23 23:36:54+00:00,@Phino_Phino chale i de search the continuation gidigidi😂😂,chale i de search the continuation gidigidi,0.7142857142857143
12,16113,2022-06-11 23:48:54+00:00,But Ghana FA dey twerk zalaaaaa give Salisulia https://t.co/Xi4rmuovr9,but ghana fa dey twerk zalaaaaa give salisulia,0.75
19,3120,2022-02-01 23:43:22+00:00,@malikofori Kindly follow back bro,kindly follow back bro,0.75
91,18292,2022-07-02 23:14:00+00:00,"“Chale,the girl en den en boy shon so you for do wild” 😂😂😂 ei snap",chalethe girl en den en boy shon so you for do wild ei snap,0.7857142857142857
92,19093,2022-07-10 23:33:18+00:00,Wu feeli me o 😂🤌🏽 https://t.co/s8E2XZOjT9,wu feeli me o,0.75
30,2631,2022-01-27 23:35:55+00:00,Messi is the GOAT https://t.co/sHGYC3hBt8,messi is the goat,0.75
5,22906,2022-08-18 23:59:08+00:00,Buh he’s Africa’s no.1? https://t.co/FSU85FkPcb,buh hes africas no 1,0.75
54,16155,2022-06-11 23:25:15+00:00,@daddys_girltn Lyk hw can u tell me dis story with an invisible Bf...😆,lyk hw can u tell me dis story with an invisible bf,0.75
77,23478,2022-08-23 23:32:05+00:00,The name is BRYANN 🔥 https://t.co/dUqZUeLdZw,the name is bryann,0.75
53,18854,2022-07-08 23:27:47+00:00,Entering Dms with “MashaAllah you’re so beautiful” tomorrow 🤭,entering dms with mashaallah youre so beautiful tomorrow,0.75
42,23743,2022-08-26 23:40:27+00:00,How does grealish score better marks ahead of Pepe and ndombele 😹 same scale https://t.co/LGXg0MFJTt,how does grealish score better marks ahead of pepe and ndombele same scale,0.7692307692307693
90,11691,2022-04-27 23:13:56+00:00,@iamyourspec This tear me walayi,this tear me walayi,0.75
39,5540,2022-02-25 23:44:01+00:00,@ellangozi4 Let's be besties na,lets be besties na,0.75
13,12114,2022-05-02 23:49:03+00:00,Have some shame ffs 🤦🏾‍♂️ https://t.co/kS8CN0sKxk,have some shame ffs,0.75
80,4581,2022-02-15 23:09:56+00:00,Yhhhh!!!! Keep the videos coming 🙌🏿🙌🏿. Oh the Tik tok ones too 💪🏿💕 #DontHateMe,yhhhh keep the videos coming oh the tik tok ones too,0.7272727272727273
53,6354,2022-03-05 23:32:49+00:00,The UK peng tings ♥️,the uk peng tings,0.75
35,4936,2022-02-19 23:33:26+00:00,Amir Khan ankasa hmm,amir khan ankasa hmm,0.75
53,13154,2022-05-12 23:38:10+00:00,"chale e lef small like adey go fall in love again, like ano wash my face anka by now adey ground hm🤣🤣",chale e lef small like adey go fall in love again like ano wash my face anka by now adey ground hm,0.7727272727272727
93,15094,2022-05-31 23:25:21+00:00,Only stat Djokovic won was ace. 5 aces to Nadal's 3. All other stats won by Nadal. Beast Rafa!,only stat djokovic won was ace 5 aces to nadals 3 all other stats won by nadal beast rafa,0.7058823529411765
82,9083,2022-04-01 23:13:44+00:00,@MimiBb_2 Eeiiii really like seriously……..! https://t.co/xCd0xsAPPC,eeiiii really like seriously,0.75
31,12732,2022-05-08 23:38:01+00:00,@dat_blankson Shame on you!!! Hooooooooooo!!!!!,shame on you hooooooooooo,0.75
20,20821,2022-07-28 23:46:02+00:00,😳😂😂😂😂 Sheggz 😂😂😂😂 you are behaving because of Bella  it’s been 4 working days. SHEGGZ dey work  #BBNajia,sheggz you are behaving because of bella its been 4 working days sheggz dey work,0.7857142857142857
98,15599,2022-06-05 22:52:00+00:00,Ronaldo is the GOAT 🐐 #TalkYourTalk #CR7𓃵,ronaldo is the goat,0.75
81,19882,2022-07-18 23:20:18+00:00,"Kimpembe deal is off then. It'll be difficult to leave Messi, Neymar and Mbappe tough, to come and play with Werner and Batshuayi. 🤔 https://t.co/4SBqDBKezA",kimpembe deal is off then itll be difficult to leave messi neymar and mbappe tough to come and play with werner and batshuayi,0.7391304347826086
65,4366,2022-02-13 23:24:05+00:00,"Oh chale, DSTV no go show we the Superbowl commercials some?",oh chale dstv no go show we the superbowl commercials some,0.7272727272727273
7,11008,2022-04-21 23:55:50+00:00,I really wanna go see Kwame Akoto Bamfo’s sculpture park this weekend,i really wanna go see kwame akoto bamfos sculpture park this weekend,0.75
22,13923,2022-05-20 23:51:57+00:00,@1tedbaker Yeah check your WhatsApp,yeah check your whatsapp,0.75
9,18310,2022-07-03 23:53:50+00:00,"@DBLACKGH @BamNation6 @enjoyment_radio @iamsaltynation 3ny3 woaa hwan? ... legends only, let dem know uv been on the street before .... big up urself @DBLACKGH  ✊✊💯",3ny3 woaa hwan legends only let dem know uv been on the street before big up urself,0.75
72,12673,2022-05-07 23:52:49+00:00,#KingBygoneLive | Counselor Lutterodt   arrives at #VGMA23 #KingBygone https://t.co/LIyTMGKFCa,counselor lutterodt arrives at,0.75
46,1647,2022-01-17 23:32:32+00:00,@Komave Eiiiii I see ago show you for WhatsApp,eiiiii i see ago show you for whatsapp,0.75
8,23109,2022-08-20 23:57:40+00:00,@dessack I shock sef... Ei make like then ei dey watch different fight o,i shock sef ei make like then ei dey watch different fight o,0.7692307692307693
35,15136,2022-06-01 23:45:33+00:00,"Buh on the real,
King Sark fine pass aswear https://t.co/CqcsF4DVom",buh on the real king sark fine pass aswear,0.7777777777777778
