,id,date,rawContent,cleaned_content,english_relative_frequency
39,10840,2022-04-19 23:41:42+00:00,"Even if you feel like you really love her
Don't ever tell that bitch that you really love her
'Cause that's when she's gon' make you feel like you nothing
And that's when you gon' start to feel like you buggin'",even if you feel like you really love her dont ever tell that bitch that you really love her cause thats when shes gon make you feel like you nothing and thats when you gon start to feel like you buggin,0.951219512195122
83,14184,2022-05-22 23:16:05+00:00,Herrrh hu dey kai fruit ninja.....wanna time if u get dat game u bi don😂😂,herrrh hu dey kai fruit ninja wanna time if u get dat game u bi don,0.9375
89,8690,2022-03-28 23:11:28+00:00,"The “JonesBond” White Wedding!! Sika W) Ghana OO https://t.co/ay4mPrEuQT via @YouTube
@kwadwosheldon say make God borrow am money 😂😂😂",the jonesbond white wedding sika w ghana oo via say make god borrow am money,0.9333333333333332
65,10466,2022-04-15 23:11:37+00:00,@TheGhanaWeb That fact that he went on to have a successful career without any serious repercussions is the WORST PART. That foul ruined it chale....,that fact that he went on to have a successful career without any serious repercussions is the worst part that foul ruined it chale,0.9583333333333334
23,8224,2022-03-24 23:46:48+00:00,"We pass through hail🌖, thunder🌩️, fire🔥and storm🌨️,just to live life simple to suite us✅.But never the less life mistreat us and never rewinded ⛔.just keep that smile 😊 always and never fade away from it 😁, cos life is BAD⁉️ https://t.co/8tSz7E0nMP",we pass through hail thunder fireand stormjust to live life simple to suite us but never the less life mistreat us and never rewinded just keep that smile always and never fade away from it cos life is bad,0.9230769230769232
0,3501,2022-02-05 23:59:53+00:00,She nor shun dey text ebi busy she make you all be against https://t.co/FimzBOvyR6,she nor shun dey text ebi busy she make you all be against,0.9230769230769232
90,20191,2022-07-21 23:12:00+00:00,"@AmaDaaku Does we care?
Enjoy your blood 🩸 alone 
Your blood can turn rainbow saf we no care… this your government be scam wati 😢😨",does we care enjoy your blood alone your blood can turn rainbow saf we no care this your government be scam wati,0.9090909090909092
68,1069,2022-01-11 23:08:33+00:00,"With Vodafone internet, it takes 3 minutes to watch a 30 seconds video. Respect!!",with vodafone internet it takes 3 minutes to watch a 30 seconds video respect,0.9166666666666666
16,17317,2022-06-23 23:50:18+00:00,"The High Court in Accra has yet again dismissed an application for Stay of Proceedings from the founder of defunct capital bank William Ato Essien.
https://t.co/IgEnrXAKgX",the high court in accra has yet again dismissed an application for stay of proceedings from the founder of defunct capital bank william ato essien,0.92
97,14698,2022-05-27 23:24:31+00:00,"Ain't nobody gon do it for you dude
you gotta be strong do ya f**ckin
self and that’s self-improvement💪",aint nobody gon do it for you dude you gotta be strong do ya f ckin self and thats self improvement,0.9523809523809524
