,id,date,rawContent,cleaned_content,english_relative_frequency
0,7101,2022-03-13 23:59:44+00:00,Imagine having only one boyfriend and you're the side chick😄😄,imagine having only one boyfriend and youre the side chick,0.9
10,19311,2022-07-13 23:53:22+00:00,"Wiredu Sylvester inviting you to join Rupee4Click, a site that lets you earn money with social media. I have already earned ₹75000 and you can too! Sign up today for a ₹500 bonus! https://t.co/MBJXJJQ24H https://t.co/MBJXJJQ24H",wiredu sylvester inviting you to join rupee4click a site that lets you earn money with social media i have already earned 75000 and you can too sign up today for a 500 bonus,0.9666666666666668
76,2177,2022-01-22 23:12:46+00:00,"Sugar is sweeter than salt but not inside soup.
Everyone is better in their lane so be yourself and don't imitate the lives of others._ @Robert Lamptey.

Good evening and have a beautiful night...",sugar is sweeter than salt but not inside soup everyone is better in their lane so be yourself and dont imitate the lives of others lamptey good evening and have a beautiful night,0.9393939393939394
89,13890,2022-05-19 23:25:36+00:00,He has no reason ..Ibi say the red side make useless 😂😂 https://t.co/fUZgdsjRn1,he has no reason ibi say the red side make useless,0.9090909090909092
50,24251,2022-08-31 23:31:08+00:00,"Educational technology initiatives also bring risks, however. Achieving the promise of technology requires more than simply deploying devices. #PatrioticSpaces",educational technology initiatives also bring risks however achieving the promise of technology requires more than simply deploying devices,0.9444444444444444
28,8029,2022-03-22 23:37:59+00:00,@drthabs @Nithinkottaram @FrankKhalidUK You're entitled to your opinion. The rest is not needed😐,youre entitled to your opinion the rest is not needed,0.9
51,19852,2022-07-18 23:34:58+00:00,"Eswatini ALONE in Africa, recognizes Taiwan as a country. Why? Sugar daddy China made it rain in Africa and you greedy lot took his money!

FIND the money AND pay back, or ALL OF AFRICA will be owned by CHINA!

This will become a reality when China invades Taiwan #DebtTrap",eswatini alone in africa recognizes taiwan as a country why sugar daddy china made it rain in africa and you greedy lot took his money find the money and pay back or all of africa will be owned by china this will become a reality when china invades taiwan,0.9591836734693876
92,20793,2022-07-27 23:15:42+00:00,"@swayekidd There's a podcast I listened to recently on pressure TikTok has put on the music industry: A&amp;Rs, one-hit artists and even established artists",theres a podcast i listened to recently on pressure tiktok has put on the music industry aandrs one hit artists and even established artists,0.9166666666666666
32,16333,2022-06-13 23:51:37+00:00,Fivio foreign claims he’s the king of NY sigh...wish Pop smoke was alive 😭💫,fivio foreign claims hes the king of ny sigh wish pop smoke was alive,0.9285714285714286
13,10714,2022-04-18 23:51:49+00:00,"Never won 2000+gh bet before but next season ago break that chain, start staking big , win bigger and stop wasting odds",never won 2000gh bet before but next season ago break that chain start staking big win bigger and stop wasting odds,0.95
21,11822,2022-04-29 23:42:13+00:00,"@OBENGCYRIL @1RealAcoustic @Efua_1122 Massa, salvation is an individual journey, concentrate on yours because you don't have any idea why God created us and the destiny He gave us.
Remember, both Peter and Judas betrayed the Christ after He has even made it known to them. .",massa salvation is an individual journey concentrate on yours because you dont have any idea why god created us and the destiny he gave us remember both peter and judas betrayed the christ after he has even made it known to them,0.9761904761904762
90,10291,2022-04-13 23:04:40+00:00,@kwakzzzz @kingdeexvxv @FJaace 😂😂😂😂😂Abeg the matter we mi fit talk am for here,abeg the matter we mi fit talk am for here,0.9
75,17176,2022-06-21 23:21:57+00:00,"Meanwhile the sons and daughters of the voters who elected them are under trees learning ; they don’t have shoes to wear ; no light no water no shelter; no books ; no uniform to wear ; if truly God exist 
No Politician will die in Peace; y’all shall experience the wrath of GOd",meanwhile the sons and daughters of the voters who elected them are under trees learning they dont have shoes to wear no light no water no shelter no books no uniform to wear if truly god exist no politician will die in peace yall shall experience the wrath of god,0.98
69,8770,2022-03-29 23:40:06+00:00,"Osimhen and Nigeria can still qualify since there are 5 more spots to be occupied.
#NGAGHA https://t.co/CZlKz4CYnS",osimhen and nigeria can still qualify since there are 5 more spots to be occupied,0.9285714285714286
94,15295,2022-06-02 23:14:04+00:00,"There's probably a playlist on Spotify somewhere called ""Jazz acoustic slow Drake songs 🔥🎷🎶""",theres probably a playlist on spotify somewhere called jazz acoustic slow drake songs,0.9230769230769232
12,813,2022-01-09 23:54:34+00:00,"Prediction 🤔
DSL - winner ✅
Konfidential - 1st runner-up ✅✅
A.J - 2nd runner-up ✅✅✅
#MentorX",prediction dsl winner konfidential 1st runner up a j 2nd runner up,0.9
13,7214,2022-03-14 23:51:21+00:00,@ThatUberGuyyy @WtffKhaleeq You should always buy a pack of that tissue box and place it on your dashboard because riders always request either to wipe  thier palm or face..,you should always buy a pack of that tissue box and place it on your dashboard because riders always request either to wipe thier palm or face,0.9629629629629628
92,21193,2022-07-31 23:15:41+00:00,"Alpharians, 1hr more to begin the month of August. 

This is not a session to miss. Let us affect the pillars of the month in prayer. 
12AM GMT

#AlphaHour",alpharians 1hr more to begin the month of august this is not a session to miss let us affect the pillars of the month in prayer 12am gmt,0.9615384615384616
67,13068,2022-05-11 23:14:29+00:00,Up above the bumpy stretch of Somanya where the chains of mountains and mango plantations make the landscape look like a piece of artwork. https://t.co/Hkj0Q7Dxcq,up above the bumpy stretch of somanya where the chains of mountains and mango plantations make the landscape look like a piece of artwork,0.9583333333333334
22,10423,2022-04-15 23:36:34+00:00,"Ah! @kwadwosheldon you better stop murmuring on the song bcos it's not a funeral type 😂 😂 😂 
#HaveMercy 🔛💥💥💥 https://t.co/w8mYdF0CgC",ah you better stop murmuring on the song bcos its not a funeral type,0.9285714285714286
56,21557,2022-08-04 23:32:34+00:00,@mawulibeckleyjr @clark_ferr Bet. why do you think Rema dropped the better project though?,bet why do you think rema dropped the better project though,0.9090909090909092
55,2156,2022-01-22 23:18:18+00:00,"@humbleraf @BBSimons Charlie after five good years,he is yet to still publish the full list of defaulters",charlie after five good yearshe is yet to still publish the full list of defaulters,0.9333333333333332
0,3301,2022-02-03 23:59:51+00:00,What Nana Addo wants to buy a new jet with Elevy,what nana addo wants to buy a new jet with elevy,0.9090909090909092
87,10088,2022-04-11 23:08:41+00:00,"So I was in a trotro from Botwe to Madina today and both the driver and the mate were females. I was impressed. Women empowerment, gender equality. The other passengers were also females so I didn’t suspect a thing. Herhh fear women. 
After they drove for about 10mins,",so i was in a trotro from botwe to madina today and both the driver and the mate were females i was impressed women empowerment gender equality the other passengers were also females so i didnt suspect a thing herhh fear women after they drove for about 10mins,0.9148936170212766
63,7564,2022-03-17 23:35:12+00:00,This is what you guys use spaces for? Lmaoo Oh wow!,this is what you guys use spaces for lmaoo oh wow,0.9090909090909092
78,15379,2022-06-03 23:15:40+00:00,@GovernoNene See how you're talking plenty. No sense 😂😂😂 Go and collect sense and come back.,see how youre talking plenty no sense go and collect sense and come back,0.9285714285714286
8,12009,2022-05-01 23:55:11+00:00,"🤣😂🤣😂 this one dierrrrr please let it slide 🙏🏾.

@Sark_Lawyer 🙏🏾. I really wanted to go that way but then I realized people like you and others started a very good work by promoting both artistes so we can’t spoil the whole beautiful thing by following their lead. https://t.co/aMX1VjkRKQ",this one dierrrrr please let it slide i really wanted to go that way but then i realized people like you and others started a very good work by promoting both artistes so we cant spoil the whole beautiful thing by following their lead,0.9772727272727272
87,11688,2022-04-27 23:15:31+00:00,"@Korsogyimi I remember I was lashed for not remembering it in a mock exams.

I chewed it, pored it, passed the social exams and after many years am now hearing about out it.

The things we learnt in school...
It's a mystery",i remember i was lashed for not remembering it in a mock exams i chewed it pored it passed the social exams and after many years am now hearing about out it the things we learnt in school its a mystery,0.975609756097561
82,8583,2022-03-27 23:08:59+00:00,@SMiTHiE___ Every body dey shine eye for sungba remix! Now they can sleep,every body dey shine eye for sungba remix now they can sleep,0.9166666666666666
43,5944,2022-03-01 23:34:51+00:00,"HAPPY BIRTHDAY 🎂 LUPITA
TOP TIER ACTRESS 
CAN'T WAIT TO SEE U IN THE FUTURE https://t.co/8ELWjlPAE6",happy birthday lupita top tier actress cant wait to see u in the future,0.9285714285714286
7,19608,2022-07-16 23:52:46+00:00,"Video 🎥 EUPHORIA: Kate Gyamfua, Incumbent National Women's Organizer has taken the lead.

NPP National Delegates Conference at the Accra Sports Stadium 🏟 

#KokromotiPower #ElectionHQ #NPPNationalDelegatesConference22 #AdomFM #AdomTV #AsempaFM #NhyiraFM #Adomonline https://t.co/dkFkHz8dfN",video euphoria kate gyamfua incumbent national womens organizer has taken the lead npp national delegates conference at the accra sports stadium,0.9047619047619048
34,1435,2022-01-15 23:36:57+00:00,"Check out this link and get to know how you can support my music or projects as well as that of your favorite artists on Audiomack
👇🏽👇🏽👇🏽
https://t.co/p9TN0oeTbL",check out this link and get to know how you can support my music or projects as well as that of your favorite artists on audiomack,0.9615384615384616
