,id,date,rawContent,cleaned_content,english_relative_frequency
27,16228,2022-06-12 23:42:09+00:00,@Chaliescott10 @PAPPYKOJO aawwwww yu definitely suffering from mothers love.. what happend? dem drop u off da streets anaaah cus it seems u miss ur mother papapaaa,aawwwww yu definitely suffering from mothers love what happend dem drop u off da streets anaaah cus it seems u miss ur mother papapaaa,0.7916666666666666
98,10399,2022-04-14 22:55:44+00:00,Cardi just gave birth to Kulture’s twin years apart😂,cardi just gave birth to kultures twin years apart,0.7777777777777778
53,4054,2022-02-10 23:30:04+00:00,"Engaging the Deputy Minister of Finance Abena Osei Asare on PM EXPRESS BUSINESS EDITION @Joy997FM @AbenaOseiAsare 
#pmexpress https://t.co/nraK35rX9T",engaging the deputy minister of finance abena osei asare on pm express business edition,0.7857142857142857
77,11378,2022-04-24 23:28:33+00:00,@Kuame_Oliver @dede_girlxx Herh work and happiness paa oo 🤣🤣🤣 this one them catch me kraaa hands down 🤣🤣🥺 @dede_girlxx make we run away erh?? your pose saf dey kill me 🤣🤣🤣🤝🏽 @Kuame_Oliver u no try kraa 🤣🤣🤣,herh work and happiness paa oo this one them catch me kraaa hands down make we run away erh your pose saf dey kill me u no try kraa,0.7931034482758621
54,6755,2022-03-09 23:33:03+00:00,Obiaa y3 star right now! https://t.co/IsD6dYmnII,obiaa y3 star right now,0.75
54,7255,2022-03-14 23:14:03+00:00,Herh chaley I go build church by all means 😂😂 https://t.co/s2GSgF6EBW,herh chaley i go build church by all means,0.7777777777777778
93,13494,2022-05-15 23:27:14+00:00,@Idol_Ayisha1 @WeGoTalkAm1 @jayreshh Hey I want randoms 😁,hey i want randoms,0.75
64,18865,2022-07-08 23:22:25+00:00,"@kwakurafiki2, your sis dey anaaa? 😂🤭 https://t.co/G6hQqMr00U",your sis dey anaaa,0.75
4,11405,2022-04-25 23:57:38+00:00,Bruh!!! USD is involved!!! 😂 https://t.co/GW3Qz2uML9,bruh usd is involved,0.75
92,22193,2022-08-10 23:23:52+00:00,It’s a thanos season https://t.co/s5p0o3gfrZ,its a thanos season,0.75
