,id,date,rawContent,cleaned_content,english_relative_frequency
43,19544,2022-07-15 23:36:16+00:00,"#ForçaBarca✊
.@FCBarcelona 
We are building a team no one wants to play against!!!",çabarca we are building a team no one wants to play against,0.9166666666666666
24,21625,2022-08-05 23:43:50+00:00,@The9thKing Wanna leaders no sheda get sense like that! That be the problem,wanna leaders no sheda get sense like that that be the problem,0.9166666666666666
94,19295,2022-07-12 23:14:39+00:00,"Dem talk to me I no hear. 😭😭😭

Now me this.",dem talk to me i no hear now me this,0.9
20,18521,2022-07-05 23:49:30+00:00,I Initiates you to the Spirit of Faith. Without Faith ''Its impossible to please God'' @ East Legon Hills https://t.co/A4Z7OT7SFv,i initiates you to the spirit of faith without faith its impossible to please god east legon hills,0.9444444444444444
77,20178,2022-07-21 23:16:40+00:00,"THIS GIRL MAKE ME DEY WATCH FEMALE SOCCER.. HER NAME IS OSHOALA. GO WATCH HER HIGHLIGHTS YOU GO NO WHY SHE DESERVE THE AWARD

@AsisatOshoala https://t.co/EbqRnFmEoE",this girl make me dey watch female soccer her name is oshoala go watch her highlights you go no why she deserve the award,0.9583333333333334
5,19206,2022-07-12 23:55:39+00:00,"@cyrilshey has great earsss, our moots on Apple Music dey tear mee 😂❤️",has great earsss our moots on apple music dey tear mee,0.9090909090909092
91,22692,2022-08-15 23:10:43+00:00,"So the Sheggz guy, he’s only in the house to chop love and no other thing again? Eih…😤 e hard o 

#BBNaija",so the sheggz guy hes only in the house to chop love and no other thing again eih e hard o,0.9047619047619048
60,7161,2022-03-13 23:28:46+00:00,wen my szn comes make no bro talk say e b juju cus it's been God since day1 &amp; it's still gone be him 🦅🤲,wen my szn comes make no bro talk say e b juju cus its been god since day1 and its still gone be him,0.9130434782608696
63,64,2022-01-01 23:46:40+00:00,Please we dont want peace we want vawulence . Thank you 🤝 https://t.co/lyZEpulaci,please we dont want peace we want vawulence thank you,0.9
65,2966,2022-01-30 23:29:02+00:00,"Sorely tempted to stay up for #NFCChampionshipGame. But chale, I can't do this to myself. That one too be the real showdown.",sorely tempted to stay up for but chale i cant do this to myself that one too be the real showdown,0.9523809523809524
47,7148,2022-03-13 23:34:26+00:00,“Ei so you’ve not added it to your plans to see me again?” how can you ask me this question??,ei so youve not added it to your plans to see me again how can you ask me this question,0.95
96,597,2022-01-06 23:11:55+00:00,@yawfriimpongg E be plenty things but unfortunately Mahama is not a better option,e be plenty things but unfortunately mahama is not a better option,0.9166666666666666
72,13873,2022-05-19 23:32:35+00:00,"Ga Space educating we the people of the GaDangme state our true Identity .
#GaSpace has really opened my mind so wild to understand the Cultural heritage of GaDangme and also Connecting the good people of GaDangme on this bird app . 
 Shidaa 🙏🙏.@Ga_Spaces https://t.co/9agDsOQjeh",ga space educating we the people of the gadangme state our true identity has really opened my mind so wild to understand the cultural heritage of gadangme and also connecting the good people of gadangme on this bird app shidaa,0.9
78,23679,2022-08-25 23:22:58+00:00,"Oh chale remember that; wisdom is the principal thing ooo 

Most of the time we take some risky decisions and don’t know it’s leading us to a death trap 

In all get wisdom and your days shall be long and prosperous",oh chale remember that wisdom is the principal thing ooo most of the time we take some risky decisions and dont know its leading us to a death trap in all get wisdom and your days shall be long and prosperous,0.975609756097561
37,23538,2022-08-24 23:39:28+00:00,"@JodelHub Oyewa ! I don’t blame the lady tho I just blame the man 👨 no amount of I Love You Will make me trust this creatures , they can pretend to be giving their lives to you and still f.uck you over",oyewa i dont blame the lady tho i just blame the man no amount of i love you will make me trust this creatures they can pretend to be giving their lives to you and still f uck you over,0.95
95,9496,2022-04-05 23:17:25+00:00,You have to think deep to defend yourself! Ahh.. African leaders koraaa... https://t.co/9WfOfQmE2s,you have to think deep to defend yourself ahh african leaders koraaa,0.9166666666666666
28,13529,2022-05-16 23:49:01+00:00,@Pearl_Duah Tbh I'm not a fan of bdays so i dont really have any expectations but it's the thought that matters.,tbh im not a fan of bdays so i dont really have any expectations but its the thought that matters,0.9
49,2050,2022-01-21 23:33:25+00:00,"NEED TO BE ARRESTED NOW , IF TRULY THE IGP IS SERIOUS https://t.co/rjP6lgahvQ",need to be arrested now if truly the igp is serious,0.9090909090909092
94,15595,2022-06-05 22:53:12+00:00,"This one of the most scariest stories I've ever read...eiii
I thought she gave you gonorrhoea or something when you said you saw some rashes around your genitals. Eiii 😪😪
I am shocked 🤔🤔We Thank God you are alive 🥺🙇‍♂️🤲 https://t.co/wYYJurvW8P",this one of the most scariest stories ive ever read eiii i thought she gave you gonorrhoea or something when you said you saw some rashes around your genitals eiii i am shocked we thank god you are alive,0.9230769230769232
6,1507,2022-01-16 23:57:42+00:00,@gyaigyimii And you'll be 25 few days to come or should I say you just turned 25 boy you started early ooh 🙆🙆🙆🙆🤣🤣🤣🤣🤣 25-7 guys do the math and help me guess the age he started. No hate bro the love is real just want to clarify 🙏🏻🙏🏻🙏🏻🥂🥂🥂🤣🤣🙈🙈🙈❤❤,and youll be 25 few days to come or should i say you just turned 25 boy you started early ooh 25 7 guys do the math and help me guess the age he started no hate bro the love is real just want to clarify,0.9523809523809524
66,5167,2022-02-21 23:20:19+00:00,@Sokkascientist1 @CTjunior1 @Joy997FM @MBawumia @GHOneTV You are not an economist yet you understand him better than us right? Alakpator,you are not an economist yet you understand him better than us right alakpator,0.9285714285714286
75,24176,2022-08-30 23:30:15+00:00,@_owurakuampofo @kayakaynak97 Partey and injuries oh no. But hope he will recover quick... Get well soon my Captain ©🇬🇭❤️❤️❤️,partey and injuries oh no but hope he will recover quick get well soon my captain,0.9375
47,13548,2022-05-16 23:41:29+00:00,"Her nigga listening in the space rn 
“My man was happy with what I got him”

Him: https://t.co/9M9V2zm5oQ",her nigga listening in the space rn my man was happy with what i got him him,0.9411764705882352
35,1436,2022-01-15 23:36:50+00:00,@ReshadRahman_ @gerardromero I can replace Dembele. Just email me  and I will be ready to compete,i can replace dembele just email me and i will be ready to compete,0.9285714285714286
79,19480,2022-07-14 23:07:36+00:00,"@blacksherif_ @audiomackafrica @audiomack @blacksherif_ nkasa er, you for dey our currency top 🖤💯... Right from there then we take the Dollar too 😂... #sadboys.",nkasa er you for dey our currency top right from there then we take the dollar too,0.9411764705882352
67,11768,2022-04-28 23:19:32+00:00,@AltcoinDailyio Compound coin will be next on C-patex watch out. https://t.co/m2VnSbo6Jd,compound coin will be next on c patex watch out,0.9
