,id,date,rawContent,cleaned_content,english_relative_frequency
59,20460,2022-07-24 22:46:55+00:00,"JEE Main July Session 2022 Guidelines: गलती से भी ले जाना ना भूलें ये डॉक्यूमेंट, वरना हो जाएगा एक साल बर्बाद

https://t.co/mkEM8OQqxi",jee main july session 2022 guidelines,0.8
71,17072,2022-06-20 23:34:53+00:00,"#KarnatakaWelcomesModiji
Bengaluru is the city of dreams for lakhs of youth. Bengaluru reflects the spirit of Ek Bharat Shreshtha BharatThe development of Bengaluru is the development of lakhs of dreams. In the last 8 years there has been a continuous effort to develop Bengaluru",bengaluru is the city of dreams for lakhs of youth bengaluru reflects the spirit of ek bharat shreshtha bharatthe development of bengaluru is the development of lakhs of dreams in the last 8 years there has been a continuous effort to develop bengaluru,0.8333333333333334
60,18461,2022-07-04 22:01:34+00:00,@UNYouthEnvoy @Neeraj10z @PrincesTrustInt Welcome all Youth for thier empowerment through raise thier voices for the economic growth with decent jobs .#SDGs2030 #youthwork #Youth2030 @jayathmadw @apoorv_om @ApoorvOmArtist @unhabitatyouth @UN4Youth https://t.co/0ydPQ13JDF,welcome all youth for thier empowerment through raise thier voices for the economic growth with decent jobs,0.8823529411764706
52,12853,2022-05-09 22:45:39+00:00,@bsesdelhi Still waiting for resolutions your line mens are drunked and sleep they only work after 7 no mattet what should happen just visted bses office all are drunk @ArvindKejriwal,still waiting for resolutions your line mens are drunked and sleep they only work after 7 no mattet what should happen just visted bses office all are drunk,0.8888888888888888
22,11523,2022-04-26 23:40:22+00:00,"PA-NEN-KA de Karim. KB9️⃣
#Benzema
#HalaMadrid #UCL
#ManCityRealMadrid",pa nen ka de karim kb9,0.8
84,22285,2022-08-11 22:02:15+00:00,"@RajputRanjanaa Yes
I agree with you
Jay Shri Ram",yes i agree with you jay shri ram,0.875
5,9706,2022-04-08 23:58:59+00:00,@Queensugandha Amazing Sugandha. Your fan. 👌Good day. 😘💐,amazing sugandha your fan good day,0.8333333333333334
94,11395,2022-04-24 22:33:59+00:00,@fitdelhigirl @wtfmishi Aur mujhe ladki. No one wants to be around a physics teacher i guess 😂,aur mujhe ladki no one wants to be around a physics teacher i guess,0.8571428571428571
62,17763,2022-06-27 22:50:10+00:00,Found out my dad's been on twitter since may 2009 and has 300+ folloers..... I'm shooketh,found out my dads been on twitter since may 2009 and has 300 folloers im shooketh,0.8571428571428571
55,256,2022-01-03 23:05:57+00:00,"1. Jai Jai Radhe Rani, Radhe Rani, Radhe Rani.

Anger blows out the lamp of mind. https://t.co/VmZ7Pedq57",1 jai jai radhe rani radhe rani radhe rani anger blows out the lamp of mind,0.8
21,13122,2022-05-12 23:46:57+00:00,"@JiminUnited @BTS_twt BE GOOD BE LIKE JIMIN
WITH JIMIN TILL THE END 

I’m loving to #WithYou by #JIMIN #BTSJIMIN of #BTS (@BTS_twt) and Sungwoon https://t.co/g9T9XXpRJi",be good be like jimin with jimin till the end im loving to by of and sungwoon,0.8235294117647058
48,23749,2022-08-26 23:28:35+00:00,A whole fucking city boy like me. Abeggiii,a whole fucking city boy like me abeggiii,0.875
62,6263,2022-03-04 21:24:52+00:00,"Just posted a photo @ Rohini, Delhi https://t.co/x5HWsn28v6",just posted a photo rohini delhi,0.8333333333333334
