,id,date,rawContent,cleaned_content,english_relative_frequency
41,3742,2022-02-07 22:55:08+00:00,"#PMinLokSabha
PM Modi began his address to Lok Sabha by fondly remembering Lata Didi.  PM Modi recalled how she had unified the nation through her music &amp; sang in almost 36 languages which is tribute to #EkBharatShresththaBharat.",pm modi began his address to lok sabha by fondly remembering lata didi pm modi recalled how she had unified the nation through her music and sang in almost 36 languages which is tribute to,0.8823529411764706
78,279,2022-01-03 22:35:47+00:00,"Happy Birthday to the young, active and vibrant leader @DekaAngoorlata.May Shri Maa Baglamukhi bless you with lots of strength,happiness and prosperity so that @BJPMM4ASSAM1 too becomes more strong under your leadership.
Have a great day. @CMOfficeAssam https://t.co/sjXnpFK1QF",happy birthday to the young active and vibrant leader may shri maa baglamukhi bless you with lots of strengthhappiness and prosperity so that too becomes more strong under your leadership have a great day,0.8823529411764706
94,4995,2022-02-19 21:45:23+00:00,@kadinyare heartiest congratulations to you hon @kadinyare n hon @DrEssaKayd,heartiest congratulations to you hon n hon,0.8571428571428571
94,8295,2022-03-24 21:56:14+00:00,Pasta experiments: Learning to be mindful and indulgent from Italian nonnas and Stanley Tucci https://t.co/45Me4QvHZa,pasta experiments learning to be mindful and indulgent from italian nonnas and stanley tucci,0.8571428571428571
99,5600,2022-02-25 21:48:12+00:00,"it's have already 48 hours done. but no one call and message received from tata aig team.

asi hi service h Tata AIG ki https://t.co/7aNwwB3ZkL",its have already 48 hours done but no one call and message received from tata aig team asi hi service h tata aig ki,0.8695652173913043
7,16808,2022-06-18 23:56:58+00:00,Mobile signal booster 2G3G4G5G jio all network services iso product made in India Mobile 966 755 1308 wetsap no 9250 222202 5Star signature copper https://t.co/IQSmchxbPr,mobile signal booster 2g3g4g5g jio all network services iso product made in india mobile 966 755 1308 wetsap no 9250 222202 5star signature copper,0.8823529411764706
94,8995,2022-03-31 22:39:10+00:00,"https://t.co/iZzkZqvhfs
Puthandu (தமிழ்ப்புத்தாண்டு),Tamil New Year, is first day of year on Tamil calendar and Festival date is set with solar cycle of lunisolar Hindu calendar, as first day of the Tamil month Chithirai. Falls on 14 April every year on the Gregorian calendar.",puthandu tamil new year is first day of year on tamil calendarand festival date is set with solar cycle of lunisolarhindu calendar as first day of the tamil monthchithirai falls on 14 april every year on thegregorian calendar,0.8648648648648649
59,15760,2022-06-07 23:07:11+00:00,"Dr.@Swamy39 ji,
India's economic growth to be supported by fiscal spending: FM Nirmala Sitharaman https://t.co/xshlkOjrxi",dr ji indias economic growth to be supported by fiscal spending fm nirmala sitharaman,0.8571428571428571
95,6096,2022-03-02 21:23:06+00:00,Seems like Ukraine mein India se jyada Indians hai.,seems like ukraine mein india se jyada indians hai,0.8888888888888888
55,22256,2022-08-11 22:47:29+00:00,"@aekdkk @musta_ig @AamAadmiParty @CMODelhi How does this picture prove that Delhi govt gave Divya Kakran a total of ₹ 1,99,000 ?",how does this picture prove that delhi govt gave divya kakran a total of 199000,0.8571428571428571
61,17362,2022-06-23 22:43:00+00:00,@DiceGameMaster @TajinderBagga Pr Chu...... Neela ek hi hai aur kale to Kai sare hain isliye doubt hai,pr chu neela ek hi hai aur kale to kai sare hain isliye doubt hai,0.8
53,23154,2022-08-20 23:11:10+00:00,VehicleDoctorz Exceptional TWO WHEELER service zone TRUST BUT VERIFY QUANTITY QVER QUANTITY https://t.co/fvhmDUcC7U,vehicledoctorz exceptional two wheeler service zone trust but verify quantity qver quantity,0.8333333333333334
84,6785,2022-03-09 22:12:14+00:00,Mbappe refusing to return to Paris #psg #rmapsg https://t.co/GU2NlU538m,mbappe refusing to return to paris,0.8333333333333334
29,20330,2022-07-23 23:07:06+00:00,"@spgrplucknow 

The passenger name is Shalini Tiwari, travelling to Varanasi. Other formalities are being done. But an very early action will help us sir.",the passenger name is shalini tiwari travelling to varanasi other formalities are being done but an very early action will help us sir,0.8695652173913043
67,8368,2022-03-25 22:27:25+00:00,"Invinting you all  friends to the 93rd - 94th Annual National Exhibition opening on 31st March, 5.30 opening at 1 Rafi Marg @AIFACS 
ALIVE SCAPE - Paintimg That Comes Alive. First time in Indian Art by @joydroy2020 Joyattam Dutta Roy https://t.co/6XdqLEj1Ey",invinting you all friends to the 93rd 94th annual national exhibition opening on 31st march 5 30 opening at 1 rafi marg alive scape paintimg that comes alive first time in indian art by joyattam dutta roy,0.8064516129032258
43,15644,2022-06-06 23:23:31+00:00,Better upkeep of parks needed. Meghdootam Park has several loose/broken tiles which need attention. Anyone can trip on these and cause injuries. Also fresh badarpur needed on Joggers  tracks . @InduPrakashPCS @noida_authority https://t.co/ZOdO1yx7jC https://t.co/06JRnLiFej,better upkeep of parks needed meghdootam park has several loosebroken tiles which need attention anyone can trip on these and cause injuries also fresh badarpur needed on joggers tracks,0.896551724137931
71,16072,2022-06-10 23:19:14+00:00,Happy birthday legend @iSidhuMooseWala 🦁 always in the heart jatta❤️ #HappyBirthday #RipLegend #RIPSidhuMoosewala #rip_siddhu_moosewala #birthday #Legend https://t.co/yqainOgjHg,happy birthday legend always in the heart jatta,0.875
40,13641,2022-05-17 23:00:06+00:00,"@teamveganfta But at the same time ,if one does not love them,they respect that too,but genrally they get badly hurt because of  breach of trust.",but at the same time if one does not love themthey respect that toobut genrally they get badly hurt because of breach of trust,0.875
57,18058,2022-06-30 23:04:56+00:00,@Rishi_saxena21 @AdityaRajKaul Open Hanging on in a busy sqaure,open hanging on in a busy sqaure,0.8571428571428571
54,18155,2022-07-01 23:07:59+00:00,@Tushar15_ Using what lagegi he is never coming out,using what lagegi he is never coming out,0.875
78,3379,2022-02-03 22:17:42+00:00,@Amala_ams Omg looking so awesome love u yrrr💞💞💞💞,omg looking so awesome love u yrrr,0.8571428571428571
54,6055,2022-03-02 22:23:11+00:00,"Just posted a photo @ Rohini, Delhi https://t.co/D5aSn6t4Em",just posted a photo rohini delhi,0.8333333333333334
55,21056,2022-07-30 22:14:11+00:00,@1912PVVNL @pvvnlgbnagar @VNSingh_CENOIDA   @MdPvvnl @PVVNLHQ @UPGovt @EMofficeUP @myogioffice @myogiadityanath @ChairmanUppcl Outages and spikes 24x7 conking off appliances.Currently PV31072200484,outages and spikes 24x7 conking off appliances currently pv31072200484,0.8571428571428571
80,5981,2022-03-01 22:00:13+00:00,"Gov of Rajasthan is also doing extremely well to help student.
Officials form Gov Raj,are really cooperative.
#Sonu bhaiya is one of that guy, who is doing wonderful job and helping students at his best.
Thank you once again Gov of Raj and all the official specially Sonu Bhaiya!! https://t.co/DRJturp0N5",gov of rajasthan is also doing extremely well to help student officials form gov rajare really cooperative bhaiya is one of that guy who is doing wonderful job and helping students at his best thank you once again gov of raj and all the official specially sonu bhaiya,0.8958333333333334
38,1439,2022-01-15 23:06:58+00:00,"#DonateToBJP
Support those who honour &amp; empower Shramiks.  Micro-donate to BJP https://t.co/NwigSkcB4q",support those who honour and empower shramiks micro donate to bjp,0.8181818181818182
29,20030,2022-07-20 23:29:44+00:00,When you’re too busy preaching to the world! https://t.co/qBHzOSp0QL,when youre too busy preaching to the world,0.875
35,23636,2022-08-25 23:35:15+00:00,"DDA sports complex rohini. Yoga sessions 
Join us. 
Time :7:10 am To 8:10 am. 
 5:00pm To 6:00 pm. 
Days : Tuesday To Saturday
#AshVinder
#yogaday
#yoga
#yogaanywhere 
#yogaworld 
#yogaleggings 
#yogamotivation
#yoga #yogamoves #yogagoals #yogabody #yogastretch #yogaeverywhere https://t.co/WjKjCo2Arr",dda sports complex rohini yoga sessions join us time 710 am to 810 am 500pm to 600 pm days tuesday to saturday,0.8888888888888888
40,18341,2022-07-03 22:57:58+00:00,"राष्ट्र उभारणी करण्यासाठी आणि विकासासाठी भारताला जागृत करणारे महान योगी स्वामी विवेकानंद यांना स्मृतिदिनानिमित्त प्रणाम.
Saluting The Greatest Ever Youth Icon Swami Vivekanandaji, a Great Yogi.@narendramodi @DattaHosabale @JPNadda @dpradhanbjp @EduMinOfIndia @ProfSarojSharma https://t.co/GIjjvsGhIG",saluting the greatest ever youth icon swami vivekanandaji a great yogi,0.8181818181818182
65,8466,2022-03-26 22:38:12+00:00,Just posted a photo @ Umeed Ki Kiran https://t.co/TekzZ3EG53,just posted a photo umeed ki kiran,0.8571428571428571
91,18892,2022-07-08 21:40:36+00:00,"The Japan that Abe Shinzo made
https://t.co/0S8zxd4pk2",the japan that abe shinzo made,0.8333333333333334
88,17889,2022-06-28 22:29:39+00:00,What a coming of age in QSL service...@bbcworldservice https://t.co/M9XjENwkuf,what a coming of age in qsl service,0.875
61,11662,2022-04-27 22:58:49+00:00,@franalations23 @PlayBlankos I mounted one blanko. Bt m blank wat to do further. I did it for only 10 wen u said,i mounted one blanko bt m blank wat to do further i did it for only 10 wen u said,0.8947368421052632
54,17655,2022-06-26 22:52:26+00:00,Good morning shuprabhat jai Sri ram https://t.co/kxfNSiz8E8,good morning shuprabhat jai sri ram,0.8333333333333334
72,973,2022-01-10 22:34:22+00:00,"@AmishaMalhotr14 @RDA_UP @dr_defibrillatr @rdagsvm Plz cont ur studies until there’s official notice frm concernd authorities
We r working on the matter and trying to solve it ASAP.. Stay safe, thnks",plz cont ur studies until theres official notice frm concernd authorities we r working on the matter and trying to solve it asap stay safe thnks,0.8846153846153846
7,13308,2022-05-14 23:52:55+00:00,"4 those who hate Hindi:had amazing home made dinner:frm Hindi family
We dont hate south languages but feel proud

ஹிந்தியை வெறுப்பவர்கள்: அற்புதமான வீட்டில் இரவு உணவு உண்டு: இந்தி குடும்பத்திலிருந்து நாங்கள் தென்மொழிகளை வெறுக்கவில்லை ஆனால் பெருமையாக உணர்கிறோம்

 #StopHatingHindi https://t.co/Ty4mEeTwAR",4 those who hate hindihad amazing home made dinnerfrm hindi family we dont hate south languages but feel proud,0.8888888888888888
37,9238,2022-04-03 23:36:45+00:00,"@NkSingh53244869 Nothing can be farther from truth:We have developed knack of targetting &amp; defaming even best of muslims,",nothing can be farther from truthwe have developed knack of targetting and defaming even best of muslims,0.8235294117647058
19,2620,2022-01-27 23:43:09+00:00,"CHADDHI HARYANA LATRINE. IN EVERY INDIAN HOUSE BY THE BIGGEST JAMADAAR COMMUNITY. Inspite of writing the same to the Supreme Court of India in my review petition filed on 25-2-2010, they failed to act in the Jessica Lal Murder case. International Khalistani Italian gangsters. https://t.co/zCWXWvlzBo",chaddhi haryana latrine in every indian house by the biggest jamadaar community inspite of writing the same to the supreme court of india in my review petition filed on 25 2 2010 they failed to act in the jessica lal murder case international khalistani italian gangsters,0.8604651162790697
39,24040,2022-08-29 23:02:15+00:00,"Pilot's Going on strike &amp; they need more
#UnitedAirlines#iata#aviatonbees
#https://www.linkedin.com/posts/united-airlines_if-youre-a-current-pilot-hoping-to-join-activity-6962830383721717760--Um7?utm_source=share&amp;utm_medium=member_android",pilots going on strike and they need more www linkedin compostsunited airlinesif youre a current pilot hoping to join activity 6962830383721717760 um7 utmsourceshareandutmmediummemberandroid,0.8095238095238095
96,10397,2022-04-14 22:24:52+00:00,🫡Salutes to our ideal and a constant source of inspiration Dr. Babasaheb Ambedkar on his birth anniversary. #AmbedkarJayanti #JaiBhim https://t.co/2RWkzinnPy,salutes to our ideal and a constant source of inspiration dr babasaheb ambedkar on his birth anniversary,0.8823529411764706
77,3478,2022-02-04 21:34:45+00:00,Just posted a photo @ Cyber Hub Gurgaon https://t.co/oRLrwY1NKQ,just posted a photo cyber hub gurgaon,0.8571428571428571
