,id,date,rawContent,cleaned_content,english_relative_frequency
39,5359,2022-06-27 04:59:08+00:00,Just posted a photo @ Radisson Blue https://t.co/ZjefNGGd2C,just posted a photo radisson blue,0.8333333333333334
0,946,2022-02-06 22:01:45+00:00,Just posted a photo @ Alfalah Goli Housing Society আলফালাহ গলি হাউজিং সোসাইটি https://t.co/z3oZLkR3Sy,just posted a photo alfalah goli housing society,0.875
38,7388,2022-08-22 05:42:57+00:00,Memorable Boat trip at Halda River💙 https://t.co/GMLf5QjzPI,memorable boat trip at halda river,0.8333333333333334
11,1529,2022-02-25 14:22:06+00:00,"Colors Fest Celebration Program. @ Bahaddarhat, Chittagong https://t.co/0Sl4mTIZjB",colors fest celebration program bahaddarhat chittagong,0.8333333333333334
17,1054,2022-02-09 05:39:56+00:00,Had a great time after ages with Sadman and Ayon yesterday n8. https://t.co/8e344u20f1,had a great time after ages with sadman and ayon yesterday n8,0.8181818181818182
19,5388,2022-06-28 10:31:04+00:00,@oneplus Lust Update Green Light in sereen ....... https://t.co/mLSR6HIvuQ,lust update green light in sereen,0.8333333333333334
5,1313,2022-02-18 14:32:57+00:00,"Meet The Brand
Red Grocer Ltd presents 'Meet the Brand' introducing the brand #IspahaniPrivetLimited. We are glad to have MR. Nur Nabi, the Wing Manager of the Ispahani Privet Limited. Ashiquer Rahaman Chief Executive Officer of Red Grocer Limited, gave him a warm welcome. https://t.co/GntL1tEfJA",meet the brand red grocer ltd presents meet the brand introducing the brand we are glad to have mr nur nabi the wing manager of the ispahani privet limited ashiquer rahaman chief executive officer of red grocer limited gave him a warm welcome,0.8604651162790697
1,4501,2022-06-05 17:42:51+00:00,I love Barcode Restaurant @ Chittagong https://t.co/G7JdrtIutD,i love barcode restaurant chittagong,0.8
36,7180,2022-08-16 04:12:50+00:00,Just posted a photo @ Foy's Lake Concord https://t.co/s2nPo6KBBB,just posted a photo foys lake concord,0.8571428571428571
27,7293,2022-08-20 05:11:55+00:00,"who want to need jeunesseglobal  products please check Below 👇👇👇
https://t.co/XUhWKb4fFw",who want to need jeunesseglobal products please check below,0.8888888888888888
59,6853,2022-08-09 05:13:00+00:00,"Wining moment 🏏
#45_batch_CULS @ Central Field University of Chittagong https://t.co/mohVsZVE7v",wining moment central field university of chittagong,0.8571428571428571
17,3065,2022-04-17 13:46:24+00:00,"On the Jeans 2000 Limited’s roof, 🤳
Chattogram Expert Processing Zone (CEPZ) | April 16, 2022 https://t.co/I51VYf9Lv1",on the jeans 2000 limiteds roof chattogram expert processing zone cepz april 16 2022,0.8181818181818182
25,4649,2022-06-09 06:15:50+00:00,Just posted a photo @ Kornofuli River https://t.co/2JSO8INeST,just posted a photo kornofuli river,0.8333333333333334
4,1594,2022-02-28 16:54:12+00:00,"If you break the trust, the loss is yours! I will suffer a lot, but you will lose a pure man for life! ❤️

Pera nai chilllllll.....
#tanugo @ Chittagong https://t.co/ZVA04H99yX",if you break the trust the loss is yours i will suffer a lot but you will lose a pure man for life pera nai chilllllll chittagong,0.8888888888888888
10,6368,2022-07-31 17:19:13+00:00,Just posted a photo @ Akilpur Sea Beach https://t.co/LR7aFh8z3q,just posted a photo akilpur sea beach,0.8571428571428571
25,3155,2022-04-21 07:48:22+00:00,I love my life because  my life is bts 😇love you bts 🇧🇩💜#Bangladeshibtsarmy,i love my life because my life is bts love you bts,0.8333333333333334
24,4032,2022-05-19 06:54:52+00:00,Just posted a photo @ Patenga Sea Beach https://t.co/kFySRfAxSg,just posted a photo patenga sea beach,0.8571428571428571
13,519,2022-01-19 09:38:50+00:00,Go to the moon with Midoland https://t.co/6HyyEV4603 #NFT #GAMEFI #Midoland #Airdrop #P2E,go to the moon with midoland,0.8333333333333334
5,1064,2022-02-10 19:40:12+00:00,"Keep smiling 🙂🙂
#lifestyle #trending #like4likes #loveyourself @ Barcode Food Junction https://t.co/fTMEOXDzK5",keep smiling barcode food junction,0.8
19,20,2022-01-01 15:10:21+00:00,One &amp; only Sali ❤️❤️ @ Chittagong https://t.co/UF5P71lhy6,one and only sali chittagong,0.8
17,4288,2022-05-28 15:54:02+00:00,"I'm back 😁 
I watched the concert, lowkey happy but I wanna attend irl please Eunwoo, send me tickets to sk",im back i watched the concert lowkey happy but i wanna attend irl please eunwoo send me tickets to sk,0.85
37,6974,2022-08-11 10:12:56+00:00,"[1/n] After that ""healthy"" breakfast, a ""light"" lunch. ""Light"" because it's ""shadha bhaat"" (white rice) rather than pulao and biryani and also because there's veg and fish. There was white snapper with tomatoes, fried ruhu fish, kochu (taro),... https://t.co/hBgpHFUrfq",1n after that healthy breakfast a light lunch light because its shadha bhaat white rice rather than pulao and biryani and also because theres veg and fish there was white snapper with tomatoes fried ruhu fish kochu taro,0.8648648648648649
21,2391,2022-03-25 09:34:31+00:00,Finlay Square at a social event https://t.co/0caLVBF9oy,finlay square at a social event,0.8333333333333334
25,6098,2022-07-21 02:49:06+00:00,Just posted a photo @ Bandarban Hill Tracts বান্দরবান পার্বত্য জেলা https://t.co/k2f1cUEu7J,just posted a photo bandarban hill tracts,0.8571428571428571
35,7548,2022-08-25 01:04:45+00:00,"Three items jeunessglobal products, if You want to buy jeunessglobal products please click hear 👉👉https://t.co/Wt4ONM2CmO https://t.co/e3BoD2aqnq",three items jeunessglobal products if you want to buy jeunessglobal products please click hear,0.8571428571428571
2,3836,2022-05-14 20:07:52+00:00,Just posted a photo @ Bhatiari Golf Course Club https://t.co/WHDvL6asfS,just posted a photo bhatiari golf course club,0.875
20,5164,2022-06-23 17:46:47+00:00,Just posted a photo @ CITF - চট্টগ্রাম আন্তর্জাতিক বাণিজ্য মেলা https://t.co/dnSfp5op8x,just posted a photo citf,0.8
3,2303,2022-03-23 18:11:32+00:00,Just posted a photo @ সন্দ্বীপ-Sandwip https://t.co/zoSnNpO2AN,just posted a photo sandwip,0.8
4,7202,2022-08-18 18:04:23+00:00,"The mirror is a place where you can ask yourself questions about changing yourself @ Boalkhali, Chattogram-বোয়ালখালি, চট্টগ্রাম। https://t.co/YOCC21UdgJ",the mirror is a place where you can ask yourself questions about changing yourself boalkhali chattogram,0.875
2,2333,2022-03-24 20:29:59+00:00,"Just posted a photo @ Dohazari, Chittagong, Bangladesh https://t.co/jyUPvm19dz",just posted a photo dohazari chittagong bangladesh,0.8571428571428571
8,7030,2022-08-13 14:37:57+00:00,Just posted a photo @ Foy's Lake Concord https://t.co/X19XjfzsIf,just posted a photo foys lake concord,0.8571428571428571
16,3729,2022-05-10 07:23:09+00:00,"Allah can change the most hopeless situation into the best moment in 
your life✨🤍
©Shahriar Alam Mahim @ The Peninsula Chittagong https://t.co/aLxEYp1Ri9",allah can change the most hopeless situation into the best moment in your life shahriar alam mahim the peninsula chittagong,0.85
17,1758,2022-03-06 10:58:43+00:00,Just posted a photo @ Bandarban https://t.co/v4Qq1SKn6V,just posted a photo bandarban,0.8
1,6100,2022-07-22 18:38:48+00:00,suddenly meet my old friend @hasnineevan @ Chomok https://t.co/atJcE8kYRT,suddenly meet my old friend chomok,0.8333333333333334
16,1259,2022-02-16 10:24:29+00:00,Just posted a photo @ Chinagarden https://t.co/vBuXL6mYmN,just posted a photo chinagarden,0.8
7,4412,2022-06-01 17:57:23+00:00,Just posted a photo @ Guliakhali Sea Beach- গুলিয়াখালী সমুদ্র সৈকত https://t.co/DvBeVo4gTI,just posted a photo guliakhali sea beach,0.8571428571428571
2,5469,2022-07-01 17:15:56+00:00,"Just posted a photo @ Road 2 , B Block , Halishahar. https://t.co/lvHrFBMcfQ",just posted a photo road 2 b block halishahar,0.875
0,4721,2022-06-12 19:39:08+00:00,"@Lisha08155 Im Interested abt this Job, could u suggest me?",im interested abt this job could u suggest me,0.8888888888888888
60,3482,2022-05-02 02:48:51+00:00,Just posted a photo @ The Arrosto https://t.co/2V2nKr0uwc,just posted a photo the arrosto,0.8333333333333334
