,id,date,rawContent,cleaned_content,english_relative_frequency
18,3603,2022-05-06 08:15:33+00:00,Last night cousin's mehide ceremony...❤️ https://t.co/4zmluWXRL2,last night cousins mehide ceremony,0.8
9,502,2022-01-18 03:45:02+00:00,"Everywhere Monkeys🐒🐵 and Monkeys🐵🐒.
Place:-Boddo_Mondir/Banarpara🐒🐵.
#Rangamati_Tour.
Date:-14/1/2022. https://t.co/ojZBmETaJo",everywhere monkeys and monkeys place boddomondirbanarpara date 1412022,0.8571428571428571
33,7714,2022-08-29 03:19:20+00:00,@Robertial That is some alien language over there bro! 😆 can't understand anything you're saying!,that is some alien language over there bro cant understand anything youre saying,0.8461538461538461
8,228,2022-01-07 12:04:40+00:00,"A Part of CU Runners team.. @ Potenga Sea Beach, Chattogram https://t.co/WYM6zKBHgi",a part of cu runners team potenga sea beach chattogram,0.8
6,2337,2022-03-24 17:39:16+00:00,Neues Logo - 21/03/2022 02:05 EDT: https://t.co/GLxI8x7eoO via @freelancer Contests,neues logo 21032022 0205 edt via contests,0.8
27,5220,2022-06-24 13:15:05+00:00,"College, University ভর্তির শুরুর দিকে আমরা Dare_Challenge  খেলা খেলতাম!

ব্যাপারটা অস্বস্তিকর  কিন্তু Bonding কে strong করত।

#রূপক!  #Think #Match!",college university darechallenge bonding strong,0.8
31,7141,2022-08-15 04:00:02+00:00,last of composition course… @ Port City International University - PCIU https://t.co/TWih4XUgpj,last of composition course port city international university pciu,0.8888888888888888
34,2438,2022-03-26 03:02:10+00:00,Just posted a photo @ Sandwip https://t.co/9iDDeHjIUN,just posted a photo sandwip,0.8
23,4058,2022-05-20 07:58:24+00:00,"Won’t you share some snaps of your *New address* with us🙈
Shathe ektu tomakeo dekhte chai 😍🙈❤️
@idevadhikari When you’ll have some time in hand, please come live on fb 🥺🥺🥺❤️❤️❤️❤️❤️ https://t.co/zHtSrdwuQe",wont you share some snaps of your new address with us shathe ektu tomakeo dekhte chai when youll have some time in hand please come live on fb,0.8214285714285714
24,6756,2022-08-08 15:27:01+00:00,Beyond the society @ Kaptai Lake https://t.co/w7P9heeKUj,beyond the society kaptai lake,0.8
2,5980,2022-07-18 17:29:49+00:00,Just posted a photo @ Banshbaria Sea beach https://t.co/3AUDJtOaHb,just posted a photo banshbaria sea beach,0.8571428571428571
22,3758,2022-05-11 09:25:19+00:00,Happy Birthday Sri Sudip Sen Gupta Ji best wishes 🌹🌹🌹🙏🙏🙏 World Tabla Council @ Chittagong https://t.co/rvbRyV0DQh,happy birthday sri sudip sen gupta ji best wishes world tabla council chittagong,0.8461538461538461
22,6214,2022-07-26 15:18:07+00:00,"last February, near beachfront @ Halishahar Sea Beach https://t.co/ZYUuUoWbla",last february near beachfront halishahar sea beach,0.8571428571428571
6,5082,2022-06-21 17:55:34+00:00,"Just posted a photo @ Patenga, Chittagong, Bangladesh https://t.co/KKwgAlJheq",just posted a photo patenga chittagong bangladesh,0.8571428571428571
17,3602,2022-05-06 08:34:03+00:00,"Moving On 🙏 @ কর্নফুলি সেতু, চট্টগ্রাম Karnafhuli Bridge, Chittagong https://t.co/I0uERzyxtb",moving on karnafhuli bridge chittagong,0.8
31,2815,2022-04-08 04:57:24+00:00,"Nu hair nu dress.
Fiorella dress — @chocochipsboutique @ White Rabbit https://t.co/XV1tqwVI50",nu hair nu dress fiorella dress white rabbit,0.875
2,3715,2022-05-10 17:27:56+00:00,"Just posted a photo @ Chandraghona, Chittagong, Bangladesh https://t.co/WXIhP2ukfG",just posted a photo chandraghona chittagong bangladesh,0.8571428571428571
4,7226,2022-08-19 18:11:57+00:00,Jeunessglobal business starting procedure flow the Below writing ✍️✍️ https://t.co/Ec3WhyeSHw,jeunessglobal business starting procedure flow the below writing,0.875
22,6959,2022-08-11 13:55:58+00:00,"What a great project 👍👍👍
@HELLO_PRO__
@31kbp
@ayk4343
@SumayaA02229100
@AnneAnnedyer725

#Lynkey #LynkeyToken #LYNK #Lynkeyer $LYNK https://t.co/VPNk7C4E2y",what a great project lynk,0.8
29,6221,2022-07-26 13:12:06+00:00,Just posted a photo @ কাপ্তাই-kaptai https://t.co/KimzyVKRPR,just posted a photo kaptai,0.8
19,965,2022-02-06 03:58:46+00:00,"This video made me cry😭💔
Credit:Officer Barca Shorts🙏🏻 https://t.co/2lnVMg1uqB",this video made me cry creditofficer barca shorts,0.875
28,248,2022-01-07 02:43:56+00:00,"“Every problem is a gift—without problems we would not grow.” – Anthony Robbins @ Custom House, Chattogram https://t.co/juQesWhbjX",every problem is a giftwithout problems we would not grow anthony robbins custom house chattogram,0.8666666666666667
22,2586,2022-03-31 10:40:19+00:00,"Just posted a photo @ View Point, Bandarban https://t.co/hB3bgk2R9d",just posted a photo view point bandarban,0.8571428571428571
72,6630,2022-08-05 04:43:21+00:00,@SumiyaAkther___ You need boyfriend I need gal faiend so you and me ceim,you need boyfriend i need gal faiend so you and me ceim,0.8333333333333334
