,id,date,rawContent,cleaned_content,english_relative_frequency
45,46,2022-01-01 05:28:12+00:00,"Despite the fact that celebrating New Year's Eve is restricted due to the new Covid version. We've witnessed how some of our educated youth defied the rules and gathered to celebrate the new year. You are ringing in the New Year with fireworks, which caused annoyance to others.",despite the fact that celebrating new years eve is restricted due to the new covid version weve witnessed how some of our educated youth defied the rules and gathered to celebrate the new year you are ringing in the new year with fireworks which caused annoyance to others,0.9791666666666666
10,4253,2022-05-27 14:02:07+00:00,"Everything in the world is available if it is taken with the right intention. Allah likes to give good time @ Boalkhali, Chattogram-বোয়ালখালি, চট্টগ্রাম। https://t.co/p9mg35qY7y",everything in the world is available if it is taken with the right intention allah likes to give good time boalkhali chattogram,0.9090909090909092
23,5777,2022-07-10 06:56:40+00:00,"Eid mubarak everyone 
good luck with 
Transtec Lighting
Bright your future 🤗🤗🤭 https://t.co/9SPBLa590v",eid mubarak everyone good luck with transtec lighting bright your future,0.9090909090909092
6,4277,2022-05-28 19:34:58+00:00,"JINWOO HAD A WHOLE DADDY MATERIAL VIBE. I wouldn't mind to have him as my daddy tho 🤭

#jinjin #ASTRO #ASTROAD #STARGAZER #아스트로 # https://t.co/xbjMdvseLQ",jinwoo had a whole daddy material vibe i wouldnt mind to have him as my daddy tho,0.9411764705882352
1,2565,2022-03-31 22:45:08+00:00,"This is gonna be the last 
BBQ of the season 
#BBQ #chicken #Bread #nun #Salad #nightowl https://t.co/mbUA01g6eu",this is gonna be the last bbq of the season,0.9
11,5511,2022-07-02 18:28:40+00:00,"This or That might be the part of life!
Not everything of life anyway almost at all! 

# ILoveyouGod!",this or that might be the part of life not everything of life anyway almost at all iloveyougod,0.9444444444444444
6,1596,2022-02-28 11:21:36+00:00,"One of your masks is a tool to save the lives of others.
A special initiative of local volunteery organization of ""United for Development"" in Bandarban hill district, Bangladesh🇧🇩🇧🇩to make everyone aware to wear masks when the whole world is affected by corona.Wear a mask or die? https://t.co/Fp0NoAx8pY",one of your masks is a tool to save the lives of others a special initiative of local volunteery organization of united for development in bandarban hill district bangladeshto make everyone aware to wear masks when the whole world is affected by corona wear a mask or die,0.9375
9,2769,2022-04-07 19:28:22+00:00,"I'm in the dark now
 Clouds on the roof
 Yet my basari mind
 Cry for you 😊😊 https://t.co/1tmromTtOm",im in the dark now clouds on the roof yet my basari mind cry for you,0.9375
21,1676,2022-03-03 10:03:54+00:00,Just posted a photo @ Chittagong Patenga &amp; Naval Sea Beach চট্রগ্রাম পতেঙ্গা এবং নেভাল সি বিচ https://t.co/gFdlPuTnek,just posted a photo chittagong patenga and naval sea beach,0.9
20,1675,2022-03-03 10:07:35+00:00,Just posted a photo @ Chittagong Patenga &amp; Naval Sea Beach চট্রগ্রাম পতেঙ্গা এবং নেভাল সি বিচ https://t.co/2iz0j42gKP,just posted a photo chittagong patenga and naval sea beach,0.9
13,3655,2022-05-08 12:58:12+00:00,"The mango of the tree has started ripening. Although it's look like delicious .😜 but, when you eat that time you realize what was that😂😂 bcz of  to much  sour❤️.
Anyway, I love this❤️
#rural_mango
#tasty_fruits @ Bathua https://t.co/vSMX6XUhjo",the mango of the tree has started ripening although its look like delicious but when you eat that time you realize what was that bcz of to much sour anyway i love this bathua,0.9411764705882352
2,526,2022-01-20 19:01:08+00:00,"45 National convention PatengaApex Chittagong, Apex Club's Of Bangladesh @ Rb Convention https://t.co/YiCTNnkUUP",45 national convention patengaapex chittagong apex clubs of bangladesh rb convention,0.9
20,6447,2022-08-02 08:07:19+00:00,@Rainbowndflower @ashoswai @ParaRjs What tax? His recent movies have been flops. And didn't he milk the govt into declaring his superflop fantasy garbage a tax-exempt product?,what tax his recent movies have been flops and didnt he milk the govt into declaring his superflop fantasy garbage a tax exempt product,0.9583333333333334
14,960,2022-02-06 05:36:45+00:00,After a long time vist. Spending a joyful moment with friends...... https://t.co/2Y5qbfjUaX,after a long time vist spending a joyful moment with friends,0.9090909090909092
24,7090,2022-08-14 11:19:33+00:00,"Dear @OnePlus_Support

I am a OnePlus User. Currently after giving the Android version 12 update to some other models including OnePlus 8T Green Lines appear on the display.

 All of us who are one plus users are very worried. 
Hopefully you will work on this problem very soon. https://t.co/DnDDdTKm8l",dear i am a oneplus user currently after giving the android version 12 update to some other models including oneplus 8t green lines appear on the display all of us who are one plus users are very worried hopefully you will work on this problem very soon,0.9555555555555556
48,5192,2022-06-23 01:42:30+00:00,My goal is to promote Islam and to spread InshaAllah https://t.co/YMVVi9ukkt,my goal is to promote islam and to spread inshaallah,0.9
17,815,2022-01-31 07:17:07+00:00,"Proof of Vaccination Not Effectively in Battling Omicron, Israeli Experts Warn  https://t.co/NuXJuIpGDb",proof of vaccination not effectively in battling omicron israeli experts warn,0.9090909090909092
11,602,2022-01-23 12:18:24+00:00,When you are a normal guy but you have to look confident in fornt of your community https://t.co/fpBafY87xp,when you are a normal guy but you have to look confident in fornt of your community,0.9411764705882352
