,id,date,rawContent,cleaned_content,english_relative_frequency
34,7384,2022-08-22 08:16:38+00:00,"পাটকল শ্রমিকদেরও আস্থা ছিল। 

 ২৫টা পাটকল একসাথে বন্ধ করে শ্রমিকদের খালি হাতে বাড়ি
পাঠিয়ে দিয়েছে। আন্দোলনের নেতাদের RAB/DGFI GESTAPO 
বাহিনী পাঠিয়ে ঘরছাড়া করেছে। একেবারে অসহায় চা শ্রমিকদের আন্দোলন সরকারের GESTAPO
বাহিনী লাগিয়ে ভেঙে দেবে বোঝাই
গিয়েছিল। https://t.co/7ssbs4UZxf",rabdgfi gestapo gestapo,0.6666666666666666
13,903,2022-02-04 13:09:12+00:00,-Happy Jummah Day 🖤😍 https://t.co/uSgZoYIMex,happy jummah day,0.6666666666666666
18,2869,2022-04-10 06:21:12+00:00,"Assalamu alaikum 👋
how are you ?🤗
my dear  friends😘 @ Amilaish, Satkania, Chittagong. https://t.co/WylyW95RIl",assalamu alaikum how are you my dear friends amilaish satkania chittagong,0.6363636363636364
79,6873,2022-08-09 02:05:21+00:00,"Rahat Arif ভাই এর বিবাহ পরবর্তী ওয়ালিমা তে

শুভকামনা ও দোয়া রইলো @ Captains Dine Restaurant https://t.co/DzBmNuhNIV",rahat arif captains dine restaurant,0.6
30,4751,2022-06-12 05:18:01+00:00,Wedding Of Imran @ Rupnagar Community Centre https://t.co/rD4Df5Rnng,wedding of imran rupnagar community centre,0.6666666666666666
16,2262,2022-03-21 04:58:02+00:00,Adda @ Raddison Blu Chittagong Bay View https://t.co/gHy0KA3Y3y,adda raddison blu chittagong bay view,0.6666666666666666
30,3046,2022-04-16 00:43:18+00:00,Just posted a photo @ Baitush Sharaf بيت الشرف https://t.co/fDp3oRm3La,just posted a photo baitush sharaf,0.6666666666666666
12,4417,2022-06-01 15:06:54+00:00,Just posted a photo @ Kalipur Ezharul Hoque High School https://t.co/J7yt0BXi8l,just posted a photo kalipur ezharul hoque high school,0.6666666666666666
8,123,2022-01-03 16:17:11+00:00,##happiness 🤘🔥 @ Barcode Food Junction https://t.co/FmBzNrV7a6,barcode food junction,0.6666666666666666
21,2615,2022-04-01 07:51:56+00:00,"পুরো রমজান মাস ব্যাপী ৫ম‌ ঈদ বস্ত্র জামদানি ও ক্ষুদ্র শিল্প মেলা ২০২২ অনুষ্ঠিত হতে যাচ্ছে।
      👇👇👇👇👇👇👇👇
🚩GEC CONVENTION CENTER 🚩 https://t.co/l4E3P5yVsy",gec convention center,0.6666666666666666
1,1711,2022-03-05 19:31:35+00:00,"সময়ের চৌহদ্দি পেরুনো অসাধ্য এক কর্ম,
নিয়মের মাঝে অনিয়ম যেন খুব স্বাভাবিক ধর্ম। @ Kodala Tea Estate https://t.co/C0QP1TCJh3",kodala tea estate,0.6666666666666666
32,4656,2022-06-09 03:08:07+00:00,সকালে সূর্য পাহাড়কে যে উষ্ণ অভ্যর্থনা দেয় তা সত্যি অসাধারণ। @ Bandarban Hill Tracts বান্দরবান পার্বত্য জেলা https://t.co/MbjnL6e34I,bandarban hill tracts,0.6666666666666666
37,5181,2022-06-23 09:56:40+00:00,"Kaptai Lake
#kaptai #beautyofchattogram #beautyofbangladesh @ Chittagong https://t.co/w5bDIBCj1Z",kaptai lake chittagong,0.6666666666666666
10,3573,2022-05-05 13:09:53+00:00,Check out Saikat Sarker's video! #TikTok https://t.co/87N3y5D05x,check out saikat sarkers video,0.6
15,2261,2022-03-21 05:00:08+00:00,Adda @ Raddison Blu Chittagong Bay View https://t.co/XJ8C9O77VI,adda raddison blu chittagong bay view,0.6666666666666666
20,7086,2022-08-14 12:50:12+00:00,"Just posted a photo @ Agrabad, Chattogram. https://t.co/Zb2WUi2axC",just posted a photo agrabad chattogram,0.6666666666666666
8,4072,2022-05-21 16:03:16+00:00,#inspiration #mujib #banglabandhusheikhmujiburrahman #bangladesh #Mujib:themakingofanation #bengali #bangladeshi #amarsonarbangla #india #friendship @ Chittagong City - চট্টগ্রাম শহর https://t.co/VdpCu6S0Y1,themakingofanation chittagong city,0.6666666666666666
19,239,2022-01-07 07:56:17+00:00,"হতেও পারে,, 😆😆 @ Brahmanbaria, Chittagong, Bangladesh https://t.co/pgeSmiQQ70",brahmanbaria chittagong bangladesh,0.6666666666666666
3,5725,2022-07-08 19:25:49+00:00,"Alhamdulillah 🤲🏼

#eiduladha2022 🐂 @ Block - B, Chandgaon R/A. Chittagong https://t.co/vUpHLRzK0o",alhamdulillah block b chandgaon ra chittagong,0.6666666666666666
28,5036,2022-06-19 01:18:49+00:00,"ফিরে দেখা-
যখনই বন্যা হয়েছে, তখনই দেশনেত্রী ছুটে গিয়েছেন বন্যা দুর্গতদের মাঝে এবং নিজ হাতে ত্রাণ বিতরণ করেছেন।

#বিএনপি #খালেদাজিয়া #খালেদা জিয়ার মুক্তি চাই 
#freekhaledazia🌾
# Save khaleda Zia 🌾 https://t.co/chEVhWSRor",save khaleda zia,0.6666666666666666
44,5581,2022-07-03 05:02:59+00:00,Woooooow she looooks soo Gorgeous https://t.co/KfIL6FbEZn,woooooow she looooks soo gorgeous,0.6
4,6989,2022-08-12 18:21:34+00:00,"Just posted a photo @ Sagor Par,halishare https://t.co/vSRJx4yDz4",just posted a photo sagor parhalishare,0.6666666666666666
50,7457,2022-08-23 09:04:54+00:00,Alhamdulillah Ya Rab 🤍 @ Baitul Bari https://t.co/JrGFXHyb1B,alhamdulillah ya rab baitul bari,0.6
46,6778,2022-08-08 06:22:19+00:00,👍👍🤩🤩😍😍 @ KAFCO Housing Colony https://t.co/cAWZxlet0K,kafco housing colony,0.6666666666666666
46,6503,2022-08-03 05:15:53+00:00,🖤 @ East Madarbari Chittagong https://t.co/tqqVNOR850,east madarbari chittagong,0.6666666666666666
4,287,2022-01-09 19:23:18+00:00,"Just posted a photo @ Radisson Blu Bay View, Chottogram https://t.co/GSypy4Yy6P",just posted a photo radisson blu bay view chottogram,0.6666666666666666
28,7747,2022-08-30 04:15:18+00:00,"Assalamu wlaikum good morning everyone @ ঝাউতলা বাজার, চট্টগ্রাম https://t.co/kBCwA2TGGV",assalamu wlaikum good morning everyone,0.6
11,261,2022-01-08 17:40:36+00:00,"Makeup Shakeup Winter Expo 2022 

এর সমাপনী দিনে প্রিয় মুখ গুলো এক হয়ে যায় @ Radisson Blu Chattogram Bay View https://t.co/xNTwa5bsv9",makeup shakeup winter expo 2022 radisson blu chattogram bay view,0.6666666666666666
28,2758,2022-04-06 03:18:32+00:00,#OnThisDay2020 | Alhamdulillah For Everything… 🙂 https://t.co/tJdDsQ1GbH,alhamdulillah for everything,0.6666666666666666
39,2209,2022-03-19 05:51:01+00:00,"গরম গরম চলছে 
বরাবরের মতই সেরা স্বাদে @ Sultan's Dine Chattogram https://t.co/7hOjbCnmJn",sultans dine chattogram,0.6666666666666666
23,164,2022-01-04 04:58:10+00:00,Just posted a photo @ Radisson Blu Chattogram Bay View https://t.co/zNSWvWn3d1,just posted a photo radisson blu chattogram bay view,0.6666666666666666
25,1968,2022-03-12 01:07:14+00:00,"একেকজন একেক সময়ে এসে একেকজনের সাথে একেক সময়ে দেখা
সবাই কট

Pre Ramadan Exhibition 2022 @ Raddison Blu Chittagong Bay View https://t.co/kSYmrtxWtg",pre ramadan exhibition 2022 raddison blu chittagong bay view,0.625
5,4594,2022-06-08 16:20:27+00:00,"Fifa
World Cup https://t.co/onNzFSxuaJ",fifa world cup,0.6666666666666666
24,3122,2022-04-20 06:40:42+00:00,"বৃষ্টির পর

#mobile_photography__bd #bd_photography_21_ @ Kaptaimukh, Chittagong, Bangladesh https://t.co/yzYFH9Mtad",kaptaimukh chittagong bangladesh,0.6666666666666666
7,4374,2022-05-31 15:37:53+00:00,Mohammad Mohsin College https://t.co/9LoGpAM9m2,mohammad mohsin college,0.6666666666666666
