,id,date,rawContent,cleaned_content,english_relative_frequency
24,1788,2022-03-07 07:46:43+00:00,Cute 🥀 Ma Sha Allah ❤️ @ GEC https://t.co/Y39Ol8XU2c,cute ma sha allah gec,0.8
3,3251,2022-04-26 20:03:52+00:00,@RoyJone24947239 @Ashraful517 @DefenseDtb Defenently RAW because our intelligence our prad,defenently raw because our intelligence our prad,0.8571428571428571
36,7386,2022-08-22 07:49:06+00:00,"Enjoying last time with college friends....
#mdtarekhossain #tarekhossainpayelhktv #tarekcamera @ BAF Shaheen College, Chittagong https://t.co/Xgkg3yU0Z1",enjoying last time with college friends baf shaheen college chittagong,0.8
39,4760,2022-06-12 01:07:34+00:00,"Page 197 of "" twisted love "" by Ana Huang 
Idk why I feel like Alex's uncle was behind his family's death IDKK THIS IS SO FUCKING CONFUSING",page 197 of twisted love by ana huang idk why i feel like alexs uncle was behind his familys death idkk this is so fucking confusing,0.88
12,4798,2022-06-14 12:23:27+00:00,Just posted a photo @ Degchi Bari https://t.co/fScX1H0ZfU,just posted a photo degchi bari,0.8333333333333334
14,746,2022-01-28 08:23:28+00:00,"#NewProfilePic

A day at Kaptai Lake https://t.co/7MtyI0KylA",a day at kaptai lake,0.8
29,3912,2022-05-16 04:04:08+00:00,"Inside Al-Jamiatul Ahlia Darul Ulum Moinul Islam Madrassa premises in southeastern Bangladesh which is renowned for being the HQ of hardline Hefazat-e-Islam group. Nearly 8,000 residential pupils already study here while a competitive annual admission accepts 4,000 freshers. https://t.co/18IDViYk9o",inside al jamiatul ahlia darul ulum moinul islam madrassa premises in southeastern bangladesh which is renowned for being the hq of hardline hefazat e islam group nearly 8000 residential pupils already study here while a competitive annual admission accepts 4000 freshers,0.8205128205128205
16,6161,2022-07-24 04:28:08+00:00,"Last Exam Chill Time &amp; Moments With University Friends 😍🥰😇💙💚💛💜❤️
Love You All🤍
#ভার্সিটিয়ান🖤 @ Green Chilli, Police Plaza, Nandon Kanon, Chattogram. https://t.co/zMrrFtsh9Q",last exam chill time and moments with university friends love you all green chilli police plaza nandon kanon chattogram,0.8421052631578947
7,7029,2022-08-13 14:43:23+00:00,Just posted a photo @ Foy's Lake Concord https://t.co/SFS8li35dR,just posted a photo foys lake concord,0.8571428571428571
19,1327,2022-02-18 08:32:03+00:00,Just posted a photo @ Hillview R/A - হিলভিউ আবাসিক https://t.co/pMCAyihxTN,just posted a photo hillview ra,0.8333333333333334
47,6779,2022-08-08 06:21:14+00:00,Just posted a photo @ Cufl Housing Colony https://t.co/85VjQKSVlW,just posted a photo cufl housing colony,0.8571428571428571
9,7031,2022-08-13 14:36:44+00:00,Just posted a photo @ Foy's Lake Concord https://t.co/TYFIjC0Hyd,just posted a photo foys lake concord,0.8571428571428571
44,7597,2022-08-26 02:38:39+00:00,Just posted a photo @ Sultan's Dine Chattogram https://t.co/yBATrBeFcg,just posted a photo sultans dine chattogram,0.8571428571428571
27,696,2022-01-26 06:57:51+00:00,Old memories @ Bandarban Hill Tracts বান্দরবান পার্বত্য জেলা https://t.co/bP8M4ugsmt,old memories bandarban hill tracts,0.8
38,39,2022-01-01 07:34:56+00:00,Happy New Year_2022 @ Chandgoan residential area https://t.co/RSJqCsEhzt,happy new year2022 chandgoan residential area,0.8
30,7015,2022-08-12 03:36:24+00:00,Just posted a photo @ Foy's Lake Concord https://t.co/mvUloCZKiB,just posted a photo foys lake concord,0.8571428571428571
