,id,date,rawContent,cleaned_content,english_relative_frequency
24,274,2022-01-08 09:41:49+00:00,Just posted a photo @ Rangamati Lake https://t.co/l8xrkEduiJ,just posted a photo rangamati lake,0.8333333333333334
14,5736,2022-07-08 07:11:47+00:00,"@Chips4FreeGuy @elonmusk Tnx, But why so much spicy🙂",tnx but why so much spicy,0.8333333333333334
14,4419,2022-06-01 14:32:39+00:00,"RIP KK 😔
My deepest #condolences to his family 🙏 https://t.co/IgFEhontKy",rip kk my deepest to his family,0.8571428571428571
1,3680,2022-05-09 23:01:42+00:00,"The Journey Is Feeling So Good.
Journey-Mate Robi Express Sleeper Coach. @ Dampara Bus Stand, Chittagong https://t.co/mOh1XgNkVP",the journey is feeling so good journey mate robi express sleeper coach dampara bus stand chittagong,0.875
26,4583,2022-06-07 07:44:00+00:00,"Good project 🙂 🙂 🙂 🙂

I just subscribed to MemeBank’s Announcement https://t.co/ehas1zsaJ3",good project i just subscribed to memebanks announcement,0.875
19,3363,2022-04-29 08:39:34+00:00,"Messy swapnil with his messed life. @ বেতবুনিয়া, রাঙামাটি, চট্টগ্রাম https://t.co/iAokMV9l9K",messy swapnil with his messed life,0.8333333333333334
34,1827,2022-03-08 07:02:01+00:00,Check out Mehazabien 's video! #TikTok https://t.co/BbgrI4oo1r,check out mehazabien s video,0.8
3,1633,2022-03-02 19:21:32+00:00,Silent tears hold the loudest pain🥀,silent tears hold the loudest pain,0.8333333333333334
2,1420,2022-02-22 17:17:53+00:00,Wedding night with bon &amp; vagina❤️ @ Sagorika Square https://t.co/MIlV0kRQfg,wedding night with bon and vagina sagorika square,0.875
0,2017,2022-03-14 22:49:54+00:00,"Manha well Remember, 
মনকে বানাবে পানির মতো কারণ পানিতে কখনো দাগ পরেনা থাকেও না----🌪️
চোখ হতে-হবে বাজপাখির মতো যাতে পাহাড়ের অপরপ্রান্তে ও দেখতে পারো---- 🦅 @ Chittagong City - চট্টগ্রাম শহর https://t.co/AaeLFeHbfC",manha well remember chittagong city,0.8
15,6088,2022-07-21 08:33:20+00:00,Just posted a photo @ Foy's Lake Concord https://t.co/P9rLoS6vgN,just posted a photo foys lake concord,0.8571428571428571
21,6379,2022-07-31 16:10:22+00:00,"CBD Flyer Design For Client... 

#clientwork 
#cbd
#flyer 
#flyerdesign 
#hemp 
#hempoil @ Chittagong https://t.co/xd6S7qHegH",cbd flyer design for client chittagong,0.8333333333333334
28,5067,2022-06-20 06:08:50+00:00,closeup smile with Dipaboli 😜 @ Chittagong https://t.co/pgYgVn8SAB,closeup smile with dipaboli chittagong,0.8
30,5139,2022-06-22 07:41:19+00:00,"On board a Naval ship to the remote island of Bhasan Char where over 30,000 Rohingya Refugees are resettled. @ Neval Sea Beach নেভাল সি বিচ https://t.co/Mq3kcivXqI",on board a naval ship to the remote island of bhasan char where over 30000 rohingya refugees are resettled neval sea beach,0.8571428571428571
49,7456,2022-08-23 09:20:13+00:00,Always feared the day will come when ManU drops Maguire and Ronaldo and starts to play decent again. 😑,always feared the day will come when manu drops maguire and ronaldo and starts to play decent again,0.8333333333333334
21,5453,2022-06-30 11:34:03+00:00,"Cam: Canon 750D @ Bandarban, Chittagong, Bangladesh https://t.co/r3Ao3gIVi3",cam canon 750d bandarban chittagong bangladesh,0.8
12,4673,2022-06-10 09:59:57+00:00,My smart boy Shayaan @ Imperial Hospital Limited https://t.co/mjfXNF8WAJ,my smart boy shayaan imperial hospital limited,0.8571428571428571
