,id,date,rawContent,cleaned_content,english_relative_frequency
23,3544,2022-05-04 16:07:12+00:00,"Today's Delivery... ... 
    📌 Newborn items

It was an urgent delivery. @ Chittagong, Bangladash https://t.co/N102ZiKe5X",todays delivery newborn items it was an urgent delivery chittagong bangladash,0.9090909090909092
10,439,2022-01-15 16:15:03+00:00,Just posted a photo @ Chittagong Patenga &amp; Naval Sea Beach চট্রগ্রাম পতেঙ্গা এবং নেভাল সি বিচ https://t.co/mSQIlBZnzp,just posted a photo chittagong patenga and naval sea beach,0.9
36,1195,2022-02-13 03:48:38+00:00,"Fiverr Workspace helps you run your business with everything from Proposals, Invoices to Payments. Get $20 credit with this link: https://t.co/NehMuuiG7y",fiverr workspace helps you run your business with everything from proposals invoices to payments get 20 credit with this link,0.9473684210526316
22,4784,2022-06-13 00:55:26+00:00,"A senior tri-service military delegation of Pakistan visited China from June 9 to 12, the Inter-Services Public Relations (ISPR) said on Sunday. https://t.co/KYbDEJqm97",a senior tri service military delegation of pakistan visited china from june 9 to 12 the inter services public relations ispr said on sunday,0.9545454545454546
39,6597,2022-08-05 14:07:36+00:00,"@WpeaceloverG @VISHWAGURU_1 @ashoswai What about the millions of gowmatas in China, the gulf, Europe, South America, Africa &amp; the US? Are they not worthy of lynching non-hindu evil beef connoisseur rakshasas by the virtuous rakshaks?",what about the millions of gowmatas in china the gulf europe south america africa and the us are they not worthy of lynching non hindu evil beef connoisseur rakshasas by the virtuous rakshaks,0.9090909090909092
28,5397,2022-06-28 08:33:19+00:00,"(NEW): the arrest of Indian Muslim journalist Mohammed Zubair is a prelude to genocide.

https://t.co/zIxlhvOGrM",new the arrest of indian muslim journalist mohammed zubair is a prelude to genocide,0.9285714285714286
19,6417,2022-08-01 06:40:26+00:00,"Hello, Dear Garment Traders, Those who want to order small quantity dresses and buy readymade dresses can contact us, we supply fresh stocklot like ladies girls boys mens we can offer good quality dresses at low price. https://t.co/qRsgHz3YV0",hello dear garment traders those who want to order small quantity dresses and buy readymade dresses can contact us we supply fresh stocklot like ladies girls boys mens we can offer good quality dresses at low price,0.945945945945946
0,5039,2022-06-20 19:06:55+00:00,"we don't say 'what you🇺🇲did in iraq prison, everybody knows!.., about abu ghairab prison to guatamala prison...upon those incident the story should made.., after 'inspired lesson from matt demon's green zone movie story and black hawk down movie"" @JohnCena @POTUS @BorisJohnson https://t.co/4nZMxoVipf https://t.co/HqTyhbXP9P",we dont say what youdid in iraq prison everybody knows about abu ghairab prison to guatamala prison upon those incident the story should made after inspired lesson from matt demons green zone movie story and black hawk down movie,0.9230769230769232
9,3025,2022-04-16 17:24:28+00:00,"I owe a huge sense of gratitude to the @bdBritish  @BritishCouncil and @COP26. We, 'Bengal Societ', have over 92000 readers.

In Bangladesh, we are confident that we will be a pioneer in green education.
And don't forget to visit us! 

website: https://t.co/oizXn9YcdX https://t.co/fwCz4AiJxj",i owe a huge sense of gratitude to the and we bengal societ have over 92000 readers in bangladesh we are confident that we will be a pioneer in green education and dont forget to visit us website,0.972972972972973
12,717,2022-01-27 13:17:23+00:00,"When you go out of the house, you can see some devils.  Due to which we are all involved in fetna.",when you go out of the house you can see some devils due to which we are all involved in fetna,0.9523809523809524
25,166,2022-01-04 04:37:48+00:00,"You tried everything you could to tell her how you felt. However, you've discovered that you're only in a one-sided relationship. Perhaps you'll do it for the rest of your life. However, at the end of the day, you want her to be happy. #LifeIsStrange",you tried everything you could to tell her how you felt however youve discovered that youre only in a one sided relationship perhaps youll do it for the rest of your life however at the end of the day you want her to be happy,0.9555555555555556
23,138,2022-01-03 04:13:40+00:00,Ms Daphene Halim teaching the Kindergarten section students how to correctly use a fork and a spoon when having their meal. @ Sunshine Grammar School https://t.co/qVVp7pU4EK,ms daphene halim teaching the kindergarten section students how to correctly use a fork and a spoon when having their meal sunshine grammar school,0.9166666666666666
1,5040,2022-06-20 19:04:06+00:00,"Dear america🇺🇲?Under your recism view,you all american's and all your western vultures are not get learn from 'matt demon's green zone movie or black hawk down movie?"" shocking!total speechless absolutely in one hundred parcent! @JohnCena @JustinTrudeau @BorisJohnson @JoeBiden https://t.co/QUwQslZEce https://t.co/DiEj1HpitC",dear america under your recism viewyou all americans and all your western vultures are not get learn from matt demons green zone movie or black hawk down movie shocking total speechless absolutely in one hundred parcent,0.9166666666666666
6,6404,2022-08-01 17:41:27+00:00,"I live in your dilemma 
Burned by your hesitation 😉 @ Agriculture Training Institute,hatazari,chittagong https://t.co/xIMcJWJ7lQ",i live in your dilemma burned by your hesitation agriculture training institutehatazarichittagong,0.9166666666666666
