,id,date,rawContent,cleaned_content,english_relative_frequency
15,4258,2022-05-27 11:13:21+00:00,Letter from America 👣 @ Kazir Dewri https://t.co/8xVjEBSuSS,letter from america kazir dewri,0.6
32,6969,2022-08-11 10:45:47+00:00,"[5/n n+1/n] Oh, forgot the FIVE different deserts!  Jorda shemai, gulab jamun, fruit custard, caramel pudding and Momota Aunty's dudh lao https://t.co/QFKu3TJ8Te",5n n1n oh forgot the five different deserts jorda shemai gulab jamun fruit custard caramel pudding and momota auntys dudh lao,0.6842105263157895
17,1284,2022-02-17 16:09:48+00:00,🤭 @ Foy's Lake Concord https://t.co/0ETDvO9I1o,foys lake concord,0.6666666666666666
10,216,2022-01-06 16:40:11+00:00,Just posted a photo @ Radisson Blu Chattogram Bay View https://t.co/HPhTWm2hB4,just posted a photo radisson blu chattogram bay view,0.6666666666666666
9,3812,2022-05-13 16:37:47+00:00,Election preparation at Akhter Hossain https://t.co/krVH6R55RN,election preparation at akhter hossain,0.6
25,2237,2022-03-20 09:11:15+00:00,College ar pake🤞 https://t.co/xiRVCNhEmv,college ar pake,0.6666666666666666
32,7176,2022-08-16 04:46:24+00:00,"Bon ❤️❤️
Amon ak ta manus j sukha dukha sob somoy pasa thak jak sob kotha mon khula bola jai 💝💝 https://t.co/ZRLwJ3Rag2",bon amon ak ta manus j sukha dukha sob somoy pasa thak jak sob kotha mon khula bola jai,0.6842105263157895
31,7297,2022-08-20 03:10:54+00:00,PATENGA BEACH CHITTAGONG @ Patenga Beach পতেঙ্গা সমুদ্র সৈকত https://t.co/IFrdx4OYhs,patenga beach chittagong patenga beach,0.6
12,6806,2022-08-09 17:38:57+00:00,"[1/2] Another feast! Challer roti (rice bread) and nolla (cow's trotters), mishti bakorkhani (like a sweet paratha) and mezbani gosht (a traditional beef curry from Chattogram / Chittagong), naan and seekh kebab, reshmi kebab (like chicken tikka), ... https://t.co/GQzrc7PwwB",12 another feast challer roti rice bread and nolla cows trotters mishti bakorkhani like a sweet paratha and mezbani gosht a traditional beef curry from chattogram chittagong naan and seekh kebab reshmi kebab like chicken tikka,0.6857142857142857
12,4938,2022-06-17 16:39:11+00:00,Chittagong Board Clabe https://t.co/z5pFXgJ4Qp,chittagong board clabe,0.6666666666666666
