,id,date,rawContent,cleaned_content,english_relative_frequency
27,12528,2022-05-06 23:56:59+00:00,"Bakit ano bang tama Madam Ely? 

Magsimba sa Linggo at iboto ang magnanakaw? Don’t even dare to use the word “Kristiyano” if your statement goes against its use. https://t.co/zGzYCG1x7o",bakit ano bang tama madam ely magsimba sa linggo at iboto ang magnanakaw dont even dare to use the word kristiyano if your statement goes against its use,0.7857142857142857
63,3364,2022-02-03 23:45:23+00:00,Grabe grabeeeeee!!!! 😍 Thank you Lord! 😍 More to come! 🥰 #ysdriedflowers,grabe grabeeeeee thank you lord more to come,0.75
83,11984,2022-04-30 23:43:53+00:00,"Eto lang ata yung part na maganda. Pero sorry, the movie was really bad talaga. Manood ka nalang ng porn. Same din. Haha! 😂

Pero ang gwapo din tlaga ni Nacho 😍. https://t.co/NiR7lVqJQX",eto lang ata yung part na maganda pero sorry the movie was really bad talaga manood ka nalang ng porn same din haha pero ang gwapo din tlaga ni nacho,0.7
4,11205,2022-04-23 23:59:18+00:00,"Sunday breakfast ride 🍳 ☕️ 🛵 🐝 🖤 

#PabloPiaggio
#VespaS
#VespaS125
#LiveMoreVespa
#Primavera
#GTV
#Sprint @ Maura’s Place by Mela and Mai https://t.co/UkjnyEoipR",sunday breakfast ride mauras place by mela and mai,0.7777777777777778
52,5453,2022-02-24 23:49:39+00:00,Good morning except sa P/N/P na mag take lang ng photo documentation kahit di tutulong tapos nanakawin ang credit ng activity. 🤡 basura,good morning except sa pnp na mag take lang ng photo documentation kahit di tutulong tapos nanakawin ang credit ng activity basura,0.7272727272727273
39,4740,2022-02-17 23:49:41+00:00,"LOOK: After authorities put white paint over a mural in Echague, Isabela, supporters of Vice President Leni Robredo and Sen. Kiko Pangilinan repainted it with pink paint. 📸 Angelica Faith Sulio/Isabela Para Kay Leni-Kiko FB page https://t.co/buOWrrwzTC",look after authorities put white paint over a mural in echague isabela supporters of vice president leni robredo and sen kiko pangilinan repainted it with pink paint angelica faith sulioisabela para kay leni kiko fb page,0.7222222222222222
35,9636,2022-04-07 23:53:12+00:00,@yvnneyy happy birthday yvonnes ! 💖🐰 ate ethel loves u so much miss youuuu umuwe ka bukas,happy birthday yvonnes ate ethel loves u so much miss youuuu umuwe ka bukas,0.7857142857142857
77,10678,2022-04-17 23:47:57+00:00,Online Submission of 2023 Budget Proposal (OSBP) Day 1. Aja! 💪,online submission of 2023 budget proposal osbp day 1 aja,0.75
76,21277,2022-08-01 23:44:47+00:00,@MielleVivar Hala. Sige di na ko makikipag argue🥹,hala sige di na ko makikipag argue,0.7142857142857143
48,7649,2022-03-18 23:47:51+00:00,Kailangan ko magising mamaya at pamper time kami ni mama lex 😁,kailangan ko magising mamaya at pamper time kami ni mama lex,0.7272727272727273
70,24071,2022-08-29 23:44:48+00:00,"Pasok na sa school ang baby ko😍
Goodluck nak pakabait ka🫰🥰 https://t.co/couEHxeBDc",pasok na sa school ang baby ko goodluck nak pakabait ka,0.7272727272727273
32,12333,2022-05-04 23:56:17+00:00,It’s Nice to be Back! (@ Ninoy Aquino International Airport (MNL) Terminal 3 - @miaagovph in Pasay City) https://t.co/W6wNwq7IBt,its nice to be back ninoy aquino international airport mnl terminal 3 in pasay city,0.7142857142857143
97,18898,2022-07-08 23:41:16+00:00,"For the friendship ang mga bayut @ Barangay Tambo, Parañaque City https://t.co/7ukP9C5isW",for the friendship ang mga bayut barangay tambo parañaque city,0.7
98,11599,2022-04-26 23:45:54+00:00,Happy birthday pauiii 💕 gooo lang ng go sa Car Fun with bowa 😂🤤 hki-t,happy birthday pauiii gooo lang ng go sa car fun with bowa hki t,0.7142857142857143
69,11570,2022-04-26 23:50:11+00:00,"Good morning ☀️ 

WHOA THERE— CCLEX opens today! Twitter wokes, CCLEX na ang longest bridge in the 🇵🇭, hindi SLEX ok? Emsz ✌🏼 

Doon tayo sa tunay na may malasakit! ❤️💚👊🏼✌🏼 

#dutertelegacy 

📸: Emerging Philippines FB Page https://t.co/u8hVdHLUq8",good morning whoa there cclex opens today twitter wokes cclex na ang longest bridge in the hindi slex ok emsz doon tayo sa tunay na may malasakit emerging philippines fb page,0.7419354838709677
91,21492,2022-08-03 23:40:03+00:00,sorry talaga ang sloppy ko mag momol,sorry talaga ang sloppy ko mag momol,0.7142857142857143
32,22133,2022-08-10 23:52:13+00:00,"Nakaboto ka na ba? Malapit na matapos 1 last push Blooms!
#BINI @BINI_ph

Tara na sa #TikTokAwardsPH2022! https://t.co/Lm53GcmTZ4",nakaboto ka na ba malapit na matapos 1 last push blooms tara na sa,0.7692307692307693
58,19859,2022-07-18 23:49:01+00:00,@kevintoy23 @Jade020904 PM niyo na Kaps. Last day today ng voting 🙂,pm niyo na kaps last day today ng voting,0.7777777777777778
12,19113,2022-07-11 23:57:42+00:00,Good morning! Sasabak na agad sa client call 😂,good morning sasabak na agad sa client call,0.75
79,16080,2022-06-10 23:42:44+00:00,Zee naka vid 😂 ingat sa reply phi hahaha! https://t.co/Bs0g6H7Tgx,zee naka vid ingat sa reply phi hahaha,0.75
44,13545,2022-05-16 23:53:25+00:00,dmi ko nkikita na nag-flores de mayo 🥹,dmi ko nkikita na nag flores de mayo,0.75
67,6968,2022-03-11 23:47:10+00:00,lahat ng may kinalaman sa pagpatay ng prangkisa ng Abs-Cbn dapat matalo. Deserve nyo yan and that includes Mr. Mike Defensor and yung Congressman na pagawa lang basketball court ang nagawa,lahat ng may kinalaman sa pagpatay ng prangkisa ng abs cbn dapat matalo deserve nyo yan and that includes mr mike defensor and yung congressman na pagawa lang basketball court ang nagawa,0.71875
5,19706,2022-07-17 23:57:56+00:00,Summer Reading Camp ni Kuya Zayn today 😁,summer reading camp ni kuya zayn today,0.7142857142857143
77,20878,2022-07-28 23:48:31+00:00,"Going MOA now I hope maka kuha pa nang ticket @treasuremembers
#TREASURE
#TREASUREinManila",going moa now i hope maka kuha pa nang ticket,0.7
81,21982,2022-08-08 23:44:58+00:00,"@piilia Si Serena din...mapapa aga ata Ang bentahan ko Ng ref, aircon at TV jusmiyo hahaha",si serena din mapapa aga ata ang bentahan ko ng ref aircon at tv jusmiyo hahaha,0.75
55,12556,2022-05-06 23:50:28+00:00,"Good Morning Kakampinks 🌸🌸🌸🌸🌸🌸 see u in Ayala later 😎✌🏼
#MitingDeAvance 
#Ipana10NatinParaSaLahat 
#IpanloNa10To 
#LeniKiko2022",good morning kakampinks see u in ayala later,0.75
86,6287,2022-03-04 23:42:54+00:00,@manilabulletin karamihan sa nagdidivorce ay mayayaman at ang karamihan sa mahihirap na pamilya ay nagsasama ng maluwat. it is about family values that we have to strengthen. maraming factors affecting decision s of couple to go on divorce. let us study this.,karamihan sa nagdidivorce ay mayayaman at ang karamihan sa mahihirap na pamilya ay nagsasama ng maluwat it is about family values that we have to strengthen maraming factors affecting decision s of couple to go on divorce let us study this,0.7804878048780488
53,18754,2022-07-07 23:50:44+00:00,"@ocarl18 @realJVMendoza Well, then if that’s the case, may front row seat tayo sa bangayan nila. I would love to see Badoy red tag Tulfo.",well then if thats the case may front row seat tayo sa bangayan nila i would love to see badoy red tag tulfo,0.782608695652174
66,13667,2022-05-17 23:48:11+00:00,Ayan na nga ba sinasabi ko eh. Magiipon na ako ng pang abogado ko. 🤣 https://t.co/Cx1ro62D96,ayan na nga ba sinasabi ko eh magiipon na ako ng pang abogado ko,0.7142857142857143
7,7408,2022-03-16 23:57:11+00:00,@SndrMgllns pinapakaba moko sa tweets mo basta be safe lagi,pinapakaba moko sa tweets mo basta be safe lagi,0.7777777777777778
35,12736,2022-05-08 23:57:55+00:00,@neuromancer1941 That’s not lunch. Sana nakipiyesta pala ako senyo.,thats not lunch sana nakipiyesta pala ako senyo,0.75
91,1492,2022-01-15 23:36:30+00:00,eversince I was endorsed in productions ngayon pa lang mababago ko schedule ko and sobrang masama loob ko kasi 11 PM is not that safe para pumasok ako sa work,eversince i was endorsed in productions ngayon pa lang mababago ko schedule ko and sobrang masama loob ko kasi 11 pm is not that safe para pumasok ako sa work,0.7241379310344828
