,id,date,rawContent,cleaned_content,english_relative_frequency
93,21094,2022-07-30 23:42:27+00:00,Bless sunday hayyy 1st duty ko ng sunday🤣🤣🤣🤣 https://t.co/4fPhBIyaFy,bless sunday hayyy 1st duty ko ng sunday,0.8571428571428571
13,114,2022-01-02 23:56:31+00:00,"Dinner date with #TeamSB 💜

#LifeWithLhyzie @ Peri-Peri Charcoal Chicken and Sauce Bar Banawe QC https://t.co/DUU3IrhVfu",dinner date with peri peri charcoal chicken and sauce bar banawe qc,0.8333333333333334
37,22638,2022-08-15 23:55:16+00:00,"I'm at LRT1 - Bambang Station - @officiallrt1 in Manila, Metro Manila https://t.co/GzstHN0NWg",im at lrt1 bambang station in manila metro manila,0.875
16,21217,2022-08-01 23:56:48+00:00,that song reminds me of yeye,that song reminds me of yeye,0.8333333333333334
83,10484,2022-04-15 23:42:49+00:00,@Cloudcutter1 @AoTJewels Monke gets fall out of walls,monke gets fall out of walls,0.8333333333333334
94,4695,2022-02-16 23:40:49+00:00,Road to 50kgs and abs 💪 nyeeek.,road to 50kgs and abs nyeeek,0.8
73,15874,2022-06-08 23:41:37+00:00,May balak pa ba kayo ideliver ang item ko @ZALORA @EntregoPH https://t.co/8lHmD3xBwx,may balak pa ba kayo ideliver ang item ko,0.8888888888888888
87,7388,2022-03-15 23:45:41+00:00,"No stream this morning, but don’t worry, tonight lezzgo 👌🏻",no stream this morning but dont worry tonight lezzgo,0.8888888888888888
92,15393,2022-06-03 23:37:07+00:00,Ang saya ng umaga ko Lord thank you po,ang saya ng umaga ko lord thank you po,0.8888888888888888
88,10089,2022-04-11 23:43:56+00:00,"@reyuzaki04 Enjoy your vacay Sir Rey. Have fun and enough sleep ha. If marumi ,dont subo. Charot!",enjoy your vacay sir rey have fun and enough sleep ha if marumi dont subo charot,0.8125
36,7437,2022-03-16 23:51:50+00:00,pls enuff w that bestie we all know what u did,pls enuff w that bestie we all know what u did,0.8181818181818182
14,14515,2022-05-26 23:58:34+00:00,When you think i'm going to the gym but for the foodtrip! 😜😂🤤 @ Molito Lifestyle Center https://t.co/OWjoVZgqc0,when you think im going to the gym but for the foodtrip molito lifestyle center,0.8666666666666667
45,4446,2022-02-14 23:53:23+00:00,"Home 🏡 (@ Tivoli Garden Residences - @dmcihomes in Mandaluyong City, Metro Manila) https://t.co/BTA3CG4Qad",home tivoli garden residences in mandaluyong city metro manila,0.8888888888888888
18,23219,2022-08-21 23:56:56+00:00,"I'm at LRT1 - Bambang Station - @officiallrt1 in Manila, Metro Manila https://t.co/1ZEIkkfbR6",im at lrt1 bambang station in manila metro manila,0.875
7,8908,2022-03-31 23:58:27+00:00,#BBM binayaran na ang 203B estate tax. #AprilFoolsDay #AngatBuhayLahat #HuwagMagpaloko https://t.co/kvhquC8MXQ,binayaran na ang 203b estate tax,0.8
27,13128,2022-05-12 23:56:00+00:00,@collinejoie Eh ano pa nga ba? 🙈 HAHAHAHA,eh ano pa nga ba hahahaha,0.8333333333333334
31,10532,2022-04-16 23:52:07+00:00,@pauloMDtweets Time to check ur policies. Hehehe,time to check ur policies hehehe,0.8333333333333334
24,15225,2022-06-02 23:57:33+00:00,Let’s go Titkok? Will upload new videos there soon! Follow me @ mentorluc 🙏🏻 https://t.co/TbzBDw0Cb2,lets go titkok will upload new videos there soon follow me mentorluc,0.8333333333333334
18,319,2022-01-04 23:56:13+00:00,Thankful that an expert engaged a paid troll cum apologist on ill gotten/plundered wealth; this shld be the norm as many of this well paid spinmeisters are let loose on socmed to spread dis/misinformation https://t.co/ieahLVvii6,thankful that an expert engaged a paid troll cum apologist on ill gottenplundered wealth this shld be the norm as many of this well paid spinmeisters are let loose on socmed to spread dismisinformation,0.8823529411764706
68,17669,2022-06-26 23:47:40+00:00,@cheesusrawb andrea expanding her color palette yessss. charr HAHAAHAH,andrea expanding her color palette yessss charr hahaahah,0.875
89,24090,2022-08-29 23:41:27+00:00,Ang stressful naman ng monday na to!,ang stressful naman ng monday na to,0.8571428571428571
48,15849,2022-06-08 23:47:23+00:00,"Hey @kerwinkiffy yung assignment mo, pakihanap siya ah! 😁 I just want to prove my point, lols.",hey yung assignment mo pakihanap siya ah i just want to prove my point lols,0.8
8,7009,2022-03-12 23:59:06+00:00,"With Lodi @raytcarreon 
Congrats sa achievements mo :)
More projects to come. 

#crocsph @ Bonifacio High Street, the Fort, Bonifacio Global City https://t.co/iodE7VQn9o",with lodi congrats sa achievements mo more projects to come bonifacio high street the fort bonifacio global city,0.8333333333333334
40,15341,2022-06-03 23:51:38+00:00,"Our Yunhyeong is so happy!

YOU ARE LOVED iKON
#iKON_DrOhGoldenClinic
@YG_iKONIC #iKON
#Stanworld #SWNewSeason https://t.co/GJ4oEl6EjA",our yunhyeong is so happy you are loved ikon,0.8888888888888888
99,14000,2022-05-20 23:43:11+00:00,"💔💔💔 No truer words have ever been spoken, mizz ma’am ❕❕❕ https://t.co/upR6qD9D3M",no truer words have ever been spoken mizz maam,0.8888888888888888
24,1625,2022-01-17 23:50:32+00:00,@nesawho Go ahead darling karapatan mo yn,go ahead darling karapatan mo yn,0.8333333333333334
20,14121,2022-05-22 23:57:00+00:00,Just posted a photo @ Pintô Art Museum https://t.co/eLBVme81D9,just posted a photo pintô art museum,0.8571428571428571
74,18175,2022-07-01 23:41:51+00:00,I'm having a breakdown for breakfast brb,im having a breakdown for breakfast brb,0.8571428571428571
40,17041,2022-06-20 23:53:03+00:00,nice gym ng wlaang 2log cool,nice gym ng wlaang 2log cool,0.8
40,5741,2022-02-27 23:54:53+00:00,"I'm at LRT2 - Araneta Center-Cubao Station - @officiallrta in Quezon City, Metro Manila https://t.co/JWY37xXvPt",im at lrt2 araneta center cubao station in quezon city metro manila,0.8181818181818182
42,17343,2022-06-23 23:53:13+00:00,"Just posted a video @ JORIA Church-Caloocan City, Philippines https://t.co/1FIxl9PUai",just posted a video joria church caloocan city philippines,0.8888888888888888
97,7198,2022-03-13 23:43:53+00:00,Just posted a photo @ NAIA Terminal 2 International Departures https://t.co/fJDKzRSpUS,just posted a photo naia terminal 2 international departures,0.875
38,15539,2022-06-05 23:53:17+00:00,"@CityCruiserMNL @innocentalter69 @BeeUrwyl @Lerence @p0poy_dtorpe @phapppi @MrDanielGray98 @leovinc3 @jor262525 May sagot na ba yung inquiry na kung walang PRC, pwede na ba ang Civil Service Eligibility - Professional (Single Take)? Hahahahah",may sagot na ba yung inquiry na kung walang prc pwede na ba ang civil service eligibility professional single take hahahahah,0.8095238095238095
41,5542,2022-02-25 23:52:56+00:00,ISTG TELEPERFORMANCE ANTIPOLO NEEDS TO REPLACE THEIR HR AND SECURITY EMPLOYEES,istg teleperformance antipolo needs to replace their hr and security employees,0.8181818181818182
82,21083,2022-07-30 23:44:07+00:00,"""𝐴 𝑔𝑒𝑛𝑒𝑟𝑜𝑢𝑠 ℎ𝑒𝑎𝑟𝑡, 𝑘𝑖𝑛𝑑 𝑠𝑝𝑒𝑒𝑐ℎ, 𝑎𝑛𝑑 𝑐𝑜𝑚𝑝𝑎𝑠𝑠𝑖𝑜𝑛 𝑎𝑟𝑒 𝑡ℎ𝑒 𝑡ℎ𝑖𝑛𝑔𝑠 𝑤ℎ𝑖𝑐ℎ 𝑟𝑒𝑛𝑒𝑤 ℎ𝑢𝑚𝑎𝑛𝑖𝑡𝑦."" -𝑩𝒖𝒅𝒅𝒉𝒂

Good morning! Have a blessed Sunday to yo'all! 🫰💗😇 https://t.co/N6ixumQEhc",good morning have a blessed sunday to yoall,0.875
2,3603,2022-02-06 23:59:27+00:00,"#BNN/ Barangay News Network, BBM US GLOBAL Big group nationwide https://t.co/nGOhvFbp3r",barangay news network bbm us global big group nationwide,0.8888888888888888
52,14953,2022-05-30 23:53:41+00:00,Long weekend is over. Let's go kayod again🥵,long weekend is over lets go kayod again,0.875
32,233,2022-01-03 23:53:34+00:00,MAKE TEEN-KISS HAPOEN IN THE FUTURE PLS 😭😭😭😭😭😭. THEY DESERVED COLLAB !!! https://t.co/PInDtkYvEv,make teen kiss hapoen in the future pls they deserved collab,0.8181818181818182
83,19884,2022-07-18 23:42:21+00:00,"Rise and shine ☀️

Morning cardio in a bit 🏃🏻 https://t.co/dWVOigtmK4",rise and shine morning cardio in a bit,0.875
51,8652,2022-03-28 23:50:43+00:00,ka stress diko ma retrieve yung account ko 🥲,ka stress diko ma retrieve yung account ko,0.875
93,4394,2022-02-13 23:44:46+00:00,"As kakampinks, we should not be like this! Wordle 240 4/6

⬛⬛⬛⬛⬛
🟩⬛⬛🟨⬛
🟩⬛🟨⬛⬛
🟩🟩🟩🟩🟩",as kakampinks we should not be like this wordle 240 46,0.8888888888888888
94,13995,2022-05-20 23:44:19+00:00,Ia-add ko o ia-add ko? HAHAHAHA. Eme,ia add ko o ia add ko hahahaha eme,0.8888888888888888
11,17912,2022-06-29 23:59:11+00:00,@ohMisterbates @DuaneAbueva8 @iskrukutoy what happened to that plot twist regarding the bbm DQ?😔,what happened to that plot twist regarding the bbm dq,0.8
44,12045,2022-05-01 23:52:38+00:00,"Ninang to Newlyweds Atty. Mijo and Mrs. Abbi Solis, with their parents Atty. Pope and Mrs. Vicky Solis, Ninong Senator Sonny and Mrs. Tootsie Angara and Ninong Atty. Mario and Mrs. Santos #abbimijo2022 https://t.co/gOeEYbHBqn",ninang to newlyweds atty mijo and mrs abbi solis with their parents atty pope and mrs vicky solis ninong senator sonny and mrs tootsie angara and ninong atty mario and mrs santos,0.8125
55,1456,2022-01-15 23:48:14+00:00,"Lord bakit yung boyfriend ko fresh, ako hindi? 😁 https://t.co/moZN7cbltk",lord bakit yung boyfriend ko fresh ako hindi,0.875
