,id,date,rawContent,cleaned_content,english_relative_frequency
99,4400,2022-02-13 23:44:10+00:00,Understand the language of love of your partner para daw nagkakaintindihan kayo. Pano po pag oyotin?,understand the language of love of your partner para daw nagkakaintindihan kayo pano po pag oyotin,0.75
3,4904,2022-02-19 23:58:00+00:00,Lord I'm sorry and thank you always ikaw na po bahala saken🤧😭 https://t.co/wf2YFnMnP0,lord im sorry and thank you always ikaw na po bahala saken,0.75
98,999,2022-01-10 23:27:27+00:00,"Good morning. Stream tayo sa spotify at sa lahat ng iba pang platforms 😁😁😁

Stream The Baddest MV
#BGYO @bgyo_ph
Go listen to #BGYO_TheBaddest on Spotify https://t.co/YClGx94YfL",good morning stream tayo sa spotify at sa lahat ng iba pang platforms stream the baddest mv go listen to on spotify,0.7727272727272727
59,11860,2022-04-29 23:44:34+00:00,@sharyllkayes Congrats din round girl! Hahahahah thank you sa pag assist labyu!,congrats din round girl hahahahah thank you sa pag assist labyu,0.7272727272727273
19,3820,2022-02-08 23:55:32+00:00,Tumaas na naman ata yung grado ng mata ko. Hmmm,tumaas na naman ata yung grado ng mata ko hmmm,0.7
87,11588,2022-04-26 23:47:22+00:00,"@_rainbowfighter @SexyTwinkDad @gelaiii_gerl @nashleelaroya push! sama po kayo sa amin, basta bawal po ang hubad while rounding ah. ☺️",push sama po kayo sa amin basta bawal po ang hubad while rounding ah,0.7857142857142857
99,7600,2022-03-17 23:40:36+00:00,HAHAHHAAH GAGI ANG SAYA sorry last na https://t.co/FT4nRSb8oP,hahahhaah gagi ang saya sorry last na,0.7142857142857143
33,14734,2022-05-28 23:53:24+00:00,Yung puro pasa ka sa kagat and palo. 🤣🤣🤣 pero it is a good sign for me. 🙂,yung puro pasa ka sa kagat and palo pero it is a good sign for me,0.75
44,10745,2022-04-18 23:52:02+00:00,"Unlimited Japanese Dining for only 599 pesos! Tag your friends and head to Soru Izakaya, located in Burgos Circle, BGC.🥂 https://t.co/J03x4CtDb2 https://t.co/x1evuLqJf6",unlimited japanese dining for only 599 pesos tag your friends and head to soru izakaya located in burgos circle bgc,0.7894736842105263
35,8436,2022-03-26 23:49:03+00:00,@Equinox_789 Gusto mo yern Ma?! Alam ko na i gigift sa kanya sa birthday niya straps. 🤣🤣🤣,gusto mo yern ma alam ko na i gigift sa kanya sa birthday niya straps,0.7333333333333333
89,3390,2022-02-03 23:38:46+00:00,Ang lala ng hingal ko para lang mahabol yung shuttle service. 😩,ang lala ng hingal ko para lang mahabol yung shuttle service,0.7272727272727273
33,19634,2022-07-16 23:46:22+00:00,hahahah baka humss na talaga for me,hahahah baka humss na talaga for me,0.7142857142857143
23,13724,2022-05-18 23:56:26+00:00,"Proud to be a Covid Nurse. Pero ang point dun, need ba talagang picturan? https://t.co/d1GOfPN31F",proud to be a covid nurse pero ang point dun need ba talagang picturan,0.7857142857142857
9,21510,2022-08-04 23:58:08+00:00,#LicenseProfessionalTeacher na ko thru the help BTS's music @BTS_twt thanks borahae 💜,na ko thru the help btss music thanks borahae,0.7777777777777778
24,6725,2022-03-09 23:55:00+00:00,@sejoalzir ibig sabihin need na ipa trend ang mga sites na tama ang information at hindi galing sa Fake News factory.,ibig sabihin need na ipa trend ang mga sites na tama ang information at hindi galing sa fake news factory,0.75
25,126,2022-01-02 23:53:38+00:00,@chinitaqueenx So bale wala na maaga ka papasok? Haha what time ba nag start hahah,so bale wala na maaga ka papasok haha what time ba nag start hahah,0.7142857142857143
65,15966,2022-06-09 23:50:22+00:00,gusto ko na magpictureee mabubulok na tong era,gusto ko na magpictureee mabubulok na tong era,0.75
94,7195,2022-03-13 23:44:34+00:00,"@SEANcharlord Ay cge po, thanks! Marcosin ko na lng layout mo 🤣, try ko pa print 🌷🌷🌷",ay cge po thanks marcosin ko na lng layout mo try ko pa print,0.7857142857142857
84,985,2022-01-10 23:33:29+00:00,@ctian09j Tagal mo kaya di pinapansin dm ko haha,tagal mo kaya di pinapansin dm ko haha,0.75
16,23717,2022-08-26 23:56:49+00:00,"WTT | LFT | PH only 🇵🇭

WANT:
Heeseung Manifesto: Day 1
Regular, Engene, &amp; Weverse Albums ver. D J M pcs / counterpart

HAVE:
enhypen jungwon hee jay jake sunghoon sunoo ni-ki riki dimension: dilemma charybdis odysseus scylla answer yet no senkou m:d1 selca holo pob lucky draw ld https://t.co/6AMl35jgZR",wtt lft ph only want heeseung manifesto day 1 regular engene and weverse albums ver d j m pcs counterpart have enhypen jungwon hee jay jake sunghoon sunoo ni ki riki dimension dilemma charybdis odysseus scylla answer yet no senkou md1 selca holo pob lucky draw ld,0.7333333333333333
40,16441,2022-06-14 23:54:37+00:00,"Paano? Well, you should carefully plan your finances. And yes, it is a must to include life insurance on your financial planning.
Alalahanin mo, nag-ibang bansa ka upang makatulong sa pinansyal ng pamilya mo? 'Yang goal mo ba na 'yan ay magbabago kapag nawala",paano well you should carefully plan your finances and yes it is a must to include life insurance on your financial planning alalahanin mo nag ibang bansa ka upang makatulong sa pinansyal ng pamilya mo yang goal mo ba na yan ay magbabago kapag nawala,0.7555555555555555
59,60,2022-01-01 23:30:50+00:00,Wag muna mag ecq. Mag subic pa kami eh haha,wag muna mag ecq mag subic pa kami eh haha,0.7
92,7793,2022-03-19 23:38:27+00:00,"See you!
Mag-isa man, kakasa ako! 💪🏽

Ribbon lang ang meron ako. 😭 https://t.co/cVh0rlkBCY",see you mag isa man kakasa ako ribbon lang ang meron ako,0.75
93,14394,2022-05-24 23:45:54+00:00,Wag mo na sirain umaga ko please.,wag mo na sirain umaga ko please,0.7142857142857143
9,10610,2022-04-17 23:57:55+00:00,@Dalangin__ Oooohhh! Meron na pala dito! But i know it’s pricey for the local market. Huhuhu,oooohhh meron na pala dito but i know its pricey for the local market huhuhu,0.7333333333333333
58,17759,2022-06-27 23:47:41+00:00,"Risa Hontiveros should be the minority leader.

The true legitimate opposition Senator.

@risahontiveros tayo 💗🌷🇵🇭 https://t.co/cuH1uXDooJ",risa hontiveros should be the minority leader the true legitimate opposition senator tayo,0.7692307692307693
17,3518,2022-02-05 23:52:32+00:00,"@lcros186 @SyLicoNgaAko Actually more kay Duterte.
Na ayaw din kay Marcos",actually more kay duterte na ayaw din kay marcos,0.7777777777777778
43,11744,2022-04-28 23:53:14+00:00,focus agent ka hanggang ngayong end of month te hahahahahaha yawa,focus agent ka hanggang ngayong end of month te hahahahahaha yawa,0.7272727272727273
31,6832,2022-03-10 23:53:34+00:00,"@memenudo Support / Tank kasi po role kaya priority mga skins nila

Mahina mag mm and assassin 

Cheers satin Angela users https://t.co/kTFuYjIkNL",support tank kasi po role kaya priority mga skins nila mahina mag mm and assassin cheers satin angela users,0.7368421052631579
35,12036,2022-05-01 23:53:35+00:00,Gi alis na nila sa tiktok haha,gi alis na nila sa tiktok haha,0.7142857142857143
96,497,2022-01-05 23:38:19+00:00,Ito na nagsstart na ko mairita sa asawa ni jerry! 😵🤦‍♀️,ito na nagsstart na ko mairita sa asawa ni jerry,0.7
22,16923,2022-06-19 23:57:37+00:00,@byaheR05s @Cheezier94 Hahaha! Practice makes perfect sabi...more tiktok viral dance craze please and I'll follow you sa tiktok na rin. Lols!,hahaha practice makes perfect sabi more tiktok viral dance craze please and ill follow you sa tiktok na rin lols,0.75
42,2243,2022-01-23 23:47:47+00:00,I'm selling BEAUTY VAULT LUMI GLUTA CAPSULE for ₱380. Get it on Shopee now! https://t.co/cjwQzZu33Y #ShopeePH https://t.co/bY8cEPZaKq,im selling beauty vault lumi gluta capsule for 380 get it on shopee now,0.7692307692307693
77,4878,2022-02-18 23:45:37+00:00,Ewan ko lang magets niya ito.. mukhang freeloader kasi eh with a twisted mindset towards people with depression. https://t.co/OpnIUNbj9e,ewan ko lang magets niya ito mukhang freeloader kasi eh with a twisted mindset towards people with depression,0.7222222222222222
4,5805,2022-02-28 23:59:51+00:00,"I'm at 21 Monumento - SJDM in Caloocan City, Metro Manila https://t.co/xuLgO67d7R",im at 21 monumento sjdm in caloocan city metro manila,0.7777777777777778
82,11883,2022-04-29 23:42:26+00:00,"@InitiativePH Ganito Sana nga post at comment. Compare Pampanga Rally of BBM with Leni same location, mag katunggali. Hindi yung ikumpara Pampanga Leni Rally sa Pasig Rally at pagtawanan pa na na kickout na sa TOP5 nila. Tapos sasabihin na healthy competition mag Pasig 2.0 kung gusto. Lol",ganito sana nga post at comment compare pampanga rally of bbm with leni same location mag katunggali hindi yung ikumpara pampanga leni rally sa pasig rally at pagtawanan pa na na kickout na sa top5 nila tapos sasabihin na healthy competition mag pasig 2 0 kung gusto lol,0.7333333333333333
32,10633,2022-04-17 23:54:39+00:00,@GerryCacanindin @IskoMoreno yung oppend ba p or f? Usap tayo pag tama na. what matter (with s dapat) most is nasabi mo.😂😂,yung oppend ba p or f usap tayo pag tama na what matter with s dapat most is nasabi mo,0.7
76,6377,2022-03-05 23:38:12+00:00,Good morning Shin Ryujin! Apaka ganda mo. 🧡 https://t.co/f6I0JJL1fg,good morning shin ryujin apaka ganda mo,0.7142857142857143
78,21779,2022-08-06 23:44:01+00:00,"Sunday classics playing via grab radio. 
Lakas maka probinsya feels",sunday classics playing via grab radio lakas maka probinsya feels,0.7
66,23867,2022-08-27 23:42:55+00:00,8 hours tulog ko kasi nasa cebu ako sa panaginip ko haha,8 hours tulog ko kasi nasa cebu ako sa panaginip ko haha,0.7272727272727273
37,7938,2022-03-21 23:55:39+00:00,"All that you are is all that i’ll ever need.

SHAIBIE SA MAGANDANG BUHAY
#MagandangBuhay",all that you are is all that ill ever need shaibie sa magandang buhay,0.7857142857142857
7,4308,2022-02-13 23:59:06+00:00,Basta happy Valentine's day sa Lahat lowbat na ko Hehehe,basta happy valentines day sa lahat lowbat na ko hehehe,0.7
21,1122,2022-01-12 23:53:48+00:00,last 2 days shift for this week top agent nnman ako. Sana makisama ang pagkakataon 😌🙏,last 2 days shift for this week top agent nnman ako sana makisama ang pagkakataon,0.7857142857142857
20,4621,2022-02-16 23:55:55+00:00,"I slept at around 2am, woke up at 6am. Sino antok??!!",i slept at around 2am woke up at 6am sino antok,0.7777777777777778
