,id,date,rawContent,cleaned_content,english_relative_frequency
36,2537,2022-01-26 22:37:42+00:00,@BhumiMishra8 Kya baat hai so sweet and beautiful ❤️,kya baat hai so sweet and beautiful,0.7142857142857143
92,7693,2022-03-18 21:47:32+00:00,"Holi isn't finished yet.... 🥂
#HappyHoli https://t.co/8GaTlEoKGr",holi isnt finished yet,0.75
44,20545,2022-07-25 23:06:52+00:00,"Address by Draupadi Mumu, 15th president of India. https://t.co/xwzHjdG1kl",address by draupadi mumu 15th president of india,0.7142857142857143
89,4090,2022-02-10 21:40:14+00:00,#delhiite @ Gurdwara Sis Ganj Sahib https://t.co/I9mOVUHGNR,gurdwara sis ganj sahib,0.75
2,12403,2022-05-05 23:55:46+00:00,"@mlkhattar Thanks C M sir ji
Regards 
Rajesh Arora Gurugram https://t.co/id3YQcnSCF",thanks c m sir ji regards rajesh arora gurugram,0.7777777777777778
28,22529,2022-08-14 23:49:39+00:00,"@iHrithik Dont support else you will be in line.
Desh se bada kuch bhi nhi.
#BoycottLalSinghChaddha",dont support else you will be in line desh se bada kuch bhi nhi,0.7142857142857143
72,18273,2022-07-02 22:29:00+00:00,"@BimalGST Space kaisy milta hai enko..! under #GST, how possible ? 
This is called GST. #GSTMethod #IndiaAt75 #JaiHind https://t.co/09N0wE5Fmh",space kaisy milta hai enko under how possible this is called gst,0.75
8,23509,2022-08-24 23:52:30+00:00,@GODSTODAY Jai shree hari subh,jai shree hari subh,0.75
72,11173,2022-04-22 22:46:10+00:00,@WasimAkramTyagi @Shadab65272858 @SureshChavhanke @AmitShah Ss le liya he,ss le liya he,0.75
79,18680,2022-07-06 21:57:03+00:00,Happppy birthday to me ♥️♥️♥️. https://t.co/QzwTbfX1IH,happppy birthday to me,0.75
65,466,2022-01-05 22:56:49+00:00,"1. Om Hareeng Shareeng Parshvanathy Nameh.

The essence of belief is the establishment a habit. https://t.co/2IfxnV3lro",1 om hareeng shareeng parshvanathy nameh the essence of belief is the establishment a habit,0.7142857142857143
14,16815,2022-06-18 23:51:06+00:00,@alishaikh313 @KumaarSaagar Hindu ki baat ho rahi h naaa tu kyu bola ???,hindu ki baat ho rahi h naaa tu kyu bola,0.7
54,1755,2022-01-18 22:49:38+00:00,Just posted a photo @ ASTRO Shaliini Malhottra https://t.co/vXaBTIHR4v,just posted a photo astro shaliini malhottra,0.7142857142857143
91,292,2022-01-03 22:21:24+00:00,"In all ernest, i would rather concentrate on my Chole Bature or MotiChoor ladoo if and when I visit Haldirams ! https://t.co/8tPSXPKWA5",in all ernest i would rather concentrate on my chole bature or motichoor ladoo if and when i visit haldirams,0.75
40,12141,2022-05-02 23:23:26+00:00,@TajinderBagga Aur family vacation ke liye aircraft carrier le jata h,aur family vacation ke liye aircraft carrier le jata h,0.7
84,10985,2022-04-20 23:16:21+00:00,@akshaykumar Ok Canada wale Bhaiya,ok canada wale bhaiya,0.75
62,14263,2022-05-23 22:35:11+00:00,@gujarat_titans What about trying Rehmanullah Gurbaz in place of Wade ?,what about trying rehmanullah gurbaz in place of wade,0.7777777777777778
21,3022,2022-01-31 23:43:44+00:00,"@FabrizioRomano Auba realising that he won't be hearing ""aubamabludclot yeaaa, my brother""",auba realising that he wont be hearing aubamabludclot yeaaa my brother,0.7272727272727273
24,425,2022-01-05 23:29:49+00:00,"@Poonam0883 @SushantBSinha https://t.co/UxVDpvVhri
Yeh lo. Padh lo.",yeh lo padh lo,0.75
3,17404,2022-06-24 23:59:14+00:00,@DurgaZicco Jai bajrangbali Durga ji,jai bajrangbali durga ji,0.75
